dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std
clinc150,0.25,mogb_partition_ours_boundary,5,0.9413139384002536,0.004982739043635982,0.7016229766010627,0.034783684884718016,0.6017543859649124,0.04404784186583784,0.022368421052631537,0.006138392544858933,0.9017192982456141,0.00858699798056641,0.9274617189904586,0.01722009706747917
clinc150,0.25,trainable_k1,5,0.9516427437131565,0.006493831244298979,0.7968993956538231,0.019459710746000586,0.7363157894736843,0.008358687192681818,0.03236842105263154,0.011023527540387061,0.9208421052631579,0.010334063060642464,0.9588536088027085,0.012065791586742345
clinc150,0.5,fixed_k2,5,0.892005798496586,0.0026452264822166512,0.8009431390043901,0.009986593104864928,0.7513777777777777,0.01311901833123612,0.06440579710144924,0.005931060927178788,0.856561403508772,0.004453169336970755,0.924975458937198,0.00276875004629425
clinc150,0.5,mogb_minilm,5,0.8131951016346013,0.0029937394053626528,0.44953800389890197,0.017795263450771055,0.3157333333333333,0.013693649965685428,0.00904347826086952,0.0015255301295003965,0.7237894736842104,0.005768969538955559,0.8764096876006441,0.007663174447065298
clinc150,0.5,mogb_partition_ours_boundary,5,0.8555543863002324,0.004191319483426519,0.645981713026754,0.021726743482571444,0.5334222222222222,0.018977309387922695,0.02498550724637676,0.0032497394592867082,0.7985263157894738,0.00728186420650273,0.9052768824476651,0.00864331335379013
clinc150,0.5,trainable_k1,5,0.9043941395821132,0.004441963320551504,0.8181661694793956,0.009203410142646926,0.7444444444444445,0.0033847880470506565,0.036927536231884016,0.007571267501376491,0.8734035087719298,0.006461048858704835,0.9532673752012883,0.00548824809011701
clinc150,0.75,fixed_k2,5,0.8150384507030115,0.006304940998015575,0.8143458841089413,0.006901508299221047,0.7580357142857144,0.009493534468890829,0.0732478632478632,0.004952473369510487,0.8151929824561404,0.0064443542303786305,0.9182304385429386,0.0034028459311515307
clinc150,0.75,mogb_minilm,5,0.6593154230507091,0.0041875520903020096,0.4179709109786164,0.015527783903498855,0.29196428571428573,0.012156927538988149,0.00829059829059824,0.0033595288900912035,0.5781754385964912,0.007475825407796428,0.8643049450549449,0.011809260686572367
clinc150,0.75,mogb_partition_ours_boundary,5,0.7197434059711283,0.005944822317859748,0.5960139307329898,0.02330656846289082,0.4808928571428571,0.02038136438446493,0.018888888888888837,0.004288435454462243,0.6826666666666666,0.010703479872400619,0.8967573768823769,0.010832451294774045
clinc150,0.75,trainable_k1,5,0.828493223497581,0.005076623944875164,0.8291245798894671,0.007668826723022183,0.7511904761904763,0.008669352180731855,0.04017094017094012,0.003974588726012444,0.8305964912280702,0.006342050665849298,0.9500434472934473,0.004167084976489912
