dataset,kir,seed,gate,oos_f1,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,overall_accuracy,known_macro_f1
clinc150,0.5,87,frozen_selected_k,0.8895027624309392,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,0.8407272727272728,0.78806072098193
stackoverflow,0.5,13,best_controlled_baseline,0.8585284280936455,0.8601468624833111,0.1426185704742819,0.1398531375166889,0.0,0.086534730306558,0.8215358931552588,0.8424456643115151
stackoverflow,0.5,13,ce_recon_selected_k,0.8500707213578501,0.9138851802403204,0.1970607882431529,0.0861148197596795,0.0,0.097881665449233,0.8136894824707847,0.8608664252390756
stackoverflow,0.5,13,frozen_k1,0.7662360644133782,0.835781041388518,0.2768871075484302,0.1642189586114819,0.0,0.0922523961661341,0.7409015025041736,0.8258463219213736
stackoverflow,0.5,13,frozen_selected_k,0.735515425131678,0.8775033377837116,0.3470273881095524,0.1224966622162883,0.0,0.1118295930011411,0.7161936560934892,0.829868195667709
stackoverflow,0.5,42,best_controlled_baseline,0.8609687551661431,0.8503174072836619,0.1311311311311311,0.1496825927163381,0.0,0.0711198428290766,0.8293823038397329,0.8523173311289733
stackoverflow,0.5,42,ce_recon_selected_k,0.905428796223446,0.8392916805880387,0.04004004004004,0.1607083194119612,0.0,0.0537420382165605,0.8771285475792988,0.8625387463359235
stackoverflow,0.5,42,frozen_k1,0.8435800230756552,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,0.8106844741235393,0.8384207068794064
stackoverflow,0.5,42,frozen_selected_k,0.8435800230756552,0.8292682926829268,0.1461461461461461,0.1707317073170731,0.0,0.0745366639806607,0.8106844741235393,0.8384207068794064
stackoverflow,0.5,87,best_controlled_baseline,0.7777777777777778,0.85437541750167,0.2710280373831775,0.14562458249833,0.0,0.0488663017982799,0.7707846410684475,0.8738762749177876
stackoverflow,0.5,87,ce_recon_selected_k,0.8730082085948817,0.8313293253173013,0.0947930574098798,0.1686706746826987,0.0,0.0329449578143832,0.8545909849749582,0.8768492030883168
stackoverflow,0.5,87,frozen_k1,0.7608426270136307,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,0.7502504173622705,0.8550691114852593
stackoverflow,0.5,87,frozen_selected_k,0.7608426270136307,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,0.7502504173622705,0.8550691114852593
