dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
banking77,0.25,100,trainable,1,2320,1.2808765093352175,1.0391451573121702,1.2856814549440831,1.5209196774646123,1.564463478122458,1.6468777969231794,0.075
banking77,0.25,123,frozen,0,760,0.838016281194638,0.6405858924464001,0.8263552467881552,1.065229246429129,1.1401448572518196,1.2746293049517325,0.843421052631579
banking77,0.25,123,frozen,1,2320,1.1253631228638543,0.9305817104919393,1.1257245114444951,1.3190817137311945,1.3719145732494855,1.4602624233719381,0.1961206896551724
banking77,0.25,123,trainable,0,760,0.8422227115060247,0.6381536202787909,0.832234772923798,1.0739721331600731,1.1561488246600664,1.3023089323693147,0.825
banking77,0.25,123,trainable,1,2320,1.1474212853406442,0.9516549223681039,1.1504927595630423,1.3448964845386404,1.4019661691125285,1.4875772833860277,0.15775862068965518
banking77,0.5,13,frozen,0,1520,0.8426516101337139,0.6579672417279978,0.8260375541426943,1.0547521624611345,1.114769080359611,1.268160246048926,0.8486842105263158
banking77,0.5,13,frozen,1,1560,1.0839291707996943,0.9064505275440526,1.078202057798684,1.2738483453944272,1.333343694435009,1.4406234759652279,0.27564102564102566
banking77,0.5,13,trainable,0,1520,0.8447846696381998,0.6400006351411716,0.8223374131030622,1.0707172372030036,1.1599340844305401,1.3280827405744462,0.8171052631578948
banking77,0.5,13,trainable,1,1560,1.1827527758777263,0.9719940631459607,1.1744755763444177,1.4164044741888961,1.47592562806704,1.5478268544843086,0.1358974358974359
banking77,0.5,42,frozen,0,1520,0.8421887450426203,0.6409706238351871,0.8307388635696819,1.063035954293249,1.1348018533058957,1.249799015513526,0.8355263157894737
banking77,0.5,42,frozen,1,1560,1.0934728380572298,0.9261341442162749,1.0909477134991854,1.2784399081617688,1.3186963341593556,1.3842055481412625,0.22756410256410256
banking77,0.5,42,trainable,0,1520,0.8467007438288581,0.6411870886283654,0.8298275224476181,1.0883473892296325,1.1700259839929794,1.300936864538491,0.8197368421052632
banking77,0.5,42,trainable,1,1560,1.1611730955050301,0.9652277679445048,1.156969658435956,1.381095476744393,1.4412336706144198,1.5022215586679661,0.14615384615384616
banking77,0.5,87,frozen,0,1520,0.8361729736405358,0.6330275264508342,0.8213451351266107,1.0708154974739552,1.1377697566717344,1.2596988597276366,0.8315789473684211
banking77,0.5,87,frozen,1,1560,1.1017652503611923,0.9377941461897144,1.0963077863751933,1.2819239745426945,1.338286864344834,1.4508340891252511,0.20064102564102565
banking77,0.5,87,trainable,0,1520,0.8387073914341286,0.61209195003205,0.8198426880653478,1.1083240478292469,1.203198858469399,1.3398969069715059,0.8203947368421053
banking77,0.5,87,trainable,1,1560,1.1915273958776833,0.9804637078036829,1.1920693077609525,1.4135160658165062,1.4552354036991757,1.5274258044185116,0.12179487179487179
banking77,0.5,100,frozen,0,1520,0.8405158652157898,0.6414346456348896,0.8310929208495798,1.0650165227672372,1.1324050867476054,1.2650828675959516,0.8421052631578947
banking77,0.5,100,frozen,1,1560,1.0973101645704044,0.8974635298268573,1.0891848402418165,1.3085917930227318,1.3693148254865861,1.457737005004182,0.25448717948717947
banking77,0.5,100,trainable,0,1520,0.8474233994398562,0.6427311043780438,0.8385968390049666,1.0700731227403593,1.1482010044661268,1.2731717594135021,0.8236842105263158
banking77,0.5,100,trainable,1,1560,1.1436514677999476,0.9361036325408431,1.1461066124086976,1.344825395468837,1.392250561929462,1.4728282612325156,0.17564102564102563
banking77,0.5,123,frozen,0,1520,0.8331494793203702,0.6291021134231576,0.8260005554425951,1.0474165117077339,1.1213140599851588,1.2490993788290738,0.8552631578947368
banking77,0.5,123,frozen,1,1560,1.0765729185116955,0.8926200188498055,1.0734338116156534,1.2681060266132156,1.320995291848736,1.4405338549865618,0.2858974358974359
banking77,0.5,123,trainable,0,1520,0.8367442370389085,0.6252005238757229,0.8229866216019153,1.0784642007651204,1.167181521198544,1.3146615176349281,0.8296052631578947
