dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,val,what_are_your_hobbies,True,20,15,5,0,0.7173935691458561
clinc150,13,val,what_can_i_ask_you,True,20,18,2,5,0.7928404948401206
clinc150,13,val,what_is_your_name,False,20,14,6,7,0.8652113922642031
clinc150,13,val,what_song,False,20,0,20,1,1.1219128694628897
clinc150,13,val,where_are_you_from,True,20,18,2,1,0.6746309190712889
clinc150,13,val,whisper_mode,False,20,0,20,0,1.1539340528089017
clinc150,13,val,who_do_you_work_for,True,20,18,2,0,0.641053059344727
clinc150,13,val,who_made_you,False,20,1,19,4,1.0995156447636538
clinc150,13,val,yes,True,20,10,10,2,0.9240333213765095
clinc150,13,test,accept_reservations,False,30,2,28,9,0.989835686418455
clinc150,13,test,account_blocked,False,30,3,27,7,0.9973399299360173
clinc150,13,test,alarm,False,30,3,27,8,1.0040911715722696
clinc150,13,test,application_status,True,30,28,2,0,0.6057189854929692
clinc150,13,test,apr,False,30,0,30,0,1.1645564271905147
clinc150,13,test,are_you_a_bot,False,30,1,29,2,1.064722387138669
clinc150,13,test,balance,True,30,27,3,5,0.6402921355069214
clinc150,13,test,bill_balance,True,30,22,8,7,0.8295680612549493
clinc150,13,test,bill_due,True,30,29,1,3,0.7025238311744573
clinc150,13,test,book_flight,False,30,0,30,2,0.9935434205267415
clinc150,13,test,book_hotel,False,30,2,28,13,0.9559532465806326
clinc150,13,test,calculator,False,30,1,29,0,1.1570705817572464
clinc150,13,test,calendar,False,30,7,23,12,0.9541918808897988
clinc150,13,test,calendar_update,True,30,25,5,3,0.7968893554641925
clinc150,13,test,calories,False,30,0,30,0,1.2357785311285236
clinc150,13,test,cancel,False,30,0,30,0,1.150191781545441
clinc150,13,test,cancel_reservation,False,30,9,21,16,0.9213822488607528
clinc150,13,test,car_rental,True,30,19,11,5,0.8665351583719119
clinc150,13,test,card_declined,True,30,23,7,1,0.7192160851805708
clinc150,13,test,carry_on,False,30,0,30,0,1.186232940393321
clinc150,13,test,change_accent,True,30,23,7,6,0.7729486363827265
clinc150,13,test,change_ai_name,False,30,12,18,6,0.9347697722053518
clinc150,13,test,change_language,False,30,15,15,15,0.9025448391813788
clinc150,13,test,change_speed,False,30,0,30,0,1.0963762596627848
clinc150,13,test,change_user_name,True,30,21,9,7,0.8500675505752785
clinc150,13,test,change_volume,True,30,23,7,2,0.6857856301181404
clinc150,13,test,confirm_reservation,True,30,25,5,12,0.8392439022415847
clinc150,13,test,cook_time,False,30,0,30,1,1.119846178215012
clinc150,13,test,credit_limit,False,30,3,27,9,0.9677787263206219
clinc150,13,test,credit_limit_change,True,30,29,1,4,0.6271074793207663
clinc150,13,test,credit_score,False,30,0,30,0,1.1580444358888893
clinc150,13,test,current_location,False,30,13,17,9,0.9249614501082877
clinc150,13,test,damaged_card,True,30,23,7,4,0.7509023581241736
clinc150,13,test,date,True,30,29,1,1,0.652369734433536
clinc150,13,test,definition,True,30,11,19,19,0.9272894579344001
clinc150,13,test,direct_deposit,False,30,0,30,0,1.249215933367795
clinc150,13,test,directions,False,30,0,30,0,1.0382152993324592
clinc150,13,test,distance,True,30,25,5,8,0.8109417549256299
clinc150,13,test,do_you_have_pets,False,30,0,30,0,1.180128779038307
clinc150,13,test,exchange_rate,False,30,0,30,0,1.2089805698257547
clinc150,13,test,expiration_date,False,30,4,26,3,1.0735595506859101
