dataset,kir,seed,best_epoch,best_selection_score,test_oos_f1,test_known_recall,training_time_seconds,trainable_parameters,epochs_recorded,calibration_f1_k_best,calibration_known_recall_at_best,selection_score_max
banking77,0.25,123,2,0.9553855008991479,0.8867710460630814,0.825,9.068476438522339,3746944,4,0.912985500899148,0.848,0.955385500899148
banking77,0.5,13,4,0.9089929618847817,0.8462021343377275,0.8171052631578948,17.42287540435791,3746944,4,0.8678998444758749,0.8218623481781376,0.9089929618847816
banking77,0.5,42,3,0.9185108643758664,0.8414403032217309,0.8197368421052631,16.20440101623535,3746944,4,0.8777027835677855,0.8161616161616162,0.9185108643758664
banking77,0.5,87,4,0.9261531669938134,0.8554480174836091,0.8203947368421053,17.63998317718506,3746944,4,0.884588126343407,0.8313008130081301,0.9261531669938134
banking77,0.5,100,2,0.9006970786295416,0.8259473346178549,0.8236842105263158,16.216049432754517,3746944,4,0.8598063903704323,0.8178137651821862,0.9006970786295416
banking77,0.5,123,4,0.9291399839374477,0.809165302782324,0.8296052631578947,15.460662364959717,3746944,4,0.8874387391241697,0.8340248962655602,0.9291399839374476
banking77,0.75,13,2,0.9040538896037001,0.6601269474899019,0.8271551724137931,24.789024353027344,3746944,4,0.8624209611286664,0.8326585695006747,0.9040538896037
banking77,0.75,42,4,0.9043635622842519,0.7272727272727273,0.8297413793103449,24.506030082702637,3746944,4,0.8629500880438291,0.8282694848084544,0.904363562284252
banking77,0.75,87,4,0.912806724398896,0.6984478935698448,0.8215517241379311,24.868643760681152,3746944,4,0.8714681417217306,0.8267716535433071,0.912806724398896
banking77,0.75,100,4,0.8994017951022933,0.6801573917931422,0.8215517241379311,22.732343196868896,3746944,4,0.8581892610423478,0.8242506811989101,0.8994017951022933
banking77,0.75,123,4,0.9082260859712704,0.6666666666666666,0.8206896551724138,24.11681628227234,3746944,4,0.8667840374537502,0.8288409703504043,0.9082260859712704
stackoverflow,0.25,13,1,0.918168035368547,0.9348581679560489,0.8333333333333334,7.909253835678101,198016,3,0.877568035368547,0.812,0.918168035368547
stackoverflow,0.25,42,4,0.9372923963729385,0.9546207353428288,0.844,10.694949388504028,3746944,4,0.8958923963729385,0.8280000000000001,0.9372923963729384
stackoverflow,0.25,87,4,0.9751341895343738,0.9619058074431881,0.848,9.894963026046753,3746944,4,0.9311341895343738,0.88,0.9751341895343738
stackoverflow,0.25,100,4,0.9685388296484613,0.9664517539066768,0.8473333333333333,9.447281837463379,3746944,4,0.9249388296484612,0.872,0.9685388296484612
stackoverflow,0.25,123,4,0.9898356316042325,0.9561480828558836,0.842,9.490009784698486,3746944,4,0.9450356316042324,0.896,0.9898356316042324
stackoverflow,0.5,13,4,0.9310034422223245,0.8565782973818541,0.8426666666666667,17.177334308624268,3746944,4,0.8896034422223245,0.8280000000000001,0.9310034422223245
stackoverflow,0.5,42,4,0.9282376826845083,0.8754826254826255,0.835,18.801823377609253,3746944,4,0.8872876826845083,0.819,0.9282376826845083
stackoverflow,0.5,87,4,0.9448303572179079,0.8692120227457352,0.84,18.181092023849487,3746944,4,0.902380357217908,0.849,0.944830357217908
stackoverflow,0.5,100,2,0.9421354210399578,0.9016032694121345,0.8353333333333334,17.743273496627808,3746944,4,0.9004497642197051,0.835,0.9421354210399578
stackoverflow,0.5,123,4,0.9536942733276342,0.8806571106458367,0.8416666666666667,17.674827814102173,3746944,4,0.9113442733276342,0.847,0.9536942733276342
stackoverflow,0.75,13,4,0.9257603397632098,0.7781475318912923,0.8437777777777777,26.58565855026245,3746944,4,0.8840270064298765,0.8346666666666667,0.9257603397632098
stackoverflow,0.75,42,3,0.9424955154765152,0.748558246828143,0.8511111111111112,26.367056846618652,3746944,4,0.9001621821431819,0.8466666666666667,0.9424955154765152
stackoverflow,0.75,87,2,0.9204356167568447,0.7736311631707982,0.8331111111111111,26.35523772239685,3746944,4,0.8790356167568447,0.8280000000000001,0.9204356167568448
stackoverflow,0.75,100,4,0.9354654340343529,0.7201610583836641,0.8388888888888889,25.29149866104126,3746944,4,0.8936321007010196,0.8366666666666667,0.9354654340343528
stackoverflow,0.75,123,4,0.931669445577152,0.7946912242686891,0.8388888888888889,26.57426929473877,3746944,4,0.8902361122438187,0.8286666666666667,0.931669445577152
