dataset,method,kir,n,oos_f1_mean,oos_f1_std,known_f1_mean,known_f1_std,accuracy_mean,accuracy_std,known_recall_mean,false_accept_rate_mean,source,backbone,supervision,comparison_class,eligible_for_aligned_main
banking77,TextOIR-DOC,0.75,,63.51,,84.14,,78.94,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DeepUnk,0.25,,76.98,,64.97,,70.68,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DeepUnk,0.5,,67.8,,75.61,,71.01,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-DeepUnk,0.75,,50.57,,81.65,,74.73,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-KNNCL,0.25,,79.34,,65.54,,73.01,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-KNNCL,0.5,,67.21,,75.16,,70.41,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-KNNCL,0.75,,51.42,,81.76,,74.78,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-MSP,0.25,,39.42,,50.47,,42.19,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-MSP,0.5,,46.29,,73.2,,61.67,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-MSP,0.75,,46.05,,84.99,,77.08,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-OpenMax,0.25,,48.52,,53.42,,47.76,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-OpenMax,0.5,,55.03,,75.16,,65.53,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
banking77,TextOIR-OpenMax,0.75,,53.02,,85.5,,78.32,,,,/home/bo/bo01/llmpy311/textoir/open_intent_detection/results/results.md,BERT/TextOIR,source-specific; not yet audited,reported_reference,false
