dataset,method,kir,seed,source,predictions,oos_f1,known_f1,accuracy,oos_precision,oos_recall,known_recall,false_accept_rate,known_count,oos_count,oos_false_accepts,known_false_rejects,known_score_q10,known_score_q50,known_score_q90,oos_score_q10,oos_score_q50,oos_score_q90
clinc150,MOGB-official-compatible,0.25,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir25_seed87/predictions.npz,93.36365515815588,61.31406045567237,88.73684210526316,88.30660930778255,99.03508771929825,47.54385964912281,0.9649122807017544,1140,4560,44,598,0.6659261524677277,1.0265153646469116,1.8248892903327945,1.7307470917701722,2.606607437133789,3.315157222747803
clinc150,MOGB-official-compatible,0.5,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed13/predictions.npz,84.82230997038499,61.157122066392624,78.3859649122807,73.8504512247529,99.62318840579711,45.91111111111111,0.37681159420289856,2250,3450,13,1217,0.7275057315826416,1.0306283831596375,1.716552555561066,1.5573562622070312,2.1813199520111084,2.8521676778793337
clinc150,MOGB-official-compatible,0.5,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed42/predictions.npz,84.45704424996919,60.34508054636327,77.80701754385964,73.4720137250697,99.30434782608695,45.022222222222226,0.6956521739130435,2250,3450,24,1237,0.7417733192443847,1.0436224341392517,1.6960406184196473,1.5448305010795593,2.1693791151046753,2.746757960319519
clinc150,MOGB-official-compatible,0.5,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir50_seed87/predictions.npz,84.61538461538461,60.73495180926463,78.0701754385965,73.61647361647363,99.47826086956522,45.33333333333333,0.5217391304347827,2250,3450,18,1230,0.7244372248649598,1.0401438474655151,1.7315757036209112,1.5835593700408936,2.1539467573165894,2.775901651382446
clinc150,MOGB-official-compatible,0.75,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed13/predictions.npz,71.6789667896679,60.695541871944314,67.57894736842105,55.97982708933718,99.61538461538461,45.44642857142857,0.38461538461538464,3360,2340,9,1833,0.7272975146770477,1.0403953194618225,1.6795594573020929,1.5316258311271667,2.056927800178528,2.5919089794158934
clinc150,MOGB-official-compatible,0.75,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed42/predictions.npz,71.31474103585657,60.125971937402035,67.12280701754386,55.590062111801245,99.44444444444444,44.67261904761905,0.5555555555555556,3360,2340,13,1859,0.7340266048908234,1.0442427396774292,1.646926188468933,1.4946889996528625,2.01674222946167,2.534868764877319
clinc150,MOGB-official-compatible,0.75,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/clinc150/kir75_seed87/predictions.npz,71.21697969155596,59.61356506971798,66.89473684210526,55.405084343074364,99.65811965811966,44.13690476190476,0.3418803418803419,3360,2340,8,1877,0.7349225103855134,1.0472619533538818,1.689940571784973,1.5491645455360412,2.038446545600891,2.591354393959045
stackoverflow,MOGB-official-compatible,0.25,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed13/predictions.npz,89.87701040681173,61.0493979715349,83.86666666666667,85.27827648114902,95.0,50.8,5.0,1500,4500,225,738,0.7195718228816986,0.9936650991439819,1.8079354763031015,1.1201152086257935,1.585349678993225,2.088177394866943
stackoverflow,MOGB-official-compatible,0.25,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed42/predictions.npz,89.79068774028192,63.65379142387122,84.03333333333333,86.43092105263158,93.42222222222222,56.00000000000001,6.577777777777778,1500,4500,296,660,0.6770471215248108,0.9528933167457581,1.6037990570068368,1.0741059184074402,1.5638744235038757,2.0040075540542603
stackoverflow,MOGB-official-compatible,0.25,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir25_seed87/predictions.npz,92.796702104578,76.2540694159965,88.83333333333333,90.65281899109793,95.04444444444444,70.6,4.955555555555556,1500,4500,223,441,0.6048188209533691,0.8095018267631531,1.783722972869874,1.142501962184906,1.8768824338912964,2.9069904327392577
stackoverflow,MOGB-official-compatible,0.5,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed13/predictions.npz,78.82900864936792,64.23053402519105,73.43333333333332,65.60354374307863,98.73333333333333,48.233333333333334,1.2666666666666666,3000,3000,38,1553,0.7147935926914215,1.0166281461715698,2.130268859863281,1.5128349781036377,2.073124885559082,3.386727809906006
stackoverflow,MOGB-official-compatible,0.5,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed42/predictions.npz,78.26086956521739,64.11675290148557,72.89999999999999,65.63558365319486,96.89999999999999,49.266666666666666,3.1,3000,3000,93,1522,0.7215498149394989,1.007366955280304,1.7316685795783995,1.190908968448639,1.5911323428153992,2.15053014755249
stackoverflow,MOGB-official-compatible,0.5,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir50_seed87/predictions.npz,81.77892918825562,74.17023206304856,78.7,71.96048632218846,94.69999999999999,63.1,5.3,3000,3000,159,1107,0.6356161415576935,0.8761016726493835,1.5153185009956358,1.098697292804718,1.4686183333396912,1.890080487728119
stackoverflow,MOGB-official-compatible,0.75,13,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed13/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed13/predictions.npz,58.08502185141041,68.20021197356981,64.31666666666666,41.36955291454443,97.46666666666667,53.955555555555556,2.533333333333333,4500,1500,38,2072,0.6942367434501648,0.9656431972980499,1.5309473633766173,1.1640142679214478,1.4810802340507507,2.0748665571212768
stackoverflow,MOGB-official-compatible,0.75,42,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed42/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed42/predictions.npz,57.40328134494632,69.62661116466701,64.73333333333333,41.22781495490253,94.46666666666667,55.111111111111114,5.533333333333333,4500,1500,83,2020,0.691521942615509,0.9587041139602661,1.5237696290016174,1.1020297050476073,1.4100393056869507,2.0219663143157964
stackoverflow,MOGB-official-compatible,0.75,87,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed87/result.json,/home/bo/bo01/llmpy311/artifacts/s2c/analysis/mogb_shared_official_aligned/stackoverflow/kir75_seed87/predictions.npz,57.303596544102874,67.7912274655245,64.03333333333333,41.01236698303135,95.06666666666666,54.422222222222224,4.933333333333334,4500,1500,74,2051,0.6809255182743073,0.9604896605014801,1.4931718587875367,1.0810694217681884,1.3481626510620117,1.643936812877655
