dataset,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,oos_f1_min,known_f1_mean,known_f1_std,known_f1_min,accuracy_mean,accuracy_std,accuracy_min,known_recall_mean,known_recall_std,known_recall_min,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_min,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_min,auroc_mean,auroc_std,auroc_min,aupr_oos_mean,aupr_oos_std,aupr_oos_min,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,2,0.75,0.9,normalized_union,3,0.9154117515184131,0.001991625634345759,0.9127119962657538,0.6497946117093526,0.008372995370055803,0.6422849015792171,0.8584150326797385,0.0023194558115324604,0.8551470588235294,0.601,0.013638181696985868,0.586,0.04664502164502165,0.003530196197034653,0.04188311688311688,0.399,0.013638181696985848,0.381,0.9119216450216451,0.008340009456813291,0.9001282467532468,0.9686211973549977,0.0035613467507699436,0.9635964595578352,88.23,3.3111751518413115,True
banking77_oos,1,0.75,0.95,nearest_sphere,3,0.9153659800561821,0.00044371511088991614,0.9148082785175677,0.6977296186055607,0.015861209653210577,0.6861239606681564,0.8605392156862745,0.0024345856904822885,0.858578431372549,0.7159999999999999,0.022686266036231424,0.698,0.07824675324675325,0.005509922970284788,0.07435064935064935,0.28400000000000003,0.0226862660362314,0.252,0.9160080086580088,0.0034039821165138184,0.9115506493506493,0.9701738592142582,0.0015630184793563055,0.9681756022927097,88.23,3.3065980056181985,True
banking77_oos,1,0.75,0.95,normalized_union,3,0.9152981321817292,0.00047490296382647764,0.9146341463414634,0.6974185118235224,0.015324097414039086,0.6865075986871547,0.8602941176470588,0.002255257147359891,0.858578431372549,0.7163333333333334,0.022484562605386758,0.698,0.07846320346320346,0.005588021923560862,0.07435064935064935,0.2836666666666667,0.02248456260538673,0.252,0.9162089826839827,0.0037143891826072,0.9113295454545454,0.970312852323996,0.0017498656415549873,0.9680753876087353,88.23,3.2998132181729147,True
banking77_oos,2,2.0,0.75,normalized_union,3,0.9151985212462176,0.0018813697704683943,0.9130841121495327,0.6471359825214478,0.014264760029552398,0.6271145668167409,0.858251633986928,0.004199378194737421,0.8524509803921568,0.6026666666666667,0.008339997335464543,0.591,0.04751082251082251,0.001954055204033311,0.044805194805194806,0.3973333333333333,0.008339997335464517,0.39,0.9132509740259739,0.005681620633547882,0.9054590909090908,0.9692445026182059,0.002643989830069169,0.9656153610188511,88.23,3.28985212462176,True
banking77_oos,2,0.75,0.9,nearest_sphere,3,0.9151348971809785,0.001769156052828984,0.9127119962657538,0.6473791135489598,0.007683050323293642,0.6411175391332188,0.8577614379084967,0.0018914766181030065,0.8551470588235294,0.5986666666666666,0.012684198393626975,0.586,0.04653679653679654,0.003418954328773013,0.04188311688311688,0.4013333333333334,0.012684198393626958,0.384,0.9118027056277055,0.008215779039410386,0.9001860389610389,0.9685541090779234,0.003521668565322019,0.9635893684084602,88.23,3.28348971809784,True
banking77_oos,1,1.25,0.85,nearest_sphere,3,0.9149673320113801,0.0028120369934666626,0.9118063197610439,0.6725943927374142,0.015740299882523682,0.651552676961816,0.8595588235294117,0.0044253603150166505,0.8534313725490196,0.6433333333333333,0.017594190960528878,0.619,0.05909090909090908,0.004266321070222298,0.05422077922077922,0.3566666666666667,0.01759419096052886,0.34,0.9146431818181817,0.003279191408295008,0.9108883116883116,0.9698024992836256,0.0015704149413012629,0.9679864244633007,88.23,3.2667332011380097,True
banking77_oos,2,2.0,0.75,nearest_sphere,3,0.9149634322996109,0.002580559784109999,0.9121443010418286,0.6441385527723525,0.01504147101632559,0.6229133582375996,0.8577614379084967,0.00496016641720935,0.8512254901960784,0.5966666666666667,0.010873004286866737,0.582,0.04632034632034632,0.002463161618342218,0.04285714285714286,0.4033333333333333,0.010873004286866711,0.392,0.9130247835497834,0.005939958720212983,0.9046298701298701,0.9690517141956244,0.002814510212949876,0.9650735625790545,88.23,3.2663432299610804,True
banking77_oos,1,1.25,0.85,normalized_union,3,0.9149303935640599,0.0025267116016565463,0.9122089364380114,0.6717304585482703,0.015405987653553629,0.6510468181757383,0.8592320261437908,0.004199378194737421,0.8534313725490196,0.6446666666666666,0.015755069730795313,0.623,0.05952380952380953,0.004143764008458147,0.05487012987012987,0.35533333333333333,0.015755069730795296,0.34,0.9147136363636363,0.003947218820517387,0.9099474025974025,0.9699119616096432,0.0019374051182016385,0.9675587005514212,88.23,3.263039356405983,True
banking77_oos,2,0.5,0.95,nearest_sphere,3,0.9148676953748888,0.00418752304322028,0.9090909090909091,0.657282118621593,0.012102600931692917,0.6415783838668339,0.8573529411764707,0.0054180897488854095,0.8497549019607843,0.628,0.022861904265976347,0.6,0.05508658008658009,0.005447927683399661,0.047402597402597405,0.37200000000000005,0.022861904265976347,0.344,0.9107027056277056,0.008854035491076358,0.8981821428571428,0.9681285608729188,0.0037251191006539746,0.9628800288365178,88.23,3.2567695374888785,True
banking77_oos,2,0.5,0.95,normalized_union,3,0.9148588993750958,0.0041838441952914565,0.9090909090909091,0.6580175385323358,0.012860957663174138,0.6411640691826485,0.8575163398692811,0.005532680703704939,0.8497549019607843,0.6283333333333334,0.023271346234276104,0.6,0.05519480519480519,0.005535373096339575,0.047402597402597405,0.37166666666666676,0.02327134623427608,0.343,0.910741341991342,0.008942176970802853,0.8980957792207791,0.9681444498663431,0.0037652302922962185,0.9628375260972072,88.23,3.255889937509579,True
