dev_accuracy,elapsed_time,epoch,learning_rate,max_ball_size,mean_ball_purity,mean_ball_radius,min_ball_size,mode,number_of_balls,selected_ball_count,subcentroid_loss,train_ce_loss
90.3,15.6,15,2e-05,531,1.0,3.809878594947584,10,unified_zero,230,33,2.26405668258667,0.28070661647522704
90.3,15.475,16,2e-05,514,1.0,3.899041082177843,10,unified_zero,200,28,2.2623212337493896,0.26653270740458307
90.8,15.29,17,2e-05,541,1.0,3.9440749660134315,10,unified_zero,115,32,2.2618091106414795,0.2556402881411796
90.6,15.653,18,2e-05,501,1.0,3.865439909696579,10,unified_zero,205,40,2.2620837688446045,0.24388549984135527
91.0,15.446,19,2e-05,506,1.0,3.9763043978635,10,unified_zero,140,34,2.261425733566284,0.23251027344389164
90.4,15.606,20,2e-05,521,1.0,3.9295386324326196,10,unified_zero,179,48,2.262350082397461,0.22099400739720526
91.2,15.741,21,2e-05,538,1.0,4.018422806964201,10,unified_zero,194,34,2.261823892593384,0.21615571100661096
91.4,15.365,22,2e-05,531,1.0,4.009453875677926,10,unified_zero,106,35,2.2584362030029297,0.2037030352239913
91.2,15.542,23,2e-05,530,1.0,4.015901578100104,10,unified_zero,213,38,2.2620656490325928,0.20156637864544036
91.0,15.415,24,2e-05,545,1.0,4.103578042984009,10,unified_zero,188,30,2.261151075363159,0.18943808425931222
91.4,15.455,25,2e-05,509,1.0,4.177001512967623,10,unified_zero,126,39,2.259849786758423,0.18365494019173562
91.1,15.447,26,2e-05,501,1.0,4.194843867550725,10,unified_zero,159,46,2.2602062225341797,0.17905025770689578
91.0,15.293,27,2e-05,510,1.0,4.24334242939949,10,unified_zero,145,32,2.2605178356170654,0.17130320424095113
91.6,15.74,28,2e-05,542,1.0,4.184043811427222,10,unified_zero,149,36,2.2592971324920654,0.16737010726269255
91.5,15.25,29,2e-05,531,1.0,4.318703460693359,12,unified_zero,155,25,2.260824680328369,0.16283973908804833
91.3,15.458,30,2e-05,525,1.0,4.255048320406959,10,unified_zero,169,42,2.260908365249634,0.1595389058298253
91.5,15.349,31,2e-05,500,1.0,4.300021695155723,10,unified_zero,103,51,2.2575137615203857,0.1487408862944613
91.1,15.22,32,2e-05,539,1.0,4.380327100555102,10,unified_zero,41,48,2.252812385559082,0.14289929051982594
91.2,15.248,33,2e-05,548,1.0,4.379261304592264,10,unified_zero,117,29,2.259934186935425,0.14358579430808413
91.4,15.24,34,2e-05,496,1.0,4.451090445885291,10,unified_zero,44,39,2.2515454292297363,0.1358702301662019
91.6,15.298,35,2e-05,543,1.0,4.53933100864805,10,unified_zero,172,29,2.259941339492798,0.12728573809912863
91.5,15.218,36,2e-05,551,1.0,4.529549212069125,10,unified_zero,129,37,2.2596027851104736,0.12770444741274448
91.5,15.113,37,2e-05,533,1.0,4.497938200831413,10,unified_zero,68,32,2.257795810699463,0.1286522535250542
91.3,15.125,38,2e-05,540,1.0,4.599526411957211,10,unified_zero,82,36,2.258608341217041,0.11987089825437423
