dataset,kir,seed,comparator,comparator_label,trainable_oos_f1,comparator_oos_f1,delta_oos_f1,trainable_f1_all,comparator_f1_all,delta_f1_all,trainable_known_recall,comparator_known_recall,delta_known_recall,trainable_false_accept_rate,comparator_false_accept_rate,delta_false_accept_rate
clinc150,0.75,100,random_partition,Random K=2,0.8333023601561048,0.8324132492113565,0.0008891109447483059,0.840427967758085,0.8370815199043767,0.003346447853708301,0.762202380952381,0.8151785714285714,-0.0529761904761904,0.0418803418803418,0.0978632478632478,-0.05598290598290599
clinc150,0.75,123,random_partition,Random K=2,0.8327481057105895,0.82063305978898,0.012115045921609502,0.8324034603041841,0.8149519930006924,0.017451467303491675,0.756547619047619,0.7982142857142858,-0.04166666666666674,0.0371794871794871,0.1025641025641025,-0.0653846153846154
stackoverflow,0.25,13,random_partition,Random K=2,0.9348581679560488,0.9301641199773628,0.004694047978686,0.8376694373285117,0.8336274419133467,0.004041995415165034,0.8333333333333334,0.8493333333333333,-0.015999999999999903,0.0735555555555555,0.0868888888888888,-0.013333333333333294
stackoverflow,0.25,42,random_partition,Random K=2,0.9546207353428288,0.8359775140537165,0.11864322128911231,0.8737185899712864,0.7700352372619405,0.10368335270934592,0.844,0.894,-0.050000000000000044,0.0393333333333333,0.2564444444444444,-0.21711111111111112
stackoverflow,0.25,87,random_partition,Random K=2,0.961905807443188,0.888023598820059,0.073882208623129,0.886162434075719,0.7935896603192408,0.09257277375647821,0.848,0.8586666666666667,-0.010666666666666713,0.0264444444444444,0.1637777777777777,-0.13733333333333328
stackoverflow,0.25,100,random_partition,Random K=2,0.9664517539066768,0.9324737020699017,0.03397805183677516,0.9008138022892632,0.8452107949578506,0.05560300733141266,0.8473333333333333,0.854,-0.00666666666666671,0.0173333333333333,0.084,-0.06666666666666671
stackoverflow,0.25,123,random_partition,Random K=2,0.9561480828558836,0.8688681502751855,0.0872799325806981,0.8834991622766871,0.8007643525951026,0.08273480968158453,0.842,0.8486666666666667,-0.00666666666666671,0.0357777777777777,0.1931111111111111,-0.15733333333333338
stackoverflow,0.5,13,random_partition,Random K=2,0.8565782973818541,0.6879905808477237,0.1685877165341304,0.8523954175911279,0.7943742466569094,0.05802117093421855,0.8426666666666667,0.8856666666666667,-0.04300000000000004,0.133,0.4156666666666667,-0.2826666666666667
stackoverflow,0.5,42,random_partition,Random K=2,0.8754826254826255,0.7910096066702919,0.0844730188123336,0.8576590966593717,0.804679086233893,0.05298001042547873,0.835,0.8883333333333333,-0.053333333333333344,0.093,0.2726666666666666,-0.1796666666666666
stackoverflow,0.5,87,random_partition,Random K=2,0.8692120227457352,0.7611777535441657,0.10803426920156944,0.8595641369722073,0.8082021444281459,0.051361992544061486,0.84,0.864,-0.02400000000000002,0.1083333333333333,0.302,-0.1936666666666667
stackoverflow,0.5,100,random_partition,Random K=2,0.9016032694121344,0.8286252354048964,0.07297803400723801,0.8835864480412401,0.8210659772876436,0.06252047075359646,0.8353333333333334,0.8596666666666667,-0.024333333333333318,0.044,0.1933333333333333,-0.14933333333333332
stackoverflow,0.5,123,random_partition,Random K=2,0.8806571106458367,0.7251952009141116,0.15546190973172513,0.874333776004836,0.7618833015090988,0.1124504744957372,0.8416666666666667,0.8843333333333333,-0.04266666666666663,0.0886666666666666,0.3653333333333333,-0.27666666666666667
stackoverflow,0.75,13,random_partition,Random K=2,0.7781475318912923,0.5966149506346967,0.18153258125659555,0.8731885403519126,0.8043886093853589,0.06879993096655368,0.8437777777777777,0.8911111111111111,-0.04733333333333334,0.0646666666666666,0.436,-0.3713333333333334
