dataset,kir,seed,method,method_label,layer,contract,source_run_dir,manifest_status,valid_semantic_metrics,invalid_reason,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
stackoverflow,0.5,87,fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.6551518761167362,0.7557664373099274,0.7658278934292466,0.6906666666666667,0.871,0.45,0.129,0.8369004444444443,0.7801449983280113
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7312277252058498,0.4491968680096521,0.4209937822900323,0.635,0.2793333333333333,0.0083333333333333,0.7206666666666667,0.8488495555555555,0.7899092536360274
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7937711577522004,0.6537524518375926,0.6397505812461318,0.7443333333333333,0.5153333333333333,0.023,0.4846666666666667,0.8824311111111112,0.8324482984585813
stackoverflow,0.5,87,ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7413071706824412,0.6525984043794486,0.6437275277491493,0.6961666666666667,0.546,0.1436666666666666,0.454,0.7590097777777779,0.7031023494040394
stackoverflow,0.5,87,random_partition,S2C Random K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7611777535441657,0.8082021444281459,0.8129045835165438,0.7671666666666667,0.864,0.302,0.136,0.8806653333333332,0.8303596261620292
stackoverflow,0.5,87,single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7661494045470949,0.8098064648722701,0.8141721709047877,0.7711666666666667,0.8603333333333334,0.2923333333333333,0.1396666666666666,0.8805640000000001,0.8313172470349915
stackoverflow,0.5,87,trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8692120227457352,0.8595641369722073,0.8585993483948545,0.8601666666666666,0.84,0.1083333333333333,0.16,0.9198784444444444,0.8888527044060599
stackoverflow,0.5,100,fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.6939931998488855,0.7290730029505788,0.732580983260748,0.7026666666666667,0.8476666666666667,0.3876666666666666,0.1523333333333333,0.8323296666666666,0.7588329297541421
stackoverflow,0.5,100,mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7321494182486221,0.4367131651087204,0.4071695397947302,0.6346666666666667,0.2746666666666666,0.0036666666666666,0.7253333333333334,0.8798437777777778,0.8266341415187699
stackoverflow,0.5,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.802642221623079,0.6469155736998627,0.6313429089075411,0.7536666666666667,0.5196666666666667,0.0076666666666666,0.4803333333333333,0.9040705555555556,0.8805561601666922
stackoverflow,0.5,100,ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.752262443438914,0.6426653129875843,0.6317055999424513,0.7,0.5293333333333333,0.1133333333333333,0.4706666666666667,0.7557845555555556,0.6650682714381798
stackoverflow,0.5,100,random_partition,S2C Random K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8286252354048964,0.8210659772876436,0.8203100514759184,0.8165,0.8596666666666667,0.1933333333333333,0.1403333333333333,0.9070113333333334,0.849966494259435
stackoverflow,0.5,100,single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8338152747065828,0.8234804878073413,0.8224470091174172,0.8206666666666667,0.8573333333333333,0.183,0.1426666666666666,0.9057544444444444,0.8483061380913308
stackoverflow,0.5,100,trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.9016032694121344,0.8835864480412401,0.8817847659041507,0.892,0.8353333333333334,0.044,0.1646666666666666,0.9465268888888888,0.9319233325702037
stackoverflow,0.5,123,fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.6068111455108359,0.6907056228977069,0.699095070636394,0.6391666666666667,0.875,0.51,0.125,0.8103122222222222,0.7576906816742752
stackoverflow,0.5,123,mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7180786869418296,0.3737734824619087,0.3393429620139166,0.6091666666666666,0.2296666666666666,0.0083333333333333,0.7703333333333333,0.787542,0.7112668373797029
stackoverflow,0.5,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.766770670826833,0.5367119144518955,0.5137060388144017,0.6991666666666667,0.419,0.017,0.581,0.798943888888889,0.729467454597005
stackoverflow,0.5,123,ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7291425260718424,0.6107376043090513,0.5988971121327722,0.6711666666666667,0.5376666666666667,0.161,0.4623333333333333,0.7372991111111111,0.6752149491065444
stackoverflow,0.5,123,random_partition,S2C Random K=2,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7251952009141116,0.7618833015090988,0.7655521115685975,0.7256666666666667,0.8843333333333333,0.3653333333333333,0.1156666666666666,0.8725501111111111,0.8360340079269208
stackoverflow,0.5,123,single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.7351837959489872,0.764888659601915,0.7678591459672078,0.7323333333333333,0.876,0.3466666666666667,0.124,0.8713174444444444,0.829742613248503
stackoverflow,0.5,123,trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,protocol_v2 frozen/trainable MiniLM Gate,results/analysis/cross_protocol_tradeoff_v1/per_seed.csv,complete,True,,0.8806571106458367,0.874333776004836,0.8737014425407359,0.874,0.8416666666666667,0.0886666666666666,0.1583333333333333,0.9185344444444444,0.8724901009917846
stackoverflow,0.5,100,ADB,ADB (same protocol cell),same_protocol_external_compatibility,protocol_v2_split + legacy TextOIR BERT runner,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed100,complete,True,,0.8911543287327478,0.873819667084345,0.8966831930475573,0.8823333333333333,0.8216666666666667,0.053,0.17833333333333334,,
stackoverflow,0.5,42,ADB,ADB (same protocol cell),same_protocol_external_compatibility,protocol_v2_split + legacy TextOIR BERT runner,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed42,complete,True,,0.8595275590551181,0.8424658460007557,0.8776545194364536,0.8485,0.793,0.09033333333333333,0.207,,
stackoverflow,0.5,87,ADB,ADB (same protocol cell),same_protocol_external_compatibility,protocol_v2_split + legacy TextOIR BERT runner,artifacts/s2c/external/adb_gpu_runtime_v1/stackoverflow/ADB/kir50/seed87,complete,True,,0.8702386597123439,0.8535076131942761,0.8868617935901494,0.8601666666666666,0.8086666666666666,0.08233333333333333,0.19133333333333333,,
