cluster_id,intent,k,radius,sample_count
11,automatic_top_up,2,24.77182894656064,21
12,balance_not_updated_after_cheque_or_cash_deposit,2,21.97965436577418,74
13,balance_not_updated_after_cheque_or_cash_deposit,2,23.023137498748195,89
14,card_arrival,2,24.03711471333687,41
15,card_arrival,2,22.994021357079113,97
16,card_delivery_estimate,2,23.030645213834774,62
17,card_delivery_estimate,2,23.33582889911596,39
18,card_payment_fee_charged,2,21.903595884917536,47
19,card_payment_fee_charged,2,23.038849147626205,121
20,card_payment_not_recognised,2,22.65870399272696,109
21,card_payment_not_recognised,2,22.30753481408454,42
22,card_payment_wrong_exchange_rate,2,23.366773408694936,111
23,card_payment_wrong_exchange_rate,2,22.818739757883897,39
24,change_pin,2,24.353276594684026,50
25,change_pin,2,22.25302815703657,60
26,contactless_not_working,2,22.046635945809157,7
27,contactless_not_working,2,22.46129747160351,25
28,declined_cash_withdrawal,2,22.5661054937555,56
29,declined_cash_withdrawal,2,22.832214114961097,100
30,declined_transfer,2,22.815931091208206,29
31,declined_transfer,2,23.631573015448804,91
32,direct_debit_payment_not_recognised,2,21.67935059447548,49
33,direct_debit_payment_not_recognised,2,22.181679689965723,115
34,exchange_charge,2,22.802193901335595,87
35,exchange_charge,2,23.106777634480235,22
36,exchange_rate,2,24.008723030250824,63
37,exchange_rate,2,24.34664049591892,38
38,exchange_via_app,2,23.249688046489098,19
39,exchange_via_app,2,22.738309584048842,87
40,fiat_currency_support,2,22.25134574378486,93
41,fiat_currency_support,2,23.289524782573277,20
42,get_disposable_virtual_card,2,24.018202356001105,61
43,get_disposable_virtual_card,2,24.792951416196445,26
44,passcode_forgotten,2,23.684896589529743,68
45,passcode_forgotten,2,23.003007286857933,27
46,pending_card_payment,2,21.746781449223562,59
47,pending_card_payment,2,22.712465570487595,84
48,pending_cash_withdrawal,2,24.093842838508074,72
49,pending_cash_withdrawal,2,22.749661087109395,57
50,pending_transfer,2,22.576863963677905,47
51,pending_transfer,2,23.977325757075356,86
52,reverted_card_payment?,2,21.97329081591748,75
53,reverted_card_payment?,2,23.381475967922647,70
54,terminate_account,2,22.536341023071056,70
55,terminate_account,2,22.39592297437696,27
56,top_up_by_bank_transfer_charge,2,22.86495596106841,19
57,top_up_by_bank_transfer_charge,2,22.006577148993586,81
58,top_up_by_card_charge,2,24.995075572725824,31
59,top_up_by_card_charge,2,22.44116093440592,72
60,topping_up_by_card,2,22.30332781515572,74
61,topping_up_by_card,2,24.338594784783332,19
62,transfer_fee_charged,2,23.517233453322156,140
63,transfer_fee_charged,2,22.864603787332328,15
64,unable_to_verify_identity,2,22.069950243140152,18
65,unable_to_verify_identity,2,23.500555984797465,74
66,verify_my_identity,2,23.875530943046776,55
67,verify_my_identity,2,25.27403584729836,39
68,verify_source_of_funds,2,23.601525596434122,35
69,verify_source_of_funds,2,22.818400108768046,67
70,virtual_card_not_working,2,25.254248036759677,19
71,virtual_card_not_working,2,24.216907499025147,18
72,visa_or_mastercard,2,23.59810446264712,98
73,visa_or_mastercard,2,23.55855020784565,23
74,wrong_exchange_rate_for_cash_withdrawal,2,23.07389250913441,117
75,wrong_exchange_rate_for_cash_withdrawal,2,21.719942289747234,30
0,application_status,1,23.23309540726108,100
1,apr,1,23.486438295887336,100
2,bill_due,1,22.16401159507043,100
3,book_flight,1,21.656580109950152,100
4,calendar,1,22.255949235413638,100
5,calories,1,21.25393590191968,100
6,cancel,1,21.360676632143708,100
7,car_rental,1,21.510587484053268,100
8,card_declined,1,23.58946135670752,100
9,change_accent,1,22.251759442884573,100
10,change_ai_name,1,21.698666123481818,100
11,change_speed,1,22.781985205030693,100
12,cook_time,1,21.2508265900291,100
13,credit_limit_change,1,22.541659920562765,100
14,credit_score,1,23.008285829049964,100
15,current_location,1,22.79396458175665,100
16,damaged_card,1,22.263299798650873,100
17,date,1,23.485344249232824,100
18,direct_deposit,1,24.6528965959537,100
19,exchange_rate,1,21.70613195030609,100
20,flight_status,1,22.16672834620365,100
21,flip_coin,1,22.591704309085603,100
22,food_last,1,21.11917595701883,100
23,fun_fact,1,21.143139491316713,100
24,gas_type,1,23.94934494573234,100
25,greeting,1,21.810277546678037,100
26,income,1,22.325308572429243,100
27,ingredient_substitution,1,21.173051456104865,100
