dataset,kir,seed,recipe,coverage_target,k,distance,boundary,rule,fusion,fusion_weight,threshold,f1_u,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
stackoverflow,0.75,87,no_projection,0.9,1,euclidean,center_quantile_0.5,nearest_sphere,inverse_margin,0.5,7.232928500849179,0.4945904173106646,0.8613105333241468,0.7682804674457429,0.8996216336523482,0.5724782899131596,0.1003783663476519,0.8855294980494409,0.5866489718613359
banking77_oos,0.25,13,all6,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.2872591767366774,0.8999548668572288,0.5902312216758606,0.8362745098039216,0.8833333333333333,0.16916666666666666,0.11666666666666667,0.9201984953703704,0.98718352259067
banking77_oos,0.25,42,all6,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,9.252482570640526,0.8609333541439051,0.5401577782044608,0.7786764705882353,0.8979166666666667,0.2338888888888889,0.10208333333333333,0.8995381944444445,0.9793468050949548
banking77_oos,0.25,87,all6,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,5.002357056222368,0.9116817574588095,0.6296867983374634,0.8519607843137255,0.8625,0.14694444444444443,0.1375,0.9205190972222221,0.9855709820314549
banking77_oos,0.5,13,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,6.749317237258335,0.8295831796385098,0.6637611494842756,0.7617647058823529,0.907,0.2698051948051948,0.093,0.9148616883116883,0.9652079734119439
banking77_oos,0.5,42,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,5.090497841859582,0.8853838065194533,0.7132069864025804,0.828921568627451,0.9,0.17987012987012987,0.1,0.9302006493506494,0.967166489564242
banking77_oos,0.5,87,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,7.796187027800742,0.7916270218839201,0.6231755318033945,0.7193627450980392,0.905,0.3246753246753247,0.095,0.9008850649350648,0.9559836890326904
banking77_oos,0.75,13,lr_high,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,9.11295339117679,0.7938488968130154,0.7126152318208532,0.7504901960784314,0.9039473684210526,0.304296875,0.09605263157894736,0.8976796361019737,0.9150984007185113
banking77_oos,0.75,42,lr_high,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,10.39576975918917,0.8216615919965202,0.7303186732617909,0.775,0.9019736842105263,0.262109375,0.09802631578947368,0.9141563013980264,0.9290026096936927
banking77_oos,0.75,87,lr_high,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,10.08772774515583,0.7817281728172817,0.7127116969838716,0.7409313725490196,0.9032894736842105,0.321484375,0.09671052631578947,0.8994472142269736,0.9220073861471074
