dataset,kir,native_method,metric,n_seeds,mean_delta,mean_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,effect_size
banking77,0.5,msp,false_accept_rate,3,-0.261965811965812,0.261965811965812,0.013512317738258487,-0.276923076923077,-0.25064102564102564,3,0,0,19.38718560651424
banking77,0.5,msp,false_reject_rate,3,0.11951754385964909,-0.11951754385964909,0.004759327722414648,0.11644736842105259,0.125,0,0,3,-25.11227442833287
banking77,0.5,msp,auroc,3,0.0029180724246514744,0.0029180724246514744,0.0008424480890614479,0.002044534412955379,0.0037255398110662696,3,0,0,3.4638008709859287
banking77,0.5,msp,aupr_oos,3,-0.006991880926667878,-0.006991880926667878,0.007054891003721865,-0.01368247783313492,0.00037814383412693164,1,0,2,-0.9910685966628335
banking77,0.5,msp,accuracy,3,0.075,0.075,0.008790250890052531,0.0688311688311688,0.08506493506493507,3,0,0,8.532179677018501
banking77,0.5,energy,oos_f1,3,0.15253570798589397,0.15253570798589397,0.008878568585535688,0.14507453534365355,0.16235539581955882,3,0,0,17.180213963137476
banking77,0.5,energy,f1_all,3,0.04239487604767889,0.04239487604767889,0.007488173079973417,0.037715215181232886,0.05103139741399754,3,0,0,5.661578010404294
banking77,0.5,energy,known_recall,3,-0.10942982456140349,-0.10942982456140349,0.001004950810297391,-0.1105263157894737,-0.10855263157894723,0,0,3,-108.89072722775394
banking77,0.5,energy,false_accept_rate,3,-0.2955128205128205,0.2955128205128205,0.015115161695579037,-0.3121794871794873,-0.2826923076923077,3,0,0,19.550754829123242
banking77,0.5,energy,false_reject_rate,3,0.10942982456140353,-0.10942982456140353,0.0010049508102973365,0.10855263157894739,0.11052631578947371,0,0,3,-108.89072722775988
banking77,0.5,energy,auroc,3,0.01921066689158805,0.01921066689158805,0.003979366256827489,0.015489625506073024,0.023405870445344146,3,0,0,4.827569429837697
banking77,0.5,energy,aupr_oos,3,0.010355884617467614,0.010355884617467614,0.012726386282788715,-0.001512138083199721,0.0237947900843819,2,0,1,0.8137333243980666
banking77,0.5,energy,accuracy,3,0.09989177489177488,0.09989177489177488,0.008164363295472904,0.09350649350649343,0.10909090909090913,3,0,0,12.23509675851445
banking77,0.5,knn,oos_f1,3,0.17422582163687936,0.17422582163687936,0.012696117750635236,0.16021052975894778,0.18495772604167215,3,0,0,13.722763529675216
