dataset,kir,seed,comparison,native_method,metric,raw_delta,better_delta
clinc150,0.5,42,trainable_gate_minus_native,lof,accuracy,0.07947368421052625,0.07947368421052625
clinc150,0.5,87,trainable_gate_minus_native,lof,accuracy,0.09561403508771937,0.09561403508771937
banking77,0.5,13,trainable_gate_minus_native,msp,oos_f1,0.11731667348157637,0.11731667348157637
banking77,0.5,42,trainable_gate_minus_native,msp,oos_f1,0.11703691600079169,0.11703691600079169
banking77,0.5,87,trainable_gate_minus_native,msp,oos_f1,0.13196170818935538,0.13196170818935538
banking77,0.5,13,trainable_gate_minus_native,msp,f1_all,0.017651410831002523,0.017651410831002523
banking77,0.5,42,trainable_gate_minus_native,msp,f1_all,0.01733621108379635,0.01733621108379635
banking77,0.5,87,trainable_gate_minus_native,msp,f1_all,0.026831113056863587,0.026831113056863587
banking77,0.5,13,trainable_gate_minus_native,msp,known_recall,-0.125,-0.125
banking77,0.5,42,trainable_gate_minus_native,msp,known_recall,-0.11644736842105274,-0.11644736842105274
banking77,0.5,87,trainable_gate_minus_native,msp,known_recall,-0.11710526315789471,-0.11710526315789471
banking77,0.5,13,trainable_gate_minus_native,msp,false_accept_rate,-0.2583333333333333,0.2583333333333333
banking77,0.5,42,trainable_gate_minus_native,msp,false_accept_rate,-0.25064102564102564,0.25064102564102564
banking77,0.5,87,trainable_gate_minus_native,msp,false_accept_rate,-0.276923076923077,0.276923076923077
banking77,0.5,13,trainable_gate_minus_native,msp,false_reject_rate,0.125,-0.125
banking77,0.5,42,trainable_gate_minus_native,msp,false_reject_rate,0.11644736842105259,-0.11644736842105259
banking77,0.5,87,trainable_gate_minus_native,msp,false_reject_rate,0.11710526315789471,-0.11710526315789471
banking77,0.5,13,trainable_gate_minus_native,msp,auroc,0.002044534412955379,0.002044534412955379
banking77,0.5,42,trainable_gate_minus_native,msp,auroc,0.0037255398110662696,0.0037255398110662696
banking77,0.5,87,trainable_gate_minus_native,msp,auroc,0.002984143049932775,0.002984143049932775
banking77,0.5,13,trainable_gate_minus_native,msp,aupr_oos,0.00037814383412693164,0.00037814383412693164
banking77,0.5,42,trainable_gate_minus_native,msp,aupr_oos,-0.01368247783313492,-0.01368247783313492
banking77,0.5,87,trainable_gate_minus_native,msp,aupr_oos,-0.007671308780995645,-0.007671308780995645
banking77,0.5,13,trainable_gate_minus_native,msp,accuracy,0.07110389610389611,0.07110389610389611
banking77,0.5,42,trainable_gate_minus_native,msp,accuracy,0.0688311688311688,0.0688311688311688
banking77,0.5,87,trainable_gate_minus_native,msp,accuracy,0.08506493506493507,0.08506493506493507
banking77,0.5,13,trainable_gate_minus_native,energy,oos_f1,0.1501771927944695,0.1501771927944695
banking77,0.5,42,trainable_gate_minus_native,energy,oos_f1,0.14507453534365355,0.14507453534365355
banking77,0.5,87,trainable_gate_minus_native,energy,oos_f1,0.16235539581955882,0.16235539581955882
banking77,0.5,13,trainable_gate_minus_native,energy,f1_all,0.03843801554780624,0.03843801554780624
banking77,0.5,42,trainable_gate_minus_native,energy,f1_all,0.037715215181232886,0.037715215181232886
banking77,0.5,87,trainable_gate_minus_native,energy,f1_all,0.05103139741399754,0.05103139741399754
banking77,0.5,13,trainable_gate_minus_native,energy,known_recall,-0.10855263157894723,-0.10855263157894723
banking77,0.5,42,trainable_gate_minus_native,energy,known_recall,-0.10921052631578954,-0.10921052631578954
banking77,0.5,87,trainable_gate_minus_native,energy,known_recall,-0.1105263157894737,-0.1105263157894737
banking77,0.5,13,trainable_gate_minus_native,energy,false_accept_rate,-0.29166666666666663,0.29166666666666663
banking77,0.5,42,trainable_gate_minus_native,energy,false_accept_rate,-0.2826923076923077,0.2826923076923077
banking77,0.5,87,trainable_gate_minus_native,energy,false_accept_rate,-0.3121794871794873,0.3121794871794873
banking77,0.5,13,trainable_gate_minus_native,energy,false_reject_rate,0.10855263157894739,-0.10855263157894739
banking77,0.5,42,trainable_gate_minus_native,energy,false_reject_rate,0.1092105263157895,-0.1092105263157895
banking77,0.5,87,trainable_gate_minus_native,energy,false_reject_rate,0.11052631578947371,-0.11052631578947371
banking77,0.5,13,trainable_gate_minus_native,energy,auroc,0.023405870445344146,0.023405870445344146
banking77,0.5,42,trainable_gate_minus_native,energy,auroc,0.01873650472334698,0.01873650472334698
banking77,0.5,87,trainable_gate_minus_native,energy,auroc,0.015489625506073024,0.015489625506073024
banking77,0.5,13,trainable_gate_minus_native,energy,aupr_oos,0.0237947900843819,0.0237947900843819
banking77,0.5,42,trainable_gate_minus_native,energy,aupr_oos,-0.001512138083199721,-0.001512138083199721
banking77,0.5,87,trainable_gate_minus_native,energy,aupr_oos,0.008785001851220664,0.008785001851220664
banking77,0.5,13,trainable_gate_minus_native,energy,accuracy,0.0970779220779221,0.0970779220779221
banking77,0.5,42,trainable_gate_minus_native,energy,accuracy,0.09350649350649343,0.09350649350649343
banking77,0.5,87,trainable_gate_minus_native,energy,accuracy,0.10909090909090913,0.10909090909090913
banking77,0.5,13,trainable_gate_minus_native,knn,oos_f1,0.18495772604167215,0.18495772604167215
banking77,0.5,42,trainable_gate_minus_native,knn,oos_f1,0.16021052975894778,0.16021052975894778
banking77,0.5,87,trainable_gate_minus_native,knn,oos_f1,0.1775092091100181,0.1775092091100181
banking77,0.5,13,trainable_gate_minus_native,knn,f1_all,0.0574382604353737,0.0574382604353737
banking77,0.5,42,trainable_gate_minus_native,knn,f1_all,0.03563850341844588,0.03563850341844588
banking77,0.5,87,trainable_gate_minus_native,knn,f1_all,0.04960208125741106,0.04960208125741106
banking77,0.5,13,trainable_gate_minus_native,knn,known_recall,-0.12631578947368405,-0.12631578947368405
banking77,0.5,42,trainable_gate_minus_native,knn,known_recall,-0.13421052631578967,-0.13421052631578967
banking77,0.5,87,trainable_gate_minus_native,knn,known_recall,-0.12565789473684208,-0.12565789473684208
banking77,0.5,13,trainable_gate_minus_native,knn,false_accept_rate,-0.34294871794871795,0.34294871794871795
banking77,0.5,42,trainable_gate_minus_native,knn,false_accept_rate,-0.3141025641025641,0.3141025641025641
banking77,0.5,87,trainable_gate_minus_native,knn,false_accept_rate,-0.3384615384615385,0.3384615384615385
banking77,0.5,13,trainable_gate_minus_native,knn,false_reject_rate,0.1263157894736842,-0.1263157894736842
banking77,0.5,42,trainable_gate_minus_native,knn,false_reject_rate,0.1342105263157895,-0.1342105263157895
banking77,0.5,87,trainable_gate_minus_native,knn,false_reject_rate,0.1256578947368421,-0.1256578947368421
banking77,0.5,13,trainable_gate_minus_native,knn,auroc,0.003100961538461622,0.003100961538461622
banking77,0.5,42,trainable_gate_minus_native,knn,auroc,-0.010998228744939276,-0.010998228744939276
banking77,0.5,87,trainable_gate_minus_native,knn,auroc,0.0061209514170039725,0.0061209514170039725
banking77,0.5,13,trainable_gate_minus_native,knn,aupr_oos,0.0014067210894105342,0.0014067210894105342
banking77,0.5,42,trainable_gate_minus_native,knn,aupr_oos,-0.0150107346864089,-0.0150107346864089
