dataset,method,reference_method,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
banking77_oos,entropy,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.05252680311890838,0.09547975638777582,-0.006207224658869382,0.11705856481481479,0.2222222222222222,0.0
banking77_oos,euclidean_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03975995393058832,0.009689189194861801,-0.04598997881840374,-0.03428040913911085,0.0,0.0
banking77_oos,euclidean_centroid,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.013934697855750485,0.008879780098438709,0.009021028265107187,0.019838669590643267,1.0,0.0
banking77_oos,euclidean_centroid,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.024740740740740737,0.031781506214399395,0.003169956140350879,0.04270404483430796,0.1111111111111111,0.0
banking77_oos,knn,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.006946896804019276,0.018303397415112443,-0.0050649852032588144,0.01779582675902108,0.7777777777777778,0.0
banking77_oos,knn,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.00014230019493177704,0.005217715055064658,-0.0035638401559454267,0.0027670808966861584,0.5555555555555556,0.0
banking77_oos,knn,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.031248050682261195,0.041124237080551476,-0.05682590155945418,-0.007614071637426916,0.7777777777777778,0.0
banking77_oos,lof,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.02987278013236748,0.0167151990931325,-0.040853861546772265,-0.019802647236907986,0.0,0.0
banking77_oos,lof,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0035950292397660924,0.00977499981304496,-0.0026959307992202547,0.009602777777777776,0.5555555555555556,0.1111111111111111
banking77_oos,lof,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.06296734892787526,0.04126713068415816,0.03815956384015596,0.09080822368421052,0.0,0.0
banking77_oos,msp,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.02989621953254567,0.039215228970871235,-0.05218843983438068,-0.004633345585669259,0.2222222222222222,0.0
