dataset,kir,method,seed_count,data_seeds,distance,k_gate_values,validation_oos_f1_mean,validation_oos_f1_std,validation_id_recall_mean,validation_id_recall_std,validation_fpr95_mean,validation_fpr95_std,test_oos_precision_mean,test_oos_precision_std,test_oos_recall_mean,test_oos_recall_std,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_oos_rejection_mean,test_oos_rejection_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std,run_elapsed_seconds_mean,run_elapsed_seconds_std,test_scoring_seconds_mean,test_scoring_seconds_std,test_samples_per_second_mean,test_samples_per_second_std,process_peak_rss_mb_mean,process_peak_rss_mb_std
banking77_oos,50,multisphere_selected_k,3,13|42|87,mahalanobis_diag,1|4|5,0.7920361429921569,0.01590059770920976,0.8860011494454368,0.014727072565311635,0.43041402843680504,0.060346625463329445,0.9535540812733755,0.006509000560311887,0.760064935064935,0.016047634228905712,0.8457774567741824,0.007524170096031503,0.8856666666666667,0.01890326250501045,0.760064935064935,0.016047634228905712,0.9069939393939395,0.0016416457834900079,0.966462586726963,0.0010082027971018862,0.42766666666666664,0.05089531740085067,2.600967443329864,1.3841285523861329,,,,,,
banking77_oos,75,diag_mahalanobis_centroid,3,13|42|87,mahalanobis_diag,1,0.7531205090805311,0.022755410232634245,0.8923688788749032,0.005048183458369728,0.45232240796944784,0.022790055272212405,0.9268498146224079,0.009160959167594813,0.7609374999999999,0.03361872254948683,0.8355006510944841,0.0216376764371247,0.8989035087719298,0.012523062750236182,0.7609374999999999,0.03361872254948683,0.9153300609923245,0.010713890113562614,0.9503767942246064,0.0065226754976175074,0.39999999999999997,0.040916610014384756,1.518210561334854,0.05335017831106001,,,,,,
banking77_oos,75,energy,3,13|42|87,,,0.7011605687362715,0.06316029205628695,0.8969807370690691,0.009791470005766037,0.5396958006688466,0.1268030439221609,0.9241980472186523,0.0037599448354658687,0.6977864583333333,0.05323737731236356,0.794462900242936,0.03571930716813683,0.9037280701754385,0.006589903158472267,0.6977864583333333,0.05323737731236356,0.8927917694627192,0.01978234549255553,0.9356848041342061,0.00980319379421689,0.5142543859649122,0.10151495575490631,,,0.010206846335980421,0.003071248499919905,430356.93926944863,153228.82750160346,1241.4622395833333,4.197065824069897
banking77_oos,75,entropy,3,13|42|87,,,0.7267328416133286,0.04277108000571574,0.8972673521450222,0.010203556495545246,0.5226135841449749,0.1807142905574126,0.9231279765931196,0.00646413277853672,0.7092447916666668,0.0438776968247632,0.8016445123888305,0.02823252848642598,0.9004385964912281,0.011589658124319122,0.7092447916666668,0.0438776968247632,0.8977304344846492,0.01859884156335898,0.9365705294084549,0.008598980220522764,0.4710526315789474,0.13417827269817542,,,0.008521720670008412,0.001283838619960098,486834.74898000015,80239.65952054963,1241.4622395833333,4.197065824069897
banking77_oos,75,euclidean_centroid,3,13|42|87,euclidean,1,0.7021711885327897,0.028947402943997707,0.9065269980287329,0.009733723486017634,0.48125338002650575,0.017338185800407628,0.9289376327829224,0.010234152389653665,0.7033854166666668,0.03258930163995857,0.8003324083054046,0.022550087931227654,0.9094298245614034,0.012864043312335498,0.7033854166666668,0.03258930163995857,0.9054832271107456,0.012053614509169709,0.9429472043512862,0.00844303522588089,0.4375,0.028969787968821038,0.9127470816650506,0.057003658951267216,,,,,,
banking77_oos,75,knn,3,13|42|87,,,0.7523781585802146,0.01983006527284139,0.8972716038520825,0.009845499983831388,0.4339593047828216,0.02040464930365106,0.921745977758884,0.01173400578500658,0.745703125,0.013264005348710644,0.8244241076518432,0.012605951633329752,0.893421052631579,0.015512929108620547,0.745703125,0.013264005348710644,0.9152750651041667,0.011056638610147483,0.9499571051043066,0.006907517906565068,0.39122807017543865,0.02553388836853859,,,0.07802794232460049,0.008556153792536133,52708.86137191731,5755.368810611598,1243.375,3.832290065163999
banking77_oos,75,lof,3,13|42|87,,,0.703039677525628,0.02419560792177785,0.8972710971155267,0.009339291539417916,0.5473043358964373,0.025783678198160742,0.9209116594236347,0.02035716741652805,0.687109375,0.019948664585630795,0.7869132379031867,0.01748484262648051,0.9004385964912281,0.026326752102559477,0.687109375,0.019948664585630795,0.8928820586622809,0.012579524650621378,0.9373136160441354,0.008032922091534694,0.47609649122807013,0.025837205202353317,,,0.22668216367795443,0.015714177021814383,18058.880066540605,1300.8003079240423,1243.8854166666667,4.197065824069897
banking77_oos,75,msp,3,13|42|87,,,0.7184343210463112,0.05081503189080327,0.8969807370690691,0.009791470005766037,0.5270056432884284,0.16941705779968588,0.9144311848034729,0.00855545762691055,0.6884114583333334,0.04908577854734458,0.7846895738796671,0.02993423143680162,0.8910087719298246,0.018774030461249574,0.6884114583333334,0.04908577854734458,0.8874504865679823,0.016888842288877118,0.9259567203520925,0.0071877674119784915,0.4853070175438597,0.12319565697876808,,,0.006454552669310942,0.0012265889185322386,646150.9781737124,110834.00485994398,1241.4622395833333,4.197065824069897
banking77_oos,75,multisphere_k2,3,13|42|87,mahalanobis_diag,2,0.7046294320786547,0.01033034835672026,0.8914872683751863,0.0069193016727343085,0.4767468877430246,0.023420985531438534,0.9267592686930396,0.00876583215975527,0.7041666666666666,0.005098117695430166,0.8002365250134599,4.9810569527248285e-05,0.9061403508771929,0.012694697928426611,0.7041666666666666,0.005098117695430166,0.9075471148574561,0.005317741844652421,0.9446626640996832,0.003465221787144864,0.40614035087719297,0.03173163016177887,2.6731213576616333,0.02137893850759104,,,,,,
banking77_oos,75,multisphere_selected_k,3,13|42|87,mahalanobis_diag,1,0.7531205090805311,0.022755410232634245,0.8923688788749032,0.005048183458369728,0.45232240796944784,0.022790055272212405,0.9268498146224079,0.009160959167594813,0.7609374999999999,0.03361872254948683,0.8355006510944841,0.0216376764371247,0.8989035087719298,0.012523062750236182,0.7609374999999999,0.03361872254948683,0.9153300609923245,0.010713890113562614,0.9503767942246064,0.0065226754976175074,0.39999999999999997,0.040916610014384756,1.518210561334854,0.05335017831106001,,,,,,
