phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
fixed,banking77_oos,mahalanobis_diag,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.07923684210526316,0.014672859190427049,-0.08557419590643275,-0.06902481725146196,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.08558625730994152,0.04792807343452877,0.05738467348927873,0.1161592348927875,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.02911372793826937,0.01622761794611075,0.018864904550996573,0.03891345803890349,1.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.11574269005847951,0.011892875046745476,-0.12215155945419102,-0.10790059697855747,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.09788352826510721,0.05089739608093591,0.0644190545808967,0.12897125974658868,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.03319012856836329,0.018352745203901465,0.021075595354658024,0.044656019187279954,1.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.14097563352826514,0.01612096800964202,-0.1491301169590643,-0.12955405701754386,0.0,0.0
fixed,banking77_oos,mahalanobis_diag,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.09067690058479531,0.06044117732821359,0.051528728070175445,0.12490144980506819,0.1111111111111111,0.0
fixed,stackoverflow,euclidean,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.13348493159645092,0.09226342774459591,-0.20080027944808718,-0.08604738439358244,0.0,0.0
fixed,stackoverflow,euclidean,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0009433600357851013,0.009798107411299193,-0.006214535381659662,0.005785485100349587,0.2222222222222222,0.1111111111111111
