dataset,kir,data_seed,distance,method,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,threshold,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
clinc150,50,42,mahalanobis_diag,knn,medium,0.4340781280666274,0.6877058361176551,2250,1879,0.8779219320020962,0.8137208194378276,0.9089941458222459,0.8587229763700351,0.8262222222222222,0.9089941458222459,0.9296436638874105,0.8609542144625044,0.224
clinc150,50,42,mahalanobis_diag,knn,far,0.4340781280666274,0.6877058361176551,2250,861,0.8779219320020962,0.6869495596477182,0.9965156794425087,0.8132701421800947,0.8262222222222222,0.9965156794425087,0.9869531552458383,0.952978548656668,0.03866666666666667
clinc150,50,42,mahalanobis_diag,lof,near,0.4340781280666274,0.6877058361176551,2250,510,1.1467228538996765,0.4631979695431472,0.7156862745098039,0.5624036979969184,0.812,0.7156862745098039,0.8339773420479304,0.5611950076350113,0.6666666666666666
clinc150,50,42,mahalanobis_diag,lof,medium,0.4340781280666274,0.6877058361176551,2250,1879,1.1467228538996765,0.7847328244274809,0.8206492815327302,0.8022892819979188,0.812,0.8206492815327302,0.8963328011353556,0.8599828858524524,0.3591111111111111
clinc150,50,42,mahalanobis_diag,lof,far,0.4340781280666274,0.6877058361176551,2250,861,1.1467228538996765,0.6583198707592892,0.9465737514518002,0.7765602667937113,0.812,0.9465737514518002,0.9476644728352047,0.84719882871705,0.1968888888888889
banking77_oos,50,42,mahalanobis_diag,k1,near,0.31565642435359287,0.594621920726825,1000,447,1.0,0.24539877300613497,0.0894854586129754,0.13114754098360656,0.877,0.0894854586129754,0.6538053691275167,0.3697979239573489,0.752
banking77_oos,50,42,mahalanobis_diag,k1,medium,0.31565642435359287,0.594621920726825,1000,1479,1.0,0.9090909090909091,0.8316430020283976,0.8686440677966102,0.877,0.8316430020283976,0.9255693035835024,0.9066152980067246,0.189
banking77_oos,50,42,mahalanobis_diag,k1,far,0.31565642435359287,0.594621920726825,1000,1154,1.0,0.9036805011746281,1.0,0.9494035376388318,0.877,1.0,0.9978370883882148,0.9980065428136995,0.017
banking77_oos,50,42,mahalanobis_diag,k2,near,0.31565642435359287,0.594621920726825,1000,447,1.0,0.44329896907216493,0.28859060402684567,0.34959349593495936,0.838,0.28859060402684567,0.7152102908277403,0.4363262390561876,0.694
banking77_oos,50,42,mahalanobis_diag,k2,medium,0.31565642435359287,0.594621920726825,1000,1479,1.0,0.8719367588932806,0.7457741717376606,0.8039358600583091,0.838,0.7457741717376606,0.8859878296146044,0.8851324754213292,0.32
banking77_oos,50,42,mahalanobis_diag,k2,far,0.31565642435359287,0.594621920726825,1000,1154,1.0,0.8761467889908257,0.9930675909878682,0.9309504467912266,0.838,0.9930675909878682,0.994550259965338,0.995478665334853,0.028
banking77_oos,50,42,mahalanobis_diag,selected_k,near,0.31565642435359287,0.594621920726825,1000,447,1.0,0.5057471264367817,0.2953020134228188,0.3728813559322034,0.871,0.2953020134228188,0.7353870246085012,0.4706404877229254,0.671
banking77_oos,50,42,mahalanobis_diag,selected_k,medium,0.31565642435359287,0.594621920726825,1000,1479,1.0,0.8951219512195122,0.744421906693712,0.8128460686600222,0.871,0.744421906693712,0.8929959432048682,0.9014271004534132,0.401
banking77_oos,50,42,mahalanobis_diag,selected_k,far,0.31565642435359287,0.594621920726825,1000,1154,1.0,0.8982649842271293,0.987001733102253,0.9405450041288191,0.871,0.987001733102253,0.9898353552859619,0.9903059432681371,0.033
