phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,clinc150,75,42,euclidean,2,heldout_unknown,near,0.4211644694206115,0.6770067590195623,3360,280,0.2587064676616915,0.5571428571428572,0.3533408833522083,0.8669642857142857,0.5571428571428572,0.8107036564625851,0.3617718082671745,0.6110119047619048
tuned,clinc150,75,42,euclidean,2,heldout_unknown,medium,0.4211644694206115,0.6770067590195623,3360,707,0.5578635014836796,0.7977369165487977,0.6565774155995343,0.8669642857142857,0.7977369165487977,0.9229356098875192,0.6674675750053819,0.2297619047619047
tuned,clinc150,75,42,euclidean,2,heldout_unknown,far,0.4211644694206115,0.6770067590195623,3360,153,0.2410865874363327,0.9281045751633988,0.3827493261455525,0.8669642857142857,0.9281045751633988,0.9593798630563336,0.5019319097821178,0.1952380952380952
tuned,clinc150,75,42,euclidean,2,native_oos,near,0.4211644694206115,0.6770067590195623,3360,28,0.0175824175824175,0.2857142857142857,0.0331262939958592,0.8669642857142857,0.2857142857142857,0.696577380952381,0.0763380832970816,0.7125
tuned,clinc150,75,42,euclidean,2,native_oos,medium,0.4211644694206115,0.6770067590195623,3360,436,0.472877358490566,0.9197247706422018,0.6246105919003115,0.8669642857142857,0.9197247706422018,0.9485214613368284,0.6667660596111162,0.1776785714285714
tuned,clinc150,75,42,euclidean,2,native_oos,far,0.4211644694206115,0.6770067590195623,3360,536,0.5401234567901234,0.9794776119402984,0.6962864721485411,0.8669642857142857,0.9794776119402984,0.9684829202203268,0.734550480631974,0.0842261904761904
tuned,clinc150,75,42,mahalanobis_diag,1,combined,near,0.4211644694206115,0.6770067590195623,3360,308,0.2017167381974249,0.4577922077922078,0.2800397219463754,0.8339285714285715,0.4577922077922078,0.760286216759431,0.2373300007620103,0.6214285714285714
tuned,clinc150,75,42,mahalanobis_diag,1,combined,medium,0.4211644694206115,0.6770067590195623,3360,1143,0.650375939849624,0.9081364829396326,0.7579408543263965,0.8339285714285715,0.9081364829396326,0.9195803649543808,0.6997886131206387,0.2041666666666666
tuned,clinc150,75,42,mahalanobis_diag,1,combined,far,0.4211644694206115,0.6770067590195623,3360,689,0.5525260625501203,1.0,0.7117768595041323,0.8339285714285715,1.0,0.9630563618771166,0.7609650582255243,0.0880952380952381
tuned,clinc150,75,42,mahalanobis_diag,1,heldout_unknown,near,0.4211644694206115,0.6770067590195623,3360,280,0.1913043478260869,0.4714285714285714,0.2721649484536082,0.8339285714285715,0.4714285714285714,0.7669919217687076,0.2288341791659651,0.6214285714285714
tuned,clinc150,75,42,mahalanobis_diag,1,heldout_unknown,medium,0.4211644694206115,0.6770067590195623,3360,707,0.5310924369747899,0.8939179632248939,0.6663152345809172,0.8339285714285715,0.8939179632248939,0.9138799083990032,0.5586665530761632,0.2086309523809524
tuned,clinc150,75,42,mahalanobis_diag,1,heldout_unknown,far,0.4211644694206115,0.6770067590195623,3360,153,0.2151898734177215,1.0,0.3541666666666667,0.8339285714285715,1.0,0.9574151882975412,0.3598405817544335,0.0931547619047619
tuned,clinc150,75,42,mahalanobis_diag,1,native_oos,near,0.4211644694206115,0.6770067590195623,3360,28,0.0158730158730158,0.3214285714285714,0.0302521008403361,0.8339285714285715,0.3214285714285714,0.6932291666666666,0.022483065905544,0.6116071428571429
tuned,clinc150,75,42,mahalanobis_diag,1,native_oos,medium,0.4211644694206115,0.6770067590195623,3360,436,0.4211618257261411,0.9311926605504588,0.58,0.8339285714285715,0.9311926605504588,0.928823995194408,0.5296515561376375,0.1889880952380952
tuned,clinc150,75,42,mahalanobis_diag,1,native_oos,far,0.4211644694206115,0.6770067590195623,3360,536,0.489945155393053,1.0,0.6576687116564417,0.8339285714285715,1.0,0.9646666222459134,0.7275831130982385,0.0872023809523809
tuned,banking77_oos,25,42,euclidean,5,combined,near,0.3592955193213403,0.6607622919844419,480,527,0.8035190615835777,0.5199240986717267,0.631336405529954,0.8604166666666667,0.5199240986717267,0.8107012966476914,0.7923229217979426,0.5729166666666666
tuned,banking77_oos,25,42,euclidean,5,combined,medium,0.3592955193213403,0.6607622919844419,480,1836,0.9571062740076824,0.8142701525054467,0.8799293702177752,0.8604166666666667,0.8142701525054467,0.9175574164851124,0.9725419684893644,0.34375
tuned,banking77_oos,25,42,euclidean,5,combined,far,0.3592955193213403,0.6607622919844419,480,1237,0.948062015503876,0.988682295877122,0.96794618124258,0.8604166666666667,0.988682295877122,0.9902469011048236,0.99617654599421,0.0291666666666666
tuned,banking77_oos,25,42,euclidean,5,heldout_unknown,near,0.3592955193213403,0.6607622919844419,480,409,0.7607142857142857,0.5207823960880196,0.6182873730043541,0.8604166666666667,0.5207823960880196,0.8111399755501223,0.7454941271689425,0.5604166666666667
tuned,banking77_oos,25,42,euclidean,5,heldout_unknown,medium,0.3592955193213403,0.6607622919844419,480,975,0.9229885057471264,0.8235897435897436,0.870460704607046,0.8604166666666667,0.8235897435897436,0.9178760683760684,0.9477961463933796,0.325
tuned,banking77_oos,25,42,euclidean,5,heldout_unknown,far,0.3592955193213403,0.6607622919844419,480,136,0.665,0.9779411764705882,0.7916666666666666,0.8604166666666667,0.9779411764705882,0.9770833333333332,0.9203584330986164,0.0729166666666666
tuned,banking77_oos,25,42,euclidean,5,provided_oos,near,0.3592955193213403,0.6607622919844419,480,118,0.4765625,0.5169491525423728,0.4959349593495935,0.8604166666666667,0.5169491525423728,0.809180790960452,0.5070486874536569,0.6520833333333333
tuned,banking77_oos,25,42,euclidean,5,provided_oos,medium,0.3592955193213403,0.6607622919844419,480,861,0.911725955204216,0.8037166085946573,0.854320987654321,0.8604166666666667,0.8037166085946573,0.9171965737514518,0.947598880552192,0.3583333333333333
tuned,banking77_oos,25,42,euclidean,5,provided_oos,far,0.3592955193213403,0.6607622919844419,480,1101,0.9420916162489196,0.9900090826521344,0.9654561558901684,0.8604166666666667,0.9900090826521344,0.9918729185588858,0.9965317432528056,0.025
tuned,banking77_oos,25,42,mahalanobis_diag,5,combined,near,0.3592955193213403,0.6607622919844419,480,527,0.8048780487804879,0.5635673624288425,0.6629464285714286,0.85,0.5635673624288425,0.8175205566097408,0.763254357841509,0.5729166666666666
tuned,banking77_oos,25,42,mahalanobis_diag,5,combined,medium,0.3592955193213403,0.6607622919844419,480,1836,0.957320687611144,0.8796296296296297,0.9168322452455294,0.85,0.8796296296296297,0.9321055737109658,0.9759053947580212,0.2229166666666666
tuned,banking77_oos,25,42,mahalanobis_diag,5,combined,far,0.3592955193213403,0.6607622919844419,480,1237,0.9446579554189084,0.9935327405012128,0.9684791174152876,0.85,0.9935327405012128,0.992912961465912,0.9970656384867176,0.0208333333333333
