phase,dataset,kir,distance,k_gate,seed_count,intent_rows,fragmented_intent_rate,effective_k_mean,effective_k_std,wcss_per_sample_mean,wcss_per_sample_std,minimum_cluster_ratio_mean,minimum_cluster_ratio_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
fixed,clinc150,50,euclidean,2,3,225,0.0,2.0,0.0,0.41550398347701334,0.11638505365712772,0.3519555555555555,0.09869549932647176,0.14323973554982652,0.06633643668757791,2.400670731626571,0.5901671232520309,16.471665121277322,9.033517917779436
fixed,clinc150,50,euclidean,3,3,225,0.07111111111111111,3.0,0.0,0.3785874151382995,0.11338031002018939,0.19684444444444443,0.06485765855329556,0.13992983611963372,0.06144963580889313,2.347070529760033,0.4740524289361336,14.184637433085847,6.992278993040758
fixed,clinc150,50,euclidean,4,3,225,0.31555555555555553,4.0,0.0,0.3530825868059369,0.11073949728347542,0.12266666666666667,0.050017853955219974,0.14253056670460915,0.054784691193346176,2.2527118500230614,0.4240829416024741,12.67935811128777,6.407090950773818
fixed,clinc150,50,euclidean,5,3,225,0.6,5.0,0.0,0.33377912549040356,0.10756261555053469,0.08413333333333334,0.03577309443861805,0.14430807586192168,0.05126294155616144,2.1773026354182345,0.38131187343851863,11.464361794099544,5.3511342682200365
fixed,clinc150,50,mahalanobis_diag,1,3,225,0.0,1.0,0.0,0.47961677101214,0.11623443771473303,1.0,0.0,,,,,,
fixed,clinc150,50,mahalanobis_diag,2,3,225,0.0,2.0,0.0,0.41550398347701334,0.11638505365712772,0.3519555555555555,0.09869549932647176,0.14323973554982652,0.06633643668757791,2.400670731626571,0.5901671232520309,16.471665121277322,9.033517917779436
fixed,clinc150,50,mahalanobis_diag,3,3,225,0.07111111111111111,3.0,0.0,0.3785874151382995,0.11338031002018939,0.19684444444444443,0.06485765855329556,0.13992983611963372,0.06144963580889313,2.347070529760033,0.4740524289361336,14.184637433085847,6.992278993040758
fixed,clinc150,50,mahalanobis_diag,4,3,225,0.31555555555555553,4.0,0.0,0.3530825868059369,0.11073949728347542,0.12266666666666667,0.050017853955219974,0.14253056670460915,0.054784691193346176,2.2527118500230614,0.4240829416024741,12.67935811128777,6.407090950773818
fixed,clinc150,50,mahalanobis_diag,5,3,225,0.6,5.0,0.0,0.33377912549040356,0.10756261555053469,0.08413333333333334,0.03577309443861805,0.14430807586192168,0.05126294155616144,2.1773026354182345,0.38131187343851863,11.464361794099544,5.3511342682200365
fixed,clinc150,75,euclidean,1,3,336,0.0,1.0,0.0,0.4829229159813087,0.12332519844865271,1.0,0.0,,,,,,
fixed,clinc150,75,euclidean,2,3,336,0.0,2.0,0.0,0.4177584055927668,0.12333981651363927,0.3486011904761905,0.09883262739290354,0.1453221644734895,0.07394880207320736,2.40237903532853,0.6376905812735515,16.979326942017366,10.70674700359635
fixed,clinc150,75,euclidean,3,3,336,0.08333333333333333,3.0,0.0,0.3817657840079558,0.11964576747196008,0.19735119047619049,0.06765457832791355,0.13884280165738017,0.06466229436026996,2.37492216062714,0.5018620670067586,14.30068186371793,7.78415641138014
fixed,clinc150,75,euclidean,4,3,336,0.2857142857142857,4.0,0.0,0.35677930272295033,0.11697190461844449,0.12892857142857142,0.051508998944664514,0.13943442881102608,0.05491982396746617,2.3074478159069662,0.44328232939700407,12.685658732829479,6.732745094067628
fixed,clinc150,75,euclidean,5,3,336,0.6488095238095238,5.0,0.0,0.33772192091980413,0.1134686770468736,0.08288690476190477,0.036154713256910366,0.14183065802562236,0.05170420107819148,2.2123997649721354,0.38803129081345533,11.429589257791577,5.605991089137354
fixed,clinc150,75,mahalanobis_diag,1,3,336,0.0,1.0,0.0,0.4829229159813087,0.12332519844865271,1.0,0.0,,,,,,
fixed,clinc150,75,mahalanobis_diag,2,3,336,0.0,2.0,0.0,0.4177584055927668,0.12333981651363927,0.3486011904761905,0.09883262739290354,0.1453221644734895,0.07394880207320736,2.40237903532853,0.6376905812735515,16.979326942017366,10.70674700359635
fixed,clinc150,75,mahalanobis_diag,3,3,336,0.08333333333333333,3.0,0.0,0.3817657840079558,0.11964576747196008,0.19735119047619049,0.06765457832791355,0.13884280165738017,0.06466229436026996,2.37492216062714,0.5018620670067586,14.30068186371793,7.78415641138014
fixed,clinc150,75,mahalanobis_diag,4,3,336,0.2857142857142857,4.0,0.0,0.35677930272295033,0.11697190461844449,0.12892857142857142,0.051508998944664514,0.13943442881102608,0.05491982396746617,2.3074478159069662,0.44328232939700407,12.685658732829479,6.732745094067628
fixed,clinc150,75,mahalanobis_diag,5,3,336,0.6488095238095238,5.0,0.0,0.33772192091980413,0.1134686770468736,0.08288690476190477,0.036154713256910366,0.14183065802562236,0.05170420107819148,2.2123997649721354,0.38803129081345533,11.429589257791577,5.605991089137354
fixed,stackoverflow,25,euclidean,1,3,15,0.0,1.0,0.0,0.8001370748582404,0.07669390489270873,1.0,0.0,,,,,,
fixed,stackoverflow,25,euclidean,2,3,15,0.0,2.0,0.0,0.7649701909111764,0.0781906205181794,0.3831108871530589,0.07771078664756528,0.04988024554574064,0.02522818879623604,4.602920723728275,0.8190694262234679,27.893945408923322,9.58023117255228
fixed,stackoverflow,25,euclidean,3,3,15,0.0,3.0,0.0,0.7446326399983267,0.077624062651636,0.22835693143967806,0.06114209663131098,0.032767103126052466,0.013027272943785499,4.5804736361991125,0.397220317372523,22.53002663233115,5.309694068335951
fixed,stackoverflow,25,euclidean,4,3,15,0.0,4.0,0.0,0.7301501554989558,0.07697744390731201,0.1783278088279177,0.03375975852924613,0.030243941253040283,0.010619041402032488,4.384967885022902,0.3076050094086207,19.26326171182313,3.7525730451922947
fixed,stackoverflow,25,euclidean,5,3,15,0.0,5.0,0.0,0.7184314534965479,0.07547088064676792,0.14064221925679427,0.02010707564003795,0.032528493457114935,0.011279350986760738,4.34284734766008,0.23236856187291213,17.07978852673521,2.8214189366087083
