phase,dataset,kir,distance,k_gate,seed_count,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std
fixed,clinc150,75,euclidean,1,3,0.7894087980592767,0.014729303207885838,0.7814484126984128,0.004911465791462904,0.9057698227265986,0.015279127543753473,0.8414215901456208,0.019272237257791612,0.3987103174603175,0.08699508787098861
fixed,clinc150,75,euclidean,2,3,0.7917798038171507,0.006413117379307632,0.7511904761904762,0.002362277956307662,0.908626362928349,0.008758512099472853,0.8385431666721491,0.013279978102630518,0.3549603174603175,0.05941160058610246
fixed,clinc150,75,euclidean,3,3,0.7835562257872972,0.008526201256705649,0.730456349206349,0.0010452037453226887,0.8976531671858775,0.007212152817178967,0.8093789781379449,0.0046909625066201025,0.36448412698412697,0.06686456419659297
fixed,clinc150,75,euclidean,4,3,0.7687704604178668,0.004604119140406369,0.685218253968254,0.0014681198994988779,0.8956972722889779,0.005787425647013033,0.8140478330171984,0.005240013831806236,0.38700396825396827,0.05333473947621963
fixed,clinc150,75,euclidean,5,3,0.7580791139108815,0.008661660957095633,0.6618055555555555,0.004233450058204721,0.8839640817386144,0.006668461600081977,0.7857001833551965,0.012541496596187212,0.38144841269841273,0.05452226075640496
fixed,clinc150,75,mahalanobis_diag,1,3,0.7895486942872648,0.011159993507186394,0.7481150793650794,0.004467591368729231,0.9000798750185433,0.012061369188409606,0.8156008083505818,0.013836078751529082,0.3754960317460318,0.08597035850554646
fixed,clinc150,75,mahalanobis_diag,2,3,0.7784911259168207,0.01047021777676063,0.7064484126984127,0.00298114666692791,0.902424575359739,0.012385394883309475,0.8225541185757205,0.018638631501686088,0.358234126984127,0.06586756228620301
fixed,clinc150,75,mahalanobis_diag,3,3,0.761533695424537,0.008801561615197802,0.6599206349206349,0.002684077233823142,0.8916681037679869,0.007694660096739991,0.8020881889502306,0.008162858217281136,0.36994047619047615,0.06600100816071897
fixed,clinc150,75,mahalanobis_diag,4,3,0.7380549693358472,0.00799545532536319,0.6037698412698412,0.002405626121623432,0.8768765298175345,0.0056357818750233015,0.7698007752566124,0.005079168960399059,0.4038690476190476,0.07806985014887355
fixed,clinc150,75,mahalanobis_diag,5,3,0.7284506224585531,0.008316359933239252,0.5665674603174603,0.004911465791462904,0.8693729138851802,0.008271612854021374,0.7451158654749501,0.010290390195442416,0.3758928571428571,0.05782317614543917
fixed,stackoverflow,25,euclidean,1,3,0.9347371427283241,0.02627449446146722,0.8418743865067638,0.005451162519818201,0.9366833321852578,0.010336746765902786,0.9685148996228361,0.004972359433438314,0.2015636523998229,0.06837363458707356
fixed,stackoverflow,25,euclidean,2,3,0.8611619254231769,0.055343515406116414,0.8447582018651829,0.01377921956665189,0.8955444338453876,0.024822044887566935,0.9370139435980597,0.01647401617043516,0.27681207841194616,0.08645861751537419
fixed,stackoverflow,25,euclidean,3,3,0.7637616323880412,0.03322319846303081,0.8481038750026135,0.012082287115815356,0.8560632792863011,0.022885616343884033,0.9124568205998371,0.010604018659656564,0.3998074065970118,0.08489203524804452
fixed,stackoverflow,25,euclidean,4,3,0.7561135850988542,0.03482780673137802,0.8358523860620292,0.007957572968800309,0.8376560269359352,0.021541528757960275,0.900507589354989,0.009996767642956246,0.42499148684432697,0.08888319950447494
fixed,stackoverflow,25,euclidean,5,3,0.7543375549370174,0.03273277511216627,0.8314012639671677,0.00286502392669428,0.8406596086960726,0.017072571596078927,0.9083425953415013,0.005492216513531833,0.4009229853668019,0.06891753701078386
fixed,stackoverflow,25,mahalanobis_diag,1,3,0.9385207147185749,0.02446563460681386,0.8307401143942981,0.01876373448719336,0.9377389443444984,0.011687491961244108,0.9697398167842729,0.004487674578538037,0.1995623199619164,0.07683385242854347
fixed,stackoverflow,25,mahalanobis_diag,2,3,0.8990379386207786,0.02925400669002951,0.8603495567157146,0.017404662982975872,0.9267772078634225,0.017778477540627422,0.9644383296996617,0.007153350032507409,0.23562718908412328,0.082426658884953
fixed,stackoverflow,25,mahalanobis_diag,3,3,0.831944372075908,0.03440824466648664,0.8908751248420428,0.0163658779093653,0.9134158636256865,0.018308428013376208,0.9609938792577856,0.006440044435879385,0.3120519226290297,0.09092288179853725
fixed,stackoverflow,25,mahalanobis_diag,4,3,0.8298595573711113,0.03752714902559806,0.888209217474819,0.02679297404954816,0.909702918627603,0.02085757802182928,0.9589243664328988,0.008344772859182352,0.3223174156330188,0.09684683224302214
fixed,stackoverflow,25,mahalanobis_diag,5,3,0.8351990739601325,0.0297482965502378,0.8783972504737073,0.015698583402006444,0.9063044275215768,0.024239984000560207,0.9564385443256991,0.010271580816003904,0.3200961007608842,0.09691719742334204
fixed,stackoverflow,50,euclidean,1,3,0.7736145825022875,0.059093627463054015,0.8663010853341473,0.005948355215848379,0.8957816518960855,0.018702018188648015,0.8380550466483238,0.03062122945492342,0.2649435028535542,0.02085910879418207
fixed,stackoverflow,50,euclidean,2,3,0.6479809652426732,0.07486351757805665,0.8616258095482366,0.005026947045789439,0.8372431936197945,0.04528825984783837,0.7599535482287264,0.0446691462094367,0.42592197294142814,0.1635456776783146
fixed,stackoverflow,50,euclidean,3,3,0.5519198883517542,0.02698521355547831,0.8541665939777437,0.0070333410390333705,0.7941860365152152,0.018185837161243706,0.7060157072226146,0.005541681483022821,0.5131936247978421,0.0717056251492837
fixed,stackoverflow,50,euclidean,4,3,0.5289504566759945,0.05542974193746031,0.8433693351286999,0.00690092359619575,0.7759381844494628,0.03971695490993174,0.6794237826726285,0.03340116521689073,0.5333467865239491,0.09868607572758098
fixed,stackoverflow,50,euclidean,5,3,0.5566818881166581,0.048834344525731294,0.840253958886018,0.00443958103957022,0.7851692277559844,0.03777127123120196,0.6972794626681754,0.03478409182397032,0.5123050705368953,0.10389100512440634
fixed,stackoverflow,50,mahalanobis_diag,1,3,0.790219571500888,0.04629012460496893,0.8322375535749171,0.0032941275542504238,0.8874807075983998,0.023772671547461266,0.8432654185602594,0.04378064929316837,0.27941381029216245,0.029207547855270844
fixed,stackoverflow,50,mahalanobis_diag,2,3,0.727983150467729,0.07015783670381656,0.8725344762740771,0.011234286831731872,0.8740416862320437,0.03892887225589021,0.8340180271394653,0.04116516296696414,0.38228529644915005,0.15765288278431944
fixed,stackoverflow,50,mahalanobis_diag,3,3,0.6621095540688388,0.052688178186234357,0.9059332771512385,0.0007241329243146473,0.8660792758282074,0.031022092597418567,0.8386257932926848,0.031222388014918438,0.43894319898289114,0.11112493978392653
