dataset,kir,seed,intent,trainable_known_count,trainable_known_false_reject,trainable_known_false_reject_rate,trainable_oos_false_accept,trainable_oos_false_accept_rate,mogb_known_count,mogb_known_false_reject,mogb_known_false_reject_rate,mogb_oos_false_accept,mogb_oos_false_accept_rate,known_count,known_recovery_count,known_recovery_rate,extra_oos_accept_count,extra_oos_accept_rate,coverage_tradeoff_net_count,ball_count,train_support_total,mean_ball_support,min_ball_support,max_ball_support,mean_radius,max_radius,max_depth,tiny_ball_ratio,dominant_ball_ratio,missing_selected_ball,ball_count_group
banking77,0.25,42,atm_support,40,6,0.15,3,0.0012931034482758,40,16,0.4,0,0.0,40,10,0.25,3,0.0012931034482758,7,2.0,73.0,36.5,15.0,58.0,0.45082624717876835,0.5633647684221199,3.0,0.5,0.7945205479452054,False,2
banking77,0.25,42,automatic_top_up,40,6,0.15,0,0.0,40,28,0.7,0,0.0,40,22,0.5499999999999999,0,0.0,22,1.0,83.0,83.0,83.0,83.0,0.5480404084374493,0.5480404084374493,2.0,0.0,1.0,False,1
banking77,0.25,42,cancel_transfer,40,9,0.225,0,0.0,40,22,0.55,0,0.0,40,13,0.32500000000000007,0,0.0,13,3.0,90.0,30.0,10.0,60.0,0.455572133544162,0.5519066669767305,4.0,0.3333333333333333,0.6666666666666666,False,3+
banking77,0.25,42,card_about_to_expire,40,2,0.05,0,0.0,40,23,0.575,0,0.0,40,21,0.5249999999999999,0,0.0,21,2.0,97.0,48.5,20.0,77.0,0.4419024727953989,0.4937856432125578,3.0,0.0,0.7938144329896907,False,2
banking77,0.25,42,card_arrival,40,6,0.15,19,0.0081896551724137,40,26,0.65,2,0.0008620689655172,40,20,0.5,17,0.0073275862068965004,3,2.0,94.0,47.0,27.0,67.0,0.5404459073674458,0.5923907987804871,5.0,0.0,0.7127659574468085,False,2
banking77,0.25,42,card_payment_wrong_exchange_rate,40,3,0.075,8,0.0034482758620689,40,19,0.475,2,0.0008620689655172,40,16,0.39999999999999997,6,0.0025862068965517,10,2.0,137.0,68.5,20.0,117.0,0.5172817634874112,0.52526874701096,3.0,0.0,0.8540145985401459,False,2
banking77,0.25,42,declined_transfer,40,13,0.325,13,0.005603448275862,40,22,0.55,0,0.0,40,9,0.22500000000000003,13,0.005603448275862,-4,2.0,88.0,44.0,19.0,69.0,0.4880769495570223,0.5381802706268421,4.0,0.5,0.7840909090909091,False,2
banking77,0.25,42,exchange_rate,40,4,0.1,5,0.0021551724137931,40,20,0.5,1,0.0004310344827586,40,16,0.4,4,0.0017241379310345,12,2.0,86.0,43.0,12.0,74.0,0.47174476145014477,0.4768656693771289,5.0,0.5,0.8604651162790697,False,2
banking77,0.25,42,exchange_via_app,40,11,0.275,18,0.0077586206896551,40,25,0.625,1,0.0004310344827586,40,14,0.35,17,0.0073275862068965004,-3,2.0,98.0,49.0,24.0,74.0,0.5530567581668417,0.6173361804887408,3.0,0.0,0.7551020408163265,False,2
banking77,0.25,42,extra_charge_on_statement,40,11,0.275,18,0.0077586206896551,40,25,0.625,0,0.0,40,14,0.35,18,0.0077586206896551,-4,4.0,131.0,32.75,10.0,70.0,0.548155106198947,0.6138360937686311,5.0,0.5,0.5343511450381679,False,3+
banking77,0.25,42,passcode_forgotten,40,5,0.125,0,0.0,40,19,0.475,0,0.0,40,14,0.35,0,0.0,14,1.0,79.0,79.0,79.0,79.0,0.5730758140686919,0.5730758140686919,2.0,0.0,1.0,False,1
banking77,0.25,42,pending_cash_withdrawal,40,9,0.225,9,0.0038793103448275,40,27,0.675,0,0.0,40,18,0.45000000000000007,9,0.0038793103448275,9,1.0,100.0,100.0,100.0,100.0,0.5353682363965692,0.5353682363965692,3.0,0.0,1.0,False,1
banking77,0.25,42,pin_blocked,40,11,0.275,3,0.0012931034482758,40,21,0.525,0,0.0,40,10,0.25,3,0.0012931034482758,7,1.0,101.0,101.0,101.0,101.0,0.5890089196907975,0.5890089196907975,1.0,0.0,1.0,False,1
banking77,0.25,42,reverted_card_payment?,40,6,0.15,20,0.0086206896551724,40,23,0.575,2,0.0008620689655172,40,17,0.42499999999999993,18,0.0077586206896552,-1,3.0,98.0,32.666666666666664,14.0,58.0,0.5185125064290018,0.5334476425292851,4.0,0.3333333333333333,0.5918367346938775,False,3+
banking77,0.25,42,top_up_by_cash_or_cheque,40,8,0.2,5,0.0021551724137931,40,19,0.475,0,0.0,40,11,0.27499999999999997,5,0.0021551724137931,6,2.0,72.0,36.0,15.0,57.0,0.5414678905803891,0.5825399516621725,4.0,0.5,0.7916666666666666,False,2
banking77,0.25,42,transfer_not_received_by_recipient,40,13,0.325,67,0.0288793103448275,40,29,0.725,15,0.0064655172413793,40,16,0.39999999999999997,52,0.022413793103448203,-36,3.0,60.0,20.0,10.0,33.0,0.5964826135898006,0.6304568747139045,3.0,0.6666666666666666,0.55,False,3+
banking77,0.25,42,unable_to_verify_identity,40,9,0.225,12,0.0051724137931034,40,28,0.7,0,0.0,40,19,0.475,12,0.0051724137931034,7,2.0,28.0,14.0,13.0,15.0,0.4010584704527774,0.4670106706348543,6.0,1.0,0.5357142857142857,False,2
banking77,0.25,42,why_verify_identity,40,1,0.025,23,0.0099137931034482,40,23,0.575,1,0.0004310344827586,40,22,0.5499999999999999,22,0.0094827586206896,0,4.0,76.0,19.0,10.0,27.0,0.48890764976766987,0.6318171111024855,5.0,0.5,0.35526315789473684,False,3+
banking77,0.25,87,Refund_not_showing_up,40,5,0.125,9,0.0038793103448275,40,12,0.3,7,0.0030172413793103,40,7,0.175,2,0.0008620689655171997,5,2.0,141.0,70.5,26.0,115.0,0.5727012293102494,0.5816995987672013,3.0,0.0,0.8156028368794326,False,2
banking77,0.25,87,activate_my_card,40,6,0.15,0,0.0,40,14,0.35,0,0.0,40,8,0.19999999999999998,0,0.0,8,1.0,133.0,133.0,133.0,133.0,0.466367103617786,0.466367103617786,3.0,0.0,1.0,False,1
banking77,0.25,87,apple_pay_or_google_pay,40,5,0.125,0,0.0,40,21,0.525,0,0.0,40,16,0.4,0,0.0,16,2.0,87.0,43.5,17.0,70.0,0.6061546587138862,0.6369982510387793,2.0,0.5,0.8045977011494253,False,2
banking77,0.25,87,automatic_top_up,40,7,0.175,0,0.0,40,27,0.675,0,0.0,40,20,0.5,0,0.0,20,2.0,97.0,48.5,12.0,85.0,0.4893130537027558,0.5493935265502878,5.0,0.5,0.8762886597938144,False,2
banking77,0.25,87,balance_not_updated_after_cheque_or_cash_deposit,40,8,0.2,0,0.0,40,30,0.75,0,0.0,40,22,0.55,0,0.0,22,3.0,123.0,41.0,18.0,65.0,0.5170769385220481,0.5709628682914338,4.0,0.3333333333333333,0.5284552845528455,False,3+
banking77,0.25,87,card_arrival,40,4,0.1,29,0.0125,40,25,0.625,1,0.0004310344827586,40,21,0.525,28,0.0120689655172414,-7,4.0,103.0,25.75,10.0,66.0,0.4349638884914871,0.5397017853266948,3.0,0.75,0.6407766990291263,False,3+
banking77,0.25,87,card_payment_fee_charged,40,7,0.175,5,0.0021551724137931,40,27,0.675,0,0.0,40,20,0.5,5,0.0021551724137931,15,1.0,100.0,100.0,100.0,100.0,0.4680451437957801,0.4680451437957801,4.0,0.0,1.0,False,1
banking77,0.25,87,contactless_not_working,40,8,0.2,1,0.0004310344827586,40,24,0.6,0,0.0,40,16,0.39999999999999997,1,0.0004310344827586,15,1.0,24.0,24.0,24.0,24.0,0.5866897293317187,0.5866897293317187,2.0,0.0,1.0,False,1
banking77,0.25,87,direct_debit_payment_not_recognised,40,12,0.3,9,0.0038793103448275,40,30,0.75,0,0.0,40,18,0.45,9,0.0038793103448275,9,1.0,109.0,109.0,109.0,109.0,0.553661839259671,0.553661839259671,2.0,0.0,1.0,False,1
banking77,0.25,87,exchange_charge,40,8,0.2,3,0.0012931034482758,40,26,0.65,0,0.0,40,18,0.45,3,0.0012931034482758,15,2.0,72.0,36.0,14.0,58.0,0.4800036912627242,0.5067359012642806,5.0,0.5,0.8055555555555556,False,2
banking77,0.25,87,exchange_via_app,40,12,0.3,3,0.0012931034482758,40,25,0.625,1,0.0004310344827586,40,13,0.325,2,0.0008620689655172001,11,3.0,83.0,27.666666666666668,25.0,33.0,0.5055266418138707,0.5361034808890297,4.0,0.0,0.39759036144578314,False,3+
banking77,0.25,87,pending_card_payment,40,12,0.3,1,0.0004310344827586,40,24,0.6,0,0.0,40,12,0.3,1,0.0004310344827586,11,4.0,86.0,21.5,12.0,29.0,0.4914847420309021,0.5365045108748521,5.0,0.25,0.3372093023255814,False,3+
banking77,0.25,87,pending_cash_withdrawal,40,11,0.275,7,0.0030172413793103,40,29,0.725,0,0.0,40,18,0.44999999999999996,7,0.0030172413793103,11,1.0,81.0,81.0,81.0,81.0,0.5101047100532271,0.5101047100532271,2.0,0.0,1.0,False,1
banking77,0.25,87,pending_transfer,40,5,0.125,46,0.0198275862068965,40,26,0.65,7,0.0030172413793103,40,21,0.525,39,0.016810344827586202,-18,2.0,100.0,50.0,27.0,73.0,0.45519745577682935,0.5999725395419347,3.0,0.0,0.73,False,2
banking77,0.25,87,terminate_account,40,7,0.175,0,0.0,40,21,0.525,0,0.0,40,14,0.35000000000000003,0,0.0,14,1.0,97.0,97.0,97.0,97.0,0.5972087914882215,0.5972087914882215,1.0,0.0,1.0,False,1
banking77,0.25,87,transfer_fee_charged,40,5,0.125,6,0.0025862068965517,40,22,0.55,0,0.0,40,17,0.42500000000000004,6,0.0025862068965517,11,1.0,110.0,110.0,110.0,110.0,0.5374864288193646,0.5374864288193646,3.0,0.0,1.0,False,1
banking77,0.25,87,unable_to_verify_identity,40,8,0.2,45,0.0193965517241379,40,17,0.425,30,0.0129310344827586,40,9,0.22499999999999998,15,0.006465517241379301,-6,1.0,88.0,88.0,88.0,88.0,0.6239870468333446,0.6239870468333446,1.0,0.0,1.0,False,1
banking77,0.25,87,verify_source_of_funds,40,2,0.05,0,0.0,40,18,0.45,0,0.0,40,16,0.4,0,0.0,16,2.0,86.0,43.0,10.0,76.0,0.5087258277289761,0.5357269566079762,4.0,0.5,0.8837209302325582,False,2
banking77,0.25,87,wrong_exchange_rate_for_cash_withdrawal,40,10,0.25,14,0.0060344827586206,40,27,0.675,0,0.0,40,17,0.42500000000000004,14,0.0060344827586206,3,1.0,92.0,92.0,92.0,92.0,0.5118598967756561,0.5118598967756561,2.0,0.0,1.0,False,1
banking77,0.25,100,automatic_top_up,40,5,0.125,0,0.0,40,29,0.725,0,0.0,40,24,0.6,0,0.0,24,2.0,78.0,39.0,15.0,63.0,0.4763523197629305,0.643726510113884,3.0,0.5,0.8076923076923077,False,2
banking77,0.25,100,balance_not_updated_after_bank_transfer,40,1,0.025,31,0.0133620689655172,40,29,0.725,1,0.0004310344827586,40,28,0.7,30,0.0129310344827586,-2,5.0,69.0,13.8,10.0,21.0,0.4746287078120421,0.5204720628801471,5.0,0.8,0.30434782608695654,False,3+
banking77,0.25,100,card_acceptance,40,11,0.275,6,0.0025862068965517,40,33,0.825,1,0.0004310344827586,40,22,0.5499999999999999,5,0.0021551724137931,17,2.0,30.0,15.0,11.0,19.0,0.5393883060362756,0.5455596489812387,4.0,1.0,0.6333333333333333,False,2
banking77,0.25,100,card_arrival,40,5,0.125,11,0.0047413793103448,40,27,0.675,2,0.0008620689655172,40,22,0.55,9,0.0038793103448276,13,4.0,84.0,21.0,10.0,37.0,0.5054422717943209,0.5284703353395374,5.0,0.5,0.44047619047619047,False,3+
banking77,0.25,100,cash_withdrawal_charge,40,5,0.125,4,0.0017241379310344,40,23,0.575,0,0.0,40,18,0.44999999999999996,4,0.0017241379310344,14,2.0,130.0,65.0,15.0,115.0,0.4857709566853856,0.5554890230572981,6.0,0.5,0.8846153846153846,False,2
banking77,0.25,100,compromised_card,40,18,0.45,9,0.0038793103448275,40,31,0.775,0,0.0,40,13,0.325,9,0.0038793103448275,4,2.0,25.0,12.5,12.0,13.0,0.47123283122513404,0.4914097715936928,3.0,1.0,0.52,False,2
banking77,0.25,100,country_support,40,9,0.225,0,0.0,40,17,0.425,0,0.0,40,8,0.19999999999999998,0,0.0,8,3.0,104.0,34.666666666666664,15.0,64.0,0.5966046378324523,0.6487046311434506,4.0,0.3333333333333333,0.6153846153846154,False,3+
banking77,0.25,100,declined_transfer,40,12,0.3,12,0.0051724137931034,40,21,0.525,0,0.0,40,9,0.22500000000000003,12,0.0051724137931034,-3,1.0,88.0,88.0,88.0,88.0,0.4796223848931978,0.4796223848931978,4.0,0.0,1.0,False,1
banking77,0.25,100,getting_spare_card,40,10,0.25,1,0.0004310344827586,40,25,0.625,0,0.0,40,15,0.375,1,0.0004310344827586,14,2.0,95.0,47.5,12.0,83.0,0.5787862646956665,0.6287470251198101,4.0,0.5,0.8736842105263158,False,2
banking77,0.25,100,getting_virtual_card,40,5,0.125,2,0.0008620689655172,40,18,0.45,0,0.0,40,13,0.325,2,0.0008620689655172,11,1.0,88.0,88.0,88.0,88.0,0.4976287694068398,0.4976287694068398,2.0,0.0,1.0,False,1
banking77,0.25,100,lost_or_stolen_card,40,7,0.175,3,0.0012931034482758,40,32,0.8,0,0.0,40,25,0.625,3,0.0012931034482758,22,2.0,49.0,24.5,13.0,36.0,0.4309449413211789,0.451075364699125,7.0,0.5,0.7346938775510204,False,2
banking77,0.25,100,pending_card_payment,40,13,0.325,0,0.0,40,25,0.625,0,0.0,40,12,0.3,0,0.0,12,5.0,96.0,19.2,10.0,35.0,0.4548026412608114,0.5025962377073275,10.0,0.8,0.3645833333333333,False,3+
banking77,0.25,100,pending_transfer,40,4,0.1,0,0.0,40,32,0.8,0,0.0,40,28,0.7000000000000001,0,0.0,28,3.0,59.0,19.666666666666668,12.0,33.0,0.39756049184674486,0.4626028670875675,7.0,0.6666666666666666,0.559322033898305,False,3+
banking77,0.25,100,terminate_account,40,6,0.15,0,0.0,40,21,0.525,0,0.0,40,15,0.375,0,0.0,15,1.0,97.0,97.0,97.0,97.0,0.5972087914882215,0.5972087914882215,2.0,0.0,1.0,False,1
banking77,0.25,100,top_up_reverted,40,6,0.15,52,0.0224137931034482,40,22,0.55,3,0.0012931034482758,40,16,0.4,49,0.0211206896551724,-33,2.0,112.0,56.0,18.0,94.0,0.5525752383902274,0.6601559634879283,4.0,0.5,0.8392857142857143,False,2
banking77,0.25,100,transaction_charged_twice,40,5,0.125,0,0.0,40,27,0.675,0,0.0,40,22,0.55,0,0.0,22,3.0,105.0,35.0,19.0,59.0,0.5234789167781955,0.5635606008488468,4.0,0.3333333333333333,0.5619047619047619,False,3+
banking77,0.25,100,transfer_fee_charged,40,5,0.125,9,0.0038793103448275,40,25,0.625,1,0.0004310344827586,40,20,0.5,8,0.0034482758620689,12,4.0,107.0,26.75,10.0,44.0,0.4998808343216964,0.5247265451751326,5.0,0.5,0.411214953271028,False,3+
banking77,0.25,100,transfer_into_account,40,12,0.3,2,0.0008620689655172,40,22,0.55,0,0.0,40,10,0.25000000000000006,2,0.0008620689655172,8,2.0,81.0,40.5,16.0,65.0,0.5624934185607953,0.5801153167360111,3.0,0.5,0.8024691358024691,False,2
banking77,0.25,100,verify_my_identity,40,6,0.15,32,0.0137931034482758,40,14,0.35,6,0.0025862068965517,40,8,0.19999999999999998,26,0.0112068965517241,-18,1.0,93.0,93.0,93.0,93.0,0.5211362536547929,0.5211362536547929,2.0,0.0,1.0,False,1
banking77,0.25,123,atm_support,40,6,0.15,1,0.0004310344827586,40,20,0.5,0,0.0,40,14,0.35,1,0.0004310344827586,13,3.0,64.0,21.333333333333332,11.0,28.0,0.45050817915099817,0.5422307353988691,3.0,0.3333333333333333,0.4375,False,3+
banking77,0.25,123,beneficiary_not_allowed,40,11,0.275,45,0.0193965517241379,40,24,0.6,2,0.0008620689655172,40,13,0.32499999999999996,43,0.0185344827586207,-30,2.0,95.0,47.5,31.0,64.0,0.5335590942730208,0.5649795792687977,3.0,0.0,0.6736842105263158,False,2
banking77,0.25,123,cancel_transfer,40,8,0.2,0,0.0,40,19,0.475,0,0.0,40,11,0.27499999999999997,0,0.0,11,4.0,111.0,27.75,11.0,51.0,0.5126877123901321,0.5671825792225292,3.0,0.25,0.4594594594594595,False,3+
banking77,0.25,123,compromised_card,40,16,0.4,16,0.0068965517241379,40,32,0.8,0,0.0,40,16,0.4,16,0.0068965517241379,0,2.0,36.0,18.0,16.0,20.0,0.5002196392923425,0.5372621712032013,4.0,0.5,0.5555555555555556,False,2
banking77,0.25,123,contactless_not_working,40,8,0.2,3,0.0012931034482758,40,23,0.575,0,0.0,40,15,0.37499999999999994,3,0.0012931034482758,12,1.0,25.0,25.0,25.0,25.0,0.5916403394807721,0.5916403394807721,2.0,0.0,1.0,False,1
banking77,0.25,123,direct_debit_payment_not_recognised,40,13,0.325,14,0.0060344827586206,40,27,0.675,0,0.0,40,14,0.35000000000000003,14,0.0060344827586206,0,1.0,104.0,104.0,104.0,104.0,0.5479542034917851,0.5479542034917851,4.0,0.0,1.0,False,1
banking77,0.25,123,lost_or_stolen_phone,40,12,0.3,1,0.0004310344827586,40,34,0.85,0,0.0,40,22,0.55,1,0.0004310344827586,21,2.0,70.0,35.0,15.0,55.0,0.5252610693038975,0.6604572070170787,2.0,0.5,0.7857142857142857,False,2
banking77,0.25,123,order_physical_card,40,5,0.125,24,0.0103448275862068,40,22,0.55,0,0.0,40,17,0.42500000000000004,24,0.0103448275862068,-7,3.0,80.0,26.666666666666668,12.0,36.0,0.48048921411712814,0.5234684061791312,5.0,0.3333333333333333,0.45,False,3+
banking77,0.25,123,receiving_money,40,6,0.15,17,0.0073275862068965,40,32,0.8,0,0.0,40,26,0.65,17,0.0073275862068965,9,3.0,47.0,15.666666666666666,11.0,25.0,0.5467600923579753,0.605111251541434,4.0,0.6666666666666666,0.5319148936170213,False,3+
banking77,0.25,123,reverted_card_payment?,40,7,0.175,30,0.0129310344827586,40,24,0.6,7,0.0030172413793103,40,17,0.425,23,0.0099137931034483,-6,5.0,71.0,14.2,10.0,19.0,0.47492981792997735,0.5287354672476057,6.0,1.0,0.2676056338028169,False,3+
banking77,0.25,123,top_up_limits,40,4,0.1,4,0.0017241379310344,40,18,0.45,0,0.0,40,14,0.35,4,0.0017241379310344,10,2.0,80.0,40.0,12.0,68.0,0.4668355864972723,0.5477904208151205,4.0,0.5,0.85,False,2
banking77,0.25,123,top_up_reverted,40,7,0.175,52,0.0224137931034482,40,29,0.725,3,0.0012931034482758,40,22,0.55,49,0.0211206896551724,-27,3.0,89.0,29.666666666666668,22.0,43.0,0.514836616805923,0.5480123009880732,4.0,0.0,0.48314606741573035,False,3+
banking77,0.25,123,transaction_charged_twice,40,4,0.1,0,0.0,40,25,0.625,0,0.0,40,21,0.525,0,0.0,21,4.0,124.0,31.0,19.0,63.0,0.5160256435591675,0.5694130085205726,3.0,0.25,0.5080645161290323,False,3+
banking77,0.25,123,transfer_fee_charged,40,5,0.125,13,0.005603448275862,40,23,0.575,0,0.0,40,18,0.44999999999999996,13,0.005603448275862,5,1.0,114.0,114.0,114.0,114.0,0.5490935933223632,0.5490935933223632,2.0,0.0,1.0,False,1
banking77,0.25,123,verify_source_of_funds,40,2,0.05,0,0.0,40,20,0.5,0,0.0,40,18,0.45,0,0.0,18,2.0,83.0,41.5,12.0,71.0,0.5309526165309766,0.5498232118735812,3.0,0.5,0.8554216867469879,False,2
banking77,0.25,123,verify_top_up,40,2,0.05,0,0.0,40,18,0.45,0,0.0,40,16,0.4,0,0.0,16,2.0,102.0,51.0,33.0,69.0,0.46671521858590626,0.5173337460431982,3.0,0.0,0.6764705882352942,False,2
banking77,0.25,123,why_verify_identity,40,1,0.025,62,0.0267241379310344,40,16,0.4,29,0.0125,40,15,0.375,33,0.0142241379310344,-18,1.0,90.0,90.0,90.0,90.0,0.5920978844405648,0.5920978844405648,2.0,0.0,1.0,False,1
banking77,0.25,123,wrong_amount_of_cash_received,40,6,0.15,66,0.0284482758620689,40,24,0.6,2,0.0008620689655172,40,18,0.44999999999999996,64,0.0275862068965517,-46,5.0,108.0,21.6,11.0,59.0,0.5320995331039882,0.5840950687806283,6.0,0.8,0.5462962962962963,False,3+
banking77,0.25,123,wrong_exchange_rate_for_cash_withdrawal,40,10,0.25,18,0.0077586206896551,40,26,0.65,1,0.0004310344827586,40,16,0.4,17,0.0073275862068965004,-1,2.0,103.0,51.5,31.0,72.0,0.5064025699228936,0.5188150262219481,3.0,0.0,0.6990291262135923,False,2
banking77,0.5,13,Refund_not_showing_up,40,5,0.125,8,0.0051282051282051,40,16,0.4,1,0.0006410256410256,40,11,0.275,7,0.0044871794871795,4,1.0,143.0,143.0,143.0,143.0,0.581918734498653,0.581918734498653,2.0,0.0,1.0,False,1
banking77,0.5,13,apple_pay_or_google_pay,40,4,0.1,0,0.0,40,29,0.725,0,0.0,40,25,0.625,0,0.0,25,3.0,74.0,24.666666666666668,10.0,48.0,0.41197147119984784,0.5026717596641045,4.0,0.6666666666666666,0.6486486486486487,False,3+
banking77,0.5,13,atm_support,40,6,0.15,0,0.0,40,24,0.6,0,0.0,40,18,0.44999999999999996,0,0.0,18,2.0,47.0,23.5,11.0,36.0,0.3931046275347623,0.4951251515686983,3.0,0.5,0.7659574468085106,False,2
banking77,0.5,13,beneficiary_not_allowed,40,9,0.225,2,0.0012820512820512,40,32,0.8,0,0.0,40,23,0.5750000000000001,2,0.0012820512820512,21,2.0,57.0,28.5,13.0,44.0,0.46287513619276466,0.4977783478544256,4.0,0.5,0.7719298245614035,False,2
banking77,0.5,13,cancel_transfer,40,7,0.175,1,0.0006410256410256,40,23,0.575,0,0.0,40,16,0.39999999999999997,1,0.0006410256410256,15,5.0,103.0,20.6,10.0,33.0,0.507028995828958,0.6336881719318377,4.0,0.4,0.32038834951456313,False,3+
