dataset,kir,intent,observed_seeds,known_count_mean,known_recovery_rate_mean,known_recovery_rate_std,known_recovery_count_mean,extra_oos_accept_count_mean,extra_oos_accept_rate_mean,mean_ball_count,mean_radius,min_ball_support_mean,missing_selected_ball_ratio,positive_seed_ratio
banking77,0.5,card_payment_fee_charged,3,40.0,0.5249999999999999,0.0,21.0,3.3333333333333335,0.0021367521367521,1.0,0.4583374264425923,95.33333333333333,0.0,1.0
banking77,0.5,card_payment_not_recognised,3,40.0,0.6333333333333333,0.038188130791298645,25.333333333333332,7.0,0.004487179487179433,2.6666666666666665,0.4374402999605689,13.666666666666666,0.0,1.0
banking77,0.5,card_payment_wrong_exchange_rate,4,40.0,0.61875,0.06250000000000001,24.75,0.0,0.0,4.0,0.41863305820756835,11.0,0.0,1.0
banking77,0.5,card_swallowed,2,40.0,0.3875,0.05303300858899111,15.5,0.5,0.0003205128205128,1.0,0.4632158870972881,38.5,0.0,1.0
banking77,0.5,cash_withdrawal_charge,2,40.0,0.5125,0.017677669529663664,20.5,0.0,0.0,3.0,0.4714859366109474,13.0,0.0,1.0
banking77,0.5,cash_withdrawal_not_recognised,1,40.0,0.625,,25.0,25.0,0.016025641025641,4.0,0.5150738500253913,13.0,0.0,1.0
banking77,0.5,change_pin,3,40.0,0.48333333333333334,0.07637626158259736,19.333333333333332,0.0,0.0,1.6666666666666667,0.4768219628072732,57.0,0.0,1.0
banking77,0.5,compromised_card,3,40.0,0.4583333333333333,0.18763883748662835,18.333333333333332,12.666666666666666,0.0081196581196581,1.0,0.4940602181345353,28.0,0.0,1.0
banking77,0.5,contactless_not_working,2,40.0,0.4125,0.05303300858899109,16.5,0.5,0.0003205128205128,1.0,0.5830978896721295,20.0,0.0,1.0
banking77,0.5,country_support,2,40.0,0.32499999999999996,0.21213203435596423,13.0,2.5,0.0016025641025641,4.0,0.5119317839139217,10.5,0.0,1.0
banking77,0.5,declined_card_payment,2,40.0,0.6125,0.08838834764831832,24.5,9.0,0.0057692307692307505,4.0,0.41337346253349333,10.0,0.0,1.0
banking77,0.5,declined_cash_withdrawal,2,40.0,0.6375,0.22980970388562796,25.5,18.0,0.0115384615384615,5.5,0.45532070024477367,10.5,0.0,1.0
banking77,0.5,declined_transfer,3,40.0,0.26666666666666666,0.06291528696058961,10.666666666666666,19.666666666666668,0.012606837606837567,2.3333333333333335,0.4824974106106859,40.666666666666664,0.0,1.0
banking77,0.5,direct_debit_payment_not_recognised,3,40.0,0.425,0.06614378277661478,17.0,1.3333333333333333,0.0008547008547008333,1.6666666666666667,0.5385820368056484,45.333333333333336,0.0,1.0
banking77,0.5,disposable_card_limits,2,40.0,0.36250000000000004,0.053033008588991015,14.5,2.5,0.0016025641025641,3.0,0.42908981981595234,18.5,0.0,1.0
banking77,0.5,edit_personal_details,3,40.0,0.4166666666666667,0.05204164998665333,16.666666666666668,0.0,0.0,2.0,0.5616384372577222,12.666666666666666,0.0,1.0
banking77,0.5,exchange_charge,2,40.0,0.5375,0.053033008588991036,21.5,0.0,0.0,2.5,0.46014247039048023,11.5,0.0,1.0
banking77,0.5,exchange_rate,4,40.0,0.5875,0.13307266185559422,23.5,1.25,0.000801282051282025,2.75,0.43210590078390115,14.5,0.0,1.0
banking77,0.5,exchange_via_app,2,40.0,0.48749999999999993,0.12374368670764584,19.5,3.5,0.0022435897435897495,3.0,0.4650241118253524,15.0,0.0,1.0
banking77,0.5,extra_charge_on_statement,2,40.0,0.5625,0.053033008588991036,22.5,5.0,0.00320512820512815,3.0,0.44909713227149484,11.0,0.0,1.0
banking77,0.5,failed_transfer,1,40.0,0.375,,15.0,4.0,0.0025641025641025997,4.0,0.4778623778726321,10.0,0.0,1.0
banking77,0.5,fiat_currency_support,4,40.0,0.5,0.045643546458763805,20.0,17.75,0.011378205128205074,3.5,0.5030234293613476,13.0,0.0,1.0
