dataset,k_label,radius_lambda,n_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_k,std_f1_k,mean_f1_u,std_f1_u,mean_accuracy,std_accuracy,mean_known_macro_f1,std_known_macro_f1,mean_known_recall,std_known_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos
clinc150,k_1,1.0,3,0.893139542167335,0.007893645962754096,0.854675682349279,0.011656377112192199,0.9352657004830919,0.0040614202042480365,0.7912813551015768,0.01198278406818503,0.7899232459407001,0.012037347316368019,0.893139542167335,0.007893645962754096,0.8541520467836258,0.008929003052780863,0.8247005672889554,0.009684094220658147,0.7559999999999999,0.022191089302790973,0.06473429951690818,0.004061420204248056,0.24399999999999997,0.02219108930279098,0.92514769726248,0.0013383970560069706,0.9361726238533731,0.0015620414954372022
clinc150,k_1,1.25,3,0.895331434233804,0.006144576840102964,0.8834138918521615,0.01164892757277789,0.9076328502415459,0.0030720991489052865,0.8097421286780166,0.009057741342759698,0.8086009379372728,0.009100679847758782,0.895331434233804,0.006144576840102964,0.8583040935672516,0.006532192537382822,0.8574475816813368,0.009231134430782205,0.8161481481481481,0.02097068304383768,0.09236714975845406,0.0030720991489052254,0.18385185185185182,0.02097068304383773,0.9260492538915727,0.001428932368460195,0.9368520206258757,0.0014296514078024833
clinc150,k_1,1.5,3,0.8898553169931551,0.004773249411284468,0.9050038893657822,0.01072834421221372,0.8752657004830918,0.004183697602823394,0.8148098496764068,0.007330978274748405,0.8138092434455168,0.007375063346472732,0.8898553169931551,0.004773249411284468,0.8529239766081872,0.004944547327234618,0.8771640156639151,0.009025927137192271,0.858962962962963,0.01801142755679698,0.12473429951690818,0.004183697602823378,0.141037037037037,0.018011427556796914,0.9264439291465378,0.0015040128492894637,0.9371278928127508,0.001369931187018218
clinc150,k_1,2.0,3,0.8546493928162686,0.00989638094167548,0.9331428090675394,0.005902552554192585,0.7885990338164252,0.021110392541303376,0.8005384145931819,0.0022673012370447907,0.7998169348835407,0.0021693462484802333,0.8546493928162686,0.00989638094167548,0.815029239766082,0.009050546022059956,0.8917774753160814,0.005881175189249083,0.9131851851851852,0.010604758618176833,0.21140096618357482,0.021110392541303376,0.08681481481481478,0.010604758618176736,0.9262971551261406,0.001547722489596669,0.9370157144726302,0.001308883015566198
clinc150,k_2,0.0,3,0.82507476393645,0.002640173868778753,0.7084336060357228,0.004722967988988443,0.9877294685990338,0.0037382690091116028,0.5193530615198929,0.017885009026298936,0.5152767721543388,0.01809177105633078,0.82507476393645,0.002640173868778753,0.744093567251462,0.005476195255489785,0.520220557811646,0.018243006829965703,0.37659259259259265,0.015778299417563608,0.012270531400966166,0.0037382690091117055,0.6234074074074073,0.015778299417563608,0.9059987546967257,0.011557891784894544,0.9215155444864257,0.011065502817451275
clinc150,k_2,0.25,3,0.843880297704254,0.004503180467099144,0.7394669894997404,0.008430001898700053,0.9827053140096619,0.0032320248664110644,0.6016521148604616,0.025179502788532433,0.5984224057558776,0.025456531274215797,0.843880297704254,0.004503180467099144,0.7759649122807017,0.00850831975647869,0.6066175814171567,0.02625709349992462,0.46888888888888886,0.02490079080503365,0.01729468599033813,0.0032320248664111325,0.5311111111111111,0.024900790805033643,0.9158353623188406,0.009717891128701568,0.9318055478638542,0.01020144732293178
clinc150,k_2,0.5,3,0.8602527092921122,0.004404766205085923,0.7688221755819075,0.008268197677044568,0.9764251207729467,0.0020968632284261266,0.6661277598587229,0.021981203315895537,0.6635394271996109,0.022215855894950506,0.8602527092921122,0.004404766205085923,0.8023976608187134,0.008423488926330235,0.6752731800541231,0.022791742902730693,0.5496296296296297,0.022031776527432635,0.023574879227053064,0.002096863228426157,0.4503703703703703,0.022031776527432656,0.921774256575416,0.008109483243803114,0.9367755268358255,0.009467277227108975
clinc150,k_2,0.75,3,0.8758621138020727,0.004348639529205944,0.8003612069708704,0.008569049751564842,0.9671497584541062,0.0024135257964824457,0.7258546794367561,0.018680579847061143,0.723854580311885,0.01887232840659808,0.8758621138020727,0.004348639529205944,0.8273099415204679,0.008082243709738342,0.7411388795011478,0.019609054786779736,0.6299259259259259,0.02071479859082476,0.032850241545893666,0.0024135257964824895,0.37007407407407406,0.020714798590824805,0.9252914224369296,0.0067375724581253075,0.9393256226633439,0.008916126109013114
clinc150,k_2,1.0,3,0.8907096859205598,0.0024854826157418653,0.8339312416999212,0.00725947798033426,0.9558454106280193,0.004783340596903154,0.7707034224439213,0.01273121301665329,0.7691033389308993,0.012869962901273608,0.8907096859205598,0.0024854826157418653,0.8480701754385964,0.005341521876364338,0.7922049832026685,0.014819268888486883,0.7079999999999999,0.01673024908863883,0.04415458937198067,0.004783340596903033,0.29200000000000004,0.016730249088638842,0.9272593022007515,0.005657069595680702,0.9405784767595313,0.008501278010100144
clinc150,k_2,1.25,3,0.8995233094704366,0.00010088583611077093,0.8640784125310027,0.006010239986984476,0.9380676328502416,0.006946450035949302,0.7996223945386561,0.008138696110411835,0.7982903823395656,0.008246135683350954,0.8995233094704366,0.00010088583611077093,0.8602339181286549,0.0023883716791417518,0.8308046149399329,0.01182105623265613,0.7736296296296296,0.013350606095888366,0.061932367149758395,0.006946450035949264,0.22637037037037033,0.01335060609588835,0.9282925174449813,0.00476721920990828,0.9411472888031184,0.008171324546128593
clinc150,k_2,1.5,3,0.8970939345600755,0.0014263285503048333,0.8844731878770588,0.005107873022781486,0.910144927536232,0.00803792731818081,0.8078775921458626,0.006358350990824205,0.8066880409136732,0.006461089830064987,0.8970939345600755,0.0014263285503048333,0.8578362573099415,0.0008290904607460531,0.8521297929649997,0.010046784602002264,0.8176296296296296,0.010761920369578666,0.08985507246376806,0.008037927318180883,0.1823703703703703,0.010761920369578667,0.9287035534084809,0.004004077467957383,0.9412694204670177,0.00785030776853825
clinc150,k_2,2.0,3,0.8728164443251317,0.008202608372523401,0.9157538378857194,0.0022256369937082303,0.8338164251207729,0.0151234736980884,0.801521700275715,0.004307420927943973,0.8005711036883895,0.00439481714120587,0.8728164443251317,0.008202608372523401,0.8301169590643275,0.008786537544629687,0.8737660442786681,0.00911137955264879,0.8823703703703704,0.004224171090187647,0.16618357487922705,0.015123473698088412,0.11762962962962957,0.0042241710901876044,0.9284512292002146,0.0027783019762260305,0.94082769302813,0.007302538157781097
stackoverflow,k_1,0.0,3,0.7903683556003996,0.01672135498905594,0.6907370255590347,0.011966834853000532,0.9237777777777777,0.02839666125392864,0.6974916498777496,0.006146209420797749,0.6882039793054847,0.005121195481068584,0.7903683556003996,0.01672135498905594,0.7449444444444445,0.01352193006166623,0.7130406790367522,0.0035659808115349793,0.5864444444444444,0.017771179331007123,0.0762222222222222,0.028396661253928628,0.4135555555555555,0.017771179331007098,0.8446219259259259,0.040704180764029284,0.8157480205221522,0.056708732339263004
stackoverflow,k_1,0.25,3,0.8111533908599577,0.02204428888605712,0.7433131947918604,0.013139259571872671,0.8930000000000001,0.03854578806793003,0.7569040457728923,0.003492911975573777,0.7514791112641858,0.0019296165341209344,0.8111533908599577,0.02204428888605712,0.7785000000000001,0.015524174696260037,0.7850006447781476,0.00901220601012794,0.6917777777777777,0.016194420621289868,0.10699999999999998,0.03854578806793002,0.3082222222222222,0.016194420621289868,0.8645117037037037,0.032566389991306156,0.8345922632822073,0.04794276952935976
stackoverflow,k_1,0.5,3,0.8122591347241821,0.02753172670897234,0.7807458757341342,0.009745435638262663,0.847111111111111,0.04943045994496073,0.7833464281004615,0.00823283789099841,0.7804551574380895,0.009415389133251283,0.8122591347241821,0.02753172670897234,0.7857222222222222,0.01879297544099725,0.8236580903628622,0.01857817817040731,0.7624444444444444,0.007748357054049361,0.15288888888888885,0.04943045994496078,0.23755555555555552,0.007748357054049408,0.8747541111111112,0.027249074287594932,0.8423487812808962,0.04363618692847019
stackoverflow,k_1,0.75,3,0.7994102347338248,0.036032716251497204,0.8030601966686222,0.010193420001056589,0.7968888888888889,0.06110585836011086,0.7900227343313047,0.015268198341303482,0.7890839842910525,0.01683645087586859,0.7994102347338248,0.036032716251497204,0.7762222222222223,0.02611211581991382,0.8403698877995333,0.02698449136756383,0.8051111111111111,0.0026736020923368658,0.2031111111111111,0.061105858360110864,0.1948888888888888,0.0026736020923368658,0.8796767777777776,0.02433550323379349,0.8455801957064587,0.041540211040845994
