dataset,seed,radius_lambda,delta_oos_f1_k2_minus_k1,delta_oos_precision_k2_minus_k1,delta_oos_recall_k2_minus_k1,delta_f1_all_k2_minus_k1,delta_f1_k_k2_minus_k1,delta_f1_u_k2_minus_k1,delta_accuracy_k2_minus_k1,delta_known_macro_f1_k2_minus_k1,delta_known_recall_k2_minus_k1,delta_false_accept_rate_k2_minus_k1,delta_false_reject_rate_k2_minus_k1,delta_auroc_k2_minus_k1,delta_aupr_oos_k2_minus_k1
banking77,13,1.5,0.02525529638976909,-0.01888826070945082,0.04102564102564099,0.006230466896541054,0.005729813488824398,0.02525529638976909,0.009740259740259716,-0.011930614249830107,-0.021052631578947434,-0.04102564102564099,0.021052631578947406,0.002886302294197063,-0.003952021777046677
banking77,13,2.0,0.0511587678106189,-0.00889900710475855,0.05320512820512818,0.016236983930564164,0.015317989617931183,0.0511587678106189,0.01850649350649347,-0.010919217551401794,-0.011184210526315796,-0.05320512820512824,0.011184210526315796,0.005717780026990749,-0.0009843882841499285
banking77,42,0.0,0.0008352503012377666,-0.00541778129495929,0.013461538461538303,-0.013464683757213214,-0.013840997811382816,0.0008352503012377666,-0.001948051948052032,-0.01705651241047146,-0.018421052631579005,-0.013461538461538497,0.018421052631579005,-0.003844045209176694,-0.00796834296346427
banking77,42,0.25,-0.0003701793925489083,-0.0073384598528986045,0.011538461538461608,-0.015852624990321584,-0.016260057769210245,-0.0003701793925489083,-0.003896103896103953,-0.01788780749879426,-0.018421052631579005,-0.011538461538461504,0.018421052631579005,-0.0030946356275303177,-0.006983016493526617
banking77,42,0.5,0.0004249228772648106,-0.0042147351070451755,0.007051282051282026,-0.005866489847391243,-0.006032053340145338,0.0004249228772648106,0.0,-0.005087164901320107,-0.009210526315789558,-0.0070512820512819985,0.009210526315789447,-0.002327091767881262,-0.006107229243123902
banking77,42,0.75,0.0047480739857601595,0.0016146062629972535,0.008333333333333304,-0.002487366523255652,-0.0026777728524403077,0.0047480739857601595,0.0035714285714285587,-0.0015966610910513879,0.0,-0.008333333333333304,0.0,-0.0016320850202428128,-0.005507028715165396
banking77,42,1.0,0.0015756992165273376,-0.013732040745219498,0.01538461538461533,-0.009514178640841364,-0.00980601753182464,0.0015756992165273376,-0.00032467532467528315,-0.00892654060046949,-0.019736842105263164,-0.015384615384615413,0.019736842105263108,-0.0009362348178139079,-0.005338851377932441
banking77,42,1.25,0.0024654935240666642,-0.01660912715576568,0.01538461538461533,-0.00636359979289125,-0.006595944353863792,0.0024654935240666642,0.00032467532467528315,-0.007115341973695011,-0.019736842105263164,-0.015384615384615385,0.01973684210526308,-0.0002770748987852567,-0.005190325289453068
banking77,42,1.5,-0.0032892797842941635,-0.0156466110326835,0.002564102564102555,-0.010438721285462305,-0.010626864482861431,-0.0032892797842941635,-0.006168831168831157,-0.00953813302882267,-0.013157894736842146,-0.0025641025641026105,0.01315789473684209,0.00021676788124169732,-0.0053025035923286445
banking77,42,2.0,-0.003637391531597811,0.010152956079484188,-0.005769230769230693,-0.00735043449985473,-0.007448146156914026,-0.003637391531597811,-0.004220779220779236,-0.004954845853457512,0.005921052631578938,0.00576923076923086,-0.0059210526315790005,0.0014747807017544412,-0.00517779379493255
banking77,87,0.0,-0.0007387292080561769,-0.0007525823118144093,-0.0006410256410257498,-0.006956391677063967,-0.0071200143736167565,-0.0007387292080561769,-0.002272727272727204,-0.00707006853886738,-0.001315789473684159,0.0006410256410257012,0.0013157894736842146,-0.01135880566801617,-0.012807190971672378
banking77,87,0.25,-0.0024818398608409398,-0.0005210752274039665,-0.005769230769230971,-0.007720494665118038,-0.007858354002072576,-0.0024818398608409398,-0.004220779220779236,-0.006145045501245505,0.0013157894736842701,0.005769230769230797,-0.0013157894736842146,-0.0076615215924427105,-0.0079149950168651
banking77,87,0.5,-0.0024495718528506627,-0.004941664618784758,0.0012820512820511665,-0.007849910011053285,-0.00799202417311129,-0.0024495718528506627,-0.004545454545454519,-0.009436402311109426,-0.008552631578947367,-0.0012820512820513053,0.008552631578947312,-0.004576585695006519,-0.004011398056980919
banking77,87,0.75,-0.0006004332256251965,-0.003216386298194429,0.002564102564102555,-0.00729782627057185,-0.00747407345596518,-0.0006004332256251965,-0.004220779220779236,-0.01073304696184263,-0.0052631578947368585,-0.0025641025641026105,0.005263157894736914,-0.002125084345479089,-0.0016314559135678364
banking77,87,1.0,0.0009132144520063168,-0.01347861261196548,0.014743589743589691,-0.012204192213343568,-0.012549387125589617,0.0009132144520063168,-0.006493506493506551,-0.02253572272805604,-0.019736842105263164,-0.014743589743589691,0.01973684210526322,-0.0001387483130903533,-0.00025596850047526765
banking77,87,1.25,0.016147883124627227,-0.012552236495898428,0.03653846153846163,-0.003715169116211836,-0.0042378810172866155,0.016147883124627227,0.004220779220779236,-0.02147990582314996,-0.019736842105263164,-0.03653846153846152,0.019736842105263205,0.001741734143049789,0.0008714950784949327
banking77,87,1.5,0.055874272957935456,-0.004865610500355277,0.08333333333333337,0.01208608311824233,0.010933762332987151,0.055874272957935456,0.028246753246753298,-0.020526359138888894,-0.017763157894736925,-0.08333333333333331,0.0177631578947368,0.003272604588394068,0.0016538870985260967
banking77,87,2.0,0.0843402570767654,-0.00682716833711039,0.09230769230769231,0.01868847121565176,0.016960792640359212,0.0843402570767654,0.034415584415584344,-0.01696680924505567,-0.015789473684210575,-0.09230769230769231,0.015789473684210603,0.005817729419702822,0.002462203443113764
stackoverflow,13,0.0,-0.011309227458031423,0.0039718697488781984,-0.035666666666666735,-0.0070480485464358145,-0.006621930655276387,-0.011309227458031423,-0.008166666666666655,0.011514848791613574,0.023666666666666725,0.03566666666666661,-0.02366666666666667,-0.007912000000000141,-0.0019456174994486597
stackoverflow,13,0.25,-0.026775263020350604,0.001353462610764189,-0.06133333333333335,-0.020941010516893677,-0.020357585266547962,-0.026775263020350604,-0.022666666666666613,0.006051544755672822,0.023666666666666725,0.06133333333333338,-0.02366666666666667,-0.014215999999999895,-0.008516149500080061
stackoverflow,13,0.5,-0.041652589575952303,0.0002513766985546839,-0.08133333333333337,-0.0330891188334036,-0.03223277175914885,-0.041652589575952303,-0.03433333333333333,0.002082281464157787,0.02400000000000002,0.08133333333333329,-0.023999999999999994,-0.016721666666666635,-0.011145059813484903
stackoverflow,13,0.75,-0.061717534575230104,0.003822574828705405,-0.10866666666666669,-0.040719752803742404,-0.03861997462659361,-0.061717534575230104,-0.04466666666666663,0.005141437305615448,0.032333333333333325,0.10866666666666658,-0.0323333333333333,-0.01718155555555556,-0.01248082074689938
stackoverflow,13,1.0,-0.0832948645794469,0.005367681165482252,-0.128,-0.04894671025469599,-0.045511894822220844,-0.0832948645794469,-0.053333333333333344,0.004646840515334483,0.036666666666666625,0.128,-0.0366666666666666,-0.016974777777777783,-0.013516083659267819
stackoverflow,13,1.25,-0.10561453693401712,0.014719019866422767,-0.14333333333333337,-0.05473528895953461,-0.04964736416208648,-0.10561453693401712,-0.05699999999999994,0.007874348805892661,0.04466666666666663,0.14333333333333337,-0.044666666666666716,-0.016661111111110904,-0.014435184519652644
stackoverflow,13,1.5,-0.12198142853755911,0.023992175408616312,-0.14466666666666667,-0.05798335604999294,-0.05158354880123639,-0.12198142853755911,-0.05566666666666664,0.00965336496457514,0.04666666666666652,0.1446666666666666,-0.046666666666666703,-0.01671900000000004,-0.015570935275275755
stackoverflow,13,2.0,-0.15839841996588572,0.01151438442855679,-0.13933333333333342,-0.06486315981393809,-0.055509633798743296,-0.15839841996588572,-0.054166666666666696,0.009720976034822248,0.03299999999999992,0.1393333333333333,-0.032999999999999995,-0.0176383333333332,-0.01803880690195936
stackoverflow,42,0.0,-0.04082693856393571,-0.0034633604470131196,-0.10000000000000009,-0.014914828771942279,-0.012323617792743047,-0.04082693856393571,-0.03200000000000003,0.024121803440482426,0.03600000000000003,0.09999999999999999,-0.03600000000000003,-0.06250222222222224,-0.06703652867098253
stackoverflow,42,0.25,-0.06123921245393338,-0.005560981581879565,-0.133,-0.03513302902500992,-0.032522410682117586,-0.06123921245393338,-0.053333333333333344,0.011805040285189694,0.03466666666666662,0.133,-0.03466666666666668,-0.05735233333333345,-0.06067022780615883
stackoverflow,42,0.5,-0.08238455132127886,-0.0058121928813361645,-0.16300000000000003,-0.043663073002935704,-0.03979092517110139,-0.08238455132127886,-0.06733333333333336,0.011462116170912084,0.03600000000000003,0.163,-0.036000000000000004,-0.052677111111111286,-0.05686370420195852
stackoverflow,42,0.75,-0.10333823050614332,0.00011416138913755702,-0.19233333333333336,-0.04818728372859682,-0.042672189050842024,-0.10333823050614332,-0.07866666666666666,0.013467446873308586,0.04466666666666663,0.1923333333333334,-0.044666666666666605,-0.049195777777777616,-0.05447437093145091
stackoverflow,42,1.0,-0.13137340603950098,0.00114850694097679,-0.22100000000000009,-0.05487460884513895,-0.04722472912570275,-0.13137340603950098,-0.09149999999999991,0.013745012611768304,0.04533333333333334,0.22099999999999997,-0.045333333333333406,-0.04671544444444453,-0.05299185663348127
stackoverflow,42,1.25,-0.1584313742953074,0.006029501994068931,-0.2403333333333333,-0.06066251113631038,-0.05088562482041059,-0.1584313742953074,-0.10016666666666674,0.012442417279167617,0.04700000000000004,0.2403333333333333,-0.047000000000000014,-0.045015888888888855,-0.05214439342622479
stackoverflow,42,1.5,-0.19591716137169657,0.014171783967768303,-0.26399999999999996,-0.06765570531614484,-0.05482955971058978,-0.19591716137169657,-0.11133333333333328,0.010824282035458488,0.04833333333333334,0.26400000000000007,-0.048333333333333395,-0.04396066666666676,-0.051805938110395244
stackoverflow,42,2.0,-0.29161125687077244,0.012010797771523585,-0.28933333333333344,-0.08158731271468189,-0.060584918299072976,-0.29161125687077244,-0.12483333333333335,0.008944545722047947,0.03333333333333344,0.28933333333333333,-0.033333333333333395,-0.04283833333333342,-0.05183049216525093
stackoverflow,87,0.0,-0.02408677268131254,-0.00686202686202686,-0.053333333333333344,-0.014698722613949777,-0.013759917607213401,-0.02408677268131254,-0.02200000000000002,0.00525469493057551,0.011666666666666603,0.0533333333333333,-0.011666666666666603,-0.01982633333333328,-0.01765136485135599
stackoverflow,87,0.25,-0.03393734714907437,-0.005674902081109545,-0.07266666666666666,-0.02095612060878682,-0.019657997954757978,-0.03393734714907437,-0.03049999999999997,0.005274696513001387,0.01766666666666672,0.07266666666666668,-0.01766666666666661,-0.02144933333333343,-0.01810782119813681
stackoverflow,87,0.5,-0.0454192245984224,-0.00443845306252344,-0.08999999999999997,-0.027974630267237788,-0.026230170834119382,-0.0454192245984224,-0.03933333333333333,0.0030026448345626955,0.020333333333333314,0.09,-0.020333333333333287,-0.02114477777777779,-0.016470513510217555
stackoverflow,87,0.75,-0.06692154749071744,-0.0044759677838399625,-0.12033333333333329,-0.040539393467054374,-0.03790117806468796,-0.06692154749071744,-0.056333333333333346,-0.0032196682033737156,0.024333333333333318,0.1203333333333334,-0.02433333333333329,-0.019642555555555385,-0.014412972988130823
stackoverflow,87,1.0,-0.08964771584243758,0.00425587917360426,-0.14966666666666673,-0.046374273120997844,-0.04204692884885375,-0.08964771584243758,-0.06933333333333325,-0.004893463174915236,0.03633333333333333,0.14966666666666673,-0.03633333333333341,-0.01772466666666661,-0.01272179419289865
stackoverflow,87,1.25,-0.13113335952694716,0.021419021625109336,-0.19399999999999995,-0.054998065494610726,-0.04738453609137705,-0.13113335952694716,-0.08899999999999997,-0.007182076252533753,0.05366666666666664,0.194,-0.0536666666666666,-0.015759666666666616,-0.011244847881037967
stackoverflow,87,1.5,-0.1932632285490547,0.03198292220113852,-0.2393333333333334,-0.064108867968655,-0.051193431910615095,-0.1932632285490547,-0.10950000000000004,-0.006837191876331694,0.06333333333333324,0.23933333333333334,-0.0633333333333333,-0.014100888888888718,-0.010135786906940503
stackoverflow,87,2.0,-0.33161131788934584,0.0259639728619685,-0.293,-0.08299400371827659,-0.05813227230116946,-0.33161131788934584,-0.13533333333333342,-0.005722779372417386,0.061666666666666536,0.29300000000000004,-0.0616666666666667,-0.011611222222222217,-0.00895184489942602
