dataset,kir,representation,threshold,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate,oos_f1_std,oos_precision_std,oos_recall_std,known_recall_std,false_accept_rate_std,false_reject_rate_std
clinc150,0.5,frozen,1.0,0.893220368395799,0.855607583875966,0.93431884057971,0.7581333333333333,0.24186666666666667,0.06568115942028986,0.005934598500702674,0.008425982936552551,0.004331369823192611,0.01603822594173135,0.016038225941731345,0.004331369823192615
clinc150,0.5,frozen,1.05,0.8909305543659898,0.9043832391740885,0.8779130434782608,0.8576,0.1424,0.12208695652173913,0.0041955314306575805,0.00692002531461047,0.005884843240239526,0.011634771215394343,0.01163477121539431,0.0058848432402395295
clinc150,0.5,frozen,1.1,0.8430601857289035,0.9388366584716754,0.7651594202898551,0.9234666666666665,0.07653333333333334,0.23484057971014494,0.008265853847299083,0.006455711622606214,0.014744765428464177,0.009239742393929197,0.009239742393929214,0.014744765428464195
clinc150,0.5,frozen,1.2,0.4376156555290421,0.9640832441511238,0.2842898550724638,0.9834666666666667,0.016533333333333334,0.7157101449275363,0.04981418101138605,0.010307497029779714,0.0431058446342246,0.00625704541168998,0.006257045411689979,0.0431058446342246
clinc150,0.5,frozen,1.3,0.006670186395579573,0.7861409796893668,0.0033623188405797104,0.9998222222222222,0.00017777777777777779,0.9966376811594202,0.008645429790169244,0.439810732587806,0.004360368382873462,0.0002434322477800926,0.00024343224778007385,0.00436036838287345
clinc150,0.5,trainable,0.75,0.7921073767229925,0.6564626729999434,0.9984927536231885,0.19848888888888888,0.8015111111111111,0.0015072463768115944,0.005574913767377363,0.00805438736254623,0.001270081292765611,0.029418395185812598,0.029418395185812574,0.0012700812927656027
clinc150,0.5,trainable,0.85,0.8406844968343739,0.728286873208489,0.9942608695652174,0.43066666666666664,0.5693333333333334,0.005739130434782609,0.008612600978726275,0.013067662184107166,0.0011484992902121387,0.03796034317970516,0.03796034317970516,0.0011484992902121131
clinc150,0.5,trainable,0.9,0.8666166134798992,0.7714589519306971,0.9886376811594204,0.5505777777777777,0.4494222222222223,0.01136231884057971,0.008422825055217038,0.012131459401328426,0.002513563291441007,0.03006067937429969,0.03006067937429966,0.00251356329144102
clinc150,0.5,trainable,0.95,0.8887545809958265,0.8136207353794331,0.9791884057971014,0.656,0.344,0.02081159420289855,0.005948459214192718,0.007194330245056144,0.004335247505100146,0.014950122836937026,0.014950122836937018,0.0043352475051001175
clinc150,0.5,trainable,1.0,0.9043941395821135,0.8524669219579882,0.9630724637681161,0.7444444444444445,0.25555555555555554,0.036927536231884064,0.004441963320551557,0.002334235081564405,0.00757126750137648,0.0033847880470506474,0.0033847880470506265,0.007571267501376485
clinc150,0.5,trainable,1.05,0.9152882836206488,0.8904296363066676,0.9416231884057972,0.8223111111111111,0.1776888888888889,0.058376811594202896,0.006990085300583087,0.006011133659402087,0.011000372337170938,0.010267532431028504,0.010267532431028516,0.011000372337170944
clinc150,0.5,trainable,1.1,0.914041253818987,0.9203088308584471,0.908,0.8793777777777778,0.12062222222222221,0.092,0.007959523767392796,0.004998578597980083,0.01613402176349934,0.008853261936347574,0.008853261936347537,0.01613402176349934
clinc150,0.5,trainable,1.2,0.8536062396801759,0.9568852354925076,0.7714202898550725,0.9464,0.0536,0.22857971014492753,0.024243128359092064,0.007039096133253686,0.041746979938235694,0.010916518234783927,0.010916518234783944,0.04174697993823569
clinc150,0.5,trainable,1.3,0.683460179662027,0.977123945634208,0.5307826086956522,0.9806222222222223,0.01937777777777778,0.46921739130434786,0.08238570954391722,0.008784562004797748,0.09851947501139935,0.008459635458976067,0.00845963545897608,0.09851947501139936
clinc150,0.75,frozen,0.75,0.6217935412956632,0.45167129121918626,0.9975213675213676,0.15660714285714286,0.8433928571428572,0.002478632478632479,0.001442826173121236,0.0017357687463757459,0.002535452474220727,0.007267025906991074,0.007267025906991082,0.0025354524742207396
clinc150,0.75,frozen,0.85,0.6765012937509922,0.5139322512537551,0.9895726495726496,0.3480952380952381,0.6519047619047619,0.010427350427350428,0.003873356151047529,0.004710281168445518,0.00436441758348264,0.01343182162625556,0.013431821626255586,0.004364417583482661
clinc150,0.75,frozen,0.9,0.7200872399170892,0.5697990832515272,0.9781196581196582,0.4855952380952381,0.5144047619047619,0.02188034188034188,0.005350091639487079,0.006175011786727314,0.0054342442253031975,0.012765741027881219,0.012765741027881238,0.005434244225303191
clinc150,0.75,frozen,0.95,0.767575792797575,0.6398582664061595,0.959059829059829,0.6239285714285714,0.3760714285714286,0.04094017094017094,0.0072449014258187715,0.0090381309064428,0.003288099839601927,0.013739882383551621,0.01373988238355163,0.003288099839601939
clinc150,0.75,frozen,1.0,0.814740502971995,0.7273926500162692,0.9259829059829061,0.7582142857142857,0.24178571428571427,0.07401709401709403,0.00708051943406473,0.009676029866326544,0.004047439484633001,0.011192613144492557,0.01119261314449255,0.004047439484633018
clinc150,0.75,frozen,1.05,0.8301687170438597,0.8050593717916985,0.8569230769230769,0.8554166666666667,0.14458333333333334,0.14307692307692307,0.008657915641513858,0.011772513607189575,0.005349567119072164,0.00993218573588229,0.009932185735882289,0.005349567119072173
clinc150,0.75,frozen,1.1,0.7885683202688489,0.8562507015907904,0.730940170940171,0.914345238095238,0.0856547619047619,0.26905982905982906,0.01490816057150793,0.021946152739850087,0.013492367357723835,0.014363626822993024,0.014363626822993004,0.013492367357723845
clinc150,0.75,frozen,1.2,0.23167737519352616,0.9178479911435679,0.13811965811965812,0.9922023809523809,0.007797619047619048,0.8618803418803418,0.13216026084655924,0.020411905538061475,0.08915117860494384,0.0037017397239847796,0.0037017397239847896,0.08915117860494383
clinc150,0.75,frozen,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,0.75,trainable,0.75,0.6355900220693854,0.46634015022034064,0.997948717948718,0.20410714285714288,0.7958928571428572,0.0020512820512820513,0.009132351323211134,0.00999525988211002,0.001797921706663474,0.032427777112501104,0.0324277771125011,0.0017979217066634726
clinc150,0.75,trainable,0.85,0.7079048647002126,0.5500876422007936,0.9930769230769231,0.4336309523809524,0.5663690476190476,0.006923076923076923,0.011965376738051548,0.01455562899964383,0.0026585181222215015,0.033286797873908064,0.03328679787390803,0.0026585181222215024
clinc150,0.75,trainable,0.9,0.7516369985685906,0.6067562178424686,0.9876068376068377,0.5538690476190476,0.44613095238095235,0.012393162393162394,0.009747488703677839,0.012415938896077417,0.003613575753266616,0.022723560238424267,0.022723560238424284,0.003613575753266616
clinc150,0.75,trainable,0.95,0.7919237677615941,0.665690454058145,0.9773504273504272,0.6579761904761905,0.3420238095238095,0.02264957264957265,0.007923204445567735,0.010717687215017795,0.00408784753626259,0.016065089137700665,0.016065089137700644,0.004087847536262604
clinc150,0.75,trainable,1.0,0.828493223497581,0.7287965627175993,0.9598290598290597,0.7511904761904762,0.2488095238095238,0.040170940170940174,0.005076623944875152,0.007024423170646111,0.003974588726012438,0.008669352180731848,0.008669352180731855,0.003974588726012453
clinc150,0.75,trainable,1.05,0.85650405826257,0.7910309980776288,0.933931623931624,0.8280357142857143,0.1719642857142857,0.06606837606837607,0.006469120994414379,0.010585220262232844,0.009078556680141944,0.011746341761781864,0.011746341761781862,0.009078556680141969
clinc150,0.75,trainable,1.1,0.8654759406052385,0.8412737808188002,0.8915384615384616,0.8826190476190476,0.11738095238095239,0.10846153846153847,0.007007012729498185,0.011068806768958876,0.020743890841211164,0.011980044703106686,0.011980044703106717,0.020743890841211164
clinc150,0.75,trainable,1.2,0.816069792134266,0.9091803494023883,0.7422222222222222,0.9479166666666666,0.05208333333333333,0.2577777777777778,0.02963084818416553,0.012236060687201488,0.05561912864916708,0.011056056917265909,0.011056056917265897,0.055619128649167106
clinc150,0.75,trainable,1.3,0.6383739942422723,0.9508233707945971,0.48829059829059834,0.9824404761904763,0.01755952380952381,0.5117094017094017,0.1036813966401107,0.008778699766058107,0.11975179483470548,0.004858579677772212,0.004858579677772174,0.11975179483470544
stackoverflow,0.25,frozen,0.75,0.8616962167150046,0.7570842097286933,0.9998666666666667,0.03746666666666667,0.9625333333333334,0.00013333333333333334,0.002578935488395153,0.004018919497315702,0.00019876159799996846,0.021120816482534194,0.021120816482534197,0.0001987615979999813
stackoverflow,0.25,frozen,0.85,0.8910024786626305,0.8043416586837171,0.998711111111111,0.2704,0.7296,0.001288888888888889,0.007772561479793738,0.012865967610889253,0.0010703639625593202,0.060054789798797685,0.060054789798797706,0.0010703639625593152
stackoverflow,0.25,frozen,0.9,0.916542953013138,0.8489768980299756,0.9959111111111112,0.46786666666666665,0.5321333333333333,0.004088888888888889,0.006417692486100179,0.012043310074672114,0.0040049352270466595,0.0515307890704404,0.05153078907044041,0.004004935227046687
