dataset,kir,metric,metric_label,n_seeds,trainable_mean,trainable_std,adb_mean,adb_std,delta_mean,delta_std,ci95_low,ci95_high,trainable_wins,ties,adb_wins
banking77,0.75,accuracy,Accuracy,5,0.7968831168831169,0.012071199777073514,0.8097402597402598,0.006473182479667836,-0.012857142857142855,0.015701669294069985,-0.025129870129870113,-0.0005844155844155985,2,0,3
clinc150,0.25,oos_f1,OOS F1,5,0.9516427437131565,0.006493831244298979,0.9159889886308769,0.008849432268593504,0.03565375508227973,0.006878914592102647,0.029965605564625554,0.040189591483951334,5,0,0
clinc150,0.25,f1_all,F1-All,5,0.7968993956538231,0.019459710746000586,0.7660720279508786,0.011466047338042894,0.03082736770294463,0.01459316089393209,0.01918029572889557,0.042453462275092654,5,0,0
clinc150,0.25,known_recall,Known Recall,5,0.7363157894736843,0.008358687192681818,0.9098245614035088,0.009103386887101434,-0.1735087719298246,0.015437101203504808,-0.18526315789473677,-0.16175438596491237,0,0,5
clinc150,0.25,false_accept_rate,False Acceptance,5,0.03236842105263154,0.011023527540387061,0.1358333333333333,0.016688726167742005,-0.10346491228070176,0.013184731404074912,-0.11223684210526316,-0.09276315789473685,0,0,5
clinc150,0.25,false_reject_rate,False Rejection,5,0.2636842105263158,0.008358687192681848,0.0901754385964912,0.009103386887101494,0.17350877192982458,0.015437101203504906,0.16175438596491226,0.18596491228070178,5,0,0
clinc150,0.25,accuracy,Accuracy,5,0.9208421052631579,0.010334063060642464,0.871859649122807,0.012087197299858741,0.048982456140350815,0.009546020137297027,0.04063157894736837,0.05494912280701743,5,0,0
clinc150,0.5,oos_f1,OOS F1,5,0.9043941395821132,0.004441963320551504,0.8938844397002997,0.009122952561006873,0.01050969988181374,0.009666026456336968,0.003329620978133252,0.01821171739798013,5,0,0
clinc150,0.5,f1_all,F1-All,5,0.8181661694793956,0.009203410142646926,0.8548784512673053,0.0077244232283480325,-0.03671228178790971,0.01258898612674587,-0.04727548031209221,-0.02725203100954763,0,0,5
clinc150,0.5,known_recall,Known Recall,5,0.7444444444444445,0.0033847880470506565,0.9084444444444445,0.006053261543056141,-0.164,0.00793180813225551,-0.17013333333333344,-0.15795555555555554,0,0,5
clinc150,0.5,false_accept_rate,False Acceptance,5,0.036927536231884016,0.007571267501376491,0.14347826086956517,0.01829075079916929,-0.10655072463768116,0.017907320505990407,-0.1209855072463768,-0.0932173913043478,0,0,5
clinc150,0.5,false_reject_rate,False Rejection,5,0.25555555555555554,0.0033847880470506382,0.09155555555555553,0.006053261543056131,0.16399999999999998,0.007931808132255467,0.15795555555555554,0.1701333333333334,5,0,0
clinc150,0.5,accuracy,Accuracy,5,0.8734035087719298,0.006461048858704835,0.872140350877193,0.009788781966381202,0.001263157894736855,0.010906440587614604,-0.006807017543859662,0.01045614035087723,2,0,3
clinc150,0.75,oos_f1,OOS F1,5,0.828493223497581,0.005076623944875164,0.8476053339614911,0.013541641289364007,-0.019112110463909992,0.014856456044782255,-0.02966529041849437,-0.006674544014056205,1,0,4
clinc150,0.75,f1_all,F1-All,5,0.8291245798894671,0.007668826723022183,0.8852315877334233,0.006396575792751859,-0.0561070078439561,0.010298675601262235,-0.06491632083221835,-0.04912192197444536,0,0,5
clinc150,0.75,known_recall,Known Recall,5,0.7511904761904763,0.008669352180731855,0.9153571428571426,0.0017045025075328863,-0.1641666666666666,0.00871673300270018,-0.17113095238095224,-0.1579761904761904,0,0,5
clinc150,0.75,false_accept_rate,False Acceptance,5,0.04017094017094012,0.003974588726012444,0.17487179487179483,0.02302621843323259,-0.13470085470085472,0.024880824865315915,-0.1551282051282051,-0.11598290598290599,0,0,5
