dataset,kir,seed,oos_f1_trainable,f1_all_trainable,known_recall_trainable,false_accept_rate_trainable,false_reject_rate_trainable,accuracy_trainable,oos_f1_adb,f1_all_adb,known_recall_adb,false_accept_rate_adb,false_reject_rate_adb,accuracy_adb,delta_oos_f1,delta_f1_all,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy
clinc150,0.25,42,0.9479594040164112,0.7837064085470472,0.7263157894736842,0.0372807017543859,0.2736842105263158,0.9150877192982456,0.910921222053143,0.7663535261418625,0.9192982456140352,0.1467105263157894,0.0807017543859649,0.8656140350877193,0.037038181963268246,0.017352882405184733,-0.19298245614035092,-0.1094298245614035,0.19298245614035092,0.049473684210526336
clinc150,0.25,87,0.9473684210526316,0.7856815672130488,0.736842105263158,0.0407894736842105,0.2631578947368421,0.9140350877192982,0.9073250643575942,0.75641118130895,0.9043859649122808,0.1497807017543859,0.0956140350877193,0.8598245614035088,0.040043356695037446,0.029270385904098806,-0.16754385964912288,-0.1089912280701754,0.16754385964912277,0.054210526315789376
clinc150,0.25,100,0.9625347891243844,0.8293119919847214,0.7491228070175439,0.0140350877192982,0.2508771929824561,0.9380701754385964,0.9275794789395156,0.7835889823692566,0.9017543859649124,0.1138157894736842,0.0982456140350877,0.8882456140350877,0.03495531018486875,0.04572300961546483,-0.15263157894736856,-0.099780701754386,0.1526315789473684,0.04982456140350866
clinc150,0.25,123,0.9475392103839914,0.7847672034972499,0.7324561403508771,0.0394736842105263,0.2675438596491228,0.9140350877192982,0.923218814848974,0.7688045395322451,0.9035087719298246,0.1219298245614035,0.0964912280701754,0.8808771929824561,0.024320395535017414,0.015962663965004786,-0.17105263157894746,-0.0824561403508772,0.1710526315789474,0.03315789473684205
clinc150,0.5,13,0.9070904645476772,0.8261993158424226,0.7453333333333334,0.0321739130434782,0.2546666666666666,0.878421052631579,0.8846036118763392,0.847028221063736,0.9137777777777778,0.1623188405797101,0.0862222222222222,0.8617543859649123,0.022486852671337987,-0.02082890522131342,-0.1684444444444444,-0.1301449275362319,0.1684444444444444,0.01666666666666672
clinc150,0.5,42,0.8971451987433411,0.8075141354234163,0.739111111111111,0.0481159420289855,0.2608888888888889,0.8642105263157894,0.8952236542835481,0.8629732972097436,0.9142222222222224,0.1443478260869565,0.0857777777777777,0.8750877192982456,0.0019215444597929787,-0.05545916178632726,-0.17511111111111133,-0.096231884057971,0.1751111111111112,-0.010877192982456152
clinc150,0.5,87,0.9086720867208672,0.8234017136184874,0.7435555555555555,0.0281159420289855,0.2564444444444444,0.8792982456140351,0.9041300134188162,0.8549358284868578,0.9,0.121159420289855,0.1,0.8810526315789474,0.004542073302051031,-0.03153411486837043,-0.1564444444444445,-0.0930434782608695,0.1564444444444444,-0.0017543859649122862
clinc150,0.5,100,0.9051512673753066,0.8249194600480021,0.748,0.037391304347826,0.252,0.8757894736842106,0.901019796040792,0.8621928857784307,0.9048888888888889,0.1292753623188405,0.0951111111111111,0.8810526315789474,0.004131471334514636,-0.03727342573042858,-0.15688888888888886,-0.09188405797101448,0.1568888888888889,-0.0052631578947368585
clinc150,0.5,123,0.9039116805233748,0.8087962224646499,0.7462222222222222,0.0388405797101449,0.2537777777777777,0.8692982456140351,0.8844451228820027,0.8472620237977587,0.9093333333333332,0.1602898550724637,0.0906666666666666,0.8617543859649123,0.019466557641372062,-0.03846580133310884,-0.16311111111111098,-0.12144927536231881,0.1631111111111111,0.007543859649122853
clinc150,0.75,13,0.8230088495575221,0.8206112737544194,0.7464285714285714,0.0461538461538461,0.2535714285714285,0.8228070175438597,0.8564603691639522,0.8928335631561162,0.912797619047619,0.1572649572649572,0.0872023809523809,0.8750877192982456,-0.03345151960643011,-0.07222228940169673,-0.16636904761904758,-0.1111111111111111,0.16636904761904758,-0.05228070175438593
clinc150,0.75,42,0.823141706334676,0.824382257045602,0.7398809523809524,0.0393162393162393,0.2601190476190476,0.8259649122807018,0.8380656610470275,0.8821087030764226,0.9169642857142856,0.1927350427350427,0.0830357142857142,0.8614035087719298,-0.014923954712351528,-0.057726446030820666,-0.17708333333333315,-0.15341880341880337,0.17708333333333337,-0.03543859649122805
clinc150,0.75,87,0.8302650957290133,0.827797940585045,0.7508928571428571,0.0363247863247863,0.2491071428571428,0.8312280701754386,0.8605560382276282,0.8833395042756239,0.9157738095238096,0.1534188034188034,0.0842261904761904,0.8728070175438597,-0.03029094249861486,-0.05554156369057894,-0.16488095238095246,-0.1170940170940171,0.1648809523809524,-0.04157894736842105
clinc150,0.75,100,0.8333023601561048,0.840427967758085,0.762202380952381,0.0418803418803418,0.237797619047619,0.8385964912280702,0.8541438880384867,0.8906162576832659,0.9166666666666666,0.1653846153846153,0.0833333333333333,0.873859649122807,-0.020841527882381916,-0.05018828992518087,-0.1544642857142856,-0.1235042735042735,0.15446428571428572,-0.035263157894736774
clinc150,0.75,123,0.8327481057105895,0.8324034603041841,0.756547619047619,0.0371794871794871,0.2434523809523809,0.8343859649122807,0.8288007133303611,0.8772599104756874,0.9145833333333332,0.2055555555555555,0.0854166666666666,0.8536842105263158,0.003947392380228454,-0.044856450171503304,-0.15803571428571417,-0.1683760683760684,0.15803571428571428,-0.019298245614035148
stackoverflow,0.25,13,0.9348581679560488,0.8376694373285117,0.8333333333333334,0.0735555555555555,0.1666666666666666,0.9015,0.9038615790076772,0.7885667375080986,0.8113333333333334,0.1235555555555555,0.1886666666666666,0.859,0.03099658894837165,0.049102699820413154,0.02200000000000002,-0.05,-0.021999999999999992,0.04249999999999998
stackoverflow,0.25,42,0.9546207353428288,0.8737185899712864,0.844,0.0393333333333333,0.156,0.9298333333333332,0.9313560274126502,0.8260556537302852,0.8293333333333334,0.0788888888888888,0.1706666666666666,0.897,0.02326470793017854,0.04766293624100115,0.014666666666666606,-0.039555555555555504,-0.014666666666666606,0.03283333333333316
stackoverflow,0.25,87,0.961905807443188,0.886162434075719,0.848,0.0264444444444444,0.152,0.9398333333333332,0.9320780094149294,0.8236109072046314,0.824,0.076,0.176,0.8975,0.029827798028258634,0.06255152687108767,0.02400000000000002,-0.0495555555555556,-0.023999999999999994,0.04233333333333322
stackoverflow,0.25,100,0.9664517539066768,0.9008138022892632,0.8473333333333333,0.0173333333333333,0.1526666666666666,0.9478333333333332,0.9372394366197184,0.8464983881333218,0.856,0.0757777777777777,0.144,0.9061666666666668,0.02921231728695839,0.05431541415594143,-0.008666666666666711,-0.058444444444444396,0.0086666666666666,0.04166666666666641
stackoverflow,0.25,123,0.9561480828558836,0.8834991622766871,0.842,0.0357777777777777,0.158,0.9333333333333332,0.9522434473567304,0.8711491190139018,0.8553333333333333,0.0473333333333333,0.1446666666666666,0.9276666666666666,0.0039046354991532084,0.012350043262785326,-0.013333333333333308,-0.011555555555555597,0.013333333333333391,0.005666666666666598
stackoverflow,0.5,13,0.8565782973818541,0.8523954175911279,0.8426666666666667,0.133,0.1573333333333333,0.8496666666666667,0.8722354813046937,0.858630722269664,0.8186666666666667,0.0863333333333333,0.1813333333333333,0.8633333333333333,-0.015657183922839657,-0.006235304678536058,0.02400000000000002,0.046666666666666703,-0.023999999999999994,-0.013666666666666605
stackoverflow,0.5,42,0.8754826254826255,0.8576590966593717,0.835,0.093,0.165,0.8648333333333333,0.8595275590551181,0.8424658460007557,0.793,0.0903333333333333,0.207,0.8485,0.015955066427507325,0.015193250658615987,0.041999999999999926,0.002666666666666706,-0.04199999999999998,0.01633333333333331
stackoverflow,0.5,87,0.8692120227457352,0.8595641369722073,0.84,0.1083333333333333,0.16,0.8601666666666666,0.8702386597123439,0.8535076131942761,0.8086666666666666,0.0823333333333333,0.1913333333333333,0.8601666666666666,-0.0010266369666087627,0.0060565237779312,0.031333333333333324,0.025999999999999995,-0.031333333333333296,0.0
stackoverflow,0.5,100,0.9016032694121344,0.8835864480412401,0.8353333333333334,0.044,0.1646666666666666,0.892,0.8911543287327478,0.873819667084345,0.8216666666666667,0.053,0.1783333333333333,0.8823333333333333,0.01044894067938662,0.009766780956895094,0.013666666666666716,-0.009000000000000001,-0.013666666666666688,0.009666666666666712
stackoverflow,0.5,123,0.8806571106458367,0.874333776004836,0.8416666666666667,0.0886666666666666,0.1583333333333333,0.874,0.8674388674388674,0.8618287048307584,0.8266666666666667,0.1013333333333333,0.1733333333333333,0.8605,0.013218243206969293,0.01250507117407762,0.015000000000000013,-0.012666666666666701,-0.015000000000000013,0.013499999999999956
stackoverflow,0.75,13,0.7781475318912923,0.8731885403519126,0.8437777777777777,0.0646666666666666,0.1562222222222222,0.849,0.7476484815909702,0.8603404703995975,0.8155555555555556,0.0726666666666666,0.1844444444444444,0.8308333333333333,0.030499050300322073,0.012848069952315133,0.02822222222222215,-0.008000000000000007,-0.028222222222222204,0.018166666666666664
stackoverflow,0.75,42,0.748558246828143,0.871379383978064,0.8511111111111112,0.1346666666666666,0.1488888888888888,0.8403333333333334,0.7257764799575259,0.8588470066424492,0.8,0.0886666666666666,0.2,0.8231666666666667,0.02278176687061706,0.012532377335614853,0.05111111111111111,0.046,-0.05111111111111122,0.017166666666666663
stackoverflow,0.75,87,0.7736311631707982,0.867446594850703,0.8331111111111111,0.0533333333333333,0.1668888888888889,0.843,0.739324076499869,0.8536739364937034,0.7986666666666666,0.0593333333333333,0.2013333333333333,0.823,0.03430708667092919,0.01377265835699959,0.0344444444444445,-0.005999999999999998,-0.034444444444444416,0.020000000000000018
stackoverflow,0.75,100,0.7201610583836641,0.8677509570516391,0.8388888888888889,0.1653333333333333,0.1611111111111111,0.8288333333333333,0.7273216689098251,0.8628631879328779,0.808,0.0993333333333333,0.192,0.827,-0.007160610526161015,0.004887769118761209,0.030888888888888855,0.066,-0.03088888888888891,0.0018333333333333535
stackoverflow,0.75,123,0.7946912242686891,0.8842356034374308,0.8388888888888889,0.022,0.1611111111111111,0.8608333333333333,0.7449062754686226,0.8635658042606278,0.82,0.086,0.18,0.832,0.04978494880006645,0.020669799176803005,0.018888888888888955,-0.064,-0.0188888888888889,0.028833333333333377
