dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
banking77,0.75,100,mahalanobis_diag_mean_std,0.5249632892804699,0.5875678558933541,0.4616379310344828,0.0592105263157894,140.0,0.4653161448741559,0.3764771562065357,0.25,0.0026315789473684,140.0,0.05964714440631397,0.21109069968681843,0.2116379310344828,0.056578947368421
banking77,0.75,123,euclidean_mean,0.4761306532663316,0.4190987558031048,0.2818965517241379,0.0026315789473684,147.0,0.4632285627097955,0.3684388144059788,0.2422413793103448,0.0013157894736842,147.0,0.012902090556536072,0.050659941397125985,0.0396551724137931,0.0013157894736842
banking77,0.75,123,euclidean_mean_std,0.5538116591928252,0.6209499677648024,0.4935344827586206,0.025,147.0,0.4632285627097955,0.3684388144059788,0.2422413793103448,0.0013157894736842,147.0,0.09058309648302965,0.25251115335882357,0.2512931034482758,0.0236842105263158
banking77,0.75,123,mahalanobis_diag_mean,0.4632285627097955,0.3684388144059788,0.2422413793103448,0.0013157894736842,147.0,0.4632285627097955,0.3684388144059788,0.2422413793103448,0.0013157894736842,147.0,0.0,0.0,0.0,0.0
banking77,0.75,123,mahalanobis_diag_mean_std,0.5299326957137797,0.5657502333249466,0.4331896551724138,0.0157894736842105,147.0,0.4632285627097955,0.3684388144059788,0.2422413793103448,0.0013157894736842,147.0,0.06670413300398415,0.19731141891896775,0.190948275862069,0.014473684210526298
clinc150,0.25,13,euclidean_mean,0.9259297203155414,0.552799420888672,0.4017543859649123,0.0089912280701754,61.0,0.92218374414341,0.5074921147822329,0.3587719298245614,0.0072368421052631,61.0,0.00374597617213146,0.04530730610643907,0.0429824561403509,0.001754385964912301
clinc150,0.25,13,euclidean_mean_std,0.9472216262604592,0.7676649212690102,0.6956140350877194,0.031798245614035,61.0,0.92218374414341,0.5074921147822329,0.3587719298245614,0.0072368421052631,61.0,0.02503788211704927,0.2601728064867773,0.33684210526315794,0.0245614035087719
clinc150,0.25,13,mahalanobis_diag_mean,0.92218374414341,0.5074921147822329,0.3587719298245614,0.0072368421052631,61.0,0.92218374414341,0.5074921147822329,0.3587719298245614,0.0072368421052631,61.0,0.0,0.0,0.0,0.0
clinc150,0.25,13,mahalanobis_diag_mean_std,0.9441786283891548,0.7325053051951195,0.6447368421052632,0.0263157894736842,61.0,0.92218374414341,0.5074921147822329,0.3587719298245614,0.0072368421052631,61.0,0.021994884245744806,0.2250131904128866,0.28596491228070176,0.019078947368421098
clinc150,0.25,42,euclidean_mean,0.9190780789927911,0.4690188607303663,0.3307017543859649,0.0074561403508771,77.0,0.9151038515829804,0.4129480678588679,0.2807017543859649,0.0048245614035087,77.0,0.003974227409810793,0.05607079287149841,0.04999999999999999,0.0026315789473683997
