dataset,true_label,MOGB-MiniLM__known_correct,MOGB-MiniLM__known_rejected,MOGB-MiniLM__known_wrong_intent,S2C-Frozen-K1__known_correct,S2C-Frozen-K1__known_rejected,S2C-Frozen-K1__known_wrong_intent,S2C-Trainable-K1__known_correct,S2C-Trainable-K1__known_rejected,S2C-Trainable-K1__known_wrong_intent,n_samples,mogb_minus_s2c_reject_gap_pp,mogb_minus_s2c_correct_gap_pp
clinc150,bill_due,0.26666666666666666,0.7333333333333333,0.0,0.8666666666666667,0.13333333333333333,0.0,0.75,0.25,0.0,180,48.33333333333333,48.333333333333336
clinc150,book_flight,0.11666666666666667,0.8833333333333333,0.0,0.7666666666666667,0.23333333333333334,0.0,0.6333333333333333,0.36666666666666664,0.0,360,51.66666666666666,51.66666666666666
clinc150,book_hotel,0.16666666666666666,0.8333333333333334,0.0,0.6666666666666666,0.3333333333333333,0.0,0.7666666666666667,0.23333333333333334,0.0,90,60.00000000000001,60.00000000000001
clinc150,calculator,0.13333333333333333,0.8666666666666667,0.0,0.8666666666666667,0.10833333333333334,0.025,0.825,0.15833333333333333,0.016666666666666666,360,70.83333333333334,69.16666666666667
clinc150,calendar,0.22666666666666666,0.7666666666666667,0.006666666666666667,0.6666666666666666,0.28,0.05333333333333334,0.5733333333333334,0.4066666666666667,0.02,450,36.00000000000001,34.66666666666667
clinc150,calendar_update,0.06666666666666667,0.9333333333333333,0.0,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.8333333333333334,0.16666666666666666,0.0,90,76.66666666666667,76.66666666666667
clinc150,calories,0.0,1.0,0.0,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.8,0.2,0.0,90,80.0,80.0
clinc150,cancel,0.2,0.8,0.0,0.9,0.1,0.0,0.8,0.2,0.0,270,60.00000000000001,60.00000000000001
clinc150,cancel_reservation,0.49166666666666664,0.5083333333333333,0.0,0.9666666666666667,0.03333333333333333,0.0,0.9916666666666667,0.008333333333333333,0.0,360,49.99999999999999,50.0
clinc150,car_rental,0.23333333333333334,0.7666666666666667,0.0,0.6333333333333333,0.36666666666666664,0.0,0.6333333333333333,0.36666666666666664,0.0,90,40.00000000000001,40.0
clinc150,card_declined,0.2222222222222222,0.7777777777777778,0.0,0.5666666666666667,0.35555555555555557,0.07777777777777778,0.5555555555555556,0.4222222222222222,0.022222222222222223,270,35.55555555555556,33.333333333333336
clinc150,carry_on,0.43333333333333335,0.5666666666666667,0.0,0.7666666666666667,0.23333333333333334,0.0,0.75,0.25,0.0,180,31.666666666666664,31.666666666666664
clinc150,change_accent,0.26666666666666666,0.7333333333333333,0.0,0.6666666666666666,0.32222222222222224,0.011111111111111112,0.6111111111111112,0.3888888888888889,0.0,270,34.444444444444436,34.44444444444445
clinc150,change_ai_name,0.09166666666666666,0.9083333333333333,0.0,0.525,0.3,0.175,0.6,0.325,0.075,360,58.33333333333333,50.83333333333333
clinc150,change_language,0.08888888888888889,0.9111111111111111,0.0,0.8666666666666667,0.13333333333333333,0.0,0.7777777777777778,0.2222222222222222,0.0,270,68.88888888888889,68.88888888888889
clinc150,change_speed,0.4,0.6,0.0,0.8666666666666667,0.13333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,450,43.333333333333336,43.333333333333336
clinc150,change_user_name,0.016666666666666666,0.95,0.03333333333333333,0.5333333333333333,0.26666666666666666,0.2,0.6166666666666667,0.26666666666666666,0.11666666666666667,180,68.33333333333333,60.0
clinc150,change_volume,0.2222222222222222,0.7777777777777778,0.0,0.6333333333333333,0.32222222222222224,0.044444444444444446,0.6333333333333333,0.35555555555555557,0.011111111111111112,270,42.22222222222222,41.11111111111111
clinc150,confirm_reservation,0.13333333333333333,0.8666666666666667,0.0,0.6111111111111112,0.34444444444444444,0.044444444444444446,0.6,0.36666666666666664,0.03333333333333333,270,50.0,46.666666666666664
clinc150,cook_time,0.3333333333333333,0.6666666666666666,0.0,0.8888888888888888,0.08888888888888889,0.022222222222222223,0.8333333333333334,0.16666666666666666,0.0,270,50.0,50.0
clinc150,credit_limit,0.125,0.875,0.0,0.6333333333333333,0.3416666666666667,0.025,0.5583333333333333,0.44166666666666665,0.0,360,43.333333333333336,43.333333333333336
clinc150,credit_limit_change,0.5266666666666666,0.47333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,0.84,0.16,0.0,450,31.333333333333336,31.333333333333336
clinc150,credit_score,0.3333333333333333,0.6666666666666666,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7166666666666667,0.2833333333333333,0.0,180,38.33333333333333,38.333333333333336
clinc150,current_location,0.45,0.55,0.0,0.8,0.2,0.0,0.8083333333333333,0.19166666666666668,0.0,360,35.83333333333334,35.833333333333336
clinc150,damaged_card,0.375,0.625,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7333333333333333,0.26666666666666666,0.0,360,35.833333333333336,35.83333333333333
clinc150,date,0.35333333333333333,0.6466666666666666,0.0,0.9333333333333333,0.06666666666666667,0.0,0.88,0.09333333333333334,0.02666666666666667,450,55.33333333333332,52.666666666666664
clinc150,direct_deposit,0.43333333333333335,0.5666666666666667,0.0,0.8,0.2,0.0,0.7444444444444445,0.25555555555555554,0.0,270,31.11111111111111,31.11111111111111
clinc150,directions,0.011111111111111112,0.9888888888888889,0.0,0.5666666666666667,0.43333333333333335,0.0,0.6,0.4,0.0,270,58.88888888888889,58.88888888888889
clinc150,distance,0.13333333333333333,0.8666666666666667,0.0,0.7222222222222222,0.23333333333333334,0.044444444444444446,0.5888888888888889,0.3888888888888889,0.022222222222222223,270,47.77777777777778,45.55555555555556
clinc150,do_you_have_pets,0.6333333333333333,0.36666666666666664,0.0,0.8666666666666667,0.13333333333333333,0.0,0.85,0.15,0.0,180,21.666666666666664,21.666666666666668
clinc150,exchange_rate,0.2,0.8,0.0,0.7666666666666667,0.23333333333333334,0.0,0.75,0.25,0.0,180,55.00000000000001,55.00000000000001
clinc150,expiration_date,0.48333333333333334,0.5166666666666667,0.0,0.8,0.16666666666666666,0.03333333333333333,0.7666666666666667,0.2,0.03333333333333333,180,31.66666666666667,28.33333333333334
clinc150,find_phone,0.4,0.6,0.0,0.9666666666666667,0.03333333333333333,0.0,0.8666666666666667,0.13333333333333333,0.0,180,46.666666666666664,46.666666666666664
clinc150,flight_status,0.15833333333333333,0.8416666666666667,0.0,0.7,0.3,0.0,0.6583333333333333,0.3416666666666667,0.0,360,50.0,50.0
clinc150,flip_coin,0.5888888888888889,0.4111111111111111,0.0,0.8,0.2,0.0,0.8444444444444444,0.15555555555555556,0.0,270,25.555555555555554,25.555555555555554
clinc150,food_last,0.16666666666666666,0.8333333333333334,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7416666666666667,0.25833333333333336,0.0,360,57.49999999999999,57.50000000000001
clinc150,freeze_account,0.5416666666666666,0.4583333333333333,0.0,0.8666666666666667,0.13333333333333333,0.0,0.7916666666666666,0.20833333333333334,0.0,360,24.999999999999996,25.0
clinc150,fun_fact,0.3,0.7,0.0,0.8666666666666667,0.13333333333333333,0.0,0.8,0.2,0.0,270,49.99999999999999,50.0
clinc150,gas,0.36666666666666664,0.6333333333333333,0.0,0.7,0.3,0.0,0.6666666666666666,0.3333333333333333,0.0,90,30.0,30.0
clinc150,gas_type,0.6,0.4,0.0,0.9,0.1,0.0,0.9,0.1,0.0,90,30.000000000000004,30.000000000000004
clinc150,goodbye,0.2,0.8,0.0,0.8,0.13333333333333333,0.06666666666666667,0.8666666666666667,0.13333333333333333,0.0,90,66.66666666666667,66.66666666666667
clinc150,greeting,0.3333333333333333,0.6666666666666666,0.0,0.9166666666666666,0.06666666666666667,0.016666666666666666,0.8666666666666667,0.13333333333333333,0.0,180,53.333333333333336,53.33333333333334
clinc150,how_busy,0.17777777777777778,0.8,0.022222222222222223,0.7,0.26666666666666666,0.03333333333333333,0.6333333333333333,0.3333333333333333,0.03333333333333333,270,46.66666666666667,45.55555555555555
clinc150,how_old_are_you,0.5,0.5,0.0,0.9666666666666667,0.03333333333333333,0.0,0.9,0.1,0.0,90,40.0,40.0
clinc150,improve_credit_score,0.45,0.55,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7,0.3,0.0,180,25.000000000000007,24.999999999999993
clinc150,income,0.4666666666666667,0.5333333333333333,0.0,0.8,0.18888888888888888,0.011111111111111112,0.7666666666666667,0.2222222222222222,0.011111111111111112,270,31.11111111111111,30.000000000000004
clinc150,ingredient_substitution,0.08333333333333333,0.9166666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6833333333333333,0.31666666666666665,0.0,180,60.0,60.0
clinc150,ingredients_list,0.16666666666666666,0.8333333333333334,0.0,0.7666666666666667,0.2,0.03333333333333333,0.6555555555555556,0.3111111111111111,0.03333333333333333,270,52.22222222222223,48.88888888888889
clinc150,insurance,0.5666666666666667,0.43333333333333335,0.0,0.9666666666666667,0.03333333333333333,0.0,1.0,0.0,0.0,90,43.333333333333336,43.333333333333336
clinc150,insurance_change,0.5666666666666667,0.43333333333333335,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7666666666666667,0.23333333333333334,0.0,90,20.0,20.000000000000007
clinc150,interest_rate,0.4,0.6,0.0,0.6833333333333333,0.3,0.016666666666666666,0.65,0.3333333333333333,0.016666666666666666,180,26.666666666666668,25.0
clinc150,international_fees,0.32222222222222224,0.6777777777777778,0.0,0.7,0.3,0.0,0.7333333333333333,0.26666666666666666,0.0,270,41.111111111111114,41.11111111111111
clinc150,jump_start,0.6333333333333333,0.36666666666666664,0.0,0.7333333333333333,0.26666666666666666,0.0,0.8111111111111111,0.18888888888888888,0.0,270,17.777777777777775,17.777777777777782
clinc150,last_maintenance,0.6333333333333333,0.36666666666666664,0.0,0.8166666666666667,0.1,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.0,180,20.0,20.000000000000007
clinc150,lost_luggage,0.7666666666666667,0.23333333333333334,0.0,0.9666666666666667,0.03333333333333333,0.0,0.9222222222222223,0.07777777777777778,0.0,270,15.555555555555555,15.555555555555555
clinc150,make_call,0.25555555555555554,0.7444444444444445,0.0,0.7666666666666667,0.23333333333333334,0.0,0.7111111111111111,0.28888888888888886,0.0,270,45.55555555555556,45.55555555555556
clinc150,maybe,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8,0.2,0.0,270,63.33333333333333,63.33333333333334
clinc150,meal_suggestion,0.18333333333333332,0.8166666666666667,0.0,0.5666666666666667,0.4166666666666667,0.016666666666666666,0.55,0.45,0.0,180,36.666666666666664,36.66666666666667
clinc150,meaning_of_life,0.4666666666666667,0.5333333333333333,0.0,0.8666666666666667,0.13333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,270,36.66666666666667,36.66666666666667
clinc150,measurement_conversion,0.26666666666666666,0.7333333333333333,0.0,0.9,0.1,0.0,0.8166666666666667,0.18333333333333332,0.0,360,54.99999999999999,55.00000000000001
clinc150,meeting_schedule,0.1,0.9,0.0,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.6,0.4,0.0,90,50.0,50.0
clinc150,min_payment,0.23333333333333334,0.7666666666666667,0.0,0.9333333333333333,0.06666666666666667,0.0,0.8666666666666667,0.13333333333333333,0.0,90,63.33333333333334,63.33333333333333
clinc150,mpg,0.6333333333333333,0.36666666666666664,0.0,0.9333333333333333,0.06666666666666667,0.0,0.9666666666666667,0.03333333333333333,0.0,90,33.33333333333333,33.333333333333336
clinc150,new_card,0.3,0.7,0.0,0.6333333333333333,0.36666666666666664,0.0,0.6333333333333333,0.36666666666666664,0.0,180,33.33333333333333,33.33333333333333
clinc150,next_holiday,0.3333333333333333,0.6666666666666666,0.0,0.9,0.06666666666666667,0.03333333333333333,0.8666666666666667,0.1,0.03333333333333333,90,56.666666666666664,53.33333333333334
clinc150,next_song,0.26666666666666666,0.7333333333333333,0.0,0.7,0.2833333333333333,0.016666666666666666,0.6666666666666666,0.3333333333333333,0.0,180,40.0,40.0
clinc150,no,0.4,0.6,0.0,0.9666666666666667,0.03333333333333333,0.0,0.9,0.08333333333333333,0.016666666666666666,180,51.66666666666666,50.0
clinc150,nutrition_info,0.35,0.65,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,180,48.33333333333334,48.33333333333334
clinc150,oil_change_how,0.6888888888888889,0.3111111111111111,0.0,0.9,0.1,0.0,0.8333333333333334,0.16666666666666666,0.0,270,14.444444444444446,14.444444444444448
clinc150,oil_change_when,0.4,0.6,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7666666666666667,0.23333333333333334,0.0,180,36.666666666666664,36.66666666666667
clinc150,order,0.06666666666666667,0.9333333333333333,0.0,0.5666666666666667,0.43333333333333335,0.0,0.5166666666666667,0.48333333333333334,0.0,180,45.0,45.00000000000001
clinc150,order_checks,0.4166666666666667,0.5833333333333334,0.0,0.9,0.1,0.0,0.8916666666666667,0.10833333333333334,0.0,360,47.5,47.5
clinc150,order_status,0.23333333333333334,0.7666666666666667,0.0,0.6333333333333333,0.36666666666666664,0.0,0.7,0.3,0.0,270,46.66666666666667,46.666666666666664
clinc150,pay_bill,0.3333333333333333,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7333333333333333,0.26666666666666666,0.0,90,40.0,40.0
clinc150,payday,0.3333333333333333,0.6666666666666666,0.0,0.7333333333333333,0.26666666666666666,0.0,0.7166666666666667,0.26666666666666666,0.016666666666666666,180,40.0,38.333333333333336
clinc150,pin_change,0.36666666666666664,0.6333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5666666666666667,0.43333333333333335,0.0,90,19.999999999999996,20.0
clinc150,play_music,0.11666666666666667,0.8833333333333333,0.0,0.6,0.35,0.05,0.5166666666666667,0.48333333333333334,0.0,180,40.0,40.0
clinc150,plug_type,0.5333333333333333,0.4666666666666667,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7888888888888889,0.2111111111111111,0.0,270,25.555555555555554,25.555555555555554
clinc150,pto_balance,0.11666666666666667,0.8833333333333333,0.0,0.8166666666666667,0.0,0.18333333333333332,0.85,0.13333333333333333,0.016666666666666666,180,75.0,73.33333333333333
clinc150,pto_request,0.26666666666666666,0.7333333333333333,0.0,0.26666666666666666,0.3,0.43333333333333335,0.6,0.36666666666666664,0.03333333333333333,180,36.666666666666664,33.33333333333333
clinc150,pto_request_status,0.4777777777777778,0.5222222222222223,0.0,0.6333333333333333,0.3333333333333333,0.03333333333333333,0.7,0.3,0.0,270,22.222222222222225,22.222222222222214
