dataset,method,gold_type,score_bin,sample_count,failure_rate,class_mass_rate,method_label
clinc150,S2C-Frozen-K2,Known,<0.4,18,0.0,0.0016,Frozen K=2
clinc150,S2C-Frozen-K2,Known,0.4–0.6,401,0.0,0.035644444444444444,Frozen K=2
clinc150,S2C-Frozen-K2,Known,0.6–0.8,2432,0.0,0.21617777777777777,Frozen K=2
clinc150,S2C-Frozen-K2,Known,0.8–1.0,5602,0.0,0.49795555555555554,Frozen K=2
clinc150,S2C-Frozen-K2,Known,1.0–1.2,2470,1.0,0.21955555555555556,Frozen K=2
clinc150,S2C-Frozen-K2,Known,1.2–1.4,280,1.0,0.024888888888888887,Frozen K=2
clinc150,S2C-Frozen-K2,Known,1.4–1.6,47,1.0,0.004177777777777778,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,0.6–0.8,64,1.0,0.0037101449275362317,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,0.8–1.0,1047,1.0,0.060695652173913046,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,1.0–1.2,8573,0.0,0.4969855072463768,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,1.2–1.4,6256,0.0,0.3626666666666667,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,1.4–1.6,983,0.0,0.05698550724637681,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,1.6–2.0,321,0.0,0.018608695652173914,Frozen K=2
clinc150,S2C-Frozen-K2,OOS,>=2.0,6,0.0,0.00034782608695652176,Frozen K=2
clinc150,S2C-Trainable-K1,Known,0.4–0.6,402,0.0,0.03573333333333333,S2C Trainable K=1
clinc150,S2C-Trainable-K1,Known,0.6–0.8,3051,0.0,0.2712,S2C Trainable K=1
clinc150,S2C-Trainable-K1,Known,0.8–1.0,4922,0.0,0.43751111111111113,S2C Trainable K=1
clinc150,S2C-Trainable-K1,Known,1.0–1.2,2272,1.0,0.20195555555555555,S2C Trainable K=1
clinc150,S2C-Trainable-K1,Known,1.2–1.4,556,1.0,0.04942222222222222,S2C Trainable K=1
clinc150,S2C-Trainable-K1,Known,1.4–1.6,47,1.0,0.004177777777777778,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,0.6–0.8,51,1.0,0.002956521739130435,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,0.8–1.0,586,1.0,0.03397101449275362,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,1.0–1.2,3306,0.0,0.19165217391304348,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,1.2–1.4,9043,0.0,0.524231884057971,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,1.4–1.6,4010,0.0,0.23246376811594202,S2C Trainable K=1
clinc150,S2C-Trainable-K1,OOS,1.6–2.0,254,0.0,0.014724637681159421,S2C Trainable K=1
clinc150,S2C-partition-MOGB-boundary,Known,0.4–0.6,47,0.0,0.004177777777777778,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,0.6–0.8,792,0.0,0.0704,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,0.8–1.0,3913,0.0,0.3478222222222222,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,1.0–1.2,4577,1.0,0.40684444444444445,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,1.2–1.4,1486,1.0,0.1320888888888889,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,1.4–1.6,303,1.0,0.026933333333333333,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,Known,1.6–2.0,132,1.0,0.011733333333333333,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,0.6–0.8,3,1.0,0.00017391304347826088,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,0.8–1.0,288,1.0,0.016695652173913042,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,1.0–1.2,3052,0.0,0.17692753623188406,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,1.2–1.4,8597,0.0,0.4983768115942029,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,1.4–1.6,3496,0.0,0.20266666666666666,S2C partition + MOGB boundary
clinc150,S2C-partition-MOGB-boundary,OOS,1.6–2.0,1538,0.0,0.08915942028985507,S2C partition + MOGB boundary
