dataset,seed,intent,train_count,two_mode_inertia_ratio,frozen_known_correct_rate,trainable_known_correct_rate,mogb_known_correct_rate,trainable_minus_mogb_known_gap_pp
clinc150,42,traffic,100,1.0833964409367354,0.8,0.8666666666666667,0.3,56.666666666666664
clinc150,42,translate,100,1.111424548901885,0.5666666666666667,0.5333333333333333,0.03333333333333333,50.0
clinc150,42,travel_alert,100,1.2572101441881975,0.43333333333333335,0.4666666666666667,0.23333333333333334,23.333333333333332
clinc150,42,travel_notification,100,1.1392158843219053,0.8333333333333334,0.6,0.1,50.0
clinc150,42,user_name,100,1.1457761416400276,0.5,0.7,0.26666666666666666,43.33333333333333
clinc150,42,vaccines,100,1.171114450560353,0.4666666666666667,0.5,0.36666666666666664,13.333333333333336
clinc150,42,what_are_your_hobbies,100,1.2702074012364053,0.6666666666666666,0.6666666666666666,0.43333333333333335,23.33333333333333
clinc150,42,what_can_i_ask_you,100,1.1842941443681292,0.7666666666666667,0.7,0.3,40.0
clinc150,42,what_is_your_name,100,1.1366453994379333,0.7333333333333333,0.8333333333333334,0.0,83.33333333333334
clinc150,42,where_are_you_from,100,1.134549818947118,0.7,0.7333333333333333,0.3,43.33333333333333
clinc150,42,whisper_mode,100,1.2277698014809801,0.8666666666666667,0.8666666666666667,0.6,26.66666666666667
banking77,42,Refund_not_showing_up,146,1.1288057287251636,0.925,0.875,0.55,32.49999999999999
banking77,42,atm_support,78,1.4060451571621513,0.85,0.825,0.5,32.49999999999999
banking77,42,automatic_top_up,114,1.361744321974542,0.875,0.85,0.325,52.49999999999999
banking77,42,balance_not_updated_after_cheque_or_cash_deposit,163,1.145523545583245,0.8,0.775,0.175,60.00000000000001
banking77,42,cancel_transfer,141,1.182978416244021,0.875,0.8,0.45,35.0
banking77,42,card_about_to_expire,116,1.3323908629510983,0.85,0.9,0.45,45.0
banking77,42,card_arrival,138,1.283809747287111,0.65,0.7,0.125,57.49999999999999
banking77,42,card_delivery_estimate,101,1.3593788632416133,0.825,0.75,0.1,65.0
banking77,42,card_payment_fee_charged,168,1.157996740740246,0.8,0.85,0.325,52.49999999999999
banking77,42,card_payment_wrong_exchange_rate,150,1.120435835612309,0.9,0.925,0.225,70.0
banking77,42,card_swallowed,55,1.1438662586445734,0.725,0.775,0.35,42.50000000000001
banking77,42,change_pin,110,1.1759601587364785,0.85,0.8,0.3,50.0
banking77,42,country_support,116,1.385260000379138,0.725,0.775,0.3,47.5
banking77,42,declined_transfer,120,1.215175824869195,0.65,0.675,0.425,25.000000000000007
banking77,42,disposable_card_limits,109,1.253788799726225,0.775,0.775,0.45,32.5
banking77,42,edit_personal_details,109,1.217367864770863,0.85,0.8,0.4,40.0
banking77,42,exchange_rate,101,1.1050763253753078,0.9,0.9,0.45,45.0
banking77,42,exchange_via_app,106,1.3611906215087113,0.725,0.7,0.3,40.0
banking77,42,extra_charge_on_statement,149,1.1589471703928458,0.75,0.75,0.175,57.49999999999999
banking77,42,get_physical_card,96,1.174185444546025,0.85,0.85,0.225,62.5
banking77,42,getting_spare_card,116,1.155850072888627,0.825,0.775,0.175,60.00000000000001
banking77,42,lost_or_stolen_card,74,1.2344422969801934,0.725,0.75,0.3,45.0
banking77,42,order_physical_card,108,1.1801889909746808,0.875,0.925,0.1,82.5
banking77,42,passcode_forgotten,95,1.2365557898662989,0.85,0.85,0.6,25.0
banking77,42,pending_cash_withdrawal,129,1.175707223940542,0.675,0.725,0.4,32.49999999999999
banking77,42,pending_transfer,133,1.175156119129326,0.6,0.6,0.075,52.5
banking77,42,pin_blocked,104,1.2354636433571118,0.675,0.7,0.275,42.49999999999999
banking77,42,reverted_card_payment?,145,1.1611113445963586,0.75,0.825,0.35,47.5
banking77,42,supported_cards_and_currencies,116,1.2337147727037636,0.75,0.825,0.025,80.0
banking77,42,top_up_by_cash_or_cheque,103,1.2281125958833086,0.85,0.8,0.275,52.5
banking77,42,topping_up_by_card,93,1.2570237604375287,0.85,0.775,0.175,60.00000000000001
banking77,42,transfer_fee_charged,155,1.1171306973422457,0.8,0.85,0.375,47.5
banking77,42,transfer_into_account,102,1.1345026689302005,0.725,0.725,0.4,32.49999999999999
banking77,42,transfer_not_received_by_recipient,154,1.1244169527227226,0.825,0.775,0.05,72.5
banking77,42,unable_to_verify_identity,92,1.2643193718048187,0.725,0.775,0.3,47.5
