dataset,seed,method,gold_type,state,count,score_median,score_q25,score_q75,margin_median,margin_q25,margin_q75
clinc150,87,trainable_k1,Known,Known rejected,577,1.101100520332197,1.0437741791202508,1.205989874590295,0.17999197684741652,0.06413355613023208,0.2776727755247588
clinc150,87,trainable_k1,Known,Known wrong intent,14,0.959527044554022,0.8930664044990566,0.9886355229675261,-0.2243784401944029,-0.28126892529909286,-0.17125295292221665
clinc150,87,trainable_k1,OOS,OOS accepted,97,0.9459711167822821,0.895732251035974,0.9783107144767232,0.31009734993299076,0.20825351053726193,0.3955992065996867
clinc150,87,trainable_k1,OOS,OOS rejected,3353,1.3098625708904856,1.2255656526124912,1.3878718359775526,0.07694745792182789,0.026039037665011255,0.13534601730000917
clinc150,87,mogb,Known,Known correct,749,0.9036278600604215,0.8335230810690496,0.9585781677630067,0.4454217301979372,0.3697947270272849,0.5183402523798297
clinc150,87,mogb,Known,Known rejected,1501,1.1913468007504369,1.0810861289234015,1.3261093135600697,0.13880022456634777,-0.019760113674675672,0.25258424046288397
clinc150,87,mogb,OOS,OOS accepted,26,0.9232093185890657,0.8738946843991253,0.9667729209247442,0.4063317558361129,0.35479299589536484,0.5346619412876874
clinc150,87,mogb,OOS,OOS rejected,3424,1.4492170337833425,1.3279762606103866,1.5783241946163036,0.0806330543517203,-0.07313140409687241,0.21662638477478185
banking77,13,trainable_k1,Known,Known correct,1213,0.7842186983191751,0.6938648452653714,0.8730999559530958,0.42191264918961713,0.3176008738300473,0.5235920287985376
banking77,13,trainable_k1,Known,Known rejected,278,1.0887352267068473,1.0332917194692124,1.1639366833155722,0.14058223596177533,0.028836102103001693,0.22978549369097162
banking77,13,trainable_k1,Known,Known wrong intent,29,0.9042219088011096,0.8322654912690212,0.9705801959599134,-0.20517370164533444,-0.26286533672162626,-0.1010885371674558
banking77,13,trainable_k1,OOS,OOS accepted,212,0.9331135301533469,0.8675234589564339,0.9740404497159558,0.22383720482277497,0.14906063201031908,0.3140702186373432
banking77,13,trainable_k1,OOS,OOS rejected,1348,1.2070624215140313,1.114658964495757,1.320179904084234,0.07011399090863801,0.029591750573091657,0.1305690609234174
banking77,13,mogb,Known,Known correct,503,0.8828513009900006,0.7983236268556808,0.9461287457935837,0.6694740970448106,0.5571456111917003,0.7855971266219852
banking77,13,mogb,Known,Known rejected,1015,1.3000537630410678,1.138034458623685,1.5013786287443542,0.23804999022877338,-0.03588808517081077,0.419648937301939
banking77,13,mogb,Known,Known wrong intent,2,0.8842974811427217,0.8435687669068941,0.9250261953785492,-0.8159802340428182,-1.0833925055471159,-0.5485679625385206
banking77,13,mogb,OOS,OOS accepted,16,0.9326322027124927,0.8680409110216998,0.9482728245667836,0.4413325985908986,0.4090670383967051,0.541557093053269
banking77,13,mogb,OOS,OOS rejected,1544,1.6367111534533603,1.446636062419127,1.8649664310345102,0.1259167690312405,-0.10281890123100912,0.3468724459606067
banking77,42,trainable_k1,Known,Known correct,1206,0.7893883665039172,0.6968185017883988,0.8791142143654772,0.39426914023734594,0.2828391402535958,0.49801066093321833
