dataset,seed,gold_type,baseline,s2c_state,baseline_state,count,rate_within_gold_type
clinc150,42,Known,k2,Known rejected,Known rejected,434,0.1928888888888889
clinc150,42,Known,k2,Known correct,Known rejected,167,0.07422222222222222
clinc150,42,Known,k2,Known rejected,Known correct,143,0.06355555555555556
clinc150,42,Known,k2,Known correct,Known wrong intent,11,0.004888888888888889
clinc150,42,Known,k2,Known rejected,Known wrong intent,10,0.0044444444444444444
clinc150,42,Known,k2,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,42,Known,k2,Known wrong intent,Known correct,7,0.003111111111111111
clinc150,42,Known,k2,Known wrong intent,Known rejected,4,0.0017777777777777779
clinc150,42,OOS,k2,OOS rejected,OOS rejected,3194,0.9257971014492754
clinc150,42,OOS,k2,OOS accepted,OOS accepted,101,0.029275362318840578
clinc150,42,OOS,k2,OOS rejected,OOS accepted,90,0.02608695652173913
clinc150,42,OOS,k2,OOS accepted,OOS rejected,65,0.01884057971014493
clinc150,42,Known,mogb,Known correct,Known rejected,979,0.4351111111111111
clinc150,42,Known,mogb,Known correct,Known correct,663,0.2946666666666667
clinc150,42,Known,mogb,Known rejected,Known rejected,579,0.25733333333333336
clinc150,42,Known,mogb,Known wrong intent,Known rejected,16,0.0071111111111111115
clinc150,42,Known,mogb,Known rejected,Known correct,7,0.003111111111111111
clinc150,42,Known,mogb,Known wrong intent,Known wrong intent,4,0.0017777777777777779
clinc150,42,Known,mogb,Known wrong intent,Known correct,1,0.00044444444444444447
clinc150,42,Known,mogb,Known rejected,Known wrong intent,1,0.00044444444444444447
clinc150,42,OOS,mogb,OOS rejected,OOS rejected,3283,0.9515942028985507
clinc150,42,OOS,mogb,OOS accepted,OOS rejected,136,0.03942028985507246
clinc150,42,OOS,mogb,OOS accepted,OOS accepted,30,0.008695652173913044
clinc150,42,OOS,mogb,OOS rejected,OOS accepted,1,0.0002898550724637681
clinc150,42,Known,msp,Known correct,Known correct,1641,0.7293333333333333
clinc150,42,Known,msp,Known rejected,Known correct,469,0.20844444444444443
clinc150,42,Known,msp,Known rejected,Known rejected,103,0.04577777777777778
clinc150,42,Known,msp,Known rejected,Known wrong intent,15,0.006666666666666667
clinc150,42,Known,msp,Known wrong intent,Known wrong intent,12,0.005333333333333333
clinc150,42,Known,msp,Known wrong intent,Known correct,6,0.0026666666666666666
clinc150,42,Known,msp,Known wrong intent,Known rejected,3,0.0013333333333333333
clinc150,42,Known,msp,Known correct,Known rejected,1,0.00044444444444444447
clinc150,42,OOS,msp,OOS rejected,OOS rejected,2795,0.8101449275362319
clinc150,42,OOS,msp,OOS rejected,OOS accepted,489,0.14173913043478262
clinc150,42,OOS,msp,OOS accepted,OOS accepted,151,0.043768115942028986
clinc150,42,OOS,msp,OOS accepted,OOS rejected,15,0.004347826086956522
clinc150,42,Known,energy,Known correct,Known correct,1640,0.7288888888888889
clinc150,42,Known,energy,Known rejected,Known correct,445,0.19777777777777777
clinc150,42,Known,energy,Known rejected,Known rejected,116,0.051555555555555556
clinc150,42,Known,energy,Known rejected,Known wrong intent,26,0.011555555555555555
clinc150,42,Known,energy,Known wrong intent,Known wrong intent,14,0.006222222222222222
clinc150,42,Known,energy,Known wrong intent,Known correct,6,0.0026666666666666666
clinc150,42,Known,energy,Known correct,Known rejected,2,0.0008888888888888889
clinc150,42,Known,energy,Known wrong intent,Known rejected,1,0.00044444444444444447
clinc150,42,OOS,energy,OOS rejected,OOS rejected,2778,0.8052173913043478
clinc150,42,OOS,energy,OOS rejected,OOS accepted,506,0.14666666666666667
clinc150,42,OOS,energy,OOS accepted,OOS accepted,158,0.04579710144927536
clinc150,42,OOS,energy,OOS accepted,OOS rejected,8,0.002318840579710145
clinc150,42,Known,knn,Known correct,Known correct,1623,0.7213333333333334
clinc150,42,Known,knn,Known rejected,Known correct,443,0.1968888888888889
clinc150,42,Known,knn,Known rejected,Known rejected,113,0.050222222222222224
clinc150,42,Known,knn,Known rejected,Known wrong intent,31,0.013777777777777778
clinc150,42,Known,knn,Known correct,Known wrong intent,15,0.006666666666666667
clinc150,42,Known,knn,Known wrong intent,Known correct,11,0.004888888888888889
clinc150,42,Known,knn,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,42,Known,knn,Known correct,Known rejected,4,0.0017777777777777779
clinc150,42,OOS,knn,OOS rejected,OOS rejected,2697,0.7817391304347826
clinc150,42,OOS,knn,OOS rejected,OOS accepted,587,0.1701449275362319
clinc150,42,OOS,knn,OOS accepted,OOS accepted,164,0.04753623188405797
clinc150,42,OOS,knn,OOS accepted,OOS rejected,2,0.0005797101449275362
clinc150,42,Known,lof,Known correct,Known correct,1610,0.7155555555555555
clinc150,42,Known,lof,Known rejected,Known correct,469,0.20844444444444443
clinc150,42,Known,lof,Known rejected,Known rejected,80,0.035555555555555556
clinc150,42,Known,lof,Known rejected,Known wrong intent,38,0.016888888888888887
clinc150,42,Known,lof,Known correct,Known rejected,17,0.007555555555555556
clinc150,42,Known,lof,Known correct,Known wrong intent,15,0.006666666666666667
clinc150,42,Known,lof,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,42,Known,lof,Known wrong intent,Known correct,9,0.004
clinc150,42,Known,lof,Known wrong intent,Known rejected,2,0.0008888888888888889
clinc150,42,OOS,lof,OOS rejected,OOS rejected,2365,0.6855072463768116
clinc150,42,OOS,lof,OOS rejected,OOS accepted,919,0.2663768115942029
clinc150,42,OOS,lof,OOS accepted,OOS accepted,146,0.042318840579710144
clinc150,42,OOS,lof,OOS accepted,OOS rejected,20,0.005797101449275362
clinc150,87,Known,frozen_k1,Known correct,Known correct,1546,0.6871111111111111
clinc150,87,Known,frozen_k1,Known rejected,Known rejected,436,0.19377777777777777
clinc150,87,Known,frozen_k1,Known rejected,Known correct,122,0.05422222222222222
clinc150,87,Known,frozen_k1,Known correct,Known rejected,76,0.033777777777777775
clinc150,87,Known,frozen_k1,Known correct,Known wrong intent,37,0.016444444444444446
clinc150,87,Known,frozen_k1,Known rejected,Known wrong intent,19,0.008444444444444444
clinc150,87,Known,frozen_k1,Known wrong intent,Known wrong intent,12,0.005333333333333333
clinc150,87,Known,frozen_k1,Known wrong intent,Known correct,1,0.00044444444444444447
clinc150,87,Known,frozen_k1,Known wrong intent,Known rejected,1,0.00044444444444444447
clinc150,87,OOS,frozen_k1,OOS rejected,OOS rejected,3220,0.9333333333333333
clinc150,87,OOS,frozen_k1,OOS rejected,OOS accepted,133,0.03855072463768116
clinc150,87,OOS,frozen_k1,OOS accepted,OOS accepted,91,0.0263768115942029
clinc150,87,OOS,frozen_k1,OOS accepted,OOS rejected,6,0.0017391304347826088
clinc150,87,Known,k2,Known correct,Known correct,1507,0.6697777777777778
clinc150,87,Known,k2,Known rejected,Known rejected,397,0.17644444444444443
clinc150,87,Known,k2,Known rejected,Known correct,162,0.072
clinc150,87,Known,k2,Known correct,Known rejected,140,0.06222222222222222
clinc150,87,Known,k2,Known rejected,Known wrong intent,18,0.008
clinc150,87,Known,k2,Known correct,Known wrong intent,12,0.005333333333333333
clinc150,87,Known,k2,Known wrong intent,Known wrong intent,9,0.004
clinc150,87,Known,k2,Known wrong intent,Known rejected,3,0.0013333333333333333
clinc150,87,Known,k2,Known wrong intent,Known correct,2,0.0008888888888888889
clinc150,87,OOS,k2,OOS rejected,OOS rejected,3219,0.9330434782608695
clinc150,87,OOS,k2,OOS rejected,OOS accepted,134,0.03884057971014493
clinc150,87,OOS,k2,OOS accepted,OOS accepted,79,0.02289855072463768
clinc150,87,OOS,k2,OOS accepted,OOS rejected,18,0.0052173913043478265
clinc150,87,Known,mogb,Known correct,Known rejected,914,0.4062222222222222
clinc150,87,Known,mogb,Known correct,Known correct,745,0.33111111111111113
clinc150,87,Known,mogb,Known rejected,Known rejected,574,0.2551111111111111
clinc150,87,Known,mogb,Known wrong intent,Known rejected,13,0.0057777777777777775
clinc150,87,Known,mogb,Known rejected,Known correct,3,0.0013333333333333333
clinc150,87,Known,mogb,Known wrong intent,Known correct,1,0.00044444444444444447
clinc150,87,OOS,mogb,OOS rejected,OOS rejected,3349,0.9707246376811595
clinc150,87,OOS,mogb,OOS accepted,OOS rejected,75,0.021739130434782608
clinc150,87,OOS,mogb,OOS accepted,OOS accepted,22,0.006376811594202898
clinc150,87,OOS,mogb,OOS rejected,OOS accepted,4,0.0011594202898550724
clinc150,87,Known,msp,Known correct,Known correct,1658,0.7368888888888889
clinc150,87,Known,msp,Known rejected,Known correct,424,0.18844444444444444
clinc150,87,Known,msp,Known rejected,Known rejected,137,0.06088888888888889
clinc150,87,Known,msp,Known rejected,Known wrong intent,16,0.0071111111111111115
clinc150,87,Known,msp,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,87,Known,msp,Known wrong intent,Known correct,3,0.0013333333333333333
clinc150,87,Known,msp,Known correct,Known rejected,1,0.00044444444444444447
clinc150,87,Known,msp,Known wrong intent,Known rejected,1,0.00044444444444444447
clinc150,87,OOS,msp,OOS rejected,OOS rejected,2971,0.861159420289855
clinc150,87,OOS,msp,OOS rejected,OOS accepted,382,0.11072463768115942
clinc150,87,OOS,msp,OOS accepted,OOS accepted,96,0.02782608695652174
clinc150,87,OOS,msp,OOS accepted,OOS rejected,1,0.0002898550724637681
clinc150,87,Known,energy,Known correct,Known correct,1658,0.7368888888888889
clinc150,87,Known,energy,Known rejected,Known correct,426,0.18933333333333333
clinc150,87,Known,energy,Known rejected,Known rejected,124,0.05511111111111111
clinc150,87,Known,energy,Known rejected,Known wrong intent,27,0.012
clinc150,87,Known,energy,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,87,Known,energy,Known wrong intent,Known correct,3,0.0013333333333333333
clinc150,87,Known,energy,Known correct,Known rejected,1,0.00044444444444444447
clinc150,87,Known,energy,Known wrong intent,Known rejected,1,0.00044444444444444447
clinc150,87,OOS,energy,OOS rejected,OOS rejected,2892,0.8382608695652174
clinc150,87,OOS,energy,OOS rejected,OOS accepted,461,0.1336231884057971
clinc150,87,OOS,energy,OOS accepted,OOS accepted,95,0.02753623188405797
clinc150,87,OOS,energy,OOS accepted,OOS rejected,2,0.0005797101449275362
clinc150,87,Known,knn,Known correct,Known correct,1651,0.7337777777777778
clinc150,87,Known,knn,Known rejected,Known correct,412,0.1831111111111111
clinc150,87,Known,knn,Known rejected,Known rejected,130,0.057777777777777775
clinc150,87,Known,knn,Known rejected,Known wrong intent,35,0.015555555555555555
clinc150,87,Known,knn,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,87,Known,knn,Known correct,Known rejected,4,0.0017777777777777779
clinc150,87,Known,knn,Known correct,Known wrong intent,4,0.0017777777777777779
clinc150,87,Known,knn,Known wrong intent,Known correct,4,0.0017777777777777779
clinc150,87,OOS,knn,OOS rejected,OOS rejected,2822,0.8179710144927537
clinc150,87,OOS,knn,OOS rejected,OOS accepted,531,0.15391304347826087
clinc150,87,OOS,knn,OOS accepted,OOS accepted,95,0.02753623188405797
clinc150,87,OOS,knn,OOS accepted,OOS rejected,2,0.0005797101449275362
clinc150,87,Known,lof,Known correct,Known correct,1646,0.7315555555555555
clinc150,87,Known,lof,Known rejected,Known correct,432,0.192
clinc150,87,Known,lof,Known rejected,Known rejected,102,0.04533333333333334
clinc150,87,Known,lof,Known rejected,Known wrong intent,43,0.01911111111111111
clinc150,87,Known,lof,Known wrong intent,Known wrong intent,10,0.0044444444444444444
clinc150,87,Known,lof,Known correct,Known rejected,9,0.004
clinc150,87,Known,lof,Known correct,Known wrong intent,4,0.0017777777777777779
clinc150,87,Known,lof,Known wrong intent,Known correct,4,0.0017777777777777779
clinc150,87,OOS,lof,OOS rejected,OOS rejected,2384,0.6910144927536231
clinc150,87,OOS,lof,OOS rejected,OOS accepted,969,0.2808695652173913
clinc150,87,OOS,lof,OOS accepted,OOS accepted,96,0.02782608695652174
clinc150,87,OOS,lof,OOS accepted,OOS rejected,1,0.0002898550724637681
banking77,13,Known,frozen_k1,Known correct,Known correct,1158,0.7618421052631579
banking77,13,Known,frozen_k1,Known rejected,Known rejected,200,0.13157894736842105
banking77,13,Known,frozen_k1,Known rejected,Known correct,58,0.038157894736842106
banking77,13,Known,frozen_k1,Known correct,Known wrong intent,28,0.018421052631578946
banking77,13,Known,frozen_k1,Known correct,Known rejected,27,0.017763157894736842
banking77,13,Known,frozen_k1,Known wrong intent,Known wrong intent,23,0.015131578947368421
banking77,13,Known,frozen_k1,Known rejected,Known wrong intent,20,0.013157894736842105
banking77,13,Known,frozen_k1,Known wrong intent,Known correct,3,0.001973684210526316
banking77,13,Known,frozen_k1,Known wrong intent,Known rejected,3,0.001973684210526316
banking77,13,OOS,frozen_k1,OOS rejected,OOS rejected,1109,0.7108974358974359
banking77,13,OOS,frozen_k1,OOS rejected,OOS accepted,239,0.15320512820512822
banking77,13,OOS,frozen_k1,OOS accepted,OOS accepted,191,0.12243589743589743
banking77,13,OOS,frozen_k1,OOS accepted,OOS rejected,21,0.013461538461538462
banking77,13,Known,k2,Known correct,Known correct,1121,0.7375
banking77,13,Known,k2,Known rejected,Known rejected,181,0.11907894736842105
banking77,13,Known,k2,Known rejected,Known correct,73,0.04802631578947368
banking77,13,Known,k2,Known correct,Known rejected,68,0.04473684210526316
banking77,13,Known,k2,Known correct,Known wrong intent,24,0.015789473684210527
banking77,13,Known,k2,Known rejected,Known wrong intent,24,0.015789473684210527
banking77,13,Known,k2,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,13,Known,k2,Known wrong intent,Known correct,4,0.002631578947368421
banking77,13,Known,k2,Known wrong intent,Known rejected,4,0.002631578947368421
banking77,13,OOS,k2,OOS rejected,OOS rejected,1023,0.6557692307692308
banking77,13,OOS,k2,OOS rejected,OOS accepted,325,0.20833333333333334
banking77,13,OOS,k2,OOS accepted,OOS accepted,183,0.11730769230769231
banking77,13,OOS,k2,OOS accepted,OOS rejected,29,0.01858974358974359
banking77,13,Known,mogb,Known correct,Known rejected,712,0.46842105263157896
banking77,13,Known,mogb,Known correct,Known correct,500,0.32894736842105265
banking77,13,Known,mogb,Known rejected,Known rejected,275,0.18092105263157895
banking77,13,Known,mogb,Known wrong intent,Known rejected,28,0.018421052631578946
banking77,13,Known,mogb,Known rejected,Known correct,3,0.001973684210526316
banking77,13,Known,mogb,Known correct,Known wrong intent,1,0.0006578947368421052
banking77,13,Known,mogb,Known wrong intent,Known wrong intent,1,0.0006578947368421052
banking77,13,OOS,mogb,OOS rejected,OOS rejected,1348,0.8641025641025641
banking77,13,OOS,mogb,OOS accepted,OOS rejected,196,0.12564102564102564
banking77,13,OOS,mogb,OOS accepted,OOS accepted,16,0.010256410256410256
banking77,13,Known,msp,Known correct,Known correct,1205,0.7927631578947368
banking77,13,Known,msp,Known rejected,Known correct,185,0.12171052631578948
banking77,13,Known,msp,Known rejected,Known rejected,76,0.05
banking77,13,Known,msp,Known wrong intent,Known wrong intent,18,0.011842105263157895
banking77,13,Known,msp,Known rejected,Known wrong intent,17,0.01118421052631579
banking77,13,Known,msp,Known correct,Known rejected,8,0.005263157894736842
banking77,13,Known,msp,Known wrong intent,Known correct,7,0.004605263157894736
banking77,13,Known,msp,Known wrong intent,Known rejected,4,0.002631578947368421
banking77,13,OOS,msp,OOS rejected,OOS rejected,919,0.5891025641025641
banking77,13,OOS,msp,OOS rejected,OOS accepted,429,0.275
banking77,13,OOS,msp,OOS accepted,OOS accepted,186,0.11923076923076924
banking77,13,OOS,msp,OOS accepted,OOS rejected,26,0.016666666666666666
banking77,13,Known,energy,Known correct,Known correct,1204,0.7921052631578948
banking77,13,Known,energy,Known rejected,Known correct,157,0.10328947368421053
banking77,13,Known,energy,Known rejected,Known rejected,103,0.06776315789473684
banking77,13,Known,energy,Known wrong intent,Known wrong intent,20,0.013157894736842105
banking77,13,Known,energy,Known rejected,Known wrong intent,18,0.011842105263157895
banking77,13,Known,energy,Known correct,Known rejected,9,0.0059210526315789476
banking77,13,Known,energy,Known wrong intent,Known correct,8,0.005263157894736842
banking77,13,Known,energy,Known wrong intent,Known rejected,1,0.0006578947368421052
banking77,13,OOS,energy,OOS rejected,OOS rejected,881,0.5647435897435897
banking77,13,OOS,energy,OOS rejected,OOS accepted,467,0.29935897435897435
banking77,13,OOS,energy,OOS accepted,OOS accepted,200,0.1282051282051282
banking77,13,OOS,energy,OOS accepted,OOS rejected,12,0.007692307692307693
banking77,13,Known,knn,Known correct,Known correct,1198,0.7881578947368421
banking77,13,Known,knn,Known rejected,Known correct,181,0.11907894736842105
banking77,13,Known,knn,Known rejected,Known rejected,83,0.05460526315789474
banking77,13,Known,knn,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,13,Known,knn,Known rejected,Known wrong intent,14,0.009210526315789473
banking77,13,Known,knn,Known correct,Known wrong intent,13,0.008552631578947369
banking77,13,Known,knn,Known wrong intent,Known correct,7,0.004605263157894736
banking77,13,Known,knn,Known correct,Known rejected,2,0.0013157894736842105
banking77,13,Known,knn,Known wrong intent,Known rejected,1,0.0006578947368421052
banking77,13,OOS,knn,OOS rejected,OOS rejected,811,0.5198717948717949
banking77,13,OOS,knn,OOS rejected,OOS accepted,537,0.34423076923076923
banking77,13,OOS,knn,OOS accepted,OOS accepted,210,0.1346153846153846
banking77,13,OOS,knn,OOS accepted,OOS rejected,2,0.001282051282051282
banking77,13,Known,lof,Known correct,Known correct,1195,0.7861842105263158
banking77,13,Known,lof,Known rejected,Known correct,204,0.13421052631578947
banking77,13,Known,lof,Known rejected,Known rejected,53,0.034868421052631576
banking77,13,Known,lof,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,13,Known,lof,Known rejected,Known wrong intent,21,0.01381578947368421
banking77,13,Known,lof,Known correct,Known wrong intent,13,0.008552631578947369
banking77,13,Known,lof,Known wrong intent,Known correct,6,0.003947368421052632
banking77,13,Known,lof,Known correct,Known rejected,5,0.003289473684210526
banking77,13,Known,lof,Known wrong intent,Known rejected,2,0.0013157894736842105
banking77,13,OOS,lof,OOS rejected,OOS accepted,719,0.46089743589743587
banking77,13,OOS,lof,OOS rejected,OOS rejected,629,0.4032051282051282
banking77,13,OOS,lof,OOS accepted,OOS accepted,201,0.12884615384615383
banking77,13,OOS,lof,OOS accepted,OOS rejected,11,0.007051282051282051
banking77,42,Known,frozen_k1,Known correct,Known correct,1157,0.7611842105263158
banking77,42,Known,frozen_k1,Known rejected,Known rejected,221,0.14539473684210527
banking77,42,Known,frozen_k1,Known rejected,Known correct,38,0.025
banking77,42,Known,frozen_k1,Known wrong intent,Known wrong intent,32,0.021052631578947368
banking77,42,Known,frozen_k1,Known correct,Known rejected,28,0.018421052631578946
banking77,42,Known,frozen_k1,Known correct,Known wrong intent,21,0.01381578947368421
banking77,42,Known,frozen_k1,Known rejected,Known wrong intent,15,0.009868421052631578
banking77,42,Known,frozen_k1,Known wrong intent,Known correct,7,0.004605263157894736
banking77,42,Known,frozen_k1,Known wrong intent,Known rejected,1,0.0006578947368421052
banking77,42,OOS,frozen_k1,OOS rejected,OOS rejected,1170,0.75
banking77,42,OOS,frozen_k1,OOS accepted,OOS accepted,193,0.12371794871794872
banking77,42,OOS,frozen_k1,OOS rejected,OOS accepted,162,0.10384615384615385
banking77,42,OOS,frozen_k1,OOS accepted,OOS rejected,35,0.022435897435897436
banking77,42,Known,k2,Known correct,Known correct,1126,0.7407894736842106
banking77,42,Known,k2,Known rejected,Known rejected,193,0.12697368421052632
banking77,42,Known,k2,Known rejected,Known correct,70,0.046052631578947366
banking77,42,Known,k2,Known correct,Known rejected,63,0.04144736842105263
banking77,42,Known,k2,Known wrong intent,Known wrong intent,29,0.019078947368421053
banking77,42,Known,k2,Known correct,Known wrong intent,17,0.01118421052631579
banking77,42,Known,k2,Known rejected,Known wrong intent,11,0.007236842105263158
banking77,42,Known,k2,Known wrong intent,Known correct,9,0.0059210526315789476
banking77,42,Known,k2,Known wrong intent,Known rejected,2,0.0013157894736842105
banking77,42,OOS,k2,OOS rejected,OOS rejected,1079,0.6916666666666667
banking77,42,OOS,k2,OOS rejected,OOS accepted,253,0.1621794871794872
banking77,42,OOS,k2,OOS accepted,OOS accepted,181,0.11602564102564103
banking77,42,OOS,k2,OOS accepted,OOS rejected,47,0.03012820512820513
banking77,42,Known,mogb,Known correct,Known rejected,746,0.49078947368421055
banking77,42,Known,mogb,Known correct,Known correct,460,0.3026315789473684
banking77,42,Known,mogb,Known rejected,Known rejected,269,0.1769736842105263
