dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
banking77,42,trainable_vs_mogb,Known,trainable_only_correct,746,0.49078947368421055,0.36803757934730974,0.3533948878411391,-0.004499731704022841,0.011788918986237358,0.12917161893718537
banking77,42,trainable_vs_mogb,OOS,baseline_only_correct,216,0.13846153846153847,0.35702156493887716,0.35024694543558943,0.009058815242605052,0.4241631518617815,0.22190092343913634
banking77,42,trainable_vs_mogb,OOS,both_correct,1331,0.8532051282051282,0.3672709581895652,0.3532918900947661,0.07777012042282566,2.2566050558011197,0.4340266229973585
banking77,42,trainable_vs_mogb,OOS,both_wrong,12,0.007692307692307693,0.30240546859336176,0.29688613515086637,0.010023521900348867,0.2222337695244804,-0.011364760724897671
banking77,42,trainable_vs_mogb,OOS,trainable_only_correct,1,0.000641025641025641,0.42585359967645003,0.42585359967645003,0.02338495845529276,2.3246704819670114,1.6785702583354762
banking77,87,trainable_vs_frozen,Known,baseline_only_correct,49,0.03223684210526316,0.42434424244616487,0.41432730261019185,0.08219215344380686,1.960685794741792,0.09056046898784029
banking77,87,trainable_vs_frozen,Known,both_correct,1158,0.7618421052631579,0.4182038664338175,0.4129968261094166,-0.007969317872867943,-0.04887114337643113,0.1853485943315579
banking77,87,trainable_vs_frozen,Known,both_wrong,254,0.16710526315789473,0.42378580334589927,0.4144539107714287,0.05159215572653926,1.448609051263052,0.24544877498781195
banking77,87,trainable_vs_frozen,Known,trainable_only_correct,59,0.03881578947368421,0.5439771269595952,0.5127742630430183,-0.068661653229846,-1.1913370477950043,0.3916352001619105
banking77,87,trainable_vs_frozen,OOS,baseline_only_correct,25,0.016025641025641024,0.49074593545240647,0.5172610814065783,-0.0654628032505962,-1.0897077736135492,0.4003616702591862
banking77,87,trainable_vs_frozen,OOS,both_correct,1222,0.7833333333333333,0.42459654879864567,0.4163758193352227,0.09720693742417504,2.4568725029929865,0.22441252018927832
banking77,87,trainable_vs_frozen,OOS,both_wrong,165,0.10576923076923077,0.4479532296199373,0.41863809733947516,0.017193139227818323,0.7111973906685921,0.35454571940297425
banking77,87,trainable_vs_frozen,OOS,trainable_only_correct,148,0.09487179487179487,0.4546139977044261,0.44897149776538214,0.13541738149069976,3.0675069761067335,-0.004818119166069199
banking77,87,trainable_vs_mogb,Known,baseline_only_correct,4,0.002631578947368421,0.29410017208869976,0.2941323134105148,0.06569574054026239,1.6415809831313801,0.1556318464342441
banking77,87,trainable_vs_mogb,Known,both_correct,536,0.3526315789473684,0.4017820017759339,0.3936656782448694,-0.008239668892248947,-0.06632937147404222,0.19245405739062615
banking77,87,trainable_vs_mogb,Known,both_wrong,299,0.19671052631578947,0.4256122449544003,0.41522715302929886,0.05641819435159351,1.5299464181626672,0.22126730582465362
banking77,87,trainable_vs_mogb,Known,trainable_only_correct,681,0.44802631578947366,0.44202580744357733,0.42955644832909273,-0.013014750530244574,-0.13411031826685146,0.19762815607066253
banking77,87,trainable_vs_mogb,OOS,baseline_only_correct,183,0.11730769230769231,0.45486544747774704,0.4204003073314117,0.006438636855699594,0.48104456281064056,0.36274093389617074
banking77,87,trainable_vs_mogb,OOS,both_correct,1370,0.8782051282051282,0.4278393097023358,0.42127065248948303,0.10133478101676309,2.522838854833012,0.19964891827351816
banking77,87,trainable_vs_mogb,OOS,both_wrong,7,0.004487179487179487,0.42007919788173076,0.4065248587126472,0.0031467638188703733,0.2962457322331054,0.3039277935673077
stackoverflow,13,trainable_vs_frozen,Known,baseline_only_correct,59,0.019666666666666666,0.6245137263280686,0.6145181472702723,0.09718323478039027,4.767585608012254,2.631209888478796
stackoverflow,13,trainable_vs_frozen,Known,both_correct,2259,0.753,0.6497394482613592,0.6418786280057874,-0.1623154745774951,-1.7351773305470455,2.446609771744294
stackoverflow,13,trainable_vs_frozen,Known,both_wrong,444,0.148,0.6127697397271403,0.614552791109375,0.1469533686853654,6.753995281225304,3.2915431509904867
stackoverflow,13,trainable_vs_frozen,Known,trainable_only_correct,238,0.07933333333333334,0.702543386049501,0.6893922432160557,-0.15106014314870936,0.14216328457217717,3.7121252224316086
stackoverflow,13,trainable_vs_frozen,OOS,baseline_only_correct,117,0.039,0.7439817897826465,0.7361373032693969,-0.07935552696486227,1.3263686096309248,3.106105987523731
stackoverflow,13,trainable_vs_frozen,OOS,both_correct,1842,0.614,0.5984247825676607,0.5962658762439766,0.1804984377813473,7.354062363554111,3.0921239793079405
