dataset,seed,ball_id,support,purity,depth,radius,test_assigned_count,test_known_count,test_oos_count,known_reject_rate,oos_false_accept_rate,known_correct_rate
clinc150,13,241,18,1.0,2,0.4953962602472296,35,20,15,0.55,0.0,0.45
clinc150,13,244,54,1.0,2,0.7989792116250342,101,27,74,0.9629629629629629,0.0,0.037037037037037035
clinc150,13,254,93,1.0,2,0.6296130689624825,67,30,37,0.43333333333333335,0.0,0.5666666666666667
clinc150,13,260,65,1.0,2,0.6364634995365367,89,22,67,0.36363636363636365,0.0,0.6363636363636364
clinc150,13,263,100,1.0,2,0.6002804310567982,36,30,6,0.23333333333333334,0.0,0.7666666666666667
clinc150,13,267,75,1.0,2,0.7645702439547479,140,32,108,0.625,0.0,0.375
clinc150,13,271,65,1.0,2,0.4565307218230441,20,20,0,0.65,,0.35
clinc150,13,273,68,1.0,2,0.7380444411404544,81,28,53,0.7857142857142857,0.0,0.21428571428571427
clinc150,13,277,17,1.0,2,0.6064215733381683,34,11,23,1.0,0.0,0.0
clinc150,13,285,11,1.0,2,0.5045330452126705,20,17,3,1.0,0.0,0.0
clinc150,13,305,26,1.0,2,0.42485475021340746,41,8,33,0.375,0.0,0.625
clinc150,13,321,80,1.0,2,0.5652752070089424,50,28,22,0.5357142857142857,0.0,0.4642857142857143
clinc150,13,326,25,1.0,2,0.49113928086771286,22,9,13,0.4444444444444444,0.0,0.5555555555555556
clinc150,13,331,32,1.0,2,0.4765767730957747,13,13,0,1.0,,0.0
clinc150,13,335,40,1.0,2,0.6459828883945091,82,14,68,0.9285714285714286,0.07352941176470588,0.07142857142857142
clinc150,13,344,53,1.0,2,0.702040466557726,35,20,15,0.5,0.0,0.5
clinc150,13,353,91,1.0,2,0.5423901442120723,61,29,32,0.7586206896551724,0.0,0.2413793103448276
clinc150,13,358,73,1.0,2,0.5567672044523441,21,17,4,0.47058823529411764,0.0,0.5294117647058824
clinc150,13,364,65,1.0,2,0.6953755688520422,55,24,31,0.5416666666666666,0.03225806451612903,0.4583333333333333
clinc150,13,377,51,1.0,2,0.6131215075457068,38,26,12,0.7307692307692307,0.0,0.2692307692307692
clinc150,13,386,100,1.0,2,0.4459445251944376,30,30,0,0.5666666666666667,,0.43333333333333335
clinc150,13,388,100,1.0,2,0.6252632488806834,48,30,18,0.7,0.0,0.3
clinc150,13,394,14,1.0,2,0.6279053121258465,95,5,90,1.0,0.0,0.0
clinc150,13,398,29,1.0,2,0.6870979519380662,10,3,7,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,421,62,1.0,2,0.6477513136077108,19,18,1,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,430,93,1.0,2,0.6912329198151591,100,30,70,0.5666666666666667,0.05714285714285714,0.43333333333333335
clinc150,13,434,99,1.0,2,0.5779081797646736,65,30,35,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,447,63,1.0,2,0.6839710941990647,78,17,61,0.5294117647058824,0.0,0.47058823529411764
clinc150,13,449,75,1.0,2,0.5910893318689605,26,20,6,0.7,0.0,0.3
clinc150,13,454,77,1.0,2,0.6194209672412487,78,30,48,0.9666666666666667,0.0,0.03333333333333333
clinc150,13,462,38,1.0,2,0.7484715731863115,118,31,87,0.8387096774193549,0.0,0.16129032258064516
clinc150,13,474,18,1.0,2,0.4916146271250689,3,1,2,1.0,0.0,0.0
clinc150,13,476,95,1.0,2,0.6545786809116017,61,39,22,0.7435897435897436,0.0,0.2564102564102564
clinc150,13,496,94,1.0,2,0.6579162693684484,131,30,101,0.6333333333333333,0.0,0.36666666666666664
clinc150,13,504,10,1.0,2,0.5421138267313752,4,2,2,0.5,0.0,0.5
clinc150,13,511,15,1.0,3,0.5803624787041048,23,9,14,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,513,48,1.0,3,0.5240652969324974,34,15,19,0.2,0.0,0.8
clinc150,13,515,99,1.0,3,0.4939552296265561,46,30,16,0.6333333333333333,0.0,0.36666666666666664
clinc150,13,517,10,1.0,3,0.6200572191031761,5,2,3,1.0,0.0,0.0
clinc150,13,519,21,1.0,3,0.6364784179753291,25,11,14,1.0,0.0,0.0
clinc150,13,555,30,1.0,3,0.5868716381926817,21,14,7,0.2857142857142857,0.0,0.7142857142857143
clinc150,13,561,37,1.0,3,0.7358070397741643,123,19,104,0.6842105263157895,0.0,0.3157894736842105
clinc150,13,564,70,1.0,3,0.6173252876213801,65,24,41,0.7083333333333334,0.17073170731707318,0.2916666666666667
clinc150,13,572,83,1.0,3,0.7039918826362865,61,32,29,0.8125,0.034482758620689655,0.1875
clinc150,13,578,98,1.0,3,0.597626780317134,48,30,18,0.43333333333333335,0.0,0.5666666666666667
clinc150,13,594,28,1.0,3,0.8041908038881604,187,16,171,0.875,0.0,0.125
clinc150,13,596,24,1.0,3,0.7433601074873396,47,7,40,0.7142857142857143,0.0,0.2857142857142857
clinc150,13,598,24,1.0,3,0.648246194345903,23,11,12,0.7272727272727273,0.0,0.2727272727272727
clinc150,13,599,12,1.0,3,0.55136107914599,20,15,5,0.6,0.0,0.4
clinc150,13,601,14,1.0,3,0.5745908775395836,14,9,5,0.8888888888888888,0.0,0.1111111111111111
clinc150,13,607,62,1.0,3,0.7431047516608875,86,29,57,0.7586206896551724,0.0,0.2413793103448276
clinc150,13,614,18,1.0,3,0.6851802459698663,8,6,2,1.0,0.0,0.0
clinc150,13,625,23,1.0,3,0.5366519044113934,21,18,3,0.9444444444444444,0.0,0.05555555555555555
clinc150,13,628,41,1.0,3,0.7192666823776889,35,28,7,0.7142857142857143,0.0,0.2857142857142857
clinc150,13,630,24,1.0,3,0.700739887398583,38,31,7,1.0,0.0,0.0
clinc150,13,641,98,1.0,3,0.4588048666557372,38,31,7,0.3225806451612903,0.0,0.6774193548387096
clinc150,13,643,36,1.0,3,0.7464293827017654,136,19,117,0.8947368421052632,0.0,0.10526315789473684
clinc150,13,650,12,1.0,3,0.5260945435017285,18,14,4,0.8571428571428571,0.0,0.14285714285714285
clinc150,13,657,31,1.0,3,0.4660116597699537,30,3,27,0.3333333333333333,0.1111111111111111,0.6666666666666666
clinc150,13,659,23,1.0,3,0.5708240166119661,16,14,2,0.9285714285714286,0.0,0.07142857142857142
clinc150,13,675,53,1.0,3,0.6898695246714164,99,22,77,0.7272727272727273,0.0,0.2727272727272727
clinc150,13,677,13,1.0,3,0.5509064758345962,12,9,3,1.0,0.0,0.0
clinc150,13,691,27,1.0,3,0.48166337503424894,6,6,0,0.6666666666666666,,0.3333333333333333
clinc150,13,708,26,1.0,3,0.6871575144691175,46,34,12,0.7352941176470589,0.0,0.17647058823529413
clinc150,13,715,100,1.0,3,0.6416469228795815,92,30,62,0.6666666666666666,0.0,0.3333333333333333
clinc150,13,722,10,1.0,3,0.6322631188131664,51,12,39,0.25,0.0,0.75
clinc150,13,732,99,1.0,3,0.6452426657894869,46,30,16,0.5,0.0625,0.5
clinc150,13,736,81,1.0,3,0.5371138963876642,40,23,17,0.391304347826087,0.0,0.6086956521739131
clinc150,13,740,10,1.0,3,0.5565611299092585,22,8,14,1.0,0.0,0.0
clinc150,13,751,79,1.0,3,0.5135103039621619,38,31,7,0.41935483870967744,0.0,0.5806451612903226
clinc150,13,758,45,1.0,3,0.5649576402433997,35,23,12,0.6521739130434783,0.0,0.34782608695652173
clinc150,13,763,24,1.0,4,0.6226954048801887,2,2,0,1.0,,0.0
clinc150,13,765,28,1.0,4,0.7258729791758551,97,24,73,0.8333333333333334,0.0,0.16666666666666666
clinc150,13,767,10,1.0,4,0.610722586353182,11,7,4,0.7142857142857143,0.0,0.2857142857142857
clinc150,13,769,28,1.0,4,0.623567703291924,16,4,12,1.0,0.25,0.0
clinc150,13,773,10,1.0,4,0.5912410120204854,2,1,1,1.0,0.0,0.0
clinc150,13,779,16,1.0,4,0.5333642921398281,13,6,7,0.3333333333333333,0.0,0.6666666666666666
clinc150,13,787,13,1.0,4,0.7509779669967044,19,8,11,0.25,0.0,0.75
clinc150,13,793,11,1.0,4,0.42733482323134897,5,2,3,1.0,0.0,0.0
clinc150,13,795,40,1.0,4,0.5211475646693184,12,10,2,0.8,0.0,0.2
clinc150,13,810,13,1.0,4,0.6469433290361857,31,12,19,0.8333333333333334,0.10526315789473684,0.16666666666666666
clinc150,13,814,26,1.0,4,0.39311811706609634,13,13,0,0.46153846153846156,,0.5384615384615384
clinc150,13,816,17,1.0,4,0.5333957475981621,15,8,7,0.5,0.0,0.5
clinc150,13,823,16,1.0,4,0.5042111071369837,5,5,0,1.0,,0.0
clinc150,13,832,12,1.0,4,0.5944676701870449,13,7,6,1.0,0.0,0.0
clinc150,13,855,13,1.0,4,0.6558599961578542,13,8,5,1.0,0.0,0.0
clinc150,13,857,58,1.0,4,0.6851022762773202,73,20,53,0.85,0.05660377358490566,0.15
clinc150,13,869,12,1.0,4,0.4789925800789505,32,13,19,1.0,0.0,0.0
clinc150,13,892,12,1.0,5,0.675809180216438,55,25,30,1.0,0.16666666666666666,0.0
clinc150,13,895,10,1.0,5,0.6953285770884671,42,13,29,0.9230769230769231,0.0,0.07692307692307693
clinc150,13,904,14,1.0,5,0.4285402347001278,7,7,0,0.5714285714285714,,0.42857142857142855
clinc150,13,922,22,1.0,5,0.4279977124845859,10,5,5,1.0,0.0,0.0
clinc150,13,952,36,1.0,5,0.5136214349748369,25,23,2,0.8260869565217391,0.0,0.17391304347826086
clinc150,13,962,16,1.0,6,0.5499031259890612,23,14,9,0.6428571428571429,0.0,0.35714285714285715
clinc150,13,982,14,1.0,6,0.6092491206863634,27,11,16,0.7272727272727273,0.0625,0.2727272727272727
clinc150,13,1018,29,1.0,7,0.5024458991755103,9,4,5,0.75,0.0,0.25
clinc150,13,1036,14,1.0,7,0.5589726488831914,65,39,26,0.8717948717948718,0.0,0.07692307692307693
clinc150,13,1042,46,1.0,8,0.5563946629406025,28,15,13,0.5333333333333333,0.0,0.4
clinc150,13,1050,10,1.0,8,0.44775668579782923,7,2,5,0.5,0.0,0.5
clinc150,13,1052,34,1.0,8,0.41997627697623785,13,11,2,0.45454545454545453,0.0,0.5454545454545454
clinc150,13,1062,10,1.0,9,0.5215784384472169,7,2,5,1.0,0.0,0.0
clinc150,13,1066,10,1.0,9,0.4831275461697026,10,6,4,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,45,89,1.0,1,0.6231421303223426,56,30,26,0.6333333333333333,0.0,0.36666666666666664
clinc150,42,48,48,1.0,1,0.7215723140185061,86,11,75,0.8181818181818182,0.05333333333333334,0.18181818181818182
clinc150,42,87,10,1.0,2,0.6266787573402558,5,3,2,1.0,0.0,0.0
clinc150,42,99,52,1.0,2,0.6984752863500595,129,30,99,0.8333333333333334,0.0,0.16666666666666666
clinc150,42,108,73,1.0,2,0.6730024648533958,177,28,149,0.5714285714285714,0.0,0.42857142857142855
clinc150,42,121,34,1.0,2,0.5533452530767639,12,11,1,0.18181818181818182,0.0,0.8181818181818182
clinc150,42,128,85,1.0,2,0.5467380533303463,24,22,2,0.6818181818181818,0.0,0.3181818181818182
clinc150,42,138,67,1.0,2,0.6948213698727803,33,27,6,0.5555555555555556,0.0,0.4444444444444444
clinc150,42,198,80,1.0,2,0.568829774399021,37,30,7,0.4666666666666667,0.0,0.5333333333333333
clinc150,42,201,89,1.0,2,0.47624849005159425,63,27,36,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,203,10,1.0,2,0.5850787427820702,29,17,12,0.5294117647058824,0.0,0.47058823529411764
clinc150,42,205,17,1.0,2,0.6190359828808988,24,5,19,1.0,0.0,0.0
clinc150,42,209,42,1.0,2,0.5972567001898631,41,10,31,0.5,0.16129032258064516,0.5
clinc150,42,219,13,1.0,2,0.7190325580384436,66,21,45,0.9523809523809523,0.0,0.047619047619047616
clinc150,42,225,91,1.0,2,0.707409502928898,87,30,57,0.8,0.017543859649122806,0.2
clinc150,42,238,63,1.0,2,0.5059260548419523,21,19,2,0.6842105263157895,0.0,0.3157894736842105
clinc150,42,239,67,1.0,2,0.6463838471115162,37,23,14,0.8260869565217391,0.0,0.17391304347826086
clinc150,42,242,50,1.0,2,0.7342324608836804,66,30,36,0.9666666666666667,0.0,0.03333333333333333
clinc150,42,257,80,1.0,2,0.642778115657413,129,29,100,0.6206896551724138,0.0,0.3793103448275862
clinc150,42,261,17,1.0,2,0.716028689707951,38,10,28,0.9,0.03571428571428571,0.1
clinc150,42,263,81,1.0,2,0.7988867104960645,137,29,108,0.8620689655172413,0.0,0.13793103448275862
clinc150,42,266,16,1.0,2,0.6964540892665021,18,2,16,1.0,0.0,0.0
clinc150,42,274,85,1.0,2,0.6486017900334862,59,31,28,0.6774193548387096,0.0,0.3225806451612903
clinc150,42,285,25,1.0,2,0.490669917608997,5,3,2,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,287,33,1.0,2,0.7390170700173452,167,41,126,0.7560975609756098,0.007936507936507936,0.24390243902439024
clinc150,42,291,39,1.0,2,0.7365587538275702,45,20,25,0.9,0.0,0.1
clinc150,42,305,23,1.0,2,0.7370577259251093,74,13,61,0.9230769230769231,0.0,0.07692307692307693
clinc150,42,311,99,1.0,2,0.5419761747810443,36,29,7,0.41379310344827586,0.0,0.5862068965517241
clinc150,42,314,33,1.0,2,0.7533171346635702,66,20,46,0.8,0.0,0.2
clinc150,42,316,64,1.0,2,0.5851392739644035,65,16,49,0.5625,0.0,0.4375
clinc150,42,329,99,1.0,2,0.4634207685808812,43,31,12,0.3225806451612903,0.0,0.6774193548387096
clinc150,42,336,98,1.0,2,0.6837909318487551,111,29,82,0.6206896551724138,0.012195121951219513,0.3793103448275862
clinc150,42,342,98,1.0,2,0.5385744383539959,37,27,10,0.5925925925925926,0.0,0.4074074074074074
clinc150,42,370,21,1.0,2,0.5167214612537091,18,16,2,0.625,0.0,0.375
clinc150,42,374,17,1.0,2,0.40440869249463374,3,3,0,1.0,,0.0
clinc150,42,388,12,1.0,2,0.3709974278503669,9,0,9,,0.0,
clinc150,42,393,84,1.0,2,0.5475137246906389,29,24,5,0.625,0.0,0.375
clinc150,42,436,95,1.0,2,0.6015985264327888,74,30,44,0.5,0.0,0.5
clinc150,42,439,93,1.0,2,0.6736749804635707,72,30,42,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,453,77,1.0,2,0.6946064907231361,47,23,24,0.6086956521739131,0.16666666666666666,0.391304347826087
clinc150,42,461,32,1.0,2,0.6548602276536197,35,4,31,1.0,0.0,0.0
clinc150,42,473,43,1.0,2,0.754296540495885,92,28,64,0.9642857142857143,0.0,0.03571428571428571
clinc150,42,476,81,1.0,2,0.616469504821882,31,25,6,0.72,0.0,0.28
clinc150,42,498,23,1.0,2,0.5470353654623615,13,7,6,0.8571428571428571,0.0,0.14285714285714285
clinc150,42,503,62,1.0,2,0.6994061309852934,143,35,108,0.7428571428571429,0.0,0.2571428571428571
clinc150,42,531,38,1.0,3,0.7083565867696655,31,17,14,0.7058823529411765,0.0,0.29411764705882354
clinc150,42,536,16,1.0,3,0.7044223059330428,36,25,11,0.48,0.0,0.52
clinc150,42,542,85,1.0,3,0.6806454653970387,75,31,44,0.8709677419354839,0.0,0.12903225806451613
clinc150,42,548,16,1.0,3,0.7647199023370671,92,27,65,0.9629629629629629,0.0,0.037037037037037035
clinc150,42,553,15,1.0,3,0.6925049506321334,18,3,15,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,557,38,1.0,3,0.7352522991114484,126,30,96,0.8333333333333334,0.0,0.16666666666666666
clinc150,42,568,34,1.0,3,0.5441620938414653,20,15,5,0.6,0.0,0.4
clinc150,42,572,29,1.0,3,0.6534801712104963,39,18,21,0.9444444444444444,0.0,0.05555555555555555
clinc150,42,574,10,1.0,3,0.6443030740628561,20,12,8,0.75,0.0,0.25
clinc150,42,579,76,1.0,3,0.608962180624867,45,35,10,0.7428571428571429,0.0,0.2571428571428571
clinc150,42,587,11,1.0,3,0.7117313690243441,85,33,52,0.9393939393939394,0.0,0.030303030303030304
clinc150,42,630,55,1.0,3,0.7475658965506408,61,32,29,0.71875,0.0,0.28125
clinc150,42,639,68,1.0,3,0.5429741841895828,34,18,16,0.7777777777777778,0.0,0.2222222222222222
clinc150,42,641,13,1.0,3,0.5081268518413047,67,10,57,1.0,0.0,0.0
clinc150,42,651,11,1.0,3,0.3090888907903494,5,3,2,0.3333333333333333,0.0,0.6666666666666666
clinc150,42,667,10,1.0,3,0.5920437948614478,18,11,7,1.0,0.0,0.0
clinc150,42,669,88,1.0,3,0.5780174959613658,97,30,67,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,688,11,1.0,3,0.42413512808356746,7,6,1,0.8333333333333334,0.0,0.16666666666666666
clinc150,42,699,80,1.0,3,0.6503170609641231,145,31,114,0.3548387096774194,0.0,0.6451612903225806
clinc150,42,703,76,1.0,3,0.525378231168984,25,20,5,0.1,0.0,0.9
clinc150,42,705,98,1.0,3,0.5974263962692716,31,30,1,0.23333333333333334,0.0,0.7666666666666667
clinc150,42,717,36,1.0,3,0.652603695491984,53,19,34,0.7894736842105263,0.0,0.21052631578947367
clinc150,42,723,22,1.0,3,0.5323011341290574,7,7,0,0.2857142857142857,,0.7142857142857143
clinc150,42,725,11,1.0,3,0.4450392248145654,1,0,1,,0.0,
clinc150,42,728,17,1.0,3,0.6792601074411108,24,15,9,0.9333333333333333,0.0,0.06666666666666667
clinc150,42,729,14,1.0,3,0.7732552199622379,169,13,156,0.9230769230769231,0.0,0.07692307692307693
clinc150,42,731,37,1.0,3,0.6769220096919351,35,21,14,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,736,24,1.0,3,0.3973125560698059,39,5,34,0.8,0.0,0.2
clinc150,42,743,39,1.0,3,0.7069895839953406,131,31,100,0.6129032258064516,0.14,0.3870967741935484
clinc150,42,753,11,1.0,3,0.558681515971147,6,2,4,0.5,0.0,0.5
clinc150,42,772,41,1.0,3,0.6268531672296137,26,4,22,0.75,0.0,0.25
clinc150,42,774,17,1.0,3,0.5349792247389682,20,9,11,0.4444444444444444,0.0,0.5555555555555556
clinc150,42,782,13,1.0,3,0.5356009054942112,18,6,12,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,788,21,1.0,3,0.43932319934832686,13,10,3,0.4,0.0,0.6
clinc150,42,790,59,1.0,3,0.6167838522676429,50,16,34,0.5,0.0,0.4375
clinc150,42,797,20,1.0,3,0.5921150185415968,29,25,4,0.96,0.0,0.0
clinc150,42,806,19,1.0,3,0.699218459588872,82,22,60,0.9090909090909091,0.0,0.09090909090909091
clinc150,42,808,29,1.0,3,0.6784779774161308,26,10,16,0.8,0.0,0.2
clinc150,42,811,14,1.0,3,0.6228219260664112,45,15,30,0.8666666666666667,0.0,0.13333333333333333
clinc150,42,819,93,1.0,3,0.56472877154877,50,34,16,0.4117647058823529,0.0,0.5882352941176471
clinc150,42,823,20,1.0,3,0.6734672715393903,28,7,21,0.5714285714285714,0.0,0.42857142857142855
clinc150,42,824,10,1.0,3,0.44415554212380287,5,3,2,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,829,18,1.0,3,0.6847477237425408,44,20,24,0.6,0.0,0.4
clinc150,42,835,13,1.0,3,0.7282007553533318,44,7,37,1.0,0.0,0.0
clinc150,42,841,72,1.0,3,0.6347882816838378,82,28,54,0.8928571428571429,0.0,0.10714285714285714
clinc150,42,858,100,1.0,3,0.6611395747872493,66,35,31,0.6857142857142857,0.0,0.3142857142857143
clinc150,42,860,69,1.0,3,0.4901963820643948,30,23,7,0.4782608695652174,0.0,0.5217391304347826
clinc150,42,864,46,1.0,3,0.7043308703845009,78,9,69,0.5555555555555556,0.0,0.4444444444444444
clinc150,42,866,12,1.0,3,0.4471373914696808,8,4,4,0.75,0.0,0.25
clinc150,42,868,83,1.0,3,0.5118707222730923,35,31,4,0.41935483870967744,0.0,0.5806451612903226
clinc150,42,881,100,1.0,4,0.49702514407771914,52,30,22,0.6333333333333333,0.0,0.36666666666666664
clinc150,42,885,13,1.0,4,0.5154065597260046,5,3,2,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,907,12,1.0,4,0.6258505264453896,16,15,1,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,917,40,1.0,4,0.4140605952535291,12,12,0,0.6666666666666666,,0.3333333333333333
clinc150,42,919,21,1.0,4,0.5017242007224367,16,16,0,0.9375,,0.0625
clinc150,42,930,37,1.0,4,0.5642557050118736,26,22,4,0.7727272727272727,0.0,0.22727272727272727
clinc150,42,938,22,1.0,4,0.4610587025519358,27,19,8,0.8421052631578947,0.0,0.15789473684210525
clinc150,42,942,45,1.0,4,0.5673585559362796,40,20,20,0.6,0.0,0.35
clinc150,42,944,91,1.0,4,0.5115652775027273,37,31,6,0.5161290322580645,0.0,0.4838709677419355
clinc150,42,952,12,1.0,4,0.6252798930247584,9,8,1,1.0,0.0,0.0
clinc150,42,954,12,1.0,4,0.5156920596238622,14,3,11,0.6666666666666666,0.0,0.3333333333333333
clinc150,42,958,22,1.0,4,0.7074556451889409,44,13,31,0.9230769230769231,0.0,0.07692307692307693
clinc150,42,967,69,1.0,4,0.5046289084107622,20,20,0,0.6,,0.4
clinc150,42,988,12,1.0,4,0.4145654310941454,3,2,1,1.0,0.0,0.0
clinc150,42,992,43,1.0,4,0.6197297056022516,88,25,63,0.92,0.0,0.08
clinc150,42,994,18,1.0,4,0.5005282894963347,16,16,0,0.875,,0.125
clinc150,42,1000,57,1.0,4,0.6962661318940809,35,13,22,0.9230769230769231,0.0,0.07692307692307693
clinc150,42,1010,21,1.0,4,0.5733909074161468,28,2,26,1.0,0.0,0.0
clinc150,42,1032,13,1.0,4,0.661499801960303,22,13,9,0.7692307692307693,0.0,0.23076923076923078
clinc150,42,1067,11,1.0,5,0.595537478102612,19,12,7,0.16666666666666666,0.0,0.8333333333333334
clinc150,42,1105,19,1.0,5,0.6782790815581571,25,10,15,0.7,0.0,0.3
clinc150,42,1109,21,1.0,5,0.6219793805701818,9,3,6,1.0,0.0,0.0
clinc150,42,1117,10,1.0,5,0.5911727359724213,44,36,8,0.8888888888888888,0.0,0.1111111111111111
clinc150,42,1136,11,1.0,5,0.6258665141282467,5,2,3,0.5,0.0,0.5
clinc150,42,1144,10,1.0,6,0.6593843078153404,23,12,11,1.0,0.0,0.0
clinc150,42,1148,10,1.0,6,0.381160315722539,6,6,0,1.0,,0.0
clinc150,42,1150,17,1.0,6,0.4249347023427351,0,0,0,,,
clinc150,42,1174,23,1.0,6,0.6342777738770069,14,12,2,0.8333333333333334,0.0,0.16666666666666666
clinc150,42,1176,10,1.0,6,0.45974248817622304,15,6,9,0.3333333333333333,0.0,0.6666666666666666
clinc150,42,1230,15,1.0,7,0.45944574514311765,2,1,1,1.0,0.0,0.0
clinc150,42,1240,36,1.0,8,0.5735340518944323,13,10,3,0.8,0.0,0.2
clinc150,42,1244,83,1.0,8,0.5663804982137198,29,22,7,0.7272727272727273,0.0,0.2727272727272727
clinc150,42,1246,11,1.0,8,0.610930874394177,30,13,17,1.0,0.0,0.0
clinc150,42,1252,19,1.0,8,0.559371389517507,46,25,21,0.92,0.0,0.04
clinc150,87,60,27,1.0,1,0.7673359104595426,97,24,73,0.9166666666666666,0.0,0.08333333333333333
clinc150,87,71,86,1.0,1,0.5867301561987212,26,25,1,0.24,0.0,0.76
clinc150,87,76,12,1.0,2,0.7147867906160478,33,2,31,1.0,0.0,0.0
clinc150,87,87,30,1.0,2,0.5051061803002962,4,4,0,0.5,,0.5
clinc150,87,94,66,1.0,2,0.5313599534244519,40,23,17,0.391304347826087,0.0,0.6086956521739131
clinc150,87,129,76,1.0,2,0.5303206812057324,19,19,0,0.6842105263157895,,0.3157894736842105
clinc150,87,131,10,1.0,2,0.6091202566572718,21,7,14,0.42857142857142855,0.0,0.5714285714285714
clinc150,87,135,34,1.0,2,0.7268315657964719,131,17,114,0.7058823529411765,0.11403508771929824,0.29411764705882354
clinc150,87,152,13,1.0,2,0.6261745998639944,11,10,1,0.8,0.0,0.2
clinc150,87,153,96,1.0,2,0.5964116018163822,48,26,22,0.5769230769230769,0.0,0.4230769230769231
clinc150,87,189,31,1.0,2,0.5968883889419169,33,7,26,1.0,0.0,0.0
clinc150,87,198,40,1.0,2,0.5886380548514739,81,15,66,0.7333333333333333,0.0,0.26666666666666666
clinc150,87,200,14,1.0,2,0.5708764352053127,24,2,22,1.0,0.0,0.0
clinc150,87,204,60,1.0,2,0.7879416783634003,325,21,304,0.7619047619047619,0.0,0.23809523809523808
clinc150,87,212,98,1.0,2,0.600758008024278,36,30,6,0.4,0.0,0.6
clinc150,87,220,12,1.0,2,0.4892223144835663,14,9,5,1.0,0.0,0.0
clinc150,87,223,68,1.0,2,0.7475258273218859,66,18,48,0.7777777777777778,0.0,0.2222222222222222
clinc150,87,252,17,1.0,2,0.620652694697547,19,14,5,0.6428571428571429,0.0,0.35714285714285715
clinc150,87,266,43,1.0,2,0.6304388052280921,32,22,10,0.5,0.0,0.5
clinc150,87,282,97,1.0,2,0.5703054978944845,62,31,31,0.45161290322580644,0.06451612903225806,0.5483870967741935
clinc150,87,294,100,1.0,2,0.6002804310567982,57,30,27,0.23333333333333334,0.0,0.7666666666666667
clinc150,87,318,99,1.0,2,0.5419761747810443,38,29,9,0.41379310344827586,0.0,0.5862068965517241
