dataset,seed,gold_type,method,count,score_spearman_with_s2c,s2c_only_correct_rate,baseline_only_correct_rate,both_correct_rate,both_wrong_rate
banking77,42,OOS,energy,1560,0.7370047027847676,0.2935897435897436,0.010897435897435897,0.5602564102564103,0.13525641025641025
banking77,42,Known,knn,1520,0.8664517445729842,0.009868421052631578,0.13223684210526315,0.7835526315789474,0.07434210526315789
banking77,42,OOS,knn,1560,0.8283897318649962,0.316025641025641,0.0019230769230769232,0.5378205128205128,0.14423076923076922
banking77,42,Known,lof,1520,0.6935869880880835,0.018421052631578946,0.13289473684210526,0.775,0.07368421052631578
banking77,42,OOS,lof,1560,0.6269218552440233,0.47115384615384615,0.011538461538461539,0.38269230769230766,0.1346153846153846
banking77,87,Known,msp,1520,0.657851654156954,0.007894736842105263,0.11973684210526316,0.7927631578947368,0.07960526315789473
banking77,87,OOS,msp,1560,0.5665600523845863,0.2826923076923077,0.0057692307692307696,0.5955128205128205,0.11602564102564103
banking77,87,Known,energy,1520,0.7861639991953613,0.015131578947368421,0.11447368421052631,0.7855263157894737,0.08486842105263158
banking77,87,OOS,energy,1560,0.6655612151764969,0.32051282051282054,0.008333333333333333,0.5576923076923077,0.11346153846153846
banking77,87,Known,knn,1520,0.8635657905561457,0.01118421052631579,0.1256578947368421,0.7894736842105263,0.07368421052631578
banking77,87,OOS,knn,1560,0.7609428005441893,0.3403846153846154,0.0019230769230769232,0.5378205128205128,0.11987179487179488
banking77,87,Known,lof,1520,0.6996647062362986,0.014473684210526316,0.1256578947368421,0.7861842105263158,0.07368421052631578
banking77,87,OOS,lof,1560,0.6293190835087014,0.4205128205128205,0.014102564102564103,0.4576923076923077,0.1076923076923077
stackoverflow,13,Known,msp,3000,0.7279952883834755,0.0003333333333333333,0.09333333333333334,0.832,0.07433333333333333
stackoverflow,13,OOS,msp,3000,0.3835890384840241,0.599,0.0013333333333333333,0.268,0.13166666666666665
stackoverflow,13,Known,energy,3000,0.736444826657524,0.0003333333333333333,0.089,0.832,0.07866666666666666
stackoverflow,13,OOS,energy,3000,0.3937561925048561,0.6066666666666667,0.0016666666666666668,0.26033333333333336,0.13133333333333333
stackoverflow,13,Known,knn,3000,0.872097784871331,0.002,0.093,0.8303333333333334,0.07466666666666667
stackoverflow,13,OOS,knn,3000,0.7454671992175704,0.42333333333333334,0.0,0.44366666666666665,0.133
stackoverflow,13,Known,lof,3000,0.8418048063524473,0.003,0.08833333333333333,0.8293333333333334,0.07933333333333334
stackoverflow,13,OOS,lof,3000,0.7640455202597397,0.477,0.0003333333333333333,0.39,0.13266666666666665
stackoverflow,42,Known,msp,3000,0.7190725913900817,0.0023333333333333335,0.09466666666666666,0.8203333333333334,0.08266666666666667
stackoverflow,42,OOS,msp,3000,0.5354718082825279,0.549,0.0023333333333333335,0.358,0.09066666666666667
stackoverflow,42,Known,energy,3000,0.7383360495347469,0.002,0.09566666666666666,0.8206666666666667,0.08166666666666667
stackoverflow,42,OOS,energy,3000,0.5686746924235602,0.5953333333333334,0.002,0.31166666666666665,0.091
stackoverflow,42,Known,knn,3000,0.8673908007917314,0.005333333333333333,0.09766666666666667,0.8173333333333334,0.07966666666666666
stackoverflow,42,OOS,knn,3000,0.8985831922644842,0.29833333333333334,0.0,0.6086666666666667,0.093
stackoverflow,42,Known,lof,3000,0.8779153730745781,0.005333333333333333,0.089,0.8173333333333334,0.08833333333333333
stackoverflow,42,OOS,lof,3000,0.8046344774498202,0.389,0.0016666666666666668,0.518,0.09133333333333334
stackoverflow,87,Known,msp,3000,0.6525402057605874,0.0006666666666666666,0.09766666666666667,0.828,0.07366666666666667
stackoverflow,87,OOS,msp,3000,0.45168648873220685,0.5966666666666667,0.004,0.295,0.10433333333333333
stackoverflow,87,Known,energy,3000,0.6587276664494579,0.0013333333333333333,0.09333333333333334,0.8273333333333334,0.078
stackoverflow,87,OOS,energy,3000,0.4980584525616188,0.613,0.0026666666666666666,0.2786666666666667,0.10566666666666667
stackoverflow,87,Known,knn,3000,0.8866103620426202,0.005666666666666667,0.08266666666666667,0.823,0.08866666666666667
stackoverflow,87,OOS,knn,3000,0.721806932583394,0.2816666666666667,0.0,0.61,0.10833333333333334
stackoverflow,87,Known,lof,3000,0.8639869604127705,0.006,0.082,0.8226666666666667,0.08933333333333333
stackoverflow,87,OOS,lof,3000,0.6893091249728522,0.323,0.0003333333333333333,0.5686666666666667,0.108
