dataset,seed,source_center_id,source_intent,source_boundary,radial_level,method,direction_count,acceptance_rate,score_median
clinc150,13,12,cancel,frozen_k2,0.9,frozen_k1,24,0.0,2.8800306650941057
clinc150,13,12,cancel,frozen_k2,0.9,frozen_k2,24,1.0,0.8999999999999999
clinc150,13,12,cancel,frozen_k2,0.9,mogb,24,0.0,1.2161179303709764
clinc150,13,12,cancel,frozen_k2,0.99,frozen_k1,24,0.0,3.166557332154733
clinc150,13,12,cancel,frozen_k2,0.99,frozen_k2,24,1.0,0.9900000000000001
clinc150,13,12,cancel,frozen_k2,0.99,mogb,24,0.0,1.3141194159438374
clinc150,13,12,cancel,frozen_k2,1.01,frozen_k1,24,0.0,3.2302528936258783
clinc150,13,12,cancel,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,12,cancel,frozen_k2,1.01,mogb,24,0.0,1.3361259347405507
clinc150,13,12,cancel,frozen_k2,1.15,frozen_k1,24,0.0,3.676305035141447
clinc150,13,12,cancel,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,12,cancel,frozen_k2,1.15,mogb,24,0.0,1.4920674932977493
clinc150,13,12,cancel,frozen_k2,1.35,frozen_k1,24,0.0,4.31393064868059
clinc150,13,12,cancel,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,12,cancel,frozen_k2,1.35,mogb,24,0.0,1.7192455921858985
clinc150,13,13,cancel,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,1.7144538515672958
clinc150,13,13,cancel,frozen_k2,0.75,frozen_k2,24,1.0,0.75
clinc150,13,13,cancel,frozen_k2,0.75,mogb,24,1.0,0.8933757474761641
clinc150,13,13,cancel,frozen_k2,0.9,frozen_k1,24,0.0,2.0478551803971996
clinc150,13,13,cancel,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,13,cancel,frozen_k2,0.9,mogb,24,0.0,1.0511547430922328
clinc150,13,13,cancel,frozen_k2,0.99,frozen_k1,24,0.0,2.248471618054952
clinc150,13,13,cancel,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,13,cancel,frozen_k2,0.99,mogb,24,0.0,1.1471116158428625
clinc150,13,13,cancel,frozen_k2,1.01,frozen_k1,24,0.0,2.2930968730831474
clinc150,13,13,cancel,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,13,cancel,frozen_k2,1.01,mogb,24,0.0,1.1685356582223525
clinc150,13,13,cancel,frozen_k2,1.15,frozen_k1,24,0.0,2.6058243384422752
clinc150,13,13,cancel,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,13,cancel,frozen_k2,1.15,mogb,24,0.0,1.3193176344460542
clinc150,13,13,cancel,frozen_k2,1.35,frozen_k1,24,0.0,3.0533619035299324
clinc150,13,13,cancel,frozen_k2,1.35,frozen_k2,24,0.0,1.3499999999999999
clinc150,13,13,cancel,frozen_k2,1.35,mogb,24,0.0,1.536565505761998
clinc150,13,14,car_rental,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,2.4800765040856474
clinc150,13,14,car_rental,frozen_k2,0.75,frozen_k2,24,1.0,0.7500000000000001
clinc150,13,14,car_rental,frozen_k2,0.75,mogb,24,1.0,0.8472040443703981
clinc150,13,14,car_rental,frozen_k2,0.9,frozen_k1,24,0.0,2.9693472855947363
clinc150,13,14,car_rental,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,14,car_rental,frozen_k2,0.9,mogb,24,0.3333333333333333,1.0035733028741345
clinc150,13,14,car_rental,frozen_k2,0.99,frozen_k1,24,0.0,3.2633042886971646
clinc150,13,14,car_rental,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,14,car_rental,frozen_k2,0.99,mogb,24,0.0,1.0982292790786574
clinc150,13,14,car_rental,frozen_k2,1.01,frozen_k1,24,0.0,3.32865800270332
