dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std
stackoverflow,0.5,fixed_k2,5,0.6352945072329975,0.043018765630415005,0.7275883031957765,0.02335923330481866,0.8688666666666667,0.012801041624284595,0.4716666666666667,0.05844940832321006,0.8259930444444444,0.010133263774005866,0.7638740861715021,0.0093717697995502
stackoverflow,0.5,mogb_minilm,5,0.729199427573284,0.006249432392941418,0.43298039378929865,0.033995539719519276,0.27093333333333336,0.02369880447054943,0.007933333333333282,0.002575525836277584,0.8476909333333333,0.03540406497216226,0.7865554428431313,0.044144746058209304
stackoverflow,0.5,mogb_partition_ours_boundary,5,0.7924706249591658,0.014867493644347068,0.63344181949998,0.055016434166417376,0.5038666666666667,0.049077376548557365,0.01859999999999998,0.0070134790859379655,0.8663389555555556,0.03989250123356979,0.8165219640522269,0.05656598307197303
stackoverflow,0.5,ours_partition_mogb_boundary,5,0.7335218198140271,0.01301217579614062,0.6358695194997168,0.015823179339490196,0.5449333333333334,0.011736457917295315,0.1569333333333333,0.029528141003305832,0.732959,0.026490262448075185,0.6619594619282418,0.03184038560176823
stackoverflow,0.5,random_partition,5,0.7587996754762377,0.05491341442416416,0.7980409512231381,0.022351101003422823,0.8764,0.01346270568810164,0.30979999999999996,0.08558024174876921,0.8881375111111109,0.016766543697472675,0.8423902188868466,0.01947645313223583
stackoverflow,0.5,single_centroid,5,0.7654959559609912,0.05344876974549661,0.7997964624589458,0.022009634922279968,0.8714666666666668,0.011824174859630223,0.2970666666666667,0.0840477377579089,0.8876673111111112,0.01661713208817345,0.8402327675198755,0.019268095555044266
stackoverflow,0.5,trainable_k1,5,0.8767066651336372,0.016570048659296073,0.8655077750537565,0.0129768949886664,0.8389333333333333,0.003569936196130745,0.09340000000000001,0.03261168842949139,0.9235181333333333,0.014917396867995607,0.8935448620562013,0.028480838411641705
stackoverflow,0.75,fixed_k2,5,0.43634697678645706,0.07858109845039464,0.7446586353568032,0.019022613164624596,0.8802222222222221,0.008217716483155831,0.6166666666666667,0.0937052115235149,0.7757786962962963,0.026485343989206774,0.46981381805862144,0.0609649480549771
stackoverflow,0.75,mogb_minilm,5,0.4558840331344416,0.004201451885150507,0.33093232311807846,0.02076337155778205,0.21173333333333327,0.014546986451317507,0.006666666666666619,0.004784233364802465,0.8032848592592592,0.04412659084290659,0.4815859856491138,0.0676313122287025
stackoverflow,0.75,mogb_partition_ours_boundary,5,0.5156718868278516,0.009972097867131942,0.4958398225235195,0.036438517307757885,0.3906666666666666,0.029805956816186842,0.01799999999999996,0.010488088481701538,0.792292325925926,0.04256059459285866,0.46413433711130103,0.0770610714938718
stackoverflow,0.75,ours_partition_mogb_boundary,5,0.4847941610402537,0.01261507430021938,0.6121983148732835,0.01172635817528238,0.5349777777777778,0.010328672784122923,0.2337333333333333,0.019491308604378286,0.6866778074074075,0.02195386872997318,0.3700422816432617,0.046747685987246136
stackoverflow,0.75,random_partition,5,0.6500992335498492,0.05461173977739191,0.8107916989356445,0.00913578201505073,0.8819555555555555,0.010707560499565297,0.34559999999999996,0.07930615781051724,0.8821197037037039,0.01952461057251155,0.6627071580285776,0.06582294293829133
stackoverflow,0.75,single_centroid,5,0.6560530143222347,0.05338730220621314,0.8123797132114893,0.009843875658030738,0.8762222222222222,0.011677772491805504,0.3282666666666666,0.08026566998273782,0.8816990518518517,0.018980269052255947,0.6612071958888421,0.06214195963135303
stackoverflow,0.75,trainable_k1,5,0.7630378449085173,0.029114150514437897,0.87280021593395,0.0068391139890120346,0.8411555555555555,0.0067263990696690345,0.088,0.05970855140690579,0.9290362370370371,0.010096025236218928,0.772939945773755,0.026186619936618503
