dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,min_get_20,reference,false_reject_rate,5,-0.002807017543859658,0.0,0.006720695196272987,-0.008070175438596516,0.0017543859649122862,1,2,2,0.4032096051766123,0.5,-0.41766773553669134
clinc150,0.25,min_get_20,reference,effective_cluster_count,5,1.0,1.0,2.5495097567963922,-1.0,3.0,3,0,2,0.4299733794885493,0.5,0.3922322702763681
clinc150,0.25,min_select_5,reference,oos_f1,5,0.0009612243211504001,0.0008504398386155465,0.0003034243668437377,0.0007384988145120008,0.0012013624369699549,5,0,0,0.002096571433624242,0.0625,3.167920662236816
clinc150,0.25,min_select_5,reference,f1_all,5,0.008610621202787239,0.006727258327671293,0.003139368755296684,0.006440171798218874,0.011363056923665793,5,0,0,0.003582109150065103,0.0625,2.74278744357749
clinc150,0.25,min_select_5,reference,id_recall,5,0.007719298245614059,0.007017543859649145,0.0016873143913746847,0.006666666666666687,0.009122807017543888,5,0,0,0.000514649522610954,0.0625,4.57490215520832
clinc150,0.25,min_select_5,reference,false_accept_rate,5,-0.00026315789473684205,0.0,0.0005884389414473128,-0.0007894736842105262,0.0,0,4,1,0.3739009663000589,1.0,-0.44721359549995804
clinc150,0.25,min_select_5,reference,false_reject_rate,5,-0.007719298245614059,-0.007017543859649145,0.0016873143913746847,-0.009122807017543888,-0.006666666666666687,0,0,5,0.000514649522610954,0.0625,-4.57490215520832
clinc150,0.25,min_select_5,reference,effective_cluster_count,5,38.8,37.0,11.432410069622241,29.8,47.8,5,0,0,0.0016171983153463849,0.0625,3.393860066574926
clinc150,0.25,min_select_20,reference,oos_f1,5,-0.0018206177925726764,-0.0016179183681285236,0.001237086579317963,-0.002784074090209132,-0.0008571614949362205,0,0,5,0.030192352823998615,0.0625,-1.4716979579363223
clinc150,0.25,min_select_20,reference,f1_all,5,-0.02180435445651576,-0.019594140856665332,0.0132216690275468,-0.03227576409764672,-0.011332944815384804,0,0,5,0.02106329997882931,0.0625,-1.6491378214873849
clinc150,0.25,min_select_20,reference,id_recall,5,-0.018245614035087687,-0.014035087719298178,0.010963157754363512,-0.02684210526315787,-0.009824561403508736,0,0,5,0.020449318272974686,0.0625,-1.66426630391464
clinc150,0.25,min_select_20,reference,false_accept_rate,5,-0.000263157894736842,-0.0004385964912280698,0.0003603437878323461,-0.0005263157894736841,4.385964912280707e-05,1,1,3,0.17780780835622134,0.25,-0.7302967433402213
clinc150,0.25,min_select_20,reference,false_reject_rate,5,0.018245614035087687,0.014035087719298178,0.010963157754363512,0.009824561403508736,0.02684210526315787,5,0,0,0.020449318272974686,0.0625,1.66426630391464
clinc150,0.25,min_select_20,reference,effective_cluster_count,5,-21.8,-23.0,4.43846820423443,-25.0,-18.4,0,0,5,0.0003905597390068998,0.0625,-4.9116044087467285
clinc150,0.25,default_mean_std,reference,oos_f1,5,0.019796576714447213,0.019138481516763006,0.003115667743409875,0.01749925029007966,0.022460747507741297,5,0,0,0.00014251044149921462,0.0625,6.35387927879026
clinc150,0.25,default_mean_std,reference,f1_all,5,0.2156439342006385,0.21486550038033825,0.011870013141890092,0.20588318911957,0.22539707641368284,5,0,0,2.1943939600809202e-06,0.0625,18.167118403569095
clinc150,0.25,default_mean_std,reference,id_recall,5,0.2891228070175439,0.28771929824561415,0.008872233549817766,0.28245614035087724,0.29631578947368425,5,0,0,2.1255366993574626e-07,0.0625,32.58737559083782
clinc150,0.25,default_mean_std,reference,false_accept_rate,5,0.024254385964912282,0.023464912280701754,0.005869250328210978,0.019824561403508772,0.028464912280701755,5,0,0,0.0007624490143863333,0.0625,4.13245041676478
clinc150,0.25,default_mean_std,reference,false_reject_rate,5,-0.2891228070175439,-0.2877192982456141,0.008872233549817761,-0.2963157894736842,-0.28245614035087724,0,0,5,2.125536699357455e-07,0.0625,-32.587375590837844
clinc150,0.25,default_mean_std,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.25,default_mahalanobis_mean,reference,oos_f1,5,-0.003880594994189757,-0.003974227409810682,0.000976723821172308,-0.0046024593224683,-0.003029713324495864,0,0,5,0.0008869191159197101,0.0625,-3.9730729506853755
clinc150,0.25,default_mahalanobis_mean,reference,f1_all,5,-0.04814370877285813,-0.053815540495892156,0.011063336237964174,-0.05542374674385967,-0.0382420801857413,0,0,5,0.0006246279623098997,0.0625,-4.351644724278698
clinc150,0.25,default_mahalanobis_mean,reference,id_recall,5,-0.04350877192982454,-0.047368421052631504,0.009044025557040002,-0.04912280701754383,-0.03543859649122807,0,0,5,0.00042338554024457247,0.0625,-4.810774986804042
clinc150,0.25,default_mahalanobis_mean,reference,false_accept_rate,5,-0.0015350877192982456,-0.00175438596491228,0.0008771929824561403,-0.0021929824561403508,-0.000833333333333333,0,0,5,0.017348091352435032,0.0625,-1.7500000000000002
clinc150,0.25,default_mahalanobis_mean,reference,false_reject_rate,5,0.04350877192982454,0.047368421052631504,0.009044025557040002,0.03543859649122807,0.04912280701754383,5,0,0,0.00042338554024457247,0.0625,4.810774986804042
clinc150,0.25,default_mahalanobis_mean,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,get_085,reference,oos_f1,5,-0.0021741464807567778,-0.002071754772725254,0.0009766441116507748,-0.002972022949789532,-0.0014551610028858742,0,0,5,0.007609210434538089,0.0625,-2.2261399570432285
clinc150,0.5,get_085,reference,f1_all,5,-0.025519249631488928,-0.021025354714875877,0.010047077086368383,-0.033251278426753864,-0.017787220836223992,0,0,5,0.004743280019967654,0.0625,-2.539967536042178
clinc150,0.5,get_085,reference,id_recall,5,-0.007822222222222197,-0.006666666666666599,0.006648865121763823,-0.012977777777777777,-0.0027555555555555332,1,0,4,0.05814492180991854,0.125,-1.1764747936632987
clinc150,0.5,get_085,reference,false_accept_rate,5,0.0009855072463768114,0.0017391304347826094,0.002241462600484777,-0.001043478260869565,0.0023188405797101444,4,0,1,0.381202556415181,0.625,0.4396715100950909
clinc150,0.5,get_085,reference,false_reject_rate,5,0.007822222222222197,0.006666666666666599,0.006648865121763823,0.0027555555555555332,0.012977777777777777,4,0,1,0.05814492180991854,0.125,1.1764747936632987
clinc150,0.5,get_085,reference,effective_cluster_count,5,-25.4,-20.0,9.989994994993742,-34.6,-20.0,0,0,5,0.004725852912794769,0.0625,-2.5425438163611322
clinc150,0.5,get_090,reference,oos_f1,5,0.010478259040496197,0.009852630476852697,0.0018325893785178908,0.00905072984733346,0.011905788233658931,5,0,0,0.00021567881666166165,0.0625,5.717734241682937
clinc150,0.5,get_090,reference,f1_all,5,0.056570017210951215,0.056325428629384944,0.008669572255503343,0.049770815843664315,0.06336921857823812,5,0,0,0.00012834454877645772,0.0625,6.525122064129661
clinc150,0.5,get_090,reference,id_recall,5,0.05128888888888887,0.04800000000000004,0.008689997087612597,0.04479999999999999,0.05777777777777775,5,0,0,0.00019043798975452753,0.0625,5.902060538317103
clinc150,0.5,get_090,reference,false_accept_rate,5,0.0017391304347826083,0.0014492753623188397,0.0015337688759794726,0.0005797101449275364,0.002840579710144927,4,0,1,0.0642901109859878,0.125,1.1338934190276817
clinc150,0.5,get_090,reference,false_reject_rate,5,-0.05128888888888887,-0.04800000000000004,0.008689997087612597,-0.05777777777777775,-0.04479999999999999,0,0,5,0.00019043798975452753,0.0625,-5.902060538317103
clinc150,0.5,get_090,reference,effective_cluster_count,5,-3.0,-5.0,10.559356040971437,-9.8,6.4,1,0,4,0.5597673687795236,0.625,-0.28410823428622706
clinc150,0.5,get_095,reference,oos_f1,5,0.004391895275006474,0.004411928413246113,0.001825063728686914,0.003135207955365593,0.005887935472382466,5,0,0,0.005764976113729226,0.0625,2.4064339266477717
clinc150,0.5,get_095,reference,f1_all,5,0.022689226441443545,0.01991472362034663,0.008982753623614502,0.01695637458857411,0.030642715730476455,5,0,0,0.004840080740752241,0.0625,2.5258653851750417
clinc150,0.5,get_095,reference,id_recall,5,0.021066666666666657,0.016888888888888842,0.007803766105676094,0.01617777777777778,0.028088888888888896,5,0,0,0.003797418599473389,0.0625,2.699551265554173
clinc150,0.5,get_095,reference,false_accept_rate,5,0.0004637681159420289,0.0008695652173913038,0.001500542504990699,-0.0008695652173913042,0.0015072463768115935,4,0,1,0.5275206451698221,0.625,0.3090669637145024
clinc150,0.5,get_095,reference,false_reject_rate,5,-0.021066666666666657,-0.016888888888888842,0.007803766105676094,-0.028088888888888896,-0.01617777777777778,0,0,5,0.003797418599473389,0.0625,-2.699551265554173
clinc150,0.5,get_095,reference,effective_cluster_count,5,-9.8,-7.0,6.3796551630946325,-15.0,-5.0,0,0,5,0.026416824777176526,0.0625,-1.5361331842340884
clinc150,0.5,select_085,reference,oos_f1,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_085,reference,f1_all,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_085,reference,id_recall,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_085,reference,false_accept_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_085,reference,false_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_085,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_095,reference,oos_f1,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_095,reference,f1_all,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_095,reference,id_recall,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_095,reference,false_accept_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_095,reference,false_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
