dataset,kir,k,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,4,single,f1_all,5,-0.26665191242900266,-0.2600725386330053,0.020964734983927542,-0.2846983806575415,-0.2534823829304956,0,0,5,9.095340752946047e-06,0.0625,-12.71906907640041
clinc150,0.25,4,single,id_recall,5,-0.4098245614035087,-0.41052631578947374,0.01877684801943851,-0.42438596491228064,-0.3957894736842104,0,0,5,1.0546187857459087e-06,0.0625,-21.826057332905005
clinc150,0.25,4,single,false_accept_rate,5,-0.05026315789473684,-0.055701754385964905,0.011447074339168016,-0.05859649122807018,-0.04035087719298246,0,0,5,0.0006033059898092007,0.0625,-4.390917399981698
clinc150,0.25,4,single,false_reject_rate,5,0.4098245614035087,0.41052631578947374,0.018776848019438498,0.3957894736842105,0.42438596491228064,5,0,0,1.054618785745905e-06,0.0625,21.82605733290502
clinc150,0.25,4,single,effective_cluster_count,5,114.0,114.0,0.0,114.0,114.0,5,0,0,0.0,0.0625,0.0
clinc150,0.5,1,single,oos_f1,5,-0.04716515508217334,-0.04628885795718163,0.004226309683168579,-0.050472078782209585,-0.04385823138213709,0,0,5,1.5308626458228286e-05,0.0625,-11.159890925648481
clinc150,0.5,1,single,f1_all,5,-0.19639766827113517,-0.19963784666948758,0.015296759192960217,-0.20770448397328342,-0.18384878883640599,0,0,5,8.761107892568074e-06,0.0625,-12.839168466580825
clinc150,0.5,1,single,id_recall,5,-0.3173333333333333,-0.31866666666666665,0.008663817195385757,-0.3227555555555556,-0.3098666666666666,0,0,5,1.3321529244505583e-07,0.0625,-36.62742716943995
clinc150,0.5,1,single,false_accept_rate,5,-0.06701449275362319,-0.07072463768115941,0.005902662100254022,-0.07130434782608695,-0.06208695652173912,0,0,5,1.4297130084137425e-05,0.0625,-11.353265969729016
clinc150,0.5,1,single,false_reject_rate,5,0.3173333333333333,0.31866666666666665,0.008663817195385757,0.3098666666666666,0.3227555555555556,5,0,0,1.3321529244505583e-07,0.0625,36.62742716943995
clinc150,0.5,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,2,single,oos_f1,5,-0.05620087538544458,-0.055535604476694145,0.004091489067312793,-0.05912934002425938,-0.05316499977834523,0,0,5,6.694246488146771e-06,0.0625,-13.736044374268896
clinc150,0.5,2,single,f1_all,5,-0.2386002903929957,-0.24045611012396362,0.008452285443109534,-0.24458260881578467,-0.23115172908801881,0,0,5,3.773094507595062e-07,0.0625,-28.22908573059459
clinc150,0.5,2,single,id_recall,5,-0.36515555555555557,-0.3635555555555555,0.006700654104794436,-0.37075555555555556,-0.36035555555555554,0,0,5,2.7200283513008515e-08,0.0625,-54.49550892267075
clinc150,0.5,2,single,false_accept_rate,5,-0.07130434782608695,-0.07188405797101449,0.005457440690945717,-0.07553623188405797,-0.06695652173913044,0,0,5,8.171819830202964e-06,0.0625,-13.065528672512363
clinc150,0.5,2,single,false_reject_rate,5,0.36515555555555557,0.3635555555555555,0.006700654104794436,0.36035555555555554,0.37075555555555556,5,0,0,2.7200283513008515e-08,0.0625,54.49550892267075
clinc150,0.5,2,single,effective_cluster_count,5,75.0,75.0,0.0,75.0,75.0,5,0,0,0.0,0.0625,0.0
clinc150,0.5,3,single,oos_f1,5,-0.06264844160908467,-0.0635877472416837,0.006311505913944403,-0.06687134967597988,-0.057056855028321585,0,0,5,2.4392016127579117e-05,0.0625,-9.926068748612208
clinc150,0.5,3,single,f1_all,5,-0.2694716604006464,-0.26940645017607334,0.010241334167364143,-0.2778338277866491,-0.2620908977702506,0,0,5,4.997457014912478e-07,0.0625,-26.312163629946422
clinc150,0.5,3,single,id_recall,5,-0.39626666666666666,-0.39822222222222226,0.01753331925080408,-0.40906666666666663,-0.3820444444444444,0,0,5,9.17455153336899e-07,0.0625,-22.600778608904516
clinc150,0.5,3,single,false_accept_rate,5,-0.07263768115942029,-0.0736231884057971,0.006299264984144947,-0.07744927536231883,-0.06765217391304348,0,0,5,1.3439418102914056e-05,0.0625,-11.531135988444218
clinc150,0.5,3,single,false_reject_rate,5,0.39626666666666666,0.39822222222222226,0.01753331925080408,0.3820444444444444,0.40906666666666663,5,0,0,9.17455153336899e-07,0.0625,22.600778608904516
clinc150,0.5,3,single,effective_cluster_count,5,150.0,150.0,0.0,150.0,150.0,5,0,0,0.0,0.0625,0.0
clinc150,0.5,4,single,oos_f1,5,-0.06791901407403142,-0.06890539590198408,0.005941622341600787,-0.07201311152402953,-0.06307401187509469,0,0,5,1.3913851944471138e-05,0.0625,-11.431055386757
clinc150,0.5,4,single,f1_all,5,-0.29673629981906535,-0.2978865537494401,0.008417575117851645,-0.3025435003093012,-0.28922836501852556,0,0,5,1.5524253038671488e-07,0.0625,-35.25199308168445
clinc150,0.5,4,single,id_recall,5,-0.42337777777777774,-0.4271111111111111,0.012210499428618632,-0.43182222222222216,-0.41306666666666664,0,0,5,1.6586364953913862e-07,0.0625,-34.673256425980135
clinc150,0.5,4,single,false_accept_rate,5,-0.07431884057971014,-0.0736231884057971,0.005784769492039806,-0.07884057971014492,-0.06979710144927535,0,0,5,8.738956721952395e-06,0.0625,-12.847329644159093
clinc150,0.5,4,single,false_reject_rate,5,0.42337777777777774,0.4271111111111111,0.012210499428618632,0.41306666666666664,0.43182222222222216,5,0,0,1.6586364953913862e-07,0.0625,34.673256425980135
clinc150,0.5,4,single,effective_cluster_count,5,225.0,225.0,0.0,225.0,225.0,5,0,0,0.0,0.0625,0.0
clinc150,0.75,1,single,oos_f1,5,-0.1042458320962237,-0.10616031235594525,0.006383320540706254,-0.10831623108687036,-0.09860364404387086,0,0,5,3.357337277513941e-06,0.0625,-16.33097248233909
clinc150,0.75,1,single,f1_all,5,-0.21342448265662864,-0.21450075905350552,0.00524064548755846,-0.21733507408106303,-0.20951389123219424,0,0,5,8.718150415865915e-08,0.0625,-40.72484642651529
clinc150,0.75,1,single,id_recall,5,-0.32107142857142856,-0.3196428571428571,0.004735791495456194,-0.3251190476190476,-0.3177380952380952,0,0,5,1.1356615517660344e-08,0.0625,-67.7967830466109
clinc150,0.75,1,single,false_accept_rate,5,-0.07735042735042735,-0.07606837606837608,0.009464630166816285,-0.08581196581196582,-0.07094017094017094,0,0,5,5.274176028812841e-05,0.0625,-8.172577901841727
clinc150,0.75,1,single,false_reject_rate,5,0.32107142857142856,0.3196428571428571,0.004735791495456183,0.3177380952380952,0.3251190476190476,5,0,0,1.1356615517660265e-08,0.0625,67.79678304661105
clinc150,0.75,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.75,2,single,oos_f1,5,-0.11706120897233767,-0.11821060150532225,0.006057976298332548,-0.12161022593058998,-0.11205669366899502,0,0,5,1.7152218621117023e-06,0.0625,-19.32348414842076
clinc150,0.75,2,single,f1_all,5,-0.24811956586903108,-0.2493132533586111,0.00569126341384144,-0.2522042320107262,-0.2433615738206746,0,0,5,6.638918515599995e-08,0.0625,-43.59657036179204
clinc150,0.75,2,single,id_recall,5,-0.3622619047619048,-0.36250000000000004,0.006339355577526923,-0.36726190476190473,-0.3572619047619048,0,0,5,2.2496954094810897e-08,0.0625,-57.14491013031778
clinc150,0.75,2,single,false_accept_rate,5,-0.08222222222222222,-0.08247863247863248,0.008448146183351499,-0.08905982905982905,-0.075982905982906,0,0,5,2.637615586607206e-05,0.0625,-9.732575696222565
clinc150,0.75,2,single,false_reject_rate,5,0.3622619047619048,0.36250000000000004,0.006339355577526934,0.3572619047619048,0.36726190476190473,5,0,0,2.249695409481106e-08,0.0625,57.14491013031768
clinc150,0.75,2,single,effective_cluster_count,5,112.0,112.0,0.0,112.0,112.0,5,0,0,0.0,0.0625,0.0
clinc150,0.75,3,single,oos_f1,5,-0.12612366762190425,-0.1293180745470468,0.00748686943488111,-0.13168988479859692,-0.1198370645270048,0,0,5,2.9661164290367846e-06,0.0625,-16.84598198471282
clinc150,0.75,3,single,f1_all,5,-0.2785946237937454,-0.2786449398312735,0.004278259867456755,-0.281834426140938,-0.27528492212976297,0,0,5,1.3342967098667229e-08,0.0625,-65.1186773185328
clinc150,0.75,3,single,id_recall,5,-0.39232142857142854,-0.39196428571428577,0.008289104567753232,-0.39875,-0.38589285714285715,0,0,5,4.779859635339205e-08,0.0625,-47.32977191501006
clinc150,0.75,3,single,false_accept_rate,5,-0.08564102564102564,-0.08675213675213675,0.007683993607604481,-0.0917948717948718,-0.07982905982905983,0,0,5,1.5388083182809096e-05,0.0625,-11.145379605244703
clinc150,0.75,3,single,false_reject_rate,5,0.3923214285714286,0.39196428571428577,0.00828910456775324,0.38589285714285715,0.39875,5,0,0,4.7798596353392224e-08,0.0625,47.32977191501002
clinc150,0.75,3,single,effective_cluster_count,5,224.0,224.0,0.0,224.0,224.0,5,0,0,0.0,0.0625,0.0
clinc150,0.75,4,single,oos_f1,5,-0.13502681996198151,-0.13654374194246688,0.007506871724094686,-0.14068973361586373,-0.12898919484415905,0,0,5,2.283386316172794e-06,0.0625,-17.987095680426787
clinc150,0.75,4,single,f1_all,5,-0.3072137327782012,-0.3070092004788011,0.0025785695661677903,-0.30902298326401706,-0.30508663795273344,0,0,5,1.1910318020913603e-09,0.0625,-119.14114585427883
clinc150,0.75,4,single,id_recall,5,-0.4208333333333333,-0.4208333333333334,0.0053612748615035,-0.42511904761904756,-0.41654761904761906,0,0,5,6.320465007225544e-09,0.0625,-78.49501176578663
clinc150,0.75,4,single,false_accept_rate,5,-0.0876068376068376,-0.08803418803418803,0.008768497661830422,-0.09461538461538462,-0.08034188034188033,0,0,5,2.3767375211292698e-05,0.0625,-9.991088665985878
clinc150,0.75,4,single,false_reject_rate,5,0.4208333333333333,0.4208333333333334,0.005361274861503514,0.41654761904761906,0.42511904761904756,5,0,0,6.320465007225611e-09,0.0625,78.49501176578643
clinc150,0.75,4,single,effective_cluster_count,5,336.0,336.0,0.0,336.0,336.0,5,0,0,0.0,0.0625,0.0
banking77,0.25,1,single,oos_f1,5,0.06175211895405861,0.0695724300923769,0.0205754316653243,0.04580023718673221,0.07770400072138502,5,0,0,0.0025662570531115834,0.0625,3.0012550870623644
banking77,0.25,1,single,f1_all,5,-0.009599261888180544,-0.0038694727962387265,0.02737588846962848,-0.03127651901984625,0.012077995243485162,2,0,3,0.4768278188845922,0.625,-0.35064658810362315
banking77,0.25,1,single,id_recall,5,-0.2692105263157895,-0.268421052631579,0.017069801297715556,-0.28342105263157896,-0.2573684210526316,0,0,5,3.858624053741293e-06,0.0625,-15.771157591144183
banking77,0.25,1,single,false_accept_rate,5,-0.17767241379310345,-0.18620689655172412,0.02787663657662466,-0.19948275862068965,-0.15586206896551724,0,0,5,0.00014078962352493665,0.0625,-6.373524054981824
banking77,0.25,1,single,false_reject_rate,5,0.2692105263157895,0.268421052631579,0.017069801297715532,0.2573684210526316,0.2834210526315789,5,0,0,3.858624053741265e-06,0.0625,15.771157591144204
banking77,0.25,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
banking77,0.25,2,single,oos_f1,5,0.05504953370196939,0.05873272336721336,0.023520646154189553,0.03677863599319971,0.07332043141073907,5,0,0,0.006368593612710265,0.0625,2.340477100037655
banking77,0.25,2,single,f1_all,5,-0.03794784241359728,-0.03554901502311669,0.036423749253614496,-0.06763161291272886,-0.010606885903857744,1,0,4,0.08028439425638402,0.125,-1.0418433904036262
banking77,0.25,2,single,id_recall,5,-0.30026315789473684,-0.29605263157894746,0.021387145024504086,-0.31736842105263163,-0.2836842105263157,0,0,5,6.13595534588689e-06,0.0625,-14.03942216460933
banking77,0.25,2,single,false_accept_rate,5,-0.17327586206896553,-0.17586206896551723,0.03558711113860521,-0.19982758620689656,-0.14508620689655172,0,0,5,0.0004040093858510902,0.0625,-4.8690623241118995
banking77,0.25,2,single,false_reject_rate,5,0.30026315789473684,0.29605263157894735,0.02138714502450407,0.2836842105263158,0.31736842105263163,5,0,0,6.135955345886868e-06,0.0625,14.039422164609343
banking77,0.25,2,single,effective_cluster_count,5,19.0,19.0,0.0,19.0,19.0,5,0,0,0.0,0.0625,0.0
banking77,0.25,3,single,oos_f1,5,0.05747316080106626,0.0708574976561478,0.024121118819184346,0.039138181312782815,0.07580814028934971,5,0,0,0.005973866654854007,0.0625,2.382690505854807
banking77,0.25,3,single,f1_all,5,-0.04679134315681155,-0.04599441006552207,0.04495728033228306,-0.0820596955487356,-0.011522990764887497,1,0,4,0.08049074725572335,0.125,-1.0407956800538818
banking77,0.25,3,single,id_recall,5,-0.3226315789473684,-0.3223684210526315,0.029161884583568578,-0.345,-0.3007894736842105,0,0,5,1.584637698449167e-05,0.0625,-11.063468069863937
banking77,0.25,3,single,false_accept_rate,5,-0.1839655172413793,-0.19913793103448277,0.03409180312667638,-0.21000000000000002,-0.15715517241379312,0,0,5,0.0002705431120725637,0.0625,-5.396180323986112
banking77,0.25,3,single,false_reject_rate,5,0.3226315789473684,0.3223684210526315,0.029161884583568564,0.3007894736842105,0.345,5,0,0,1.5846376984491614e-05,0.0625,11.063468069863942
banking77,0.25,3,single,effective_cluster_count,5,38.0,38.0,0.0,38.0,38.0,5,0,0,0.0,0.0625,0.0
banking77,0.25,4,single,oos_f1,5,0.06064454472236018,0.0746883408668062,0.025132634116860543,0.04142748891804608,0.0795628410354698,5,0,0,0.0057089618063604205,0.0625,2.412980049778229
banking77,0.25,4,single,f1_all,5,-0.043248487736700716,-0.0317504985612157,0.046671022148768095,-0.08075319649437784,-0.007845172996610982,1,0,4,0.10697659929946893,0.125,-0.9266668211988642
banking77,0.25,4,single,id_recall,5,-0.3268421052631579,-0.3302631578947368,0.026749711987472755,-0.34710526315789475,-0.3068421052631579,0,0,5,1.0672518563938327e-05,0.0625,-12.218528013169726
banking77,0.25,4,single,false_accept_rate,5,-0.19129310344827585,-0.20732758620689656,0.03520710130306229,-0.2178448275862069,-0.16301724137931034,0,0,5,0.00026337253965747696,0.0625,-5.433367030180281
banking77,0.25,4,single,false_reject_rate,5,0.32684210526315793,0.3302631578947368,0.02674971198747273,0.3068421052631579,0.34710526315789475,5,0,0,1.0672518563938288e-05,0.0625,12.218528013169738
banking77,0.25,4,single,effective_cluster_count,5,57.0,57.0,0.0,57.0,57.0,5,0,0,0.0,0.0625,0.0
banking77,0.5,1,single,oos_f1,5,0.06539088066044467,0.059148540137835215,0.01963532445573089,0.05052231682217825,0.08106744070077712,5,0,0,0.0017370297586237586,0.0625,3.330267386610934
banking77,0.5,1,single,f1_all,5,-0.07694753841945834,-0.0793656942855342,0.011357729990994837,-0.08487387446930832,-0.06706619193294609,0,0,5,0.00011068449789851117,0.0625,-6.774904710753598
banking77,0.5,1,single,id_recall,5,-0.2943421052631579,-0.29276315789473684,0.005129891760425852,-0.2985526315789474,-0.290657894736842,0,0,5,2.2133934188734323e-08,0.0625,-57.377839340361334
banking77,0.5,1,single,false_accept_rate,5,-0.2834615384615385,-0.27884615384615385,0.0237240116990774,-0.30205128205128207,-0.26551282051282055,0,0,5,1.1666536108271357e-05,0.0625,-11.948297027376782
banking77,0.5,1,single,false_reject_rate,5,0.2943421052631579,0.29276315789473684,0.005129891760425787,0.29065789473684206,0.2985526315789474,5,0,0,2.2133934188733218e-08,0.0625,57.377839340362065
banking77,0.5,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
banking77,0.5,2,single,oos_f1,5,0.0643145102449226,0.06282213555198635,0.02066914100330221,0.04866157317544488,0.08048828432151249,5,0,0,0.0022423613813800933,0.0625,3.1116198895081015
banking77,0.5,2,single,f1_all,5,-0.08835874369995773,-0.09365497851359372,0.012825979704263081,-0.0956560268278436,-0.07709798462073512,0,0,5,0.00010362666292641839,0.0625,-6.889044403414203
banking77,0.5,2,single,id_recall,5,-0.3176315789473684,-0.3171052631578948,0.021642637076201888,-0.3344736842105263,-0.3007894736842105,0,0,5,5.141307915878414e-06,0.0625,-14.676195780995382
banking77,0.5,2,single,false_accept_rate,5,-0.296025641025641,-0.3121794871794872,0.03421359888194991,-0.32166666666666666,-0.2697435897435897,0,0,5,4.207201019701651e-05,0.0625,-8.652280107890535
banking77,0.5,2,single,false_reject_rate,5,0.31763157894736843,0.3171052631578948,0.021642637076201867,0.3007894736842105,0.3344736842105263,5,0,0,5.141307915878378e-06,0.0625,14.676195780995398
banking77,0.5,2,single,effective_cluster_count,5,38.0,38.0,0.0,38.0,38.0,5,0,0,0.0,0.0625,0.0
banking77,0.5,3,single,oos_f1,5,0.0633790671471646,0.049076184713781945,0.02581237233254348,0.044411523096459016,0.08483710538192972,5,0,0,0.005361866161543533,0.0625,2.455375520337514
banking77,0.5,3,single,f1_all,5,-0.10138219880296684,-0.10505547840639384,0.024503153946117816,-0.11973454848211473,-0.0814024126810963,0,0,5,0.0007588605353753387,0.0625,-4.137516297938839
banking77,0.5,3,single,id_recall,5,-0.34118421052631576,-0.3309210526315789,0.026145005031337123,-0.36289473684210527,-0.3238157894736841,0,0,5,8.211410260654985e-06,0.0625,-13.049689993074242
banking77,0.5,3,single,false_accept_rate,5,-0.30897435897435893,-0.3108974358974359,0.03677666394844503,-0.33782051282051284,-0.28012820512820513,0,0,5,4.727712827675345e-05,0.0625,-8.40136993957612
banking77,0.5,3,single,false_reject_rate,5,0.34118421052631576,0.330921052631579,0.02614500503133707,0.3238157894736842,0.36289473684210527,5,0,0,8.211410260654928e-06,0.0625,13.049689993074267
banking77,0.5,3,single,effective_cluster_count,5,76.0,76.0,0.0,76.0,76.0,5,0,0,0.0,0.0625,0.0
banking77,0.5,4,single,oos_f1,5,0.06334017661388444,0.05141627888866085,0.02709404205201741,0.04300347332896772,0.08574174355917663,5,0,0,0.006394784050684728,0.0625,2.3377898540305897
banking77,0.5,4,single,f1_all,5,-0.10590924800040749,-0.10436146907442723,0.0272189987851018,-0.12486735952143169,-0.08421419184719574,0,0,5,0.0009608448785772624,0.0625,-3.8910045456329
banking77,0.5,4,single,id_recall,5,-0.3496052631578947,-0.338157894736842,0.023337187222954386,-0.37,-0.33342105263157895,0,0,5,4.737154701737222e-06,0.0625,-14.98060840914127
banking77,0.5,4,single,false_accept_rate,5,-0.3142307692307692,-0.3173076923076923,0.03689491001849505,-0.34346153846153843,-0.28500000000000003,0,0,5,4.478589455907452e-05,0.0625,-8.51691382559948
banking77,0.5,4,single,false_reject_rate,5,0.3496052631578947,0.33815789473684205,0.02333718722295435,0.33342105263157895,0.37,5,0,0,4.737154701737206e-06,0.0625,14.980608409141293
banking77,0.5,4,single,effective_cluster_count,5,114.0,114.0,0.0,114.0,114.0,5,0,0,0.0,0.0625,0.0
banking77,0.75,1,single,oos_f1,5,0.020295633540496273,0.005575261642199902,0.0387868166914195,-0.003062396043736637,0.053462913614966925,4,0,1,0.3069393555672835,0.3125,0.5232611302434137
banking77,0.75,1,single,f1_all,5,-0.11450577365057042,-0.11120171947966662,0.010294125401748122,-0.12254442094014226,-0.10659466570685198,0,0,5,1.550936232696571e-05,0.0625,-11.123409632364236
banking77,0.75,1,single,id_recall,5,-0.3036206896551724,-0.3025862068965517,0.00630254369877048,-0.309051724137931,-0.2991379310344827,0,0,5,4.453482838756888e-08,0.0625,-48.17430932123544
banking77,0.75,1,single,false_accept_rate,5,-0.3836842105263158,-0.37236842105263157,0.04428565045886868,-0.42210526315789476,-0.355,0,0,5,4.184970333969863e-05,0.0625,-8.663849498669357
banking77,0.75,1,single,false_reject_rate,5,0.3036206896551724,0.30258620689655175,0.006302543698770456,0.2991379310344827,0.309051724137931,5,0,0,4.45348283875681e-08,0.0625,48.17430932123562
banking77,0.75,1,single,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
banking77,0.75,2,single,oos_f1,5,0.014102944614794766,0.010608338855191413,0.03836052877304837,-0.011215306712921747,0.04586751783507602,3,0,2,0.4572130656394923,0.8125,0.3676420806978896
banking77,0.75,2,single,f1_all,5,-0.12537450953882817,-0.1251019351387519,0.006739742976778962,-0.13054429683680818,-0.12020472224084813,0,0,5,1.996531085707594e-06,0.0625,-18.60226865783935
banking77,0.75,2,single,id_recall,5,-0.3285344827586207,-0.32974137931034486,0.00848163715603368,-0.3352586206896552,-0.3218103448275862,0,0,5,1.0651734163666036e-07,0.0625,-38.734795737507746
banking77,0.75,2,single,false_accept_rate,5,-0.3986842105263158,-0.4026315789473684,0.045930288620281735,-0.4336842105263158,-0.36473684210526314,0,0,5,4.153797124871795e-05,0.0625,-8.680202596207206
banking77,0.75,2,single,false_reject_rate,5,0.3285344827586207,0.32974137931034486,0.00848163715603368,0.3218103448275862,0.3352586206896552,5,0,0,1.0651734163666036e-07,0.0625,38.734795737507746
banking77,0.75,2,single,effective_cluster_count,5,58.0,58.0,0.0,58.0,58.0,5,0,0,0.0,0.0625,0.0
banking77,0.75,3,single,oos_f1,5,0.011095537225898278,0.009493749688729625,0.04179099283496666,-0.016403901896539598,0.04584982250372803,3,0,2,0.584672232215381,1.0,0.26550068503313007
banking77,0.75,3,single,f1_all,5,-0.1364201133595267,-0.13942314456236782,0.009404926661481702,-0.14353711574577294,-0.12896489966185593,0,0,5,5.387311542795999e-06,0.0625,-14.505175666945004
banking77,0.75,3,single,id_recall,5,-0.34827586206896555,-0.34870689655172415,0.0054777004427322635,-0.35267241379310355,-0.3438793103448276,0,0,5,1.4681405117320577e-08,0.0625,-63.580669609462326
banking77,0.75,3,single,false_accept_rate,5,-0.41447368421052627,-0.4210526315789474,0.05432314566669214,-0.4571052631578948,-0.37684210526315787,0,0,5,6.922784298145533e-05,0.0625,-7.629780623412203
banking77,0.75,3,single,false_reject_rate,5,0.34827586206896555,0.34870689655172415,0.005477700442732255,0.3438793103448276,0.35267241379310355,5,0,0,1.4681405117320475e-08,0.0625,63.580669609462426
banking77,0.75,3,single,effective_cluster_count,5,116.0,116.0,0.0,116.0,116.0,5,0,0,0.0,0.0625,0.0
banking77,0.75,4,single,oos_f1,5,0.013318670136373657,0.00943023429592893,0.04066573538027543,-0.012651926511771095,0.04748455425123151,3,0,2,0.504556633505775,1.0,0.3275157823122452
banking77,0.75,4,single,f1_all,5,-0.1428823784933644,-0.14337291174222933,0.010151114610841143,-0.15067847482072166,-0.13508628216600713,0,0,5,6.073434641137585e-06,0.0625,-14.07553593580448
banking77,0.75,4,single,id_recall,5,-0.35827586206896556,-0.35905172413793107,0.0072856303931726745,-0.36370689655172417,-0.35284482758620694,0,0,5,4.101759268928802e-08,0.0625,-49.17568456460596
banking77,0.75,4,single,false_accept_rate,5,-0.4313157894736842,-0.4276315789473685,0.050020771308795994,-0.47289473684210515,-0.3960526315789474,0,0,5,4.264647059757333e-05,0.0625,-8.622733680194946
banking77,0.75,4,single,false_reject_rate,5,0.35827586206896556,0.35905172413793107,0.007285630393172681,0.35284482758620694,0.36370689655172417,5,0,0,4.101759268928817e-08,0.0625,49.17568456460592
banking77,0.75,4,single,effective_cluster_count,5,174.0,174.0,0.0,174.0,174.0,5,0,0,0.0,0.0625,0.0
stackoverflow,0.25,1,single,oos_f1,5,0.021367908731761732,0.021296578054169513,0.02813805840309662,-0.00039044475057254947,0.04312626221409601,3,0,2,0.16472914152851276,0.3125,0.7593952797187377
stackoverflow,0.25,1,single,f1_all,5,-0.08379113796518993,-0.08544309913493697,0.017318037483785582,-0.09672880126976294,-0.06995523441184728,0,0,5,0.0004140703189866485,0.0625,-4.838373750122746
stackoverflow,0.25,1,single,id_recall,5,-0.27773333333333333,-0.2819999999999999,0.026240765571487735,-0.29813333333333325,-0.25520000000000004,0,0,5,1.8899645869226963e-05,0.0625,-10.584040796245224
stackoverflow,0.25,1,single,false_accept_rate,5,-0.11382222222222223,-0.12377777777777776,0.04879091192445324,-0.1516888888888889,-0.07595555555555555,0,0,5,0.006443203433830785,0.0625,-2.332857036951103
