dataset,kir,variant,n_seeds,mean_oos_f1,std_oos_f1,mean_oos_precision,std_oos_precision,mean_oos_recall,std_oos_recall,mean_f1_all,std_f1_all,mean_f1_u,std_f1_u,mean_f1_k,std_f1_k,mean_accuracy,std_accuracy,mean_id_recall,std_id_recall,mean_auroc,std_auroc,mean_aupr_oos,std_aupr_oos,mean_fpr95,std_fpr95,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate,mean_effective_cluster_count,std_effective_cluster_count,mean_minimum_cluster_size,std_minimum_cluster_size,mean_scoring_seconds,std_scoring_seconds,mean_samples_per_second,std_samples_per_second,mean_selected_balls,std_selected_balls,mean_filtered_balls,std_filtered_balls,mean_mean_balls_per_intent,std_mean_balls_per_intent,mean_mean_ball_radius,std_mean_ball_radius,mean_delta_vs_reference_oos_f1,std_delta_vs_reference_oos_f1,mean_delta_vs_single_oos_f1,std_delta_vs_single_oos_f1,mean_delta_vs_reference_false_accept_rate,std_delta_vs_reference_false_accept_rate,mean_delta_vs_single_false_accept_rate,std_delta_vs_single_false_accept_rate
banking77,0.25,select_095,5,0.9029919725157672,0.004345545482740988,0.8336117780827899,0.00526471222680481,0.985,0.006410687049164862,0.5587572321670984,0.029774536226248087,0.9029919725157672,0.004345545482740988,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.007490084523308217,0.39973684210526317,0.02262622335652818,0.8690423094373866,0.02554765002981928,0.9361930928934459,0.01572097021701174,0.39473684210526316,0.028932412404336874,0.015,0.0064106870491648996,0.6002631578947368,0.02262622335652818,43.4,5.683308895353129,10.0,0.0,0.17633112561888992,0.04493741815918683,18340.096442771573,4429.602406113317,43.4,5.683308895353129,204.8,25.946097972527586,2.2842105263157895,0.2991215208080595,0.5036967729902322,0.010605832278528023,0.0,0.0,0.05126826316720887,0.025027078596756066,0.0,0.0,-0.20336206896551726,0.04031082784879188
banking77,0.25,select_100,5,0.9029919725157672,0.004345545482740988,0.8336117780827899,0.00526471222680481,0.985,0.006410687049164862,0.5587572321670984,0.029774536226248087,0.9029919725157672,0.004345545482740988,0.5406396142540106,0.031148861337724744,0.8401948051948052,0.007490084523308217,0.39973684210526317,0.02262622335652818,0.8690423094373866,0.02554765002981928,0.9361930928934459,0.01572097021701174,0.39473684210526316,0.028932412404336874,0.015,0.0064106870491648996,0.6002631578947368,0.02262622335652818,43.4,5.683308895353129,10.0,0.0,0.18122037240536884,0.04032811172352109,17661.88268449078,3764.3400147384446,43.4,5.683308895353129,204.8,25.946097972527586,2.2842105263157895,0.2991215208080595,0.5036967729902322,0.010605832278528023,0.0,0.0,0.05126826316720887,0.025027078596756066,0.0,0.0,-0.20336206896551726,0.04031082784879188
banking77,0.5,default_mahalanobis_mean,5,0.7436267247925106,0.006774352895816721,0.5940431452024197,0.008131501827023456,0.9939743589743589,0.0028161387995498358,0.4506540373076991,0.02654711928676523,0.7436267247925106,0.006774352895816721,0.4429442297423093,0.027073865600113173,0.6522077922077922,0.011722982488889588,0.3026315789473684,0.022580266186487515,0.8488981950067476,0.01419963613435847,0.8070250978181093,0.020801861107167675,0.4227631578947369,0.039456136450508016,0.006025641025641026,0.0028161387995498458,0.6973684210526316,0.022580266186487515,95.0,8.336666000266533,10.0,0.0,0.5118883449933491,0.1055653004845544,6217.3118577445475,1221.1730065254053,95.0,8.336666000266533,569.2,36.629223305988894,2.5,0.21938594737543515,0.4680381485907006,0.008941051627995421,-0.006310129904016937,0.0018475514956485352,0.019346573843504643,0.027855018600867875,-0.004871794871794872,0.002923526731023431,-0.3424358974358975,0.04182022984073168
banking77,0.5,default_mean_std,5,0.7995330718663713,0.007394173758361308,0.6939483050662841,0.008233772180828516,0.9432051282051281,0.015321719725018402,0.6821940912906762,0.015366532376046063,0.7995330718663713,0.007394173758361308,0.6791062233807895,0.015674077109609774,0.7566883116883117,0.008740944763877285,0.5728947368421052,0.018452745293431706,0.8447145748987854,0.009032928777716678,0.8002225730703192,0.014736374300723424,0.44263157894736843,0.04026455535930514,0.05679487179487179,0.015321719725018416,0.42710526315789477,0.0184527452934317,95.0,8.336666000266533,10.0,0.0,0.35375601180130617,0.10400324960798908,9210.006654146044,2179.313165469673,95.0,8.336666000266533,569.2,36.629223305988894,2.5,0.21938594737543515,0.4680381485907006,0.008941051627995421,0.04959621716984393,0.003254025414829248,0.0752529209173655,0.025061528604478994,0.045897435897435904,0.010893664505768206,-0.29166666666666663,0.03166757498956812
banking77,0.5,get_085,5,0.7512830775568243,0.010779282084936231,0.60677811989804,0.012594897307297927,0.9862820512820513,0.00569034385158264,0.4807315232424159,0.03883890857415254,0.7512830775568243,0.010779282084936231,0.4736117454972999,0.03958113591092915,0.6672727272727272,0.01680081086558835,0.34355263157894733,0.032113755347957615,0.8015537280701753,0.036203997449362,0.7428055509680491,0.044442332590025925,0.49421052631578943,0.07149956898926711,0.013717948717948717,0.005690343851582602,0.6564473684210526,0.032113755347957615,72.6,10.21273714534943,10.0,0.0,0.31743745660642164,0.06830586663100029,10009.08540955422,1794.8134406059523,72.6,10.21273714534943,387.2,38.31709801120121,2.042698948948949,0.18946421335878091,0.5004270516985077,0.013246062200479431,0.0013462228602968862,0.009086178370199594,0.027002926607818466,0.02451730955249905,0.0028205128205128203,0.0026662351721904393,-0.33474358974358975,0.03835830161894648
banking77,0.5,get_090,5,0.7613878829509868,0.00632204603603015,0.6218340744372008,0.008179915196922223,0.9819230769230769,0.013148059405885608,0.5372209863015805,0.02251131255233107,0.7613878829509868,0.00632204603603015,0.5313218574423856,0.02299383796414449,0.6862987012987013,0.009725096422229277,0.38684210526315793,0.02506483973887991,0.8428475033738192,0.010033516424242545,0.7963941206742905,0.012898249837933468,0.45618421052631575,0.07128161202790237,0.018076923076923077,0.013148059405885603,0.6131578947368421,0.02506483973887991,90.4,8.590692637965812,10.0,0.0,0.32571742121363056,0.08107205125586829,9832.668238747801,1904.830869128774,90.4,8.590692637965812,438.2,31.877892025665687,2.378947368421053,0.22607085889383716,0.48929031897771136,0.00696381233144966,0.01145102825445945,0.0036642426043050776,0.03710773200198103,0.027157698686755678,0.007179487179487179,0.009326868005829131,-0.3303846153846154,0.0330131316888496
banking77,0.5,get_095,5,0.7565375266601594,0.007178029758434393,0.6132784479636606,0.009772739875987629,0.9873076923076922,0.007272180923534277,0.5136436045618429,0.02990613103550636,0.7565375266601594,0.007178029758434393,0.5072516592434662,0.03051667958628906,0.6770129870129871,0.012754410505794145,0.36065789473684207,0.02822974109956511,0.8391378205128206,0.009642975114610737,0.7898060878682707,0.021148979603141292,0.45513157894736844,0.04127837310108741,0.012692307692307692,0.007272180923534245,0.6393421052631579,0.02822974109956511,88.8,8.167006795638168,10.0,0.0,0.40659551179269326,0.16784472849709614,8355.256256095796,2411.4254569075656,88.8,8.167006795638168,518.4,41.57884077268148,2.336842105263158,0.21492123146416228,0.47747372456576354,0.00698055504343086,0.0066006719636319214,0.002602474060524888,0.0322573757111535,0.028153303954955338,0.0017948717948717947,0.0032811497159153146,-0.33576923076923076,0.03720821171551252
banking77,0.5,min_get_10,5,0.7519931114981795,0.007732870786230704,0.6071401064432396,0.01047536141417754,0.9878205128205128,0.006442227962257,0.49681928968675104,0.033402911804933794,0.7519931114981795,0.007732870786230704,0.4901041891127661,0.03408788746902171,0.6691558441558442,0.013883429709886536,0.3435526315789474,0.030382345389343108,0.8352680499325237,0.006728789605983442,0.782218745426842,0.009567667333350616,0.445921052631579,0.05638046581226299,0.01217948717948718,0.006442227962256981,0.6564473684210526,0.030382345389343108,98.8,8.927485648266257,10.0,0.0,0.35886691919295116,0.04948467398118205,8716.659813227057,1225.742127986147,98.8,8.927485648266257,417.6,29.11700534052223,2.6,0.23493383284911207,0.4702399572983208,0.01289088081412931,0.0020562568016520453,0.0019407631028979324,0.027712960549173625,0.02885996756011258,0.0012820512820512823,0.00239849832485509,-0.3362820512820513,0.03876906966456825
banking77,0.5,min_get_20,5,0.7498197864842375,0.007811547256119144,0.6044269596210066,0.009534311481749274,0.9874358974358974,0.005672262001443318,0.48761223455039604,0.02910320883977951,0.7498197864842375,0.007811547256119144,0.48071203581529487,0.02967541297069165,0.6655194805194805,0.013046535674335294,0.3364473684210526,0.025891313423681783,0.8268830128205128,0.015300088412305147,0.7744211203938314,0.025477846033969815,0.46868421052631576,0.05456284021067778,0.012564102564102564,0.005672262001443318,0.6635526315789473,0.025891313423681783,87.0,9.565563234854496,10.0,0.0,0.32204668938647957,0.04635785651266408,9737.05673900747,1510.2510911927236,87.0,9.565563234854496,314.4,26.959228475607382,2.2894736842105265,0.25172534828564463,0.4838019856093867,0.008438560103915495,-0.00011706821228993914,0.0031899384763492203,0.025539635535231642,0.030530400349369467,0.0016666666666666666,0.0035863078796665037,-0.3358974358974359,0.03989580034219285
banking77,0.5,min_select_20,5,0.7325420872652918,0.010003345920986161,0.5808788170288228,0.011660634916623532,0.9915384615384616,0.003373768555625826,0.3952999789377108,0.04125621552377405,0.7325420872652918,0.010003345920986161,0.3864251866133008,0.04208148715258013,0.6324675324675325,0.0177312563907963,0.2652631578947368,0.033043741471200136,0.7723265013495277,0.02820323123446494,0.7078068300361787,0.025985199863475392,0.53,0.06301828044591595,0.008461538461538461,0.0033737685556258375,0.7347368421052632,0.033043741471200136,43.2,2.588435821108957,20.0,0.0,0.22945378621807322,0.03428601803115236,13643.83825501298,1851.3634345697617,43.2,2.588435821108957,621.0,41.731283229730664,1.2803888437095268,0.08722619088955208,0.4979806567395748,0.007972194993699161,-0.01739476743123558,0.004737245164197118,0.008261936316286,0.02622675775393288,-0.002435897435897436,0.002658518122221503,-0.33999999999999997,0.04126681913601056
banking77,0.5,min_select_5,5,0.7580562234646704,0.007634178068344422,0.6148393351398889,0.008951834004045447,0.9883333333333333,0.004784130296678317,0.5209498304816735,0.02441049590845139,0.7580562234646704,0.007634178068344422,0.5147101885610683,0.024860866645857627,0.6790909090909091,0.012259664593647192,0.36434210526315786,0.022644388969467785,0.8573351045883941,0.013991745965628397,0.8149291360453847,0.01630961876139729,0.4173684210526316,0.058721666120965625,0.011666666666666667,0.004784130296678279,0.6356578947368421,0.022644388969467785,178.0,18.466185312619388,5.0,0.0,0.6234834318049252,0.1708743566391478,5283.166180309628,1629.1843029487852,178.0,18.466185312619388,486.2,26.432934002868468,4.684210526315789,0.4859522450689312,0.4476439020158307,0.005360942771593662,0.008119368768142964,0.0027477881858720883,0.03377607251566454,0.028645264707885428,0.0007692307692307691,0.0005363205298295356,-0.3367948717948718,0.040682660870001
banking77,0.5,select_085,5,0.7499368546965275,0.006406834213942432,0.6039417199923299,0.007788768250965181,0.989102564102564,0.004902903378454616,0.48600815327809965,0.02507951184173856,0.7499368546965275,0.006406834213942432,0.47906266113550944,0.0255823848751835,0.6651298701298701,0.010930039410323082,0.3340789473684211,0.021391192170916416,0.8356215418353576,0.012156138383550084,0.7871540272941482,0.01726301690179924,0.45631578947368423,0.045633904663612175,0.010897435897435897,0.004902903378454601,0.6659210526315789,0.021391192170916416,95.0,8.336666000266533,10.0,0.0,0.3957931767916307,0.11369772211704567,8305.600418377637,2298.085565280601,95.0,8.336666000266533,569.2,36.629223305988894,2.5,0.21938594737543515,0.4680381485907006,0.008941051627995421,0.0,0.0,0.025656703747521582,0.027969758341367893,0.0,0.0,-0.3375641025641026,0.04038614160730199
banking77,0.5,select_095,5,0.7499368546965275,0.006406834213942432,0.6039417199923299,0.007788768250965181,0.989102564102564,0.004902903378454616,0.48600815327809965,0.02507951184173856,0.7499368546965275,0.006406834213942432,0.47906266113550944,0.0255823848751835,0.6651298701298701,0.010930039410323082,0.3340789473684211,0.021391192170916416,0.8356215418353576,0.012156138383550084,0.7871540272941482,0.01726301690179924,0.45631578947368423,0.045633904663612175,0.010897435897435897,0.004902903378454601,0.6659210526315789,0.021391192170916416,95.0,8.336666000266533,10.0,0.0,0.35650879779132083,0.07221289910455723,8944.317041550436,1905.2503184540114,95.0,8.336666000266533,569.2,36.629223305988894,2.5,0.21938594737543515,0.4680381485907006,0.008941051627995421,0.0,0.0,0.025656703747521582,0.027969758341367893,0.0,0.0,-0.3375641025641026,0.04038614160730199
banking77,0.5,select_100,5,0.7499368546965275,0.006406834213942432,0.6039417199923299,0.007788768250965181,0.989102564102564,0.004902903378454616,0.48600815327809965,0.02507951184173856,0.7499368546965275,0.006406834213942432,0.47906266113550944,0.0255823848751835,0.6651298701298701,0.010930039410323082,0.3340789473684211,0.021391192170916416,0.8356215418353576,0.012156138383550084,0.7871540272941482,0.01726301690179924,0.45631578947368423,0.045633904663612175,0.010897435897435897,0.004902903378454601,0.6659210526315789,0.021391192170916416,95.0,8.336666000266533,10.0,0.0,0.3792135057970881,0.07624858258872715,8401.040165586659,1743.1968907623761,95.0,8.336666000266533,569.2,36.629223305988894,2.5,0.21938594737543515,0.4680381485907006,0.008941051627995421,0.0,0.0,0.025656703747521582,0.027969758341367893,0.0,0.0,-0.3375641025641026,0.04038614160730199
banking77,0.75,default_mahalanobis_mean,5,0.4661917681188867,0.002168131535645237,0.30444027588756917,0.002185825717693225,0.9947368421052631,0.0037216146378239363,0.3846467063538503,0.014166877110734643,0.4661917681188867,0.002168131535645237,0.3832407570130738,0.014374341309227037,0.4368831168831169,0.007111797879872757,0.2554310344827586,0.010414635156638846,0.8126056034482758,0.01973658117105792,0.5084103416646986,0.03656944936061023,0.5048275862068966,0.04603137500810444,0.005263157894736842,0.0037216146378239337,0.7445689655172414,0.010414635156638846,141.4,11.545561917897283,10.0,0.0,0.7195421939832158,0.14275536709568612,4408.190300231804,809.2347892322398,141.4,11.545561917897283,1093.6,70.58895097676407,2.4787097838640486,0.16027027982017467,0.4532578230720582,0.005602252161537017,-0.010152663466975066,0.00317663285325918,-0.07041540327894216,0.042037498564510084,-0.0023684210526315795,0.003141404312187716,-0.4747368421052632,0.05381402004554764
