dataset,kir,component,n_seeds,mean_oos_f1,std_oos_f1,mean_f1_all,std_f1_all,mean_id_recall,std_id_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate
clinc150,0.75,euclidean_mean_std,5,0.7447286172357581,0.0064033393448947925,0.6660595353146919,0.019813957234673822,0.5567261904761904,0.020284654077481427,0.029230769230769234,0.004667715357577144,0.4432738095238095,0.02028465407748143
clinc150,0.75,mahalanobis_diag_mean,5,0.6496554795314411,0.0022598260604637815,0.3730384781574346,0.010662834631476993,0.25589285714285714,0.008619142166016561,0.004871794871794872,0.0022734078766274163,0.7441071428571429,0.008619142166016561
clinc150,0.75,mahalanobis_diag_mean_std,5,0.7197434059711283,0.005944822317859749,0.5960139307329898,0.02330656846289082,0.4808928571428572,0.020381364384464914,0.01888888888888889,0.004288435454462257,0.5191071428571428,0.020381364384464914
stackoverflow,0.25,euclidean_mean,5,0.8944000569448456,0.005949655171098951,0.540703865522772,0.0463381978530514,0.3261333333333333,0.04848688253309115,0.009377777777777778,0.005384935548750563,0.6738666666666667,0.04848688253309115
stackoverflow,0.25,euclidean_mean_std,5,0.9231543087284908,0.0028838706892542598,0.7525788030288574,0.03553754259986294,0.6302666666666668,0.0614122680469193,0.037066666666666664,0.017848747232726943,0.36973333333333336,0.06141226804691932
stackoverflow,0.25,mahalanobis_diag_mean,5,0.8951528892121434,0.005191147201321058,0.5301341432814476,0.03412687987393241,0.31520000000000004,0.036041334295191914,0.004888888888888889,0.0038135560670512253,0.6848,0.036041334295191914
stackoverflow,0.25,mahalanobis_diag_mean_std,5,0.9259960799998362,0.005335538584498702,0.7345093038010513,0.03907579262030327,0.5910666666666666,0.05075781275385649,0.02031111111111111,0.012352437656162556,0.4089333333333333,0.05075781275385648
stackoverflow,0.5,euclidean_mean,5,0.729199427573284,0.006249432392941419,0.43298039378929876,0.03399553971951929,0.27093333333333336,0.023698804470549402,0.007933333333333332,0.002575525836277581,0.7290666666666666,0.023698804470549402
stackoverflow,0.5,euclidean_mean_std,5,0.802062458068384,0.015451641099678946,0.669068141743071,0.0581426902901845,0.5497333333333334,0.05315355115135769,0.029533333333333335,0.011189280584559494,0.45026666666666665,0.05315355115135769
stackoverflow,0.5,mahalanobis_diag_mean,5,0.7240646051396427,0.006719222006602018,0.4070917032219306,0.03481404817611355,0.24820000000000003,0.02588070924667852,0.006,0.002449489742783178,0.7518,0.02588070924667852
stackoverflow,0.5,mahalanobis_diag_mean_std,5,0.7924706249591658,0.014867493644347068,0.63344181949998,0.055016434166417376,0.5038666666666667,0.049077376548557344,0.0186,0.00701347908593794,0.4961333333333333,0.04907737654855736
stackoverflow,0.75,euclidean_mean,5,0.4558840331344417,0.004201451885150529,0.33093232311807846,0.02076337155778205,0.21173333333333333,0.01454698645131751,0.006666666666666666,0.0047842333648024414,0.7882666666666667,0.01454698645131751
stackoverflow,0.75,euclidean_mean_std,5,0.5362414691853805,0.010978078139936339,0.549280481671236,0.04012681292837037,0.4450222222222222,0.03228407855886648,0.024266666666666666,0.0159694152122807,0.5549777777777778,0.03228407855886648
stackoverflow,0.75,mahalanobis_diag_mean,5,0.4480701413109826,0.0051184479567504115,0.29542036395533466,0.025235785831747876,0.1851111111111111,0.017654433220743126,0.0056,0.003286335345030997,0.8148888888888889,0.017654433220743126
stackoverflow,0.75,mahalanobis_diag_mean_std,5,0.5156718868278516,0.009972097867131942,0.4958398225235195,0.03643851730775787,0.3906666666666666,0.029805956816186852,0.018,0.010488088481701515,0.6093333333333334,0.029805956816186852
