dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,select_095,single,effective_cluster_count,5,28.8,28.0,6.180614856144977,24.8,34.2,5,0,0,0.00047924668549872236,0.0625,4.65973057217213
clinc150,0.25,select_100,single,oos_f1,5,-0.018236147090829435,-0.018331855282439635,0.005935620766615254,-0.023127775695195796,-0.013959431562714175,0,0,5,0.002351572784240937,0.0625,-3.0723234869380764
clinc150,0.25,select_100,single,f1_all,5,-0.261986331741643,-0.25900399192785406,0.02788175209078253,-0.28455320136528345,-0.24157986985846955,0,0,5,3.032820713883161e-05,0.0625,-9.396336747010007
clinc150,0.25,select_100,single,id_recall,5,-0.4084210526315789,-0.40877192982456145,0.0235097538417614,-0.42666666666666664,-0.3901754385964912,0,0,5,2.623341556268138e-06,0.0625,-17.37240871940066
clinc150,0.25,select_100,single,false_accept_rate,5,-0.0537719298245614,-0.05701754385964913,0.012344562966808085,-0.06276315789473683,-0.0431578947368421,0,0,5,0.0006222618834996729,0.0625,-4.355920089608902
clinc150,0.25,select_100,single,false_reject_rate,5,0.4084210526315789,0.40877192982456145,0.02350975384176142,0.3901754385964912,0.42666666666666664,5,0,0,2.623341556268147e-06,0.0625,17.372408719400646
clinc150,0.25,select_100,single,effective_cluster_count,5,28.8,28.0,6.180614856144977,24.8,34.2,5,0,0,0.00047924668549872236,0.0625,4.65973057217213
clinc150,0.25,min_get_10,single,oos_f1,5,-0.018588981904485057,-0.01853004587965834,0.005386737881593014,-0.023224551577904463,-0.015040608499811658,0,0,5,0.0015183310475454627,0.0625,-3.45087923583684
clinc150,0.25,min_get_10,single,f1_all,5,-0.2662771725589426,-0.2631862637067748,0.02021812656253499,-0.2830461131130203,-0.25117065365366437,0,0,5,7.91604226160583e-06,0.0625,-13.170219888343416
clinc150,0.25,min_get_10,single,id_recall,5,-0.41210526315789464,-0.40877192982456134,0.0202553717857847,-0.4266666666666666,-0.3970175438596491,0,0,5,1.396181456772366e-06,0.0625,-20.345480078875262
clinc150,0.25,min_get_10,single,false_accept_rate,5,-0.05385964912280702,-0.0574561403508772,0.01213355611750458,-0.06263157894736841,-0.04328947368421053,0,0,5,0.0005784667826436771,0.0625,-4.4389005664304735
clinc150,0.25,min_get_10,single,false_reject_rate,5,0.4121052631578948,0.40877192982456134,0.02025537178578471,0.3970175438596491,0.4266666666666666,5,0,0,1.396181456772366e-06,0.0625,20.34548007887526
clinc150,0.25,min_get_10,single,effective_cluster_count,5,31.2,30.0,5.06951674225463,27.2,35.2,5,0,0,0.00016155628501903822,0.0625,6.154432776589279
clinc150,0.25,min_get_20,single,oos_f1,5,-0.01804622271660703,-0.01856269000613353,0.006452830485822812,-0.02332737367983153,-0.013419441090027151,0,0,5,0.0033345148182311575,0.0625,-2.7966367249620885
clinc150,0.25,min_get_20,single,f1_all,5,-0.2615330003588855,-0.2523509693190167,0.023257390028812282,-0.28124224116313234,-0.2445402786682076,0,0,5,1.4851959648705833e-05,0.0625,-11.245156917215855
clinc150,0.25,min_get_20,single,id_recall,5,-0.4056140350877192,-0.40877192982456145,0.018280583896983425,-0.4192982456140351,-0.3910526315789474,0,0,5,9.875164170492133e-07,0.0625,-22.188242857748747
clinc150,0.25,min_get_20,single,false_accept_rate,5,-0.05355263157894737,-0.05701754385964913,0.012678018313338226,-0.06276315789473683,-0.04263157894736842,0,0,5,0.0007006759722121027,0.0625,-4.224053811517687
clinc150,0.25,min_get_20,single,false_reject_rate,5,0.4056140350877193,0.40877192982456145,0.01828058389698344,0.3910526315789474,0.4192982456140351,5,0,0,9.875164170492169e-07,0.0625,22.188242857748737
clinc150,0.25,min_get_20,single,effective_cluster_count,5,29.8,28.0,4.08656334834051,27.6,33.4,5,0,0,8.27879992635733e-05,0.0625,7.292190885062706
clinc150,0.25,min_select_5,single,oos_f1,5,-0.017274922769679034,-0.017572351769415517,0.006065940214369021,-0.022279710172030075,-0.012830677591040018,0,0,5,0.0031182634603839476,0.0625,-2.847855758412873
clinc150,0.25,min_select_5,single,f1_all,5,-0.2533757105388557,-0.24887362320383288,0.025343654928830433,-0.27387076652088765,-0.23445907598098073,0,0,5,2.370593225826706e-05,0.0625,-9.997599448476572
clinc150,0.25,min_select_5,single,id_recall,5,-0.40070175438596484,-0.40263157894736845,0.022978438111332072,-0.4184210526315789,-0.38298245614035087,0,0,5,2.5840829171915245e-06,0.0625,-17.438163222606253
clinc150,0.25,min_select_5,single,false_accept_rate,5,-0.05403508771929825,-0.05833333333333334,0.012444668240688714,-0.06280701754385964,-0.0431578947368421,0,0,5,0.0006299914704424709,0.0625,-4.342027177761698
clinc150,0.25,min_select_5,single,false_reject_rate,5,0.40070175438596484,0.40263157894736845,0.02297843811133209,0.38298245614035087,0.4184210526315789,5,0,0,2.5840829171915338e-06,0.0625,17.43816322260624
clinc150,0.25,min_select_5,single,effective_cluster_count,5,67.6,66.0,15.372052563011877,56.0,79.2,5,0,0,0.0005997730927595987,0.0625,4.397590999829043
clinc150,0.25,min_select_20,single,oos_f1,5,-0.020056764883402113,-0.021043278681501576,0.006521846402848155,-0.025188578430691045,-0.015164585522565633,0,0,5,0.002343017108887363,0.0625,-3.0753200312480717
clinc150,0.25,min_select_20,single,f1_all,5,-0.28379068619815867,-0.26953342625792354,0.035857287529754804,-0.312706274306974,-0.2602844020308902,0,0,5,5.9888035593360575e-05,0.0625,-7.914449356010707
clinc150,0.25,min_select_20,single,id_recall,5,-0.42666666666666664,-0.42280701754385963,0.026158888987658408,-0.44824561403508767,-0.407719298245614,0,0,5,3.374116421068332e-06,0.0625,-16.31058057809585
