dataset,kir,seed,workpoint,target_calibration_coverage,radius_multiplier,calibration_known_recall,selected_using_test_oos,selected_using_test_known,selected_split,selected_balls,mean_balls_per_intent,minimum_ball_size,fit_and_score_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
banking77,0.75,13,calibration_coverage_0.95,0.95,1.966089413832608,0.9500674763832658,False,False,calibration_known,133,2.333333333333333,10,0.6386686050100252,0.3888888888888889,0.1197368421052631,0.1830985915492957,0.9383620689655172,0.1197368421052631,0.7663946234119781,0.4243313847832702,0.5400862068965517,0.8802631578947369,0.0616379310344827,0.6256493506493507,0.7037684789929894,0.7127455460178806,0.1830985915492957
banking77,0.75,42,default_radius,,1.0,0.2417437252311756,False,False,paper_default_radius,129,2.345454545454545,10,0.585323866980616,0.3107996702390767,0.9921052631578948,0.4733207784055241,0.2793103448275862,0.9921052631578948,0.7971069646098005,0.464922185266882,0.4905172413793103,0.0078947368421052,0.7206896551724138,0.4525974025974026,0.4086718495158096,0.4075572128108146,0.4733207784055241
banking77,0.75,42,calibration_coverage_0.80,0.8,1.6441133361008184,0.7992073976221928,False,False,calibration_known,129,2.345454545454545,10,0.5991665900219232,0.4839067702552719,0.5736842105263158,0.5249849488260084,0.7995689655172413,0.5736842105263158,0.7971069646098005,0.464922185266882,0.4905172413793103,0.4263157894736842,0.2004310344827586,0.672077922077922,0.6952052086212158,0.6981400406866504,0.5249849488260084
banking77,0.75,42,calibration_coverage_0.85,0.85,1.7349506265898165,0.8494055482166446,False,False,calibration_known,129,2.345454545454545,10,0.613767019007355,0.5035765379113019,0.4631578947368421,0.4825222755311857,0.8504310344827586,0.4631578947368421,0.7971069646098005,0.464922185266882,0.4905172413793103,0.5368421052631579,0.1495689655172414,0.6633116883116883,0.6901273683154878,0.6937067664669412,0.4825222755311857
banking77,0.75,42,calibration_coverage_0.90,0.9,1.920393740532812,0.8996036988110965,False,False,calibration_known,129,2.345454545454545,10,0.6286780629889108,0.4787234042553192,0.2368421052631578,0.3169014084507042,0.9155172413793105,0.2368421052631578,0.7971069646098005,0.464922185266882,0.4905172413793103,0.7631578947368421,0.0844827586206896,0.6269480519480519,0.671368583735135,0.6774800867572803,0.3169014084507042
banking77,0.75,42,calibration_coverage_0.95,0.95,2.1131730552910786,0.9498018494055482,False,False,calibration_known,129,2.345454545454545,10,0.6433308849809691,0.4857142857142857,0.1342105263157894,0.2103092783505154,0.9534482758620688,0.1342105263157894,0.7971069646098005,0.464922185266882,0.4905172413793103,0.8657894736842106,0.046551724137931,0.612012987012987,0.664769584453302,0.6726051069723156,0.2103092783505154
banking77,0.75,87,default_radius,,1.0,0.2755905511811024,False,False,paper_default_radius,158,2.7241379310344827,10,0.6923317830078304,0.3188344594594595,0.993421052631579,0.4827365728900256,0.3047413793103448,0.993421052631579,0.8110821234119783,0.5009173276365309,0.4685344827586207,0.006578947368421,0.6952586206896552,0.4733766233766234,0.4486180681538979,0.4480298180722405,0.4827365728900256
banking77,0.75,87,calibration_coverage_0.80,0.8,1.558171458404546,0.7992125984251969,False,False,calibration_known,158,2.7241379310344827,10,0.7063617139938287,0.5198511166253101,0.5513157894736842,0.5351213282247765,0.8331896551724138,0.5513157894736842,0.8110821234119783,0.5009173276365309,0.4685344827586207,0.4486842105263158,0.1668103448275862,0.7064935064935065,0.7598226756828024,0.7636968368458718,0.5351213282247765
banking77,0.75,87,calibration_coverage_0.85,0.85,1.6493374034879176,0.8490813648293963,False,False,calibration_known,158,2.7241379310344827,10,0.7209039560402744,0.5323624595469255,0.4328947368421053,0.4775036284470246,0.8754310344827586,0.4328947368421053,0.8110821234119783,0.5009173276365309,0.4685344827586207,0.5671052631578948,0.1245689655172413,0.7003246753246753,0.7625575963560012,0.7674723199406387,0.4775036284470246
banking77,0.75,87,calibration_coverage_0.90,0.9,1.7729498971730473,0.8989501312335958,False,False,calibration_known,158,2.7241379310344827,10,0.7351709800423123,0.5278450363196125,0.2868421052631579,0.371696504688832,0.915948275862069,0.2868421052631579,0.8110821234119783,0.5009173276365309,0.4685344827586207,0.7131578947368421,0.084051724137931,0.6805194805194805,0.7541585309573374,0.7607527038240357,0.371696504688832
banking77,0.75,87,calibration_coverage_0.95,0.95,2.023502213713052,0.9488188976377953,False,False,calibration_known,158,2.7241379310344827,10,0.7493564590113238,0.5674157303370787,0.1328947368421052,0.2153518123667377,0.9668103448275862,0.1328947368421052,0.8110821234119783,0.5009173276365309,0.4685344827586207,0.8671052631578947,0.0331896551724137,0.6603896103896104,0.7433450839579931,0.7524484162268078,0.2153518123667377
banking77,0.75,100,default_radius,,1.0,0.2670299727520436,False,False,paper_default_radius,140,2.456140350877193,10,0.5810133679769933,0.3099054665022606,0.9921052631578948,0.4722831193235202,0.2762931034482758,0.9921052631578948,0.7946920372050815,0.5009837538229381,0.5547413793103448,0.0078947368421052,0.7237068965517242,0.4512987012987013,0.4099356051176451,0.4088606479761645,0.4722831193235202
