dataset,kir,seed,metric_max_abs_delta,score_max_abs_delta,accepted_label_mismatch,diagnostic_label_mismatch,passed,reference_metrics_sha256,reference_predictions_sha256
stackoverflow,0.5,13,0.0,4.440892098500626e-16,0,0,True,8723455c709e325da56942156a49bbd6aab29cb2a5e416e8e574158c17c1e0b3,9376c4e77ea25ad47a46f029e85a7ea1d2d622158d0556e6e3e00942f3f83b9c
stackoverflow,0.5,42,0.0,2.220446049250313e-16,0,0,True,7d1b84621f3730c6d0b10a6d02b3b0f96abbded320b954f9ff6acbc81e0d3fbd,b94bed21f62e53e3aa26bd88f74e868054f054c3c24265366213132bc4c5d1e0
stackoverflow,0.5,87,0.0,2.220446049250313e-16,0,0,True,7d0eb294dd9c293867b0858093b8cac5870ca3f88a66097d9889e9682b9cfc95,32af1d8d1e789d8567ba5c68d1b4b78a6903b5756bb3a76435640cc98558ebfa
stackoverflow,0.5,100,0.0,2.220446049250313e-16,0,0,True,7724b693f12bed14968016247e0d6e13d92d38001a396ace31dc921ebad94a19,cee2cb45055e17c13610d34d98a12b33a14c5642f1a5a1c5acc6c9ec511f848d
stackoverflow,0.5,123,0.0,2.220446049250313e-16,0,0,True,6d61dfb7f3ebc26348c8942e90a6f32b53954bcdd7e60b67acd33a4fafcdb6dc,9c136b402fdab85fd7dde0ca576f09b680d948c775fd8db0fb17069a64821568
stackoverflow,0.75,13,0.0,2.220446049250313e-16,0,0,True,0796ec43be79b82aec90066461fa44e7da7af3ae51dcea7089520dadd2c07b12,5ab7e5d285dffb10cf5377cc92e3c79e9cc4a1f0a357a4e98d7c861416a2048f
stackoverflow,0.75,42,0.0,2.220446049250313e-16,0,0,True,884557cecdbc87f2edad638547ae6ff1cd5178d1437d952b7d33d19a8d8e2bac,c24af05daad947b4289c27215445156bfbc6c784b4c29e9bae1a9c4eb9469784
stackoverflow,0.75,87,0.0,2.220446049250313e-16,0,0,True,11f2a2ddf3dd977a1b9c0bb41953098a6b09d869d45db8070a843bc423ba799f,9a4f4ccbdace90d5f3589abff00f9aba2021272adcd854854bab9b1b765bc854
stackoverflow,0.75,100,0.0,2.220446049250313e-16,0,0,True,c9d727317a1fb1272bde118c1de147081464ca98a985f5c3f8797a4e0f00a0ac,b1c1b1d4b18efa4a584c26be93029425283bfdba221dc723a91f2809e3acece7
stackoverflow,0.75,123,0.0,2.220446049250313e-16,0,0,True,9aa723d5f7515bb1bfdfeecb7e40ee12c29a8bd8ff9e6299d743383d2919f581,fa19279dd47e4469382b36aff3240f72b3aa17a69fbde655eeb246e53cb1daa8
