dataset,kir,loss_variant,mean_loss_mean,mean_loss_std,mean_true_probability_mean,mean_true_probability_std,mean_probability_margin_mean,mean_probability_margin_std,nearest_class_accuracy_mean,nearest_class_accuracy_std,mean_gradient_l2_mean,mean_gradient_l2_std,mean_distance_span_mean,mean_distance_span_std
clinc150,0.75,raw_tau_0.10,0.9117580919232091,0.02300650191952925,0.5293836004713178,0.009020282946496991,0.4758122109689781,0.01104120605017509,0.9216796875,0.004754164626811745,4.794473434873028,0.09489433959188859,0.6938413275163109,0.008931370683936556
clinc150,0.75,raw_tau_0.20,2.3002168497789595,0.02526835750922635,0.12971404797790834,0.004134208486164609,0.09827559309046015,0.004182667025524572,0.9216796875,0.004754164626811745,4.377024051172018,0.02077265214761548,0.6938413275163109,0.008931370683936556
clinc150,0.75,raw_tau_0.50,3.6839276861919417,0.013596518118164251,0.02656461492821312,0.0004188053175019746,0.0111118688120946,0.00035203918534363086,0.9216796875,0.004754164626811745,1.9560056397785153,0.0008035757743491091,0.6938413275163109,0.008931370683936556
clinc150,0.75,raw_tau_1.00,4.188231192193343,0.009693210055995067,0.01539485161440716,0.000158565926812158,0.0035448069412026195,9.504781318555108e-05,0.9216796875,0.004754164626811745,0.989124484656938,0.0001316645203225553,0.6938413275163109,0.008931370683936556
stackoverflow,0.25,official_l1,1.5656098651134862,0.0025623036625574943,0.2090014826131938,0.0005338682193790855,0.00873964737645402,0.000541338705892321,0.93359375,0.018885819927552464,0.16794582960068666,0.0016275484365168155,0.35841912838349826,0.028771505825389114
stackoverflow,0.25,raw_tau_0.05,0.20289671250268584,0.05865262554989731,0.8837947659854892,0.03239008884015017,0.8094919384130757,0.05313491005092085,0.93359375,0.018885819927552464,2.8592113377900867,0.7972739019106362,0.35841912838349826,0.028771505825389114
stackoverflow,0.25,raw_tau_0.10,0.3644758600679334,0.05845629728021404,0.7430602442837648,0.03268114003868383,0.6289442105003691,0.0460841937494427,0.93359375,0.018885819927552464,2.963236887087416,0.37402207663783826,0.35841912838349826,0.028771505825389114
stackoverflow,0.25,raw_tau_0.20,0.7283153622736217,0.047799903387768294,0.5076008579794508,0.02135827210184284,0.33959051234100085,0.02535405778552981,0.93359375,0.018885819927552464,2.774433159611644,0.11751378020034856,0.35841912838349826,0.028771505825389114
stackoverflow,0.25,raw_tau_0.50,1.1861161993430096,0.025981375923183996,0.3101017212328356,0.007853003358949832,0.1136168145104662,0.007949889192883714,0.93359375,0.018885819927552464,1.5445797880290986,0.01722739280991724,0.35841912838349826,0.028771505825389114
stackoverflow,0.25,raw_tau_1.00,1.3870248688670066,0.01419876257729817,0.2509426398083995,0.003533475216095039,0.05087292428648876,0.0034122008266916385,0.93359375,0.018885819927552464,0.8377297749254696,0.0039023948572020736,0.35841912838349826,0.028771505825389114
stackoverflow,0.5,official_l1,2.2324326591081833,0.10338089844743753,0.10775626154104803,0.011914966053239072,0.00217640842559826,0.0007159234939055565,0.88828125,0.0326791141176091,0.09022046533732052,0.008788758837009442,0.38753438541076723,0.02022342125204271
stackoverflow,0.5,raw_tau_0.05,0.3757786526121671,0.1008818958416731,0.8193312569523215,0.03279461052263163,0.7364928444925571,0.04496088141959238,0.88828125,0.0326791141176091,4.146206571324019,0.7249782070758888,0.38753438541076723,0.02022342125204271
stackoverflow,0.5,raw_tau_0.10,0.6205394508287875,0.1003945744458103,0.6283464983106933,0.04233875958541716,0.5301617512946598,0.04769971060091899,0.88828125,0.0326791141176091,4.011119604740882,0.4307404670693032,0.38753438541076723,0.02022342125204271
stackoverflow,0.5,raw_tau_0.20,1.1560838353234737,0.11723236893988881,0.3498616544302665,0.038943475366186656,0.2328314938424773,0.03554314851932277,0.88828125,0.0326791141176091,3.4510677376402716,0.1852209014287593,0.38753438541076723,0.02022342125204271
stackoverflow,0.5,raw_tau_0.50,1.7557979209684695,0.11357468891012523,0.17824221286982866,0.021441640071357623,0.06321204849301124,0.012050640166592201,0.88828125,0.0326791141176091,1.7382724990330527,0.034678807126094155,0.38753438541076723,0.02022342125204271
stackoverflow,0.5,raw_tau_1.00,1.9987698595333807,0.10756980666114867,0.13714155802244365,0.01576425634426298,0.026473089039443322,0.005235565580568125,0.88828125,0.0326791141176091,0.9121782832340184,0.011036532515874643,0.38753438541076723,0.02022342125204271
stackoverflow,0.75,official_l1,2.5714032947066023,0.1221883075539241,0.07690381522536342,0.009846002173659465,0.00101126556266516,0.00038396795299908387,0.8513671875,0.03922937986235274,0.06492652583076622,0.00781362012154264,0.38864593207282316,0.02245578835055451
stackoverflow,0.75,raw_tau_0.05,0.5328138200092878,0.1394772848762578,0.7703714986421721,0.04549476851431847,0.6765702499105481,0.05683412848711581,0.8513671875,0.03922937986235274,5.167759764346196,0.9571263071375237,0.38864593207282316,0.02245578835055451
