dataset,kir,seed,loss_variant,class_count,registered_known_class_count,missing_selected_class_count,missing_selected_classes,excluded_train_row_count,sample_count,selected_balls,temperature,mean_loss,mean_true_probability,median_true_probability,mean_probability_margin,nearest_class_accuracy,mean_gradient_l2,median_gradient_l2,mean_distance_span
clinc150,0.75,100,raw_tau_0.10,111,112,1,recipe,100,1024,207,0.1,0.8875961517318898,0.5350926424478435,0.5576846870607755,0.4837205882655223,0.9287109375,4.729442485645588,4.527828709262657,0.6920133164662587
clinc150,0.75,100,raw_tau_0.20,111,112,1,recipe,100,1024,207,0.2,2.284001760793668,0.1318215735435161,0.1086080436971995,0.1010240928533528,0.9287109375,4.365931332796427,4.481700793551928,0.6920133164662587
clinc150,0.75,100,raw_tau_0.50,111,112,1,recipe,100,1024,207,0.5,3.680389002108204,0.0266535614850782,0.0255863256784989,0.0113376530966731,0.9287109375,1.955769530082988,1.957910797739936,0.6920133164662587
clinc150,0.75,100,raw_tau_1.00,111,112,1,recipe,100,1024,207,1.0,4.189224164869262,0.0153779113566191,0.0152526372192986,0.0036061069746228,0.9287109375,0.9891159774775634,0.9892361901322456,0.6920133164662587
clinc150,0.75,123,official_l1,111,112,1,definition,100,1024,206,,4.705590971085352,0.0090445749629322,0.0090441764934154,1.7053272096579145e-05,0.9169921875,0.0076021945006275,0.0076080070307221,0.6920443406924206
clinc150,0.75,123,raw_tau_0.05,111,112,1,definition,100,1024,206,0.05,0.3589230716168688,0.8430239260716418,0.9787664085770972,0.7714977863731876,0.9169921875,3.58659192865786,0.4578715002063395,0.6920443406924206
clinc150,0.75,123,raw_tau_0.10,111,112,1,definition,100,1024,206,0.1,0.9264738737848616,0.5179252763869511,0.5147187634462107,0.4602543540284088,0.9169921875,4.921648721183777,4.954722787024676,0.6920443406924206
clinc150,0.75,123,raw_tau_0.20,111,112,1,definition,100,1024,206,0.2,2.32534796665695,0.1247991709764195,0.098954012605811,0.0932431962340329,0.9169921875,4.401816862882464,4.529806424034203,0.6920443406924206
clinc150,0.75,123,raw_tau_0.50,111,112,1,definition,100,1024,206,0.5,3.6989175865342543,0.026066050124624,0.0245045512768091,0.0107090668888401,0.9169921875,1.956961583206843,1.9600693406738543,0.6920443406924206
clinc150,0.75,123,raw_tau_1.00,111,112,1,definition,100,1024,206,1.0,4.198492828431789,0.0152205995599373,0.0149235780512126,0.0034423851014709,0.9169921875,0.9892752579461904,0.9895663138546826,0.6920443406924206
banking77,0.25,13,official_l1,19,19,0,,0,1024,47,,2.920008676790854,0.0539351141081017,0.0539902803976792,0.0007399587259313,0.91015625,0.0481754343774363,0.0483799883211535,0.6986767559836738
banking77,0.25,13,raw_tau_0.05,19,19,0,,0,1024,47,0.05,0.2882098346215916,0.8776110171442683,0.9961420898842632,0.7968080223787388,0.91015625,3.0225908800457058,0.0956817782024066,0.6986767559836738
banking77,0.25,13,raw_tau_0.10,19,19,0,,0,1024,47,0.1,0.4204751297462635,0.751177308224378,0.8635521857208426,0.6627418014179633,0.91015625,2.733880341929751,1.4996165166114137,0.6986767559836738
banking77,0.25,13,raw_tau_0.20,19,19,0,,0,1024,47,0.2,1.021370798092074,0.4128430985800914,0.4201061890408007,0.3145900900561003,0.91015625,3.0551468895770246,3.027527430100056,0.6986767559836738
banking77,0.25,13,raw_tau_0.50,19,19,0,,0,1024,47,0.5,2.017189745636398,0.139288486054493,0.138957240755526,0.0624478335528775,0.91015625,1.7712569840424797,1.7721173453239976,0.6986767559836738
banking77,0.25,13,raw_tau_1.00,19,19,0,,0,1024,47,1.0,2.462261290196317,0.0863759214110845,0.0869766802914098,0.0217816145910309,0.91015625,0.9389790759486164,0.9383660454889156,0.6986767559836738
banking77,0.25,42,official_l1,19,19,0,,0,1024,40,,2.9201746027647824,0.0539259165051392,0.0539741259250984,0.0007231449075786,0.939453125,0.0474799282524147,0.0476276575520139,0.7128162679506393
banking77,0.25,42,raw_tau_0.05,19,19,0,,0,1024,40,0.05,0.1960306380292908,0.9014059112634422,0.9950325751395112,0.834673669380642,0.939453125,2.4513160066019744,0.1195481255647514,0.7128162679506393
banking77,0.25,42,raw_tau_0.10,19,19,0,,0,1024,40,0.1,0.3668567890113876,0.7628930643870395,0.8586054155345992,0.6772877012374307,0.939453125,2.60895877473884,1.5355241276433889,0.7128162679506393
banking77,0.25,42,raw_tau_0.20,19,19,0,,0,1024,40,0.2,0.9971645276073744,0.4144858299124323,0.4227836730402415,0.3133618383374339,0.939453125,3.048299646795799,3.0150614465905337,0.7128162679506393
banking77,0.25,42,raw_tau_0.50,19,19,0,,0,1024,40,0.5,2.008532697492706,0.1398527976994033,0.1396492297744631,0.0618090059323872,0.939453125,1.7700580346737926,1.7706801538999892,0.7128162679506393
banking77,0.25,42,raw_tau_1.00,19,19,0,,0,1024,40,1.0,2.4581077828070144,0.0866249511490056,0.0872388183431014,0.0215614018450166,0.939453125,0.9387125107677026,0.938054041865487,0.7128162679506393
banking77,0.25,87,official_l1,19,19,0,,0,1024,35,,2.92019419555488,0.0539248534258192,0.054001754555316,0.000775210353786,0.9296875,0.0481118992474935,0.0484017074393039,0.6696285922167879
banking77,0.25,87,raw_tau_0.05,19,19,0,,0,1024,35,0.05,0.2127405654294716,0.9014992090469928,0.9970793915933246,0.8425967702671675,0.9296875,2.3822313164106568,0.0715971957078109,0.6696285922167879
banking77,0.25,87,raw_tau_0.10,19,19,0,,0,1024,35,0.1,0.3702652253200765,0.7713519488915428,0.8808965580301006,0.6967468057344068,0.9296875,2.491139293700219,1.291472226868398,0.6696285922167879
banking77,0.25,87,raw_tau_0.20,19,19,0,,0,1024,35,0.2,1.0020815643308625,0.4132835332740545,0.4273635457226009,0.3206145657092895,0.9296875,3.047238504319611,2.969324817428004,0.6696285922167879
banking77,0.25,87,raw_tau_0.50,19,19,0,,0,1024,35,0.5,2.018020552437791,0.138294691289804,0.1406474642832131,0.0635165676945792,0.9296875,1.7728761718726729,1.7688381096916874,0.6696285922167879
banking77,0.25,87,raw_tau_1.00,19,19,0,,0,1024,35,1.0,2.4640561361834514,0.0860684132855795,0.0874868373703681,0.0224446112128556,0.9296875,0.9392418187187777,0.9377255366929228,0.6696285922167879
banking77,0.25,100,official_l1,19,19,0,,0,1024,47,,2.919807536579184,0.053945614072079,0.0539759817805556,0.0007405122324099,0.9365234375,0.0483457323233628,0.0487211894101475,0.6969148341574467
banking77,0.25,100,raw_tau_0.05,19,19,0,,0,1024,47,0.05,0.1980180164128739,0.9026937193780508,0.9948760218030684,0.8364999041873036,0.9365234375,2.422465701610811,0.1193829795811188,0.6969148341574467
banking77,0.25,100,raw_tau_0.10,19,19,0,,0,1024,47,0.1,0.3715529710289339,0.7574949113586147,0.8485817263158815,0.6743308461939562,0.9365234375,2.653457937406798,1.6685833696252137,0.6969148341574467
banking77,0.25,100,raw_tau_0.20,19,19,0,,0,1024,47,0.2,1.008629681686978,0.4072866773535166,0.4051747146648316,0.3098702414117671,0.9365234375,3.084434105646989,3.092270027306592,0.6969148341574467
banking77,0.25,100,raw_tau_0.50,19,19,0,,0,1024,47,0.5,2.013611962926834,0.1387391976844091,0.1368360696836392,0.0618885186543406,0.9365234375,1.7726385854699953,1.7771017809620877,0.6969148341574467
banking77,0.25,100,raw_tau_1.00,19,19,0,,0,1024,47,1.0,2.460121128206336,0.0863675078425389,0.0864422402923036,0.0216975154040966,0.9365234375,0.9390231167595766,0.9389940511609232,0.6969148341574467
banking77,0.25,123,official_l1,19,19,0,,0,1024,48,,2.920471143089922,0.0539100548308243,0.0539560336612674,0.0008104108461267,0.9267578125,0.048123550026177,0.0483806162419502,0.705052333092278
banking77,0.25,123,raw_tau_0.05,19,19,0,,0,1024,48,0.05,0.2633770078223224,0.9008766375487554,0.9971844930395372,0.8430573654462098,0.9267578125,2.3761279686053123,0.0649543591199763,0.705052333092278
banking77,0.25,123,raw_tau_0.10,19,19,0,,0,1024,48,0.1,0.3992708538571176,0.7655584184636888,0.8701030388770071,0.6984148119495299,0.9267578125,2.521982965644913,1.3910833257165436,0.705052333092278
banking77,0.25,123,raw_tau_0.20,19,19,0,,0,1024,48,0.2,1.0248808825073872,0.4107700876891275,0.40972500427732,0.3270400239487383,0.9267578125,3.054189528614704,3.0525971715024425,0.705052333092278
banking77,0.25,123,raw_tau_0.50,19,19,0,,0,1024,48,0.5,2.027903582268263,0.1377031341881007,0.1358272631386843,0.0661080459830407,0.9267578125,1.7739467966733238,1.7777462329638198,0.705052333092278
banking77,0.25,123,raw_tau_1.00,19,19,0,,0,1024,48,1.0,2.469042493526356,0.0857687782285526,0.0858638682907778,0.0234671628676635,0.9267578125,0.9395455152667316,0.939430405611988,0.705052333092278
banking77,0.5,13,official_l1,38,38,0,,0,1024,102,,3.6247224252458654,0.0266567489098252,0.0266718311948355,0.000160978983833,0.8876953125,0.023570014476719,0.023708417843575,0.7478993675303833
banking77,0.5,13,raw_tau_0.05,38,38,0,,0,1024,102,0.05,0.3626427956126403,0.8440090227416528,0.9922340956262176,0.7546049580668923,0.8876953125,3.724809391139803,0.1747769906167893,0.7478993675303833
banking77,0.5,13,raw_tau_0.10,38,38,0,,0,1024,102,0.1,0.5804098501578423,0.6797961144699995,0.7911941792357114,0.5925294396599259,0.8876953125,3.4207393179289047,2.2283764250260862,0.7478993675303833
