dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds,oos_recall,oos_precision,contract_layer,backbone,supervision,dataset_label
clinc150,0.5,ours_partition_mogb_boundary,S2C partition + MOGB,0.8332324302971947,0.5640931010016157,0.5605045766110079,0.4223999999999999,0.0168695652173912,0.5776,0.7591578947368421,0.8898238711755233,0.9015743601911356,0.0029511509584679,0.0157105684486213,0.0158840742690441,0.0150607002280114,0.0026911291335501,0.0150607002280114,0.0054659752282135,0.0059101137872556,0.0042776143146253,5,0.9831304347826088,0.7229969990888032,same_protocol_fair,MiniLM,Known-only,CLINC150
clinc150,0.5,random_partition,Random K=2,0.8906911053121688,0.8075070935100765,0.8063979733527151,0.7947555555555555,0.089623188405797,0.2052444444444444,0.8555438596491228,0.9302566698872786,0.9465447968241728,0.0050278119459267,0.0093188733137041,0.0094277376365864,0.0142582876051824,0.0035464333725641,0.0142582876051824,0.0047507916756147,0.005012555387611,0.0069809278593605,5,0.910376811594203,0.871838734476675,same_protocol_fair,MiniLM,Known-only,CLINC150
clinc150,0.5,single_centroid,Frozen single,0.8894333056826393,0.8026933913946113,0.8015368592041044,0.7875555555555556,0.0881739130434782,0.2124444444444443,0.8531578947368421,0.9289202705314008,0.9453136430594408,0.0050275226580105,0.0108231848970633,0.0109396395655719,0.0137992663966755,0.0042173664026357,0.0137992663966755,0.0058830816270551,0.0051741366111416,0.00723553361943,5,0.9118260869565218,0.8681140130102658,same_protocol_fair,MiniLM,Known-only,CLINC150
clinc150,0.5,trainable_k1,S2C Trainable K=1,0.9043941395821136,0.8181661694793956,0.8170164632113595,0.7444444444444445,0.036927536231884,0.2555555555555555,0.8734035087719298,0.953267375201288,0.9649131913639692,0.0044419633205515,0.0092034101426469,0.0092787776517131,0.0033847880470506,0.0075712675013764,0.0033847880470506,0.0064610488587048,0.005488248090117,0.0067695009838479,5,0.963072463768116,0.8524555131186291,same_protocol_fair,MiniLM,Known-only,CLINC150
stackoverflow,0.5,fixed_k2,Frozen K=2,0.6352945072329976,0.7275883031957765,0.7368176827920545,0.8688666666666667,0.4716666666666667,0.1311333333333333,0.6692666666666667,0.8259930444444444,0.7638740861715021,0.043018765630415,0.0233592333048186,0.0244035947787261,0.0128010416242845,0.05844940832321,0.0128010416242845,0.0274576947320783,0.0101332637740058,0.0093717697995502,5,0.5283333333333333,0.7965577628713829,same_protocol_fair,MiniLM,Known-only,StackOverflow
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,0.729199427573284,0.4329803937892986,0.4033584904109001,0.2709333333333333,0.0079333333333332,0.7290666666666666,0.6305666666666667,0.8476909333333333,0.7865554428431313,0.0062494323929414,0.0339955397195192,0.0367844484809596,0.0236988044705494,0.0025755258362775,0.0236988044705494,0.0120822413299667,0.0354040649721622,0.0441447460582093,5,0.9920666666666668,0.5764562118590095,same_protocol_fair,MiniLM,Known-only,StackOverflow
stackoverflow,0.5,mogb_partition_ours_boundary,MOGB partition + S2C,0.7924706249591658,0.63344181949998,0.6175389389540615,0.5038666666666667,0.0185999999999999,0.4961333333333333,0.7407333333333334,0.8663389555555556,0.8165219640522269,0.014867493644347,0.0550164341664174,0.0590869751494571,0.0490773765485573,0.0070134790859379,0.0490773765485573,0.0238381696724671,0.0398925012335697,0.056565983071973,5,0.9814,0.6645399901269583,same_protocol_fair,MiniLM,Known-only,StackOverflow
stackoverflow,0.5,ours_partition_mogb_boundary,S2C partition + MOGB,0.7335218198140271,0.6358695194997168,0.6261042894682859,0.5449333333333334,0.1569333333333333,0.4550666666666666,0.6835333333333333,0.732959,0.6619594619282418,0.0130121757961406,0.0158231793394901,0.0168830801116011,0.0117364579172953,0.0295281410033058,0.0117364579172953,0.0135991217036656,0.0264902624480751,0.0318403856017682,5,0.8430666666666666,0.6491710280440003,same_protocol_fair,MiniLM,Known-only,StackOverflow
stackoverflow,0.5,random_partition,Random K=2,0.7587996754762378,0.7980409512231381,0.8019650787978282,0.8764,0.3097999999999999,0.1235999999999999,0.7609999999999999,0.8881375111111112,0.8423902188868467,0.0549134144241642,0.0223511010034228,0.0212606245884595,0.0134627056881016,0.0855802417487691,0.0134627056881016,0.0414412234375385,0.0167665436974726,0.0194764531322358,5,0.6902000000000001,0.842540641231082,same_protocol_fair,MiniLM,Known-only,StackOverflow
stackoverflow,0.5,single_centroid,Frozen single,0.7654959559609912,0.7997964624589458,0.8032265131087414,0.8714666666666666,0.2970666666666666,0.1285333333333333,0.7657666666666667,0.8876673111111112,0.8402327675198755,0.0534487697454966,0.0220096349222799,0.020946499502751,0.0118241748596302,0.0840477377579089,0.0118241748596301,0.0407258108165653,0.0166171320881734,0.0192680955550442,5,0.7029333333333334,0.8402830032371076,same_protocol_fair,MiniLM,Known-only,StackOverflow
