dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.75,euclidean_mean,false_accept_rate,5,0.18842105263157893,0.1960526315789474,0.0451739481954795,0.15184210526315792,0.22236842105263155,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,false_reject_rate,5,-0.5364655172413793,-0.5387931034482758,0.013168085811828592,-0.5460344827586207,-0.525603448275862,0,0,5,20260725,10000
banking77,0.75,euclidean_mean,accuracy,5,0.33694805194805194,0.3324675324675324,0.015573250870915807,0.32571428571428573,0.3486363636363636,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,auroc,5,0.09130115698729584,0.09838078493647928,0.021564342539524675,0.07384789019963703,0.10594158348457357,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,aupr_oos,5,0.22182249795492445,0.2153929627642428,0.029550733405865916,0.2016447063359112,0.24833556519278271,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,oos_f1,5,0.027806639669319,0.026882173672822973,0.005124942391131956,0.02427482255102793,0.03221747581658627,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,f1_all,5,0.2744957991824698,0.26910152106056706,0.026948088532755644,0.25466798813778296,0.2964531371142354,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,f1_k,5,0.280987619169658,0.27554801204288915,0.027588337582088913,0.2607165066535371,0.3035444633407388,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,id_recall,5,0.36526315789473685,0.368421052631579,0.02306367061921234,0.348390350877193,0.3828070175438597,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,false_accept_rate,5,0.02578947368421054,0.029824561403508802,0.009852081990344761,0.01710526315789474,0.03280701754385969,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,false_reject_rate,5,-0.36526315789473685,-0.36842105263157904,0.0230636706192123,-0.38280701754385965,-0.3464912280701754,0,0,5,20260725,10000
clinc150,0.25,euclidean_mean,accuracy,5,0.0519649122807017,0.04982456140350866,0.008182287621267256,0.04610526315789469,0.058877192982456104,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,auroc,5,0.05278781932902445,0.05478512619267495,0.008226376617470554,0.0462796629732227,0.05929597568482621,5,0,0,20260725,10000
clinc150,0.25,euclidean_mean,aupr_oos,5,0.024153303485638555,0.02203952772525286,0.006205277005353495,0.019343513901396638,0.028963093069880475,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,oos_f1,5,0.09119903794751208,0.0910004449298224,0.002648807906349657,0.08901098836735102,0.09329308897871473,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,f1_all,5,0.36862816558049366,0.37130124057926317,0.011409693469170147,0.359152428870718,0.37710210599786337,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,f1_k,5,0.37232722061560014,0.3750180934811142,0.01156416876606359,0.36271922045132976,0.38091445965362736,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,id_recall,5,0.4287111111111111,0.428888888888889,0.012635829910649503,0.4187555555555556,0.4381333333333333,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,false_accept_rate,5,0.027884057971014498,0.026666666666666596,0.007595640974581722,0.02248695652173913,0.034144927536231856,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,false_reject_rate,5,-0.4287111111111111,-0.428888888888889,0.012635829910649495,-0.4381333333333334,-0.4187555555555556,0,0,5,20260725,10000
clinc150,0.5,euclidean_mean,accuracy,5,0.1496140350877193,0.14912280701754388,0.0035640384341344747,0.14733333333333332,0.15263157894736845,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,auroc,5,0.07685768760064411,0.0754585507246377,0.011125221819073711,0.06848497262479884,0.08685060225442824,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean,aupr_oos,5,0.0816645060450391,0.07797567278934614,0.01125900500669526,0.07383346846564494,0.09045327057260891,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,oos_f1,5,0.169177800446872,0.1678670276169807,0.0023994656141041004,0.1675164026057816,0.17131080669183088,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,f1_all,5,0.4111536689108507,0.41258335772980553,0.01071611663329772,0.40235550866682956,0.41923931728234126,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,f1_k,5,0.41331416773642193,0.41472316448037927,0.010810834758934216,0.40443403314278514,0.42167619109278326,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,id_recall,5,0.4592261904761905,0.4604166666666667,0.00583211843519804,0.4551785714285714,0.46375,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,false_accept_rate,5,0.03188034188034188,0.030769230769230802,0.004374866287887089,0.02871794871794872,0.03564102564102562,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,false_reject_rate,5,-0.4592261904761905,-0.4604166666666667,0.005832118435198034,-0.46375,-0.45494047619047623,0,0,5,20260725,10000
clinc150,0.75,euclidean_mean,accuracy,5,0.25242105263157893,0.25245614035087716,0.0038203743376827217,0.24936842105263154,0.2552280701754386,5,0,0,20260725,10000
