dataset,kir,method,representation,boundary_source,oos_f1,f1_all,f1_k,id_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,id_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
clinc150,0.25,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.9413139384002536,0.7016229766010627,0.6953153197116103,0.6017543859649124,0.02236842105263154,0.39824561403508774,0.9017192982456141,0.9274617189904586,0.9735223875851311,0.004982739043635983,0.03478368488471803,0.03557771068321163,0.04404784186583784,0.006138392544858933,0.04404784186583788,0.008586997980566419,0.01722009706747917,0.006607934032877373,5
clinc150,0.25,trainable_k1,trainable_minilm,s2c_k1,0.9516427437131567,0.7968993956538231,0.7928272022838406,0.7363157894736843,0.03236842105263154,0.2636842105263158,0.9208421052631579,0.9588536088027085,0.9876229578269167,0.006493831244298967,0.019459710746000582,0.019801353224410623,0.008358687192681824,0.011023527540387063,0.008358687192681846,0.01033406306064248,0.012065791586742352,0.004416140820934228,5
clinc150,0.5,euclidean_mean,frozen_minilm,mogb_component,0.8131951016346013,0.44953800389890197,0.44468924259575926,0.3157333333333333,0.00904347826086952,0.6842666666666666,0.7237894736842105,0.8764096876006441,0.8832486853189302,0.0029937394053626406,0.017795263450771055,0.017993685362080927,0.013693649965685421,0.0015255301295003965,0.013693649965685424,0.005768969538955549,0.007663174447065316,0.00819012602665888,5
clinc150,0.5,euclidean_mean_std,frozen_minilm,mogb_component,0.8676835206897643,0.7030255934576071,0.700830154427845,0.6036444444444444,0.03565217391304344,0.39635555555555546,0.8191929824561404,0.9068037874396134,0.9144391383433785,0.004208014953633077,0.016179976343835566,0.016345868223329053,0.015777464785627866,0.0038453620757743627,0.015777464785627904,0.0067749743179078455,0.00447767314503919,0.006202496096272179,5
clinc150,0.5,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.8069911983389402,0.4073342787692926,0.40200551984169736,0.2793777777777778,0.00568115942028982,0.7206222222222223,0.7117192982456141,0.8885307826086957,0.9039100815085414,0.003163623061430005,0.016819739385673837,0.017002553358250024,0.014286659580717563,0.0010165610386522095,0.014286659580717561,0.0058849124480650486,0.012442023943328018,0.013456668860016742,5
clinc150,0.5,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.8555543863002324,0.645981713026754,0.6431874107164409,0.5334222222222222,0.02498550724637676,0.46657777777777776,0.7985263157894738,0.9052768824476651,0.9196825244395654,0.004191319483426528,0.02172674348257144,0.021964580350954194,0.018977309387922688,0.0032497394592867087,0.018977309387922654,0.007281864206502728,0.008643313353790138,0.009688153468954235,5
clinc150,0.5,trainable_k1,trainable_minilm,s2c_k1,0.9043941395821135,0.8181661694793956,0.8170164632113595,0.7444444444444445,0.036927536231884016,0.25555555555555554,0.8734035087719298,0.9532673752012881,0.9649131913639692,0.004441963320551506,0.00920341014264694,0.00927877765171319,0.0033847880470506474,0.007571267501376492,0.0033847880470506413,0.006461048858704844,0.005488248090117022,0.0067695009838479505,5
clinc150,0.75,euclidean_mean,frozen_minilm,mogb_component,0.6593154230507091,0.4179709109786164,0.41581604926368704,0.29196428571428573,0.00829059829059824,0.7080357142857142,0.5781754385964912,0.8643049450549449,0.7520503201772899,0.004187552090302015,0.01552778390349888,0.015630168685979436,0.012156927538988137,0.003359528890091204,0.012156927538988144,0.00747582540779645,0.01180926068657238,0.01588424170491822,5
clinc150,0.75,euclidean_mean_std,frozen_minilm,mogb_component,0.7447286172357581,0.6660595353146919,0.6653571327975395,0.5567261904761904,0.029230769230769182,0.4432738095238095,0.7215087719298245,0.8949945054945054,0.8045693851608535,0.006403339344894759,0.01981395723467386,0.01993567322075475,0.02028465407748146,0.004667715357577132,0.020284654077481465,0.010118260403746809,0.00765886950940255,0.015212965506614003,5
clinc150,0.75,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.6496554795314411,0.3730384781574346,0.37056868350230954,0.2558928571428571,0.00487179487179482,0.7441071428571429,0.5585263157894736,0.8838877187627189,0.8063645650564718,0.0022598260604638188,0.010662834631476992,0.010739289661598843,0.008619142166016579,0.0022734078766274207,0.008619142166016575,0.004827909524050987,0.018280793137705184,0.031826508757168546,5
clinc150,0.75,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.7197434059711283,0.5960139307329898,0.5949092032755063,0.4808928571428572,0.018888888888888837,0.5191071428571428,0.6826666666666668,0.8967573768823769,0.8257099119541585,0.0059448223178597435,0.023306568462890812,0.023461770480190384,0.020381364384464945,0.004288435454462243,0.02038136438446494,0.010703479872400598,0.010832451294774045,0.020657768166605712,5
clinc150,0.75,trainable_k1,trainable_minilm,s2c_k1,0.828493223497581,0.8291245798894671,0.8291302170001089,0.7511904761904762,0.040170940170940125,0.24880952380952376,0.8305964912280702,0.9500434472934473,0.9244287014099977,0.005076623944875152,0.007668826723022182,0.007697151327186658,0.008669352180731848,0.003974588726012444,0.008669352180731879,0.006342050665849344,0.004167084976489906,0.009783406283360909,5
stackoverflow,0.25,euclidean_mean,frozen_minilm,mogb_component,0.8944000569448456,0.540703865522772,0.4699646272383573,0.3261333333333333,0.00937777777777774,0.6738666666666667,0.8243333333333334,0.8672337777777779,0.9256037956668599,0.005949655171098938,0.04633819785305139,0.05456022850638987,0.048486882533091163,0.005384935548750563,0.04848688253309118,0.011034667593040072,0.02197997091655155,0.016348535218525497,5
