dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
clinc150,50,87,1.0,ce_recon,k2,2,150,7500,1,0.00013333333333333334,0.006666666666666667,487.0446347977814,0.9010238907849829,0.7271111111111112,0.9438583247863246,0.9480240333986416,0.184,0.5326160053799597,0.864028299801017,0.7271111111111112,complete
clinc150,50,87,1.0,ce_recon,frozen_selected_k,1,75,7500,100,0.013333333333333334,0.0,590.2843170307339,0.9085975435589831,0.7462222222222222,0.9571101538461538,0.9628677430058757,0.15866666666666668,0.5604395604395604,0.8725730863646507,0.7412777526053467,complete
banking77_oos,50,13,0.1,frozen,k1,1,25,319,10,0.03134796238244514,0.0,4190.270207031828,0.9073462324996068,0.607,0.9051431818181819,0.9666527525038182,0.433,0.49829351535836175,0.8811104405552203,0.8520888219796763,complete
banking77_oos,50,13,0.1,frozen,k2,2,50,319,1,0.003134796238244514,0.04,3938.510866701563,0.8853317811408614,0.25,0.8828555194805194,0.9576370149173128,0.478,0.5326215895610913,0.795751633986928,0.7511612475116125,complete
banking77_oos,50,13,0.1,frozen,frozen_selected_k,4,100,319,1,0.003134796238244514,0.24,2939.3600162681532,0.8659822809731402,0.048,0.8638571428571429,0.9494785996625467,0.542,0.5049350649350649,0.7542591636551368,0.7039800995024875,complete
banking77_oos,50,13,0.1,ce_recon,k1,1,25,319,10,0.03134796238244514,0.0,1947.6011024134737,0.9111039794608472,0.687,0.8988652597402598,0.9574391864960285,0.45,0.4293085655314757,0.91504329004329,0.8572731418148655,complete
banking77_oos,50,13,0.1,ce_recon,k2,2,50,319,1,0.003134796238244514,0.1,1198.806989190538,0.9092572822937319,0.504,0.9032701298701299,0.9584679236561683,0.406,0.539829853054911,0.8721649484536083,0.7912457912457912,complete
banking77_oos,50,13,0.1,ce_recon,frozen_selected_k,4,100,319,1,0.003134796238244514,0.38,489.3866057673665,0.8860208816705336,0.239,0.8974607142857143,0.9549921471238215,0.422,0.5183823529411765,0.8164053075995175,0.7118515713744794,complete
banking77_oos,50,13,0.2,frozen,k1,1,25,629,20,0.03179650238473768,0.0,3915.955481867799,0.8860200441651096,0.801,0.9052253246753248,0.965875310001453,0.436,0.32806804374240583,0.8940153794717486,0.9194658033184946,complete
banking77_oos,50,13,0.2,frozen,k2,2,50,629,2,0.003179650238473768,0.0,3603.996924246925,0.9138704190505644,0.568,0.9073295454545454,0.9668353216981143,0.397,0.5808936825885979,0.8663262240913188,0.8402366863905325,complete
banking77_oos,50,13,0.2,frozen,frozen_selected_k,4,100,629,1,0.001589825119236884,0.06,3254.264063898233,0.8945283849200528,0.312,0.8868038961038962,0.9579972781566256,0.444,0.5611246943765281,0.8084514873505699,0.7675675675675676,complete
