dataset,kir,intent,n_known,n_oos,delta_known_rejected_pp,delta_known_rejected_std_pp,delta_oos_false_accept_pp,delta_oos_false_accept_std_pp,trainable_known_rejected_rate,adb_known_rejected_rate,trainable_oos_false_accept_rate,adb_oos_false_accept_rate,n_seeds
banking77,0.25,pending_cash_withdrawal,40.0,2320.0,4.166666666666667,5.204164998665331,-0.7327586206896551,0.8223613805318496,0.2416666666666667,0.19999999999999998,0.002442528735632184,0.009770114942528735,3
banking77,0.25,pending_transfer,40.0,2320.0,2.9605947323337506e-16,5.0,-1.10632183908046,1.283247882840608,0.10833333333333334,0.10833333333333334,0.008620689655172414,0.019683908045977014,3
banking77,0.25,pin_blocked,40.0,2320.0,12.500000000000004,,-1.336206896551724,,0.275,0.15,0.001293103448275862,0.014655172413793103,1
banking77,0.25,receiving_money,40.0,2320.0,-1.2500000000000009,12.37436867076458,-0.646551724137931,0.3047874056838566,0.16249999999999998,0.175,0.005387931034482759,0.011853448275862068,2
banking77,0.25,reverted_card_payment?,40.0,2320.0,-2.500000000000001,3.535533905932739,-1.896551724137931,0.3047874056838569,0.16249999999999998,0.1875,0.010775862068965518,0.029741379310344828,2
banking77,0.25,terminate_account,40.0,2320.0,12.5,7.0710678118654755,-0.23706896551724138,0.21335118397869968,0.16249999999999998,0.0375,0.0,0.0023706896551724138,2
banking77,0.25,top_up_by_bank_transfer_charge,40.0,2320.0,2.500000000000002,,-0.8189655172413793,,0.2,0.175,0.006896551724137931,0.015086206896551725,1
banking77,0.25,top_up_by_card_charge,40.0,2320.0,-2.500000000000001,,-1.5086206896551724,,0.075,0.1,0.002586206896551724,0.01767241379310345,1
banking77,0.25,top_up_by_cash_or_cheque,40.0,2320.0,5.000000000000002,,-0.43103448275862066,,0.2,0.15,0.0021551724137931034,0.00646551724137931,1
banking77,0.25,top_up_failed,40.0,2320.0,5.0,,-1.982758620689655,,0.125,0.075,0.014224137931034483,0.03405172413793103,1
banking77,0.25,top_up_limits,40.0,2320.0,5.0,,-0.5172413793103449,,0.1,0.05,0.0017241379310344827,0.006896551724137931,1
banking77,0.25,top_up_reverted,40.0,2320.0,7.499999999999999,1.2560739669470201e-15,0.021551724137931105,0.457181108525785,0.16249999999999998,0.0875,0.022413793103448276,0.022198275862068965,2
banking77,0.25,transaction_charged_twice,40.0,2320.0,6.25,1.7677669529663689,-0.08620689655172414,0.0,0.1125,0.05,0.0,0.0008620689655172414,2
banking77,0.25,transfer_fee_charged,40.0,2320.0,-2.5000000000000004,5.0,-0.7183908045977012,0.10847463269067165,0.125,0.15,0.004022988505747126,0.011206896551724138,3
banking77,0.25,transfer_into_account,40.0,2320.0,7.5,7.0710678118654755,-0.5387931034482758,0.2743086651154709,0.275,0.2,0.0015086206896551724,0.006896551724137931,2
banking77,0.25,transfer_not_received_by_recipient,40.0,2320.0,22.5,,0.1724137931034483,,0.325,0.1,0.028879310344827585,0.027155172413793102,1
banking77,0.25,transfer_timing,40.0,2320.0,15.000000000000002,,-0.5172413793103449,,0.2,0.05,0.004310344827586207,0.009482758620689655,1
banking77,0.25,unable_to_verify_identity,40.0,2320.0,10.000000000000002,4.330127018922194,-0.2298850574712643,0.573993803317189,0.21666666666666667,0.11666666666666665,0.01364942528735632,0.015948275862068966,3
banking77,0.25,verify_my_identity,40.0,2320.0,12.5,,-0.9482758620689656,,0.15,0.025,0.013793103448275862,0.02327586206896552,1
banking77,0.25,verify_source_of_funds,40.0,2320.0,3.75,1.7677669529663689,-0.04310344827586207,0.060957481136771345,0.05,0.0125,0.0,0.0004310344827586207,2
banking77,0.25,verify_top_up,40.0,2320.0,2.5,3.5355339059327378,0.0,0.0,0.05,0.025,0.0,0.0,2
banking77,0.25,why_verify_identity,40.0,2320.0,-1.25,1.7677669529663689,-0.5172413793103448,0.3657448868206281,0.025,0.037500000000000006,0.01831896551724138,0.023491379310344826,2
banking77,0.25,wrong_amount_of_cash_received,40.0,2320.0,5.0,7.0710678118654755,0.9267241379310346,1.3715433255773553,0.15,0.1,0.01788793103448276,0.008620689655172414,2
banking77,0.25,wrong_exchange_rate_for_cash_withdrawal,40.0,2320.0,6.25,1.76776695296637,-1.4224137931034482,0.8534047359147986,0.25,0.1875,0.006896551724137931,0.021120689655172414,2
banking77,0.5,Refund_not_showing_up,40.0,1560.0,0.6249999999999996,2.3935677693908453,-0.8012820512820513,0.16132124861689645,0.10625,0.1,0.005128205128205128,0.013141025641025641,4
banking77,0.5,activate_my_card,40.0,1560.0,3.749999999999999,1.7677669529663682,-0.22435897435897434,0.317291504378579,0.15,0.1125,0.0,0.0022435897435897434,2
banking77,0.5,age_limit,40.0,1560.0,15.0,,-0.0641025641025641,,0.15,0.0,0.0,0.000641025641025641,1
banking77,0.5,apple_pay_or_google_pay,40.0,1560.0,6.25,5.303300858899106,0.0,0.0,0.125,0.0625,0.0,0.0,2
banking77,0.5,atm_support,40.0,1560.0,3.1249999999999996,4.269562819149832,-0.016025641025641024,0.03205128205128205,0.13125,0.1,0.0,0.00016025641025641026,4
banking77,0.5,automatic_top_up,40.0,1560.0,4.166666666666667,6.291528696058958,-1.0897435897435896,0.7692307692307693,0.15,0.10833333333333334,0.00021367521367521368,0.011111111111111112,3
banking77,0.5,balance_not_updated_after_bank_transfer,40.0,1560.0,-3.7500000000000004,1.7677669529663682,-0.4166666666666666,0.6799103665255265,0.0625,0.1,0.01955128205128205,0.023717948717948717,2
banking77,0.5,balance_not_updated_after_cheque_or_cash_deposit,40.0,1560.0,10.000000000000002,7.0710678118654755,-0.1282051282051282,0.1813094310734737,0.21250000000000002,0.11249999999999999,0.0,0.001282051282051282,2
banking77,0.5,beneficiary_not_allowed,40.0,1560.0,13.75,1.7677669529663695,-0.3846153846153845,0.6345830087571579,0.2625,0.125,0.012499999999999999,0.016346153846153844,2
banking77,0.5,cancel_transfer,40.0,1560.0,6.666666666666667,1.4433756729740623,-0.47008547008547,0.09791828408025303,0.18333333333333335,0.11666666666666665,0.00021367521367521368,0.004914529914529914,3
banking77,0.5,card_about_to_expire,40.0,1560.0,1.2500000000000004,1.7677669529663695,-0.03205128205128205,0.04532735776836842,0.0875,0.075,0.0,0.0003205128205128205,2
banking77,0.5,card_acceptance,40.0,1560.0,12.5,,-0.7692307692307693,,0.25,0.125,0.004487179487179487,0.01217948717948718,1
banking77,0.5,card_arrival,40.0,1560.0,-0.8333333333333331,1.443375672974064,-0.876068376068376,0.4979136836637198,0.10833333333333334,0.11666666666666665,0.004273504273504273,0.013034188034188035,3
banking77,0.5,card_delivery_estimate,40.0,1560.0,5.625000000000001,4.269562819149832,0.1762820512820513,0.22435897435897437,0.2,0.14375,0.0057692307692307696,0.004006410256410256,4
banking77,0.5,card_linking,40.0,1560.0,7.500000000000001,0.0,-0.8333333333333334,1.1785113019775793,0.21250000000000002,0.1375,0.0019230769230769232,0.010256410256410256,2
banking77,0.5,card_not_working,40.0,1560.0,-7.5,,-0.38461538461538464,,0.05,0.125,0.0038461538461538464,0.007692307692307693,1
banking77,0.5,card_payment_fee_charged,40.0,1560.0,6.666666666666665,3.818813079129867,-1.0683760683760684,0.20606091369643076,0.16666666666666666,0.09999999999999999,0.0021367521367521365,0.012820512820512822,3
banking77,0.5,card_payment_not_recognised,40.0,1560.0,1.6666666666666672,6.29152869605896,-0.235042735042735,0.22512080668488757,0.25,0.2333333333333333,0.004487179487179488,0.006837606837606838,3
banking77,0.5,card_payment_wrong_exchange_rate,40.0,1560.0,3.75,2.5,-0.0641025641025641,0.1282051282051282,0.09375,0.05625,0.0,0.000641025641025641,4
banking77,0.5,card_swallowed,40.0,1560.0,11.25,8.838834764831843,-0.16025641025641024,0.04532735776836844,0.225,0.11249999999999999,0.0003205128205128205,0.0019230769230769232,2
banking77,0.5,cash_withdrawal_charge,40.0,1560.0,2.5,3.5355339059327378,-0.3525641025641026,0.31729150437857906,0.1125,0.0875,0.0,0.0035256410256410257,2
banking77,0.5,cash_withdrawal_not_recognised,40.0,1560.0,7.5,,0.19230769230769215,,0.15,0.075,0.016025641025641024,0.014102564102564103,1
banking77,0.5,change_pin,40.0,1560.0,11.666666666666666,3.818813079129867,-0.5555555555555556,0.703183020166852,0.16666666666666666,0.05000000000000001,0.0,0.005555555555555556,3
banking77,0.5,compromised_card,40.0,1560.0,14.166666666666666,2.8867513459481287,0.2136752136752137,0.31621043989206715,0.4166666666666667,0.27499999999999997,0.008333333333333333,0.006196581196581196,3
banking77,0.5,contactless_not_working,40.0,1560.0,-6.249999999999999,12.374368670764582,-0.2564102564102564,0.27196414661021057,0.21250000000000002,0.275,0.0003205128205128205,0.0028846153846153848,2
banking77,0.5,country_support,40.0,1560.0,13.75,1.7677669529663707,0.09615384615384615,0.317291504378579,0.25,0.1125,0.0016025641025641025,0.000641025641025641,2
banking77,0.5,declined_card_payment,40.0,1560.0,3.75,5.303300858899107,-0.608974358974359,0.5892556509887897,0.1375,0.1,0.006089743589743589,0.01217948717948718,2
banking77,0.5,declined_cash_withdrawal,40.0,1560.0,6.25,5.303300858899107,-1.3461538461538463,1.0878565864408423,0.11249999999999999,0.05,0.011858974358974358,0.02532051282051282,2
banking77,0.5,declined_transfer,40.0,1560.0,5.833333333333333,2.886751345948129,-0.576923076923077,0.6753624200546627,0.2833333333333333,0.225,0.012820512820512822,0.01858974358974359,3
banking77,0.5,direct_debit_payment_not_recognised,40.0,1560.0,-0.8333333333333321,8.036375634160796,-0.17094017094017092,0.195836568160506,0.25833333333333336,0.26666666666666666,0.0008547008547008547,0.002564102564102564,3
banking77,0.5,disposable_card_limits,40.0,1560.0,13.75,5.303300858899107,-1.0897435897435899,1.4504754485877898,0.21250000000000002,0.07500000000000001,0.002564102564102564,0.013461538461538462,2
banking77,0.5,edit_personal_details,40.0,1560.0,6.666666666666667,1.4433756729740648,0.0,0.0,0.15833333333333333,0.09166666666666667,0.0,0.0,3
banking77,0.5,exchange_charge,40.0,1560.0,12.5,7.0710678118654755,-0.09615384615384615,0.04532735776836842,0.15,0.025,0.0,0.0009615384615384616,2
banking77,0.5,exchange_rate,40.0,1560.0,5.0,2.0412414523193148,-0.08012820512820512,0.09615384615384613,0.10625000000000001,0.05625,0.0009615384615384615,0.0017628205128205126,4
banking77,0.5,exchange_via_app,40.0,1560.0,17.5,3.5355339059327378,-1.217948717948718,1.4504754485877898,0.3,0.125,0.0028846153846153848,0.015064102564102564,2
banking77,0.5,extra_charge_on_statement,40.0,1560.0,12.500000000000004,3.5355339059327373,1.3877787807814457e-17,0.27196414661021057,0.25,0.125,0.003205128205128205,0.003205128205128205,2
banking77,0.5,failed_transfer,40.0,1560.0,7.5,,-1.3461538461538463,,0.15,0.075,0.003205128205128205,0.016666666666666666,1
banking77,0.5,fiat_currency_support,40.0,1560.0,12.5,4.564354645876384,-1.233974358974359,0.29317142594043255,0.1875,0.0625,0.011538461538461539,0.023878205128205127,4
banking77,0.5,get_disposable_virtual_card,40.0,1560.0,15.833333333333334,1.4433756729740637,-1.666666666666667,1.911288655881484,0.20833333333333334,0.05000000000000001,0.0021367521367521365,0.018803418803418803,3
banking77,0.5,get_physical_card,40.0,1560.0,7.5,0.0,-0.8974358974358974,1.269166017514316,0.15,0.075,0.0038461538461538464,0.01282051282051282,2
banking77,0.5,getting_spare_card,40.0,1560.0,7.500000000000001,10.606601717798215,-0.576923076923077,0.5439282932204211,0.2,0.125,0.0,0.0057692307692307696,2
banking77,0.5,getting_virtual_card,40.0,1560.0,8.75,5.303300858899107,-0.1282051282051282,0.09065471553673686,0.16249999999999998,0.075,0.0003205128205128205,0.0016025641025641025,2
banking77,0.5,lost_or_stolen_card,40.0,1560.0,12.5,3.535533905932738,-1.6025641025641026,0.6345830087571579,0.225,0.1,0.003205128205128205,0.019230769230769232,2
banking77,0.5,lost_or_stolen_phone,40.0,1560.0,20.833333333333332,7.637626158259734,-0.021367521367521364,0.03700963264036062,0.2833333333333333,0.075,0.0,0.00021367521367521368,3
banking77,0.5,order_physical_card,40.0,1560.0,2.5000000000000004,5.0,-3.675213675213675,1.192950842069048,0.06666666666666667,0.041666666666666664,0.0023504273504273503,0.0391025641025641,3
banking77,0.5,passcode_forgotten,40.0,1560.0,10.0,2.4999999999999996,-0.14957264957264957,0.25906742848252434,0.11666666666666665,0.016666666666666666,0.0,0.0014957264957264956,3
banking77,0.5,pending_card_payment,40.0,1560.0,13.75,8.838834764831844,-0.3205128205128205,0.0906547155367369,0.2625,0.125,0.0,0.003205128205128205,2
banking77,0.5,pending_cash_withdrawal,40.0,1560.0,8.750000000000002,2.5000000000000013,-0.3365384615384615,0.3894813276401321,0.24375000000000002,0.15625,0.0014423076923076924,0.004807692307692308,4
banking77,0.5,pending_transfer,40.0,1560.0,4.375,2.3935677693908453,-1.4423076923076923,0.4517601391424354,0.125,0.08125,0.007051282051282051,0.021474358974358974,4
banking77,0.5,pin_blocked,40.0,1560.0,15.000000000000002,3.535533905932735,-0.2884615384615385,0.40794621991531593,0.275,0.125,0.0009615384615384616,0.0038461538461538464,2
