dataset,kir_seed,seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,delta_vs_frozen_k1_oos_f1,delta_vs_frozen_k1_known_macro_f1,delta_vs_frozen_k1_overall_accuracy,delta_vs_frozen_k1_id_recall,delta_vs_frozen_k1_oos_false_accept_rate,delta_vs_frozen_k1_known_false_reject_rate,delta_vs_frozen_k1_router_error_rate,delta_vs_frozen_k1_expert_error_rate
banking77_oos,kir50_seed87,87,frozen_selected_k,0.8502155172413793,0.8061765694285196,0.7661764705882353,0.879,0.2314935064935065,0.121,0.0,0.13651877133105803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed13,13,best_controlled_baseline,0.8960648843496546,0.8296169593888474,0.8530909090909091,0.8111111111111111,0.08215384615384616,0.18888888888888888,0.027945205479452055,0.03664036076662908,0.026474155289950896,0.04856587627549114,0.03509090909090917,0.07911111111111113,-0.005846153846153834,-0.07911111111111113,-0.000591527975314185,-0.003984639233370918
clinc150,kir50_seed13,13,ce_recon_selected_k,0.8958748221906117,0.7869203374858047,0.8523636363636363,0.7195555555555555,0.03107692307692308,0.28044444444444444,0.019765287214329835,0.030245746691871456,0.02628409313090796,0.005869254372448451,0.034363636363636374,-0.01244444444444448,-0.056923076923076917,0.012444444444444425,-0.008771446240436406,-0.010379253308128545
clinc150,kir50_seed13,13,frozen_k1,0.8695907290597037,0.7810510831133562,0.818,0.732,0.088,0.268,0.02853673345476624,0.040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed13,13,frozen_selected_k,0.8695907290597037,0.7810510831133562,0.818,0.732,0.088,0.268,0.02853673345476624,0.040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed42,42,best_controlled_baseline,0.9141899100746838,0.8619492163572041,0.8752727272727273,0.8613333333333333,0.07723076923076923,0.13866666666666666,0.029411764705882353,0.03508771929824561,0.032553704678687234,0.07611260343548543,0.04218181818181821,0.13022222222222213,0.012307692307692311,-0.13022222222222224,0.000840336134453782,0.0006696967700854095
clinc150,kir50_seed42,42,ce_recon_selected_k,0.895423899010185,0.7998364395037556,0.8532727272727273,0.7333333333333333,0.03969230769230769,0.26666666666666666,0.022424242424242423,0.02541847489150651,0.013787693614188523,0.013999826582036912,0.02018181818181819,0.0022222222222221255,-0.025230769230769223,-0.0022222222222222365,-0.006147186147186148,-0.008999547636653692
clinc150,kir50_seed42,42,frozen_k1,0.8816362053959965,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.06492307692307692,0.2688888888888889,0.02857142857142857,0.0344180225281602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed42,42,frozen_selected_k,0.8816362053959965,0.7858366129217187,0.8330909090909091,0.7311111111111112,0.06492307692307692,0.2688888888888889,0.02857142857142857,0.0344180225281602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed87,87,best_controlled_baseline,0.9150668100138227,0.8638985660367187,0.8747272727272727,0.8746666666666667,0.08338461538461539,0.12533333333333332,0.027947154471544715,0.042341871406168324,0.025564047582883553,0.07583784505478863,0.03399999999999992,0.12755555555555564,0.024615384615384622,-0.12755555555555556,0.0035569105691056896,-0.0033898359109048454
