k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.9,0.6737967914438503,0.9812834224598931,0.9197860962566845
1,euclidean,mean_std_0.0,nearest_sphere,0.5,1.95,0.679144385026738,0.9866310160427807,0.9251336898395722
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.0,0.679144385026738,0.9866310160427807,0.9251336898395722
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.05,0.6844919786096256,0.9919786096256684,0.93048128342246
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.1,0.6764705882352942,0.9973262032085561,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.15,0.6764705882352942,0.9973262032085561,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.2,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.25,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.3,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.35,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,0.5,2.4,0.6657754010695187,1.0,0.9331550802139037
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.6,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.65,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.7,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.75,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.8,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.85,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.9,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,0.95,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.0,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.05,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.1,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.15,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.2,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.25,0.013368983957219251,0.013368983957219251,0.013368983957219251
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.3,0.026737967914438502,0.026737967914438502,0.026737967914438502
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.35,0.0481283422459893,0.0481283422459893,0.0481283422459893
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.4,0.058823529411764705,0.07219251336898395,0.06951871657754011
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.45,0.09893048128342247,0.11229946524064172,0.10962566844919786
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.5,0.16310160427807488,0.17647058823529413,0.17379679144385027
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.55,0.20855614973262032,0.22192513368983957,0.2192513368983957
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.6,0.27807486631016043,0.2914438502673797,0.2887700534759358
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.65,0.339572192513369,0.35294117647058826,0.3502673796791444
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.7,0.3582887700534759,0.4117647058823529,0.40106951871657753
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.75,0.4090909090909091,0.47593582887700536,0.4625668449197861
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.8,0.48128342245989303,0.5481283422459893,0.5347593582887701
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.85,0.5347593582887701,0.6149732620320856,0.5989304812834224
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.9,0.5909090909090909,0.6711229946524064,0.6550802139037433
1,euclidean,mean_std_0.0,nearest_sphere,1.0,1.95,0.6390374331550802,0.7192513368983957,0.7032085561497327
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.0,0.6818181818181818,0.7754010695187166,0.7566844919786097
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.05,0.7245989304812834,0.8181818181818182,0.7994652406417112
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.1,0.7513368983957219,0.8449197860962567,0.8262032085561497
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.15,0.7219251336898396,0.8689839572192514,0.839572192513369
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.2,0.6871657754010695,0.9144385026737968,0.8689839572192514
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.25,0.6978609625668449,0.9385026737967914,0.8903743315508021
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.3,0.6871657754010695,0.9545454545454546,0.9010695187165776
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.35,0.6925133689839572,0.9732620320855615,0.9171122994652406
1,euclidean,mean_std_0.0,nearest_sphere,1.0,2.4,0.6764705882352942,0.983957219251337,0.9224598930481284
1,euclidean,mean_std_0.0,nearest_sphere,2.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,2.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,2.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,2.0,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,2.0,0.6,0.0,0.0,0.0
