dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.5,declined_cash_withdrawal,40.0,0.8875,0.25,0.11249999999999999,0.75,0.0,0.0,2,0.6375
banking77,0.5,declined_transfer,40.0,0.6750000000000002,0.43333333333333335,0.2833333333333333,0.5499999999999999,0.041666666666666664,0.016666666666666666,3,0.2416666666666668
banking77,0.5,direct_debit_payment_not_recognised,40.0,0.7083333333333334,0.31666666666666665,0.25833333333333336,0.6833333333333332,0.03333333333333333,0.0,3,0.3916666666666667
banking77,0.5,disposable_card_limits,40.0,0.775,0.42500000000000004,0.21250000000000002,0.575,0.0125,0.0,2,0.35
banking77,0.5,edit_personal_details,40.0,0.8416666666666667,0.425,0.15833333333333333,0.5750000000000001,0.0,0.0,3,0.4166666666666667
banking77,0.5,exchange_charge,40.0,0.8,0.3125,0.15,0.6875,0.05,0.0,2,0.48750000000000004
banking77,0.5,exchange_rate,40.0,0.89375,0.30625,0.10625000000000001,0.69375,0.0,0.0,4,0.5875
banking77,0.5,exchange_via_app,40.0,0.6875,0.2125,0.3,0.7875,0.0125,0.0,2,0.475
banking77,0.5,extra_charge_on_statement,40.0,0.7375,0.1875,0.25,0.8125,0.0125,0.0,2,0.55
banking77,0.5,failed_transfer,40.0,0.85,0.475,0.15,0.525,0.0,0.0,1,0.375
banking77,0.5,fiat_currency_support,40.0,0.8,0.3125,0.1875,0.6875,0.0125,0.0,4,0.48750000000000004
banking77,0.5,get_disposable_virtual_card,40.0,0.7833333333333333,0.425,0.20833333333333334,0.5666666666666667,0.008333333333333333,0.008333333333333333,3,0.35833333333333334
banking77,0.5,get_physical_card,40.0,0.85,0.3125,0.15,0.6875,0.0,0.0,2,0.5375
banking77,0.5,getting_spare_card,40.0,0.8,0.275,0.2,0.725,0.0,0.0,2,0.525
banking77,0.5,getting_virtual_card,40.0,0.8374999999999999,0.375,0.16249999999999998,0.625,0.0,0.0,2,0.4624999999999999
banking77,0.5,lost_or_stolen_card,40.0,0.75,0.2,0.225,0.8,0.025,0.0,2,0.55
banking77,0.5,lost_or_stolen_phone,40.0,0.7000000000000001,0.25,0.2833333333333333,0.75,0.016666666666666666,0.0,3,0.45000000000000007
banking77,0.5,order_physical_card,40.0,0.9083333333333333,0.18333333333333335,0.06666666666666667,0.8166666666666668,0.025000000000000005,0.0,3,0.725
banking77,0.5,passcode_forgotten,40.0,0.8833333333333333,0.5583333333333333,0.11666666666666665,0.44166666666666665,0.0,0.0,3,0.32499999999999996
banking77,0.5,pending_card_payment,40.0,0.7125,0.3125,0.2625,0.6875,0.025,0.0,2,0.4
banking77,0.5,pending_cash_withdrawal,40.0,0.73125,0.33125,0.24375000000000002,0.66875,0.025,0.0,4,0.39999999999999997
banking77,0.5,pending_transfer,40.0,0.69375,0.21250000000000002,0.125,0.78125,0.18125000000000002,0.00625,4,0.48124999999999996
banking77,0.5,pin_blocked,40.0,0.6875,0.275,0.275,0.725,0.037500000000000006,0.0,2,0.4125
banking77,0.5,receiving_money,40.0,0.8249999999999998,0.2916666666666667,0.17499999999999996,0.7083333333333334,0.0,0.0,3,0.5333333333333332
banking77,0.5,reverted_card_payment?,40.0,0.8249999999999998,0.31666666666666665,0.16666666666666666,0.6833333333333332,0.008333333333333333,0.0,3,0.5083333333333332
banking77,0.5,supported_cards_and_currencies,40.0,0.825,0.025,0.175,0.975,0.0,0.0,1,0.7999999999999999
banking77,0.5,terminate_account,40.0,0.825,0.44999999999999996,0.175,0.55,0.0,0.0,2,0.375
banking77,0.5,top_up_by_bank_transfer_charge,40.0,0.775,0.225,0.1875,0.7749999999999999,0.037500000000000006,0.0,2,0.55
banking77,0.5,top_up_by_card_charge,40.0,0.9,0.25,0.0875,0.75,0.0125,0.0,2,0.65
banking77,0.5,top_up_by_cash_or_cheque,40.0,0.8,0.275,0.15,0.725,0.05,0.0,2,0.525
banking77,0.5,top_up_failed,40.0,0.85,0.425,0.15,0.575,0.0,0.0,1,0.425
banking77,0.5,top_up_limits,40.0,0.85,0.575,0.15,0.425,0.0,0.0,1,0.275
