dataset,kir,seed,n_samples,n_known,n_oos,known_trainable_only_correct,known_mogb_only_correct,oos_trainable_only_correct,oos_mogb_only_correct,known_trainable_recovers_mogb_reject,known_trainable_fixes_mogb_wrong,known_mogb_recovers_trainable_reject,known_mogb_fixes_trainable_wrong,trainable_f1_all,mogb_f1_all,net_known_correct_gain,net_oos_correct_gain,net_total_correct_gain,f1_all_delta
clinc150,0.75,42,5700,3360,2340,1536,11,9,81,1534,2,10,1,0.8243822570456019,0.40010798593955027,1525,-72,1453,0.4242742711060516
clinc150,0.75,87,5700,3360,2340,1508,9,1,65,1505,3,8,1,0.827797940585045,0.4206219092079394,1499,-64,1435,0.40717603137710556
clinc150,0.75,100,5700,3360,2340,1537,7,7,75,1534,3,7,0,0.8404279677580849,0.42784461002827956,1530,-68,1462,0.41258335772980537
clinc150,0.75,123,5700,3360,2340,1496,12,0,79,1495,1,12,0,0.832403460304184,0.43686651767933854,1484,-79,1405,0.39553694262484546
banking77,0.25,13,3080,760,2320,337,5,0,205,337,0,5,0,0.7691237472003841,0.5220544414587289,332,-205,127,0.2470693057416552
banking77,0.25,42,3080,760,2320,297,3,0,205,297,0,3,0,0.7939882940487182,0.6009923308051042,294,-205,89,0.192995963243614
banking77,0.25,87,3080,760,2320,304,2,1,133,304,0,2,0,0.8149099652712801,0.5704707487833718,302,-132,170,0.24443921648790834
banking77,0.25,100,3080,760,2320,316,0,0,160,316,0,0,0,0.797671004989283,0.5420944839644021,316,-160,156,0.25557652102488093
banking77,0.25,123,3080,760,2320,320,0,0,322,320,0,0,0,0.7498148479796339,0.5581741558238851,320,-322,-2,0.19164069215574886
banking77,0.5,13,3080,1520,1560,713,3,0,196,712,1,3,0,0.8199086432567366,0.4863692965093084,710,-196,514,0.33353934674742824
banking77,0.5,42,3080,1520,1560,746,5,1,216,746,0,5,0,0.8168639763258652,0.45445254397180335,741,-215,526,0.3624114323540618
banking77,0.5,87,3080,1520,1560,681,4,0,183,681,0,4,0,0.8324583407388372,0.5114395025574959,677,-183,494,0.32101883818134125
banking77,0.5,100,3080,1520,1560,727,0,0,251,727,0,0,0,0.8064088330915218,0.4681933295043734,727,-251,476,0.33821550358714836
banking77,0.5,123,3080,1520,1560,704,5,0,298,703,1,5,0,0.8080381054482829,0.5095860938475171,699,-298,401,0.29845201160076584
banking77,0.75,13,3080,2320,760,1161,4,0,178,1161,0,4,0,0.8297927993746245,0.43331697365801203,1157,-178,979,0.39647582571661244
banking77,0.75,42,3080,2320,760,1207,6,1,95,1206,1,6,0,0.8465133935600306,0.4086718495158097,1201,-94,1107,0.43784154404422093
banking77,0.75,87,3080,2320,760,1157,8,0,125,1157,0,8,0,0.8495955076276698,0.4486180681538979,1149,-125,1024,0.4009774394737719
banking77,0.75,100,3080,2320,760,1215,7,0,149,1215,0,5,2,0.8422789425569617,0.40993560511764515,1208,-149,1059,0.4323433374393165
banking77,0.75,123,3080,2320,760,1199,9,0,170,1199,0,8,1,0.8383752198051534,0.41909875580310474,1190,-170,1020,0.41927646400204865
stackoverflow,0.25,13,6000,1500,4500,743,0,1,259,743,0,0,0,0.8376694373285116,0.5471203003166764,743,-258,485,0.29054913701183527
stackoverflow,0.25,42,6000,1500,4500,825,1,3,162,824,1,0,1,0.8737185899712864,0.49774746978564804,824,-159,665,0.37597112018563833
stackoverflow,0.25,87,6000,1500,4500,843,2,11,110,843,0,2,0,0.886162434075719,0.49949480995128165,841,-99,742,0.3866676241244374
stackoverflow,0.25,100,6000,1500,4500,773,1,45,63,773,0,1,0,0.900813802289263,0.5480994069507599,772,-18,754,0.35271439533850313
stackoverflow,0.25,123,6000,1500,4500,659,0,27,148,659,0,0,0,0.8834991622766869,0.6110573406094942,659,-121,538,0.27244182166719266
stackoverflow,0.5,13,6000,3000,3000,1633,1,1,368,1631,2,0,1,0.8523954175911279,0.4585184886906548,1632,-367,1265,0.3938769289004731
stackoverflow,0.5,42,6000,3000,3000,1632,1,0,253,1630,2,0,1,0.8576590966593717,0.44669996467555734,1631,-253,1378,0.41095913198381434
stackoverflow,0.5,87,6000,3000,3000,1653,2,1,301,1653,0,2,0,0.8595641369722073,0.44919686800965214,1651,-300,1351,0.4103672689625552
stackoverflow,0.5,100,6000,3000,3000,1666,1,0,121,1665,1,0,1,0.88358644804124,0.43671316510872044,1665,-121,1544,0.44687328293251954
stackoverflow,0.5,123,6000,3000,3000,1832,2,1,242,1826,6,1,1,0.874333776004836,0.3737734824619086,1830,-241,1589,0.5005602935429274
stackoverflow,0.75,13,6000,4500,1500,2788,6,1,90,2782,6,2,4,0.8731885403519126,0.3204666793469222,2782,-89,2693,0.5527218610049904
stackoverflow,0.75,42,6000,4500,1500,2870,2,0,192,2866,4,1,1,0.871379383978064,0.3126891283998402,2868,-192,2676,0.5586902555782238
stackoverflow,0.75,87,6000,4500,1500,2602,0,0,70,2600,2,0,0,0.8674465948507031,0.3585894215736091,2602,-70,2532,0.5088571732770939
stackoverflow,0.75,100,6000,4500,1500,2735,1,1,228,2733,2,0,1,0.867750957051639,0.3475308153103965,2734,-227,2507,0.5202201417412424
stackoverflow,0.75,123,6000,4500,1500,2795,5,0,32,2783,12,1,4,0.8842356034374308,0.3153855709596245,2790,-32,2758,0.5688500324778063
