dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
banking77_oos,13,val,1,0.5,0.7,nearest_sphere,0.9200789343857918,0.2107557057064446,0.855098389982111,0.12702702702702703,0.0005359056806002144,0.8729729729729729,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.7,nearest_sphere,0.9442838370565046,0.21281457998258124,0.8960784313725491,0.13125,0.0019444444444444444,0.86875,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.75,nearest_sphere,0.9244532803180915,0.30478237742216335,0.8640429338103757,0.1945945945945946,0.003215434083601286,0.8054054054054054,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.75,nearest_sphere,0.9477028995101284,0.32813793574559563,0.9031862745098039,0.22083333333333333,0.005833333333333334,0.7791666666666667,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.8,nearest_sphere,0.9306880964339528,0.4153823102245648,0.8765652951699463,0.2891891891891892,0.006966773847802787,0.7108108108108108,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.8,nearest_sphere,0.9518716577540107,0.4487556099548158,0.9115196078431372,0.3333333333333333,0.011111111111111112,0.6666666666666666,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.85,nearest_sphere,0.9366895499618612,0.5215984708187683,0.8881932021466905,0.3918918918918919,0.012861736334405145,0.6081081081081081,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.85,nearest_sphere,0.9555225091253211,0.5585583788199021,0.9191176470588235,0.45208333333333334,0.018333333333333333,0.5479166666666667,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.9,nearest_sphere,0.9427905772715506,0.6364968989063325,0.9007155635062611,0.5243243243243243,0.024115755627009645,0.4756756756756757,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.9,nearest_sphere,0.957021626060772,0.6362153208846584,0.9223039215686275,0.5625,0.028888888888888888,0.4375,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.95,nearest_sphere,0.9404008438818565,0.683696442810087,0.8980322003577818,0.6135135135135135,0.04448017148981779,0.3864864864864865,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,0.95,nearest_sphere,0.956787550368209,0.6953491355288125,0.9227941176470589,0.6791666666666667,0.043611111111111114,0.32083333333333336,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,1.0,nearest_sphere,0.9301191765980499,0.7061278262182928,0.8823792486583184,0.7054054054054054,0.07984994640943194,0.2945945945945946,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,1.0,nearest_sphere,0.9508707348152343,0.716513259557577,0.9127450980392157,0.78125,0.06722222222222222,0.21875,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,1.05,nearest_sphere,0.9110738255033557,0.7008409802175403,0.8542039355992844,0.7810810810810811,0.1270096463022508,0.21891891891891893,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,1.05,nearest_sphere,0.9399191218948585,0.7171056518791662,0.8950980392156863,0.8541666666666666,0.0961111111111111,0.14583333333333334,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,1.1,nearest_sphere,0.8802325581395349,0.6841840320932753,0.8108228980322003,0.8378378378378378,0.18863879957127547,0.16216216216216217,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,1.1,nearest_sphere,0.9120977353992848,0.6720040082781483,0.8514705882352941,0.89375,0.14972222222222223,0.10625,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,1.2,nearest_sphere,0.7412353923205343,0.6044555048263763,0.6440071556350626,0.9486486486486486,0.40514469453376206,0.051351351351351354,0.9105616870890183,0.9772613415786932
banking77_oos,13,test,1,0.5,1.2,nearest_sphere,0.8200292635343847,0.5609180346773471,0.7215686274509804,0.9395833333333333,0.29944444444444446,0.06041666666666667,0.9384293981481482,0.990646385522166
banking77_oos,13,val,1,0.5,0.2,normalized_union,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.2,normalized_union,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.3,normalized_union,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.3,normalized_union,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.4,normalized_union,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.4,normalized_union,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.5,normalized_union,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.5,normalized_union,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.6,normalized_union,0.9122463945245661,0.05479100016406218,0.8394454382826476,0.02972972972972973,0.0,0.9702702702702702,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.6,normalized_union,0.9390737116764514,0.05393248586668894,0.8855392156862745,0.029166666666666667,0.0002777777777777778,0.9708333333333333,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.7,normalized_union,0.9200789343857918,0.2107557057064446,0.855098389982111,0.12702702702702703,0.0005359056806002144,0.8729729729729729,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.7,normalized_union,0.9442838370565046,0.21281457998258124,0.8960784313725491,0.13125,0.0019444444444444444,0.86875,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.75,normalized_union,0.9244532803180915,0.30478237742216335,0.8640429338103757,0.1945945945945946,0.003215434083601286,0.8054054054054054,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.75,normalized_union,0.9477028995101284,0.32813793574559563,0.9031862745098039,0.22083333333333333,0.005833333333333334,0.7791666666666667,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.8,normalized_union,0.9306880964339528,0.4153823102245648,0.8765652951699463,0.2891891891891892,0.006966773847802787,0.7108108108108108,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.8,normalized_union,0.9518716577540107,0.4487556099548158,0.9115196078431372,0.3333333333333333,0.011111111111111112,0.6666666666666666,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.85,normalized_union,0.9366895499618612,0.5215984708187683,0.8881932021466905,0.3918918918918919,0.012861736334405145,0.6081081081081081,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.85,normalized_union,0.9555225091253211,0.5585583788199021,0.9191176470588235,0.45208333333333334,0.018333333333333333,0.5479166666666667,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.9,normalized_union,0.9427905772715506,0.6364968989063325,0.9007155635062611,0.5243243243243243,0.024115755627009645,0.4756756756756757,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.9,normalized_union,0.957021626060772,0.6382496306325757,0.9225490196078432,0.5625,0.028888888888888888,0.4375,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,0.95,normalized_union,0.9404008438818565,0.683696442810087,0.8980322003577818,0.6135135135135135,0.04448017148981779,0.3864864864864865,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,0.95,normalized_union,0.956787550368209,0.6971297928192149,0.9230392156862746,0.6791666666666667,0.043611111111111114,0.32083333333333336,0.9386267361111111,0.9906812779149923
banking77_oos,13,val,1,0.5,1.0,normalized_union,0.9301191765980499,0.7061278262182928,0.8823792486583184,0.7054054054054054,0.07984994640943194,0.2945945945945946,0.9105834129949886,0.9772478143047905
banking77_oos,13,test,1,0.5,1.0,normalized_union,0.9508707348152343,0.7180264174523138,0.9129901960784313,0.78125,0.06722222222222222,0.21875,0.9386267361111111,0.9906812779149923
