candidate_k,dataset,feasible_fraction,ineligible_fraction,intent,mean_coverage_delta,mean_delta_union_risk,mean_union_risk_ucb95,n_seeds,selected_k,selected_k_largest_mode,selected_k_mode,selected_k_primary_mode,selected_k_shuffled_primary_mode,selection_reason
3,banking77,0.5,0.0,card_payment_not_recognised,-0.02941176470588236,0.003149067637647578,0.01349230812155597,2,3,5,3,3,3,min_q95_among_feasible
4,banking77,1.0,0.0,card_payment_not_recognised,0.02941176470588236,0.0021008496082974733,0.011802831805164492,2,3,5,3,3,3,min_q95_among_feasible
5,banking77,1.0,0.0,card_payment_not_recognised,0.02941176470588236,0.0,0.00800571820998039,2,3,5,3,3,3,min_q95_among_feasible
1,banking77,1.0,0.0,card_payment_wrong_exchange_rate,0.0,0.0,0.0,2,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,card_payment_wrong_exchange_rate,-0.05882352941176472,0.0,0.00799742810337637,2,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,card_payment_wrong_exchange_rate,-0.05882352941176472,0.0,0.00799742810337637,2,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,card_payment_wrong_exchange_rate,-0.05882352941176472,0.0,0.00799742810337637,2,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.5,0.0,card_payment_wrong_exchange_rate,-0.02941176470588236,0.0,0.00799742810337637,2,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,card_swallowed,0.0,0.0,0.0,1,1,2,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,card_swallowed,0.0,0.0,0.007794512316163985,1,1,2,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,card_swallowed,-0.16666666666666674,0.0,0.007794512316163985,1,1,2,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,card_swallowed,-0.33333333333333337,0.0,0.007794512316163985,1,1,2,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,card_swallowed,-0.33333333333333337,0.0,0.007794512316163985,1,1,2,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,cash_withdrawal_charge,0.0,0.0,0.0,1,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,cash_withdrawal_charge,-0.11111111111111116,0.0,0.008005683439974685,1,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,cash_withdrawal_charge,-0.05555555555555558,0.0,0.008005683439974685,1,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,cash_withdrawal_charge,-0.05555555555555558,0.0,0.008005683439974685,1,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,cash_withdrawal_charge,-0.05555555555555558,0.0,0.008005683439974685,1,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,change_pin,0.0,0.0,0.0,2,1,4,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,change_pin,0.0,0.0,0.007915036814365176,2,1,4,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,change_pin,0.0,0.0,0.007915036814365176,2,1,4,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,change_pin,0.0,0.0,0.007915036814365176,2,1,4,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,change_pin,-0.16666666666666674,0.0,0.007915036814365176,2,1,4,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,compromised_card,0.0,0.0,0.0,1,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,compromised_card,-0.11111111111111105,0.0,0.00785829178638296,1,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,compromised_card,-0.11111111111111105,0.0,0.00785829178638296,1,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,compromised_card,-0.11111111111111105,0.0,0.00785829178638296,1,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,compromised_card,-0.2222222222222222,0.0,0.00785829178638296,1,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,contactless_not_working,0.0,0.0,0.0,1,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,contactless_not_working,-0.33333333333333337,0.00408997955010225,0.014788375221266305,1,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,contactless_not_working,-0.6666666666666667,0.0,0.007794512316163985,1,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,contactless_not_working,-0.6666666666666667,0.0,0.007794512316163985,1,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,contactless_not_working,-0.6666666666666667,0.0,0.007794512316163985,1,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,country_support,0.0,0.0,0.0,1,2,2,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,country_support,0.0,0.0,0.00790681558963428,1,2,2,2,2,2,min_q95_among_feasible
3,banking77,0.0,0.0,country_support,-0.15384615384615385,0.0,0.00790681558963428,1,2,2,2,2,2,min_q95_among_feasible
4,banking77,0.0,0.0,country_support,-0.07692307692307698,0.0,0.00790681558963428,1,2,2,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,country_support,-0.15384615384615385,0.0,0.00790681558963428,1,2,2,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,declined_cash_withdrawal,0.0,0.0,0.0,2,1,2,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,declined_cash_withdrawal,0.0,0.0,0.00800571820998039,2,1,2,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,declined_cash_withdrawal,-0.05882352941176472,0.0,0.00800571820998039,2,1,2,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,declined_cash_withdrawal,-0.11764705882352938,0.0,0.00800571820998039,2,1,2,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,declined_cash_withdrawal,-0.1764705882352941,0.0,0.00800571820998039,2,1,2,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,declined_transfer,0.0,0.0,0.0,2,2,5,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,declined_transfer,0.1923076923076923,0.0,0.007931378980303796,2,2,5,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,declined_transfer,0.23076923076923073,0.0,0.007931378980303796,2,2,5,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,declined_transfer,0.2692307692307692,0.0,0.007931378980303796,2,2,5,2,2,2,min_q95_among_feasible
5,banking77,1.0,0.0,declined_transfer,0.23076923076923073,0.0,0.007931378980303796,2,2,5,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,direct_debit_payment_not_recognised,0.0,0.0,0.0,2,2,4,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,direct_debit_payment_not_recognised,0.05555555555555558,0.02210314505549055,0.03964863029643617,2,2,4,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,direct_debit_payment_not_recognised,0.05555555555555558,0.010526362443711662,0.024401886824724717,2,2,4,2,2,2,min_q95_among_feasible
4,banking77,0.5,0.0,direct_debit_payment_not_recognised,-0.02777777777777779,0.012640499237669751,0.02717595878381692,2,2,4,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,direct_debit_payment_not_recognised,-0.1388888888888889,0.01579175974187143,0.031493636678537364,2,2,4,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,disposable_card_limits,0.0,0.0,0.0,2,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,disposable_card_limits,-0.08333333333333337,0.0,0.00789869506554335,2,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,disposable_card_limits,-0.08333333333333337,0.0,0.00789869506554335,2,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,disposable_card_limits,-0.08333333333333337,0.0,0.00789869506554335,2,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,disposable_card_limits,-0.08333333333333337,0.0,0.00789869506554335,2,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,edit_personal_details,0.0,0.0,0.0,2,1,3,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,edit_personal_details,0.0,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,edit_personal_details,0.0,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
4,banking77,0.5,0.0,edit_personal_details,-0.041666666666666685,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,edit_personal_details,-0.08333333333333337,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,exchange_charge,0.0,0.0,0.0,1,2,4,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,exchange_charge,0.0,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,exchange_charge,0.0,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,exchange_charge,0.0,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,exchange_charge,-0.08333333333333326,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,exchange_rate,0.0,0.0,0.0,3,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,exchange_rate,-0.09090909090909094,0.0,0.007896032750379377,3,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,exchange_rate,-0.09090909090909094,0.0,0.007896032750379377,3,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,exchange_rate,-0.12121212121212126,0.0,0.007896032750379377,3,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,exchange_rate,-0.3333333333333334,0.0,0.007896032750379377,3,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,exchange_via_app,0.0,0.0,0.0,2,2,2,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,exchange_via_app,0.08333333333333337,0.0,0.007915036814365176,2,2,2,2,2,2,min_q95_among_feasible
3,banking77,0.0,0.0,exchange_via_app,-0.16666666666666663,0.0010416666666666667,0.009797902423909804,2,2,2,2,2,2,min_q95_among_feasible
4,banking77,0.0,0.0,exchange_via_app,-0.16666666666666663,0.0010416666666666667,0.009797902423909804,2,2,2,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,exchange_via_app,-0.16666666666666663,0.0,0.007915036814365176,2,2,2,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,extra_charge_on_statement,0.0,0.0,0.0,1,2,2,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,extra_charge_on_statement,0.05882352941176472,0.0041841004184100415,0.015125757482308141,1,2,2,2,2,2,min_q95_among_feasible
3,banking77,0.0,0.0,extra_charge_on_statement,-0.11764705882352944,0.0,0.007972453906511256,1,2,2,2,2,2,min_q95_among_feasible
4,banking77,0.0,0.0,extra_charge_on_statement,-0.11764705882352944,0.0,0.007972453906511256,1,2,2,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,extra_charge_on_statement,-0.05882352941176472,0.0,0.007972453906511256,1,2,2,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,failed_transfer,0.0,0.0,0.0,1,2,4,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,failed_transfer,0.0,0.0020833333333333333,0.01170523030636719,1,2,4,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,failed_transfer,0.0,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,failed_transfer,0.0,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
5,banking77,0.0,0.0,failed_transfer,-0.07142857142857151,0.0,0.007939499087277936,1,2,4,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,fiat_currency_support,0.0,0.0,0.0,2,2,5,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,fiat_currency_support,0.15384615384615385,0.0,0.007939533002042021,2,2,5,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,fiat_currency_support,0.15384615384615385,0.0,0.007939533002042021,2,2,5,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,fiat_currency_support,0.11538461538461542,0.0,0.007939533002042021,2,2,5,2,2,2,min_q95_among_feasible
5,banking77,1.0,0.0,fiat_currency_support,0.07692307692307698,0.0,0.007939533002042021,2,2,5,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,get_disposable_virtual_card,0.0,0.0,0.0,2,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,get_disposable_virtual_card,-0.09999999999999998,0.0,0.007890607833104631,2,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,get_disposable_virtual_card,-0.14999999999999997,0.0,0.007890607833104631,2,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,get_disposable_virtual_card,-0.14999999999999997,0.0,0.007890607833104631,2,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,get_disposable_virtual_card,-0.19999999999999996,0.0,0.007890607833104631,2,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,get_physical_card,0.0,0.0,0.0,1,3,4,3,3,3,min_q95_among_feasible
2,banking77,1.0,0.0,get_physical_card,0.0,0.002061855670103093,0.011585536876455244,1,3,4,3,3,3,min_q95_among_feasible
3,banking77,1.0,0.0,get_physical_card,0.09999999999999998,0.0,0.00785829178638296,1,3,4,3,3,3,min_q95_among_feasible
4,banking77,1.0,0.0,get_physical_card,0.09999999999999998,0.0,0.00785829178638296,1,3,4,3,3,3,min_q95_among_feasible
5,banking77,0.0,0.0,get_physical_card,-0.10000000000000009,0.0,0.00785829178638296,1,3,4,3,3,3,min_q95_among_feasible
1,banking77,1.0,0.0,getting_spare_card,0.0,0.0,0.0,1,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,getting_spare_card,-0.07692307692307687,0.002074688796680498,0.011657057375722132,1,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,getting_spare_card,-0.15384615384615385,0.002074688796680498,0.011657057375722132,1,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,getting_spare_card,-0.15384615384615385,0.002074688796680498,0.011657057375722132,1,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,getting_spare_card,-0.15384615384615385,0.002074688796680498,0.011657057375722132,1,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,getting_virtual_card,0.0,0.0,0.0,1,2,5,2,2,2,min_q95_among_feasible
2,banking77,1.0,0.0,getting_virtual_card,0.20000000000000007,0.0,0.007874400076574983,1,2,5,2,2,2,min_q95_among_feasible
3,banking77,1.0,0.0,getting_virtual_card,0.20000000000000007,0.0,0.007874400076574983,1,2,5,2,2,2,min_q95_among_feasible
4,banking77,1.0,0.0,getting_virtual_card,0.20000000000000007,0.0,0.007874400076574983,1,2,5,2,2,2,min_q95_among_feasible
5,banking77,1.0,0.0,getting_virtual_card,0.20000000000000007,0.0,0.007874400076574983,1,2,5,2,2,2,min_q95_among_feasible
1,banking77,1.0,0.0,lost_or_stolen_card,0.0,0.0,0.0,1,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,lost_or_stolen_card,0.0,0.0,0.007826272112228853,1,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,lost_or_stolen_card,0.0,0.0,0.007826272112228853,1,1,5,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,lost_or_stolen_card,0.0,0.0,0.007826272112228853,1,1,5,1,1,1,min_q95_among_feasible
5,banking77,1.0,0.0,lost_or_stolen_card,0.0,0.0,0.007826272112228853,1,1,5,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,lost_or_stolen_phone,0.0,0.0,0.0,1,1,1,1,1,1,min_q95_among_feasible
2,banking77,0.0,0.0,lost_or_stolen_phone,-0.16666666666666663,0.0,0.00790681558963428,1,1,1,1,1,1,min_q95_among_feasible
3,banking77,0.0,0.0,lost_or_stolen_phone,-0.16666666666666663,0.0,0.00790681558963428,1,1,1,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,lost_or_stolen_phone,-0.25,0.0,0.00790681558963428,1,1,1,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,lost_or_stolen_phone,-0.25,0.0,0.00790681558963428,1,1,1,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,order_physical_card,0.0,0.0,0.0,2,1,3,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,order_physical_card,0.0,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,order_physical_card,0.0,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
4,banking77,0.0,0.0,order_physical_card,-0.08333333333333337,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
5,banking77,0.0,0.0,order_physical_card,-0.08333333333333337,0.0,0.00789869506554335,2,1,3,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,passcode_forgotten,0.0,0.0,0.0,2,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,passcode_forgotten,0.0,0.0,0.00788255368800862,2,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,passcode_forgotten,0.0,0.0,0.00788255368800862,2,1,5,1,1,1,min_q95_among_feasible
4,banking77,1.0,0.0,passcode_forgotten,0.0,0.0,0.00788255368800862,2,1,5,1,1,1,min_q95_among_feasible
5,banking77,1.0,0.0,passcode_forgotten,0.0,0.0,0.00788255368800862,2,1,5,1,1,1,min_q95_among_feasible
1,banking77,1.0,0.0,pending_card_payment,0.0,0.0,0.0,1,1,5,1,1,1,min_q95_among_feasible
2,banking77,1.0,0.0,pending_card_payment,0.0625,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
3,banking77,1.0,0.0,pending_card_payment,0.0625,0.0,0.008005683439974685,1,1,5,1,1,1,min_q95_among_feasible
