dataset,kir,metric,metric_label,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,cohen_dz,sign_test_p,seeds
clinc150,0.75,known_recall,Known Recall,5,-0.16416666666666663,-0.16488095238095235,0.008716733002700199,-0.17083333333333328,-0.15755952380952373,0,0,5,-18.833508679893306,0.0625,13|42|87|100|123
clinc150,0.75,false_accept_rate,False Acceptance,5,-0.13470085470085474,-0.12350427350427358,0.02488082486531592,-0.1551282051282052,-0.11598290598290603,0,0,5,-5.413842002024173,0.0625,13|42|87|100|123
banking77,0.25,oos_f1,OOS F1,5,0.08853275078245984,0.08761103229374578,0.017681255841629946,0.07459510576812109,0.10294340948032935,5,0,0,5.007152861507288,0.0625,13|42|87|100|123
banking77,0.25,f1_all,F1-All,5,0.0993345320636391,0.10554633018309145,0.03256375416710321,0.0730994461781678,0.12307103482176507,5,0,0,3.0504631485023785,0.0625,13|42|87|100|123
banking77,0.25,known_recall,Known Recall,5,-0.05631578947368421,-0.051315789473684204,0.017638451135197585,-0.06973684210526314,-0.04289473684210528,0,0,5,-3.1927854119405,0.0625,13|42|87|100|123
banking77,0.25,false_accept_rate,False Acceptance,5,-0.1607758620689656,-0.16422413793103452,0.02777916085207868,-0.18163793103448284,-0.14043103448275868,0,0,5,-5.787642863838882,0.0625,13|42|87|100|123
banking77,0.5,oos_f1,OOS F1,5,0.0859585779898399,0.08029516070481135,0.020411185296679905,0.07044338972413973,0.10216244336250993,5,0,0,4.211346707230274,0.0625,13|42|87|100|123
banking77,0.5,f1_all,F1-All,5,0.028863495053694833,0.032872631042483946,0.011144826009247901,0.020184252637747167,0.0375427374696425,5,0,0,2.5898560488736297,0.0625,13|42|87|100|123
banking77,0.5,known_recall,Known Recall,5,-0.06934210526315791,-0.07039473684210529,0.011180339887498971,-0.0777631578947369,-0.06065789473684211,0,0,5,-6.202146442854669,0.0625,13|42|87|100|123
banking77,0.5,false_accept_rate,False Acceptance,5,-0.17923076923076925,-0.1647435897435898,0.036218232356502275,-0.2088461538461539,-0.15269230769230768,0,0,5,-4.948633811461864,0.0625,13|42|87|100|123
banking77,0.75,oos_f1,OOS F1,5,0.02386121970785755,0.013945787697579037,0.03697585271148209,-0.004128609990758836,0.0533615215080824,3,0,2,0.6453189840960162,1.0,13|42|87|100|123
banking77,0.75,f1_all,F1-All,5,-0.01760105753283352,-0.0200257570286283,0.008985378855023627,-0.024663485892855275,-0.010538629172811764,0,0,5,-1.9588553601157241,0.0625,13|42|87|100|123
banking77,0.75,known_recall,Known Recall,5,-0.07939655172413793,-0.07931034482758625,0.004325404725621404,-0.08267241379310344,-0.0756896551724138,0,0,5,-18.355866505123753,0.0625,13|42|87|100|123
banking77,0.75,false_accept_rate,False Acceptance,5,-0.16210526315789478,-0.15394736842105267,0.05774801983630134,-0.2065789473684211,-0.11763157894736846,0,0,5,-2.807113795718287,0.0625,13|42|87|100|123
stackoverflow,0.25,oos_f1,OOS F1,5,0.023441209538584085,0.0292123172869585,0.011323502475179279,0.013195040675201941,0.03017221824804377,5,0,0,2.070137714895757,0.0625,13|42|87|100|123
stackoverflow,0.25,f1_all,F1-All,5,0.04519652407024575,0.049102699820413154,0.019265143251701648,0.027805696037059714,0.057609859241999926,5,0,0,2.346025849885837,0.0625,13|42|87|100|123
stackoverflow,0.25,known_recall,Known Recall,5,0.007733333333333326,0.014666666666666606,0.017528389670601364,-0.005866666666666687,0.021333333333333336,3,0,2,0.44118903553951,1.0,13|42|87|100|123
stackoverflow,0.25,false_accept_rate,False Acceptance,5,-0.04182222222222227,-0.0495555555555556,0.018194694654768088,-0.05328888888888894,-0.02653333333333339,0,0,5,-2.2985943438881713,0.0625,13|42|87|100|123
stackoverflow,0.5,oos_f1,OOS F1,5,0.004587685884882964,0.01044894067938662,0.013032973015290546,-0.00687885574910112,0.013759111989667972,3,0,2,0.35200609097407004,1.0,13|42|87|100|123
stackoverflow,0.5,f1_all,F1-All,5,0.007457264377796769,0.009766780956895094,0.008368217038433087,0.0001655295756364028,0.013032684924456462,4,0,1,0.8911413678143689,0.375,13|42|87|100|123
stackoverflow,0.5,known_recall,Known Recall,5,0.0252,0.02400000000000002,0.011814774178497356,0.016533333333333355,0.03479999999999996,5,0,0,2.132922696555934,0.0625,13|42|87|100|123
stackoverflow,0.5,false_accept_rate,False Acceptance,5,0.010733333333333313,0.0026666666666666644,0.025131211227829398,-0.008133333333333359,0.0314,3,0,2,0.4270917639436179,1.0,13|42|87|100|123
stackoverflow,0.75,oos_f1,OOS F1,5,0.02604244842315475,0.030499050300322073,0.02100563637208236,0.00790325380443222,0.04128873998834912,4,0,1,1.2397838352456005,0.375,13|42|87|100|123
stackoverflow,0.75,f1_all,F1-All,5,0.012942134788098757,0.012848069952315133,0.005600359854543902,0.008193668609779613,0.017513393165194645,5,0,0,2.3109469970216363,0.0625,13|42|87|100|123
stackoverflow,0.75,known_recall,Known Recall,5,0.032711111111111114,0.030888888888888855,0.011790768517031532,0.024400000000000043,0.043022222222222205,5,0,0,2.77429847459566,0.0625,13|42|87|100|123
stackoverflow,0.75,false_accept_rate,False Acceptance,5,0.006799999999999959,-0.006000000000000033,0.05108032889479079,-0.03040000000000005,0.04359999999999996,2,0,3,0.13312365341276078,1.0,13|42|87|100|123
