epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
4,finetune,0.0984561886106218,0.056936873741714,0.4031665823289326,0.0120265454719109,0.895085812847858,0.8558296145007506,0.7851239669421488,banking77,0.25,13,0.9154867256637168,0.8276315789473684,2
1,warmup,0.1797878719452354,0.1265394831490185,0.5082362840572993,0.0242475986532453,0.9299051296441811,0.8882055249010982,0.83399209486166,banking77,0.25,42,0.9191208791208791,0.8171052631578948,4
2,finetune,0.1336395152741008,0.0839006370968288,0.4798078934351603,0.0175808721428944,0.9345902248787455,0.8932858770526586,0.8260869565217391,banking77,0.25,42,0.9191208791208791,0.8171052631578948,4
3,finetune,0.0970705071878102,0.0527853445253438,0.4319098326894972,0.0109417924541048,0.9381019588235028,0.896995239455914,0.8221343873517787,banking77,0.25,42,0.9191208791208791,0.8171052631578948,4
4,finetune,0.0735815280220574,0.0351371095101866,0.3772111700640784,0.0072330106955228,0.9400215936745668,0.8991125027654758,0.8181818181818181,banking77,0.25,42,0.9191208791208791,0.8171052631578948,4
1,warmup,0.1787200440701685,0.1284979060292244,0.4809754255570863,0.0212459683442782,0.9318523401661424,0.8912863024302932,0.8113207547169812,banking77,0.25,87,0.9304952215464813,0.8131578947368421,4
2,finetune,0.1437628748581597,0.096952460510166,0.4518753784267525,0.0162287452196898,0.9357566761437874,0.8948132799173724,0.8188679245283019,banking77,0.25,87,0.9304952215464813,0.8131578947368421,4
3,finetune,0.0981775941817384,0.0573697237199858,0.3976850862565793,0.0103936148378507,0.933733004573575,0.893355646083009,0.8075471698113208,banking77,0.25,87,0.9304952215464813,0.8131578947368421,4
4,finetune,0.0782290108894047,0.0424149585152535,0.3506414537367068,0.007499053155219,0.9419100344018404,0.9009666381754254,0.8188679245283019,banking77,0.25,87,0.9304952215464813,0.8131578947368421,4
1,warmup,0.2091049720134054,0.1551372579165867,0.511335301399231,0.0283418402341859,0.8870367773078597,0.84711742246915,0.7983870967741935,banking77,0.25,100,0.9308176100628931,0.8092105263157895,4
