dataset,method,method_label,majority_label,observed_cells,mean_ball_count,mean_train_support,mean_radius,mean_oos_assignment_share,mean_false_accept_share,mean_known_false_reject_share,total_oos_false_accepts,total_known_false_rejects
banking77,mogb_minilm,MOGB-Fair,declined_cash_withdrawal,8,4.375,64.375,0.4408015389233927,0.046504025315277586,0.03869047619047619,0.03914633480016002,2,350
banking77,mogb_minilm,MOGB-Fair,declined_transfer,10,2.0,81.1,0.45668684713685365,0.02513047373074596,0.007692307692307693,0.013845381477167898,1,136
banking77,mogb_minilm,MOGB-Fair,direct_debit_payment_not_recognised,9,1.7777777777777777,101.22222222222223,0.5313648767784338,0.009140399997931759,0.0,0.020605730915808095,0,149
banking77,mogb_minilm,MOGB-Fair,disposable_card_limits,6,2.5,84.5,0.45320260685108216,0.008378317588843904,0.038461538461538464,0.01553628703251699,3,127
banking77,mogb_minilm,MOGB-Fair,edit_personal_details,8,1.75,95.125,0.617807167090352,0.01328019568151147,0.0,0.019035978840104283,0,207
banking77,mogb_minilm,MOGB-Fair,exchange_charge,5,2.8,67.6,0.45490168087432015,0.013835683372888454,0.0,0.031989989672853075,0,157
banking77,mogb_minilm,MOGB-Fair,exchange_rate,11,2.1818181818181817,76.18181818181819,0.4476774220186158,0.009819188675812995,0.1389758791932705,0.025501739051560567,9,289
banking77,mogb_minilm,MOGB-Fair,exchange_via_app,8,2.75,69.5,0.46474677556724053,0.035956332309553724,0.027156493868450392,0.03304254013349416,4,251
banking77,mogb_minilm,MOGB-Fair,extra_charge_on_statement,7,3.4285714285714284,83.28571428571429,0.49574511731209175,0.026087350338711502,0.0,0.02583154601831391,0,196
banking77,mogb_minilm,MOGB-Fair,failed_transfer,6,2.6666666666666665,51.833333333333336,0.44548572122130264,0.03554396047590239,0.049064009661835745,0.03103140823538282,5,235
banking77,mogb_minilm,MOGB-Fair,fiat_currency_support,8,3.0,56.625,0.482388873884133,0.03426113360323887,0.004807692307692308,0.022866125330635013,1,229
banking77,mogb_minilm,MOGB-Fair,get_disposable_virtual_card,8,2.75,66.625,0.37116688034306367,0.01783906882591093,0.030434782608695653,0.01833755100608582,2,200
banking77,mogb_minilm,MOGB-Fair,get_physical_card,6,3.0,61.666666666666664,0.45219022389676994,0.028671839856050384,0.03502415458937198,0.020912030701299173,2,174
banking77,mogb_minilm,MOGB-Fair,getting_spare_card,7,2.7142857142857144,52.285714285714285,0.49626881108248655,0.03485520831255858,0.0,0.030832976299320497,0,253
banking77,mogb_minilm,MOGB-Fair,getting_virtual_card,9,2.6666666666666665,65.33333333333333,0.4198263547659486,0.012154991442650245,0.0,0.026319299904544794,0,269
banking77,mogb_minilm,MOGB-Fair,lost_or_stolen_card,7,1.7142857142857142,32.57142857142857,0.4056642103231951,0.047450772155853825,0.0,0.04078074036522831,0,332
banking77,mogb_minilm,MOGB-Fair,lost_or_stolen_phone,9,2.4444444444444446,76.77777777777777,0.5543551805305998,0.014533663217873746,0.0,0.030505647564264177,0,306
banking77,mogb_minilm,MOGB-Fair,order_physical_card,8,2.0,36.375,0.44762414925443583,0.057764074061147565,0.0,0.026588861512139215,0,220
banking77,mogb_minilm,MOGB-Fair,passcode_forgotten,9,1.8888888888888888,80.44444444444444,0.5401863620591653,0.006291655679132993,0.0,0.015381960845192869,0,144
banking77,mogb_minilm,MOGB-Fair,pending_card_payment,7,4.0,86.85714285714286,0.4586251037192715,0.024710732401295014,0.0,0.03851025229971591,0,236
banking77,mogb_minilm,MOGB-Fair,pending_cash_withdrawal,11,2.090909090909091,79.0,0.47094242620529686,0.02364946759229881,0.0,0.026124766739782524,0,237
banking77,mogb_minilm,MOGB-Fair,pending_top_up,2,3.0,78.5,0.5005051298036121,0.0736842105263158,0.0,0.02160396093937713,0,71
banking77,mogb_minilm,MOGB-Fair,pending_transfer,11,3.0,70.0909090909091,0.4129319178243256,0.03221135337741508,0.05965393302349824,0.028015679681571738,12,284
banking77,mogb_minilm,MOGB-Fair,pin_blocked,8,1.875,67.0,0.5035439166862482,0.006575529922285821,0.0,0.018335842886728855,0,162
banking77,mogb_minilm,MOGB-Fair,receiving_money,8,2.0,39.625,0.5376476837073793,0.024580308529945555,0.0,0.028916120414904576,0,193
banking77,mogb_minilm,MOGB-Fair,request_refund,2,3.5,83.0,0.4656524035039544,0.01842105263157895,0.0,0.01734351521141625,0,57
banking77,mogb_minilm,MOGB-Fair,reverted_card_payment?,8,3.375,68.75,0.450724986381532,0.06086616990087952,0.049533799533799536,0.04451524393000245,11,320
banking77,mogb_minilm,MOGB-Fair,supported_cards_and_currencies,4,2.25,28.25,0.4084987160905248,0.014212213225371122,0.0,0.018615081719146526,0,107
banking77,mogb_minilm,MOGB-Fair,terminate_account,8,1.125,86.75,0.5825381970087657,0.03169746730885569,0.0,0.028243893110939763,0,214
banking77,mogb_minilm,MOGB-Fair,top_up_by_bank_transfer_charge,7,2.7142857142857144,46.714285714285715,0.46182589484337616,0.023307938280715052,0.11645962732919256,0.0253608133734952,12,175
banking77,mogb_minilm,MOGB-Fair,top_up_by_card_charge,6,2.8333333333333335,49.5,0.4444468665539731,0.024912552158468673,0.0,0.0313362877971878,0,200
banking77,mogb_minilm,MOGB-Fair,top_up_by_cash_or_cheque,6,2.6666666666666665,56.0,0.4958318927787693,0.020136465168225603,0.0,0.026729809971250768,0,163
banking77,mogb_minilm,MOGB-Fair,top_up_failed,4,3.25,67.75,0.467956357596119,0.07324517776536833,0.08953804347826086,0.03012808203675585,11,129
banking77,mogb_minilm,MOGB-Fair,top_up_limits,4,2.25,76.75,0.4954247903962151,0.019120102145283632,0.009615384615384616,0.024331772653313283,1,97
banking77,mogb_minilm,MOGB-Fair,top_up_reverted,7,2.2857142857142856,81.42857142857143,0.5058553777475387,0.05040178363681086,0.15661305568137868,0.03219129611372088,22,195
banking77,mogb_minilm,MOGB-Fair,topping_up_by_card,9,1.6666666666666667,23.333333333333332,0.38667530298854513,0.02473009446693657,0.031746031746031744,0.010761969248235869,2,117
banking77,mogb_minilm,MOGB-Fair,transaction_charged_twice,8,3.75,103.125,0.5080717950345153,0.013220862999674251,0.0,0.0371151758182777,0,284
banking77,mogb_minilm,MOGB-Fair,transfer_fee_charged,11,2.909090909090909,91.81818181818181,0.49097607748574146,0.041955556542670885,0.021645021645021644,0.03372754468124503,2,346
banking77,mogb_minilm,MOGB-Fair,transfer_into_account,9,1.4444444444444444,63.333333333333336,0.5115989652440593,0.026626607411543893,0.0,0.027766808588566994,0,242
banking77,mogb_minilm,MOGB-Fair,transfer_not_received_by_recipient,2,2.5,40.5,0.5049315535372585,0.06262709991158268,0.3125,0.049674708593114666,15,59
banking77,mogb_minilm,MOGB-Fair,transfer_timing,6,2.6666666666666665,52.5,0.3973105778834065,0.014159860859044164,0.0036231884057971015,0.03012121350709147,1,175
banking77,mogb_minilm,MOGB-Fair,unable_to_verify_identity,10,2.3,49.1,0.46671362686562323,0.019645399972078738,0.18873447204968946,0.02733844678284067,62,245
banking77,mogb_minilm,MOGB-Fair,verify_my_identity,10,2.2,66.5,0.41454312199738136,0.021266869095816463,0.08285714285714285,0.022809200914039086,8,272
banking77,mogb_minilm,MOGB-Fair,verify_source_of_funds,11,1.7272727272727273,81.27272727272727,0.5235026831903724,0.004561266017708849,0.0,0.023393146028799636,0,251
banking77,mogb_minilm,MOGB-Fair,verify_top_up,8,1.875,97.5,0.4777049479106801,0.004323432919167946,0.0,0.021354791463456764,0,168
banking77,mogb_minilm,MOGB-Fair,virtual_card_not_working,7,1.1428571428571428,19.428571428571427,0.407045257806649,0.00981299402352034,0.0,0.015076980083640763,0,136
banking77,mogb_minilm,MOGB-Fair,visa_or_mastercard,8,2.5,85.875,0.46954232495693726,0.014950236167341431,0.0,0.0176988508777843,0,186
banking77,mogb_minilm,MOGB-Fair,why_verify_identity,8,2.75,63.25,0.47406398249504605,0.030891967983619525,0.11644085081585082,0.024044016450450664,33,164
banking77,mogb_minilm,MOGB-Fair,wrong_amount_of_cash_received,8,4.0,77.25,0.5117091781495708,0.04375865268276793,0.04414335664335665,0.03179387176822792,10,235
banking77,mogb_minilm,MOGB-Fair,wrong_exchange_rate_for_cash_withdrawal,12,2.6666666666666665,75.83333333333333,0.47242198464109036,0.01126046077838274,0.03314393939393939,0.021284403689383728,7,253
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Refund_not_showing_up,11,1.8181818181818181,119.54545454545455,0.5431152510140412,0.04426704571895134,0.18285822159112353,0.026369565546127585,92,251
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,activate_my_card,7,2.4285714285714284,119.85714285714286,0.4347277777410877,0.005626217400264587,0.0,0.007863095569737662,0,42
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,age_limit,3,2.3333333333333335,90.0,0.5486239642276467,0.014721097615834457,0.0,0.011568219378815683,0,34
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,apple_pay_or_google_pay,8,2.25,74.125,0.520906822546193,0.05384309995811811,0.0,0.04347108581458034,0,301
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,atm_support,12,2.3333333333333335,53.75,0.4523155411900451,0.0126122182667101,0.0008680555555555555,0.01909264600145591,1,145
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,automatic_top_up,11,2.3636363636363638,84.18181818181819,0.478656879510539,0.03125579048900283,0.0,0.023051655755578434,0,156
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,balance_not_updated_after_bank_transfer,7,3.142857142857143,46.714285714285715,0.4344736749346784,0.010503463566076997,0.009523809523809526,0.02231336258696635,5,108
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,balance_not_updated_after_cheque_or_cash_deposit,7,2.7142857142857144,99.85714285714286,0.5042419834805552,0.048759747512016116,0.0031746031746031746,0.05104910464006273,1,311
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,beneficiary_not_allowed,6,2.5,69.83333333333333,0.4922494714955124,0.019541781066281974,0.044040404040404046,0.018340930437620497,23,81
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,cancel_transfer,8,3.125,91.125,0.4948054292867629,0.031049679487179488,0.003705929487179487,0.03322527230898114,2,174
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_about_to_expire,7,2.142857142857143,80.14285714285714,0.4467626449184599,0.004731906025009474,0.0,0.019121470376342316,0,104
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_acceptance,3,1.3333333333333333,19.666666666666668,0.5142683620067147,0.0027376409635937768,0.011764705882352941,0.0221782813733217,3,36
