dataset,kir,method,method_label,support_quartile,sample_count,test_oos_assignment_count_calc,test_oos_false_accept_count_calc,test_known_assignment_count,test_known_false_reject_count_calc,total_sample_count,total_test_oos_assignment_count_calc,total_test_oos_false_accept_count_calc,total_test_known_assignment_count,total_test_known_false_reject_count_calc,share_sample_count,share_test_oos_assignment_count_calc,share_test_oos_false_accept_count_calc,share_test_known_assignment_count,share_test_known_false_reject_count_calc
banking77,0.5,mogb_minilm,MOGB-Fair,Q4-large,7521,2680,48,3135,1800,13666,7800,85,7600,5061,0.5503439192155715,0.3435897435897436,0.5647058823529412,0.4125,0.35566093657379966
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,1338,408,15,665,389,13666,7800,273,7600,3634,0.09790721498609688,0.052307692307692305,0.054945054945054944,0.0875,0.10704457897633461
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q2,1712,561,20,960,459,13666,7800,273,7600,3634,0.12527440362944534,0.07192307692307692,0.07326007326007326,0.12631578947368421,0.1263070996147496
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q3,3095,1648,38,1969,966,13666,7800,273,7600,3634,0.22647446216888628,0.21128205128205127,0.1391941391941392,0.2590789473684211,0.26582278481012656
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q4-large,7521,5183,200,4006,1820,13666,7800,273,7600,3634,0.5503439192155715,0.6644871794871795,0.7326007326007326,0.5271052631578947,0.5008255365987893
banking77,0.75,mogb_minilm,MOGB-Fair,Q1-small,1888,842,3,1972,1589,17632,3800,29,11600,8263,0.10707803992740472,0.22157894736842104,0.10344827586206896,0.17,0.19230303763766188
banking77,0.75,mogb_minilm,MOGB-Fair,Q2,2542,939,2,2268,1782,17632,3800,29,11600,8263,0.14416969147005446,0.24710526315789474,0.06896551724137931,0.19551724137931034,0.21566017185041753
banking77,0.75,mogb_minilm,MOGB-Fair,Q3,3856,830,9,2841,2116,17632,3800,29,11600,8263,0.21869328493647913,0.21842105263157896,0.3103448275862069,0.24491379310344827,0.2560813263947719
banking77,0.75,mogb_minilm,MOGB-Fair,Q4-large,9346,1189,15,4519,2776,17632,3800,29,11600,8263,0.5300589836660617,0.3128947368421053,0.5172413793103449,0.3895689655172414,0.3359554641171487
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,1888,221,4,1055,623,17632,3800,154,11600,6280,0.10707803992740472,0.0581578947368421,0.025974025974025976,0.09094827586206897,0.09920382165605096
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q2,2542,278,1,1570,868,17632,3800,154,11600,6280,0.14416969147005446,0.0731578947368421,0.006493506493506494,0.1353448275862069,0.13821656050955414
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q3,3856,707,27,2801,1588,17632,3800,154,11600,6280,0.21869328493647913,0.18605263157894736,0.17532467532467533,0.24146551724137932,0.25286624203821656
banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q4-large,9346,2594,122,6174,3201,17632,3800,154,11600,6280,0.5300589836660617,0.6826315789473684,0.7922077922077922,0.5322413793103449,0.5097133757961784
clinc150,0.25,mogb_minilm,MOGB-Fair,Q1-small,987,2295,8,571,433,15498,22800,150,5700,3585,0.06368563685636856,0.1006578947368421,0.05333333333333334,0.10017543859649122,0.1207810320781032
clinc150,0.25,mogb_minilm,MOGB-Fair,Q2,1972,4555,14,945,671,15498,22800,150,5700,3585,0.1272422248032004,0.19978070175438598,0.09333333333333334,0.16578947368421051,0.18716875871687588
clinc150,0.25,mogb_minilm,MOGB-Fair,Q3,4715,8207,77,1730,1099,15498,22800,150,5700,3585,0.30423280423280424,0.3599561403508772,0.5133333333333333,0.30350877192982456,0.30655509065550907
clinc150,0.25,mogb_minilm,MOGB-Fair,Q4-large,7824,7743,51,2454,1382,15498,22800,150,5700,3585,0.5048393341076268,0.33960526315789474,0.34,0.4305263157894737,0.38549511854951185
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,987,112,8,224,107,15498,22800,510,5700,2270,0.06368563685636856,0.004912280701754386,0.01568627450980392,0.03929824561403509,0.04713656387665198
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q2,1972,3334,49,905,519,15498,22800,510,5700,2270,0.1272422248032004,0.1462280701754386,0.09607843137254903,0.1587719298245614,0.2286343612334802
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q3,4715,13969,294,2090,964,15498,22800,510,5700,2270,0.30423280423280424,0.6126754385964912,0.5764705882352941,0.36666666666666664,0.42466960352422906
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q4-large,7824,5385,159,2481,680,15498,22800,510,5700,2270,0.5048393341076268,0.2361842105263158,0.31176470588235294,0.43526315789473685,0.29955947136563876
clinc150,0.5,mogb_minilm,MOGB-Fair,Q1-small,2005,2041,10,1472,1209,27210,17250,156,11250,7698,0.07368614479970599,0.11831884057971015,0.0641025641025641,0.13084444444444446,0.15705378020265004
clinc150,0.5,mogb_minilm,MOGB-Fair,Q2,3442,2926,13,1874,1454,27210,17250,156,11250,7698,0.1264976111723631,0.1696231884057971,0.08333333333333333,0.16657777777777777,0.1888802286308132
clinc150,0.5,mogb_minilm,MOGB-Fair,Q3,7292,6350,81,3124,2219,27210,17250,156,11250,7698,0.2679897096655641,0.3681159420289855,0.5192307692307693,0.2776888888888889,0.2882566900493635
clinc150,0.5,mogb_minilm,MOGB-Fair,Q4-large,14471,5933,52,4780,2816,27210,17250,156,11250,7698,0.5318265343623668,0.34394202898550724,0.3333333333333333,0.42488888888888887,0.3658093011171733
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,2005,80,11,486,255,27210,17250,431,11250,5249,0.07368614479970599,0.00463768115942029,0.025522041763341066,0.0432,0.04858068203467327
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q2,3442,1677,36,1366,746,27210,17250,431,11250,5249,0.1264976111723631,0.09721739130434782,0.08352668213457076,0.12142222222222222,0.14212230901124023
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q3,7292,7286,216,4154,2324,27210,17250,431,11250,5249,0.2679897096655641,0.4223768115942029,0.5011600928074246,0.36924444444444443,0.4427510001905125
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q4-large,14471,8207,168,5244,1924,27210,17250,431,11250,5249,0.5318265343623668,0.475768115942029,0.38979118329466356,0.46613333333333334,0.366546008763574
clinc150,0.75,mogb_minilm,MOGB-Fair,Q1-small,2748,1462,15,2028,1733,36645,11700,97,16800,11895,0.0749897666803111,0.12495726495726496,0.15463917525773196,0.12071428571428572,0.14569146700294242
clinc150,0.75,mogb_minilm,MOGB-Fair,Q2,4791,2297,5,3212,2624,36645,11700,97,16800,11895,0.13074089234547687,0.19632478632478634,0.05154639175257732,0.1911904761904762,0.22059688944934847
clinc150,0.75,mogb_minilm,MOGB-Fair,Q3,9167,4184,51,4603,3304,36645,11700,97,16800,11895,0.25015691090189657,0.3576068376068376,0.5257731958762887,0.27398809523809525,0.2777637662883565
clinc150,0.75,mogb_minilm,MOGB-Fair,Q4-large,19939,3757,26,6957,4234,36645,11700,97,16800,11895,0.5441124300723155,0.3211111111111111,0.26804123711340205,0.41410714285714284,0.3559478772593527
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,2748,264,12,901,619,36645,11700,221,16800,8721,0.0749897666803111,0.022564102564102566,0.05429864253393665,0.05363095238095238,0.07097809884187593
